date,start,end,11WD8MOOR1C---BT,11WD8MOOR1C---AV
8012019,04:00,05:00,0,0
8012019,05:00,06:00,0,0
8012019,06:00,07:00,0,0
8012019,07:00,08:00,0,0
8012019,08:00,09:00,0,0
8012019,09:00,10:00,0,0
8012019,10:00,11:00,0,0
8012019,11:00,12:00,0,0
8012019,12:00,13:00,0,0
8012019,13:00,14:00,0,0
8012019,14:00,15:00,0,0
8012019,15:00,16:00,0,0
8012019,16:00,17:00,0,0
8012019,17:00,18:00,0,0
8012019,18:00,19:00,0,0
8012019,19:00,20:00,0,0
8012019,20:00,21:00,0,0
8012019,21:00,22:00,0,0
8012019,22:00,23:00,0,0
8012019,23:00,00:00,0,0
9012019,00:00,01:00,0,0
9012019,01:00,02:00,0,0
9012019,02:00,03:00,0,0
9012019,03:00,04:00,0,0
9012019,04:00,05:00,0,0
9012019,05:00,06:00,0,0
9012019,06:00,07:00,0,105
9012019,07:00,08:00,0,370
9012019,08:00,09:00,0,455
9012019,09:00,10:00,0,411
9012019,10:00,11:00,0,401
9012019,11:00,12:00,290,405
9012019,12:00,13:00,430,420
9012019,13:00,14:00,430,427
9012019,14:00,15:00,304,409
9012019,15:00,16:00,306,408
9012019,16:00,17:00,307,412
9012019,17:00,18:00,307,413
9012019,18:00,19:00,308,413
9012019,19:00,20:00,309,420
9012019,20:00,21:00,308,681
9012019,21:00,22:00,308,688
9012019,22:00,23:00,306,702
9012019,23:00,00:00,304,690
10012019,00:00,01:00,426,724
10012019,01:00,02:00,440,529
10012019,02:00,03:00,443,518
10012019,03:00,04:00,441,493
10012019,04:00,05:00,443,499
10012019,05:00,06:00,441,748
10012019,06:00,07:00,437,754
10012019,07:00,08:00,438,756
10012019,08:00,09:00,443,763
10012019,09:00,10:00,436,764
10012019,10:00,11:00,442,764
10012019,11:00,12:00,441,764
10012019,12:00,13:00,441,764
10012019,13:00,14:00,442,764
10012019,14:00,15:00,440,764
10012019,15:00,16:00,439,764
10012019,16:00,17:00,442,766
10012019,17:00,18:00,441,766
10012019,18:00,19:00,440,766
10012019,19:00,20:00,440,766
10012019,20:00,21:00,439,764
10012019,21:00,22:00,441,685
10012019,22:00,23:00,441,766
10012019,23:00,00:00,441,765
11012019,00:00,01:00,444,765
11012019,01:00,02:00,442,763
11012019,02:00,03:00,442,714
11012019,03:00,04:00,443,567
11012019,04:00,05:00,382,565
11012019,05:00,06:00,428,602
