date,start,end,11WD7NEUR2B--A-T,11WD7NEUR1B--B-X,11WD7NEUR1B--C-U,11WD7NEUR1B--D-R,11WD7NEUR1B--E-O,11WD7NEUR1B--F-L,11WD7NEUR1B--G-I
1012022,00:00,01:00,181.0,,,0.0,0.0,478.0,0.0
1012022,01:00,02:00,181.0,,,0.0,0.0,471.0,0.0
1012022,02:00,03:00,181.0,,,0.0,0.0,472.0,0.0
1012022,03:00,04:00,182.0,,,0.0,0.0,474.0,0.0
1012022,04:00,05:00,181.0,,,0.0,0.0,473.0,0.0
1012022,05:00,06:00,181.0,,,0.0,0.0,474.0,0.0
1012022,06:00,07:00,180.0,,,0.0,0.0,471.0,0.0
1012022,07:00,08:00,180.0,,,0.0,0.0,471.0,0.0
1012022,08:00,09:00,180.0,,,0.0,0.0,471.0,0.0
1012022,09:00,10:00,180.0,,,0.0,0.0,469.0,0.0
1012022,10:00,11:00,180.0,,,0.0,0.0,470.0,0.0
1012022,11:00,12:00,181.0,,,0.0,0.0,473.0,0.0
1012022,12:00,13:00,180.0,,,0.0,0.0,469.0,0.0
1012022,13:00,14:00,180.0,,,0.0,0.0,466.0,0.0
1012022,14:00,15:00,180.0,,,0.0,0.0,501.0,0.0
1012022,15:00,16:00,182.0,,,0.0,0.0,764.0,0.0
1012022,16:00,17:00,182.0,,,0.0,0.0,1.021,0.0
1012022,17:00,18:00,221.0,,,0.0,0.0,1.029,0.0
1012022,18:00,19:00,287.0,,,0.0,0.0,1.029,0.0
1012022,19:00,20:00,240.0,,,0.0,0.0,1.016,0.0
1012022,20:00,21:00,182.0,,,0.0,0.0,766.0,0.0
1012022,21:00,22:00,182.0,,,0.0,0.0,475.0,0.0
1012022,22:00,23:00,182.0,,,0.0,0.0,478.0,0.0
1012022,23:00,00:00,182.0,,,0.0,0.0,477.0,0.0
2012022,00:00,01:00,181.0,,,0.0,0.0,475.0,0.0
2012022,01:00,02:00,181.0,,,0.0,0.0,472.0,0.0
2012022,02:00,03:00,182.0,,,0.0,0.0,473.0,0.0
2012022,03:00,04:00,182.0,,,0.0,0.0,477.0,0.0
2012022,04:00,05:00,182.0,,,0.0,0.0,478.0,0.0
2012022,05:00,06:00,182.0,,,0.0,0.0,473.0,0.0
2012022,06:00,07:00,181.0,,,0.0,0.0,473.0,0.0
2012022,07:00,08:00,180.0,,,0.0,0.0,472.0,0.0
2012022,08:00,09:00,181.0,,,0.0,0.0,472.0,0.0
2012022,09:00,10:00,180.0,,,0.0,0.0,469.0,0.0
2012022,10:00,11:00,179.0,,,0.0,0.0,471.0,0.0
2012022,11:00,12:00,180.0,,,0.0,0.0,469.0,0.0
2012022,12:00,13:00,185.0,,,0.0,0.0,471.0,0.0
2012022,13:00,14:00,187.0,,,0.0,0.0,470.0,0.0
