date,start,end,11WD8DRES5X----D
1012017,00:00,01:00,256.0
1012017,01:00,02:00,257.0
1012017,02:00,03:00,256.0
1012017,03:00,04:00,256.0
1012017,04:00,05:00,256.0
1012017,05:00,06:00,257.0
1012017,06:00,07:00,256.0
1012017,07:00,08:00,256.0
1012017,08:00,09:00,257.0
1012017,09:00,10:00,256.0
1012017,10:00,11:00,254.0
1012017,11:00,12:00,253.0
1012017,12:00,13:00,252.0
1012017,13:00,14:00,251.0
1012017,14:00,15:00,251.0
1012017,15:00,16:00,251.0
1012017,16:00,17:00,253.0
1012017,17:00,18:00,253.0
1012017,18:00,19:00,254.0
1012017,19:00,20:00,254.0
1012017,20:00,21:00,255.0
1012017,21:00,22:00,255.0
1012017,22:00,23:00,254.0
1012017,23:00,00:00,254.0
2012017,00:00,01:00,254.0
2012017,01:00,02:00,254.0
2012017,02:00,03:00,253.0
2012017,03:00,04:00,252.0
2012017,04:00,05:00,250.0
2012017,05:00,06:00,249.0
2012017,06:00,07:00,250.0
2012017,07:00,08:00,250.0
2012017,08:00,09:00,249.0
2012017,09:00,10:00,249.0
2012017,10:00,11:00,248.0
2012017,11:00,12:00,249.0
2012017,12:00,13:00,249.0
2012017,13:00,14:00,249.0
2012017,14:00,15:00,249.0
2012017,15:00,16:00,249.0
2012017,16:00,17:00,249.0
2012017,17:00,18:00,249.0
2012017,18:00,19:00,249.0
2012017,19:00,20:00,250.0
2012017,20:00,21:00,251.0
2012017,21:00,22:00,252.0
2012017,22:00,23:00,252.0
2012017,23:00,00:00,252.0
3012017,00:00,01:00,253.0
3012017,01:00,02:00,252.0
3012017,02:00,03:00,252.0
3012017,03:00,04:00,252.0
3012017,04:00,05:00,251.0
3012017,05:00,06:00,251.0
3012017,06:00,07:00,167.0
3012017,07:00,08:00,162.0
3012017,08:00,09:00,162.0
3012017,09:00,10:00,162.0
3012017,10:00,11:00,162.0
3012017,11:00,12:00,162.0
3012017,12:00,13:00,161.0
3012017,13:00,14:00,162.0
3012017,14:00,15:00,169.0
3012017,15:00,16:00,214.0
3012017,16:00,17:00,246.0
3012017,17:00,18:00,245.0
3012017,18:00,19:00,162.0
3012017,19:00,20:00,162.0
3012017,20:00,21:00,164.0
3012017,21:00,22:00,190.0
3012017,22:00,23:00,203.0
3012017,23:00,00:00,203.0
4012017,00:00,01:00,203.0
4012017,01:00,02:00,203.0
4012017,02:00,03:00,203.0
4012017,03:00,04:00,203.0
4012017,04:00,05:00,202.0
4012017,05:00,06:00,202.0
4012017,06:00,07:00,201.0
4012017,07:00,08:00,201.0
4012017,08:00,09:00,226.0
4012017,09:00,10:00,237.0
4012017,10:00,11:00,240.0
4012017,11:00,12:00,243.0
4012017,12:00,13:00,244.0
4012017,13:00,14:00,245.0
4012017,14:00,15:00,244.0
4012017,15:00,16:00,244.0
4012017,16:00,17:00,227.0
4012017,17:00,18:00,225.0
4012017,18:00,19:00,224.0
4012017,19:00,20:00,226.0
4012017,20:00,21:00,226.0
4012017,21:00,22:00,226.0
4012017,22:00,23:00,225.0
4012017,23:00,00:00,225.0
5012017,00:00,01:00,226.0
5012017,01:00,02:00,226.0
5012017,02:00,03:00,226.0
5012017,03:00,04:00,227.0
5012017,04:00,05:00,228.0
5012017,05:00,06:00,228.0
5012017,06:00,07:00,227.0
5012017,07:00,08:00,228.0
5012017,08:00,09:00,239.0
5012017,09:00,10:00,243.0
5012017,10:00,11:00,250.0
5012017,11:00,12:00,252.0
5012017,12:00,13:00,252.0
5012017,13:00,14:00,253.0
5012017,14:00,15:00,253.0
5012017,15:00,16:00,253.0
5012017,16:00,17:00,255.0
5012017,17:00,18:00,256.0
5012017,18:00,19:00,256.0
5012017,19:00,20:00,257.0
5012017,20:00,21:00,258.0
5012017,21:00,22:00,258.0
5012017,22:00,23:00,259.0
5012017,23:00,00:00,259.0
6012017,00:00,01:00,259.0
6012017,01:00,02:00,260.0
6012017,02:00,03:00,260.0
6012017,03:00,04:00,260.0
6012017,04:00,05:00,260.0
6012017,05:00,06:00,260.0
6012017,06:00,07:00,260.0
6012017,07:00,08:00,260.0
6012017,08:00,09:00,260.0
6012017,09:00,10:00,260.0
6012017,10:00,11:00,259.0
6012017,11:00,12:00,259.0
6012017,12:00,13:00,258.0
6012017,13:00,14:00,258.0
6012017,14:00,15:00,258.0
6012017,15:00,16:00,258.0
6012017,16:00,17:00,259.0
6012017,17:00,18:00,258.0
6012017,18:00,19:00,257.0
6012017,19:00,20:00,258.0
6012017,20:00,21:00,258.0
6012017,21:00,22:00,259.0
6012017,22:00,23:00,259.0
6012017,23:00,00:00,259.0
7012017,00:00,01:00,259.0
7012017,01:00,02:00,260.0
7012017,02:00,03:00,260.0
7012017,03:00,04:00,260.0
7012017,04:00,05:00,260.0
7012017,05:00,06:00,260.0
7012017,06:00,07:00,260.0
7012017,07:00,08:00,260.0
7012017,08:00,09:00,260.0
7012017,09:00,10:00,259.0
7012017,10:00,11:00,258.0
7012017,11:00,12:00,256.0
7012017,12:00,13:00,255.0
7012017,13:00,14:00,255.0
7012017,14:00,15:00,255.0
7012017,15:00,16:00,255.0
7012017,16:00,17:00,255.0
7012017,17:00,18:00,255.0
7012017,18:00,19:00,255.0
7012017,19:00,20:00,255.0
7012017,20:00,21:00,252.0
7012017,21:00,22:00,252.0
7012017,22:00,23:00,252.0
7012017,23:00,00:00,252.0
8012017,00:00,01:00,251.0
8012017,01:00,02:00,251.0
8012017,02:00,03:00,252.0
8012017,03:00,04:00,252.0
8012017,04:00,05:00,253.0
8012017,05:00,06:00,253.0
8012017,06:00,07:00,253.0
8012017,07:00,08:00,254.0
8012017,08:00,09:00,254.0
8012017,09:00,10:00,253.0
8012017,10:00,11:00,252.0
8012017,11:00,12:00,252.0
8012017,12:00,13:00,252.0
8012017,13:00,14:00,251.0
8012017,14:00,15:00,252.0
8012017,15:00,16:00,252.0
8012017,16:00,17:00,251.0
