date,start,end,11WD8DRES5X----D
10012020,11:00,12:00,237
10012020,12:00,13:00,237
10012020,13:00,14:00,237
10012020,14:00,15:00,237
10012020,15:00,16:00,238
10012020,16:00,17:00,239
10012020,17:00,18:00,239
10012020,18:00,19:00,241
10012020,19:00,20:00,242
10012020,20:00,21:00,243
10012020,21:00,22:00,242
10012020,22:00,23:00,240
10012020,23:00,00:00,239
11012020,00:00,01:00,244
11012020,01:00,02:00,245
11012020,02:00,03:00,246
11012020,03:00,04:00,250
11012020,04:00,05:00,250
11012020,05:00,06:00,251
11012020,06:00,07:00,252
11012020,07:00,08:00,252
11012020,08:00,09:00,252
11012020,09:00,10:00,252
11012020,10:00,11:00,252
11012020,11:00,12:00,252
11012020,12:00,13:00,251
11012020,13:00,14:00,250
11012020,14:00,15:00,250
11012020,15:00,16:00,250
11012020,16:00,17:00,251
11012020,17:00,18:00,252
11012020,18:00,19:00,252
11012020,19:00,20:00,253
11012020,20:00,21:00,254
11012020,21:00,22:00,254
11012020,22:00,23:00,254
11012020,23:00,00:00,251
12012020,00:00,01:00,250
12012020,01:00,02:00,248
12012020,02:00,03:00,248
12012020,03:00,04:00,248
12012020,04:00,05:00,248
12012020,05:00,06:00,248
12012020,06:00,07:00,249
12012020,07:00,08:00,248
12012020,08:00,09:00,251
12012020,09:00,10:00,254
12012020,10:00,11:00,253
12012020,11:00,12:00,251
12012020,12:00,13:00,248
12012020,13:00,14:00,247
12012020,14:00,15:00,248
12012020,15:00,16:00,248
12012020,16:00,17:00,250
12012020,17:00,18:00,251
12012020,18:00,19:00,251
12012020,19:00,20:00,251
12012020,20:00,21:00,250
12012020,21:00,22:00,248
12012020,22:00,23:00,248
12012020,23:00,00:00,248
13012020,00:00,01:00,248
13012020,01:00,02:00,248
13012020,02:00,03:00,248
13012020,03:00,04:00,248
13012020,04:00,05:00,248
13012020,05:00,06:00,248
13012020,06:00,07:00,249
13012020,07:00,08:00,248
13012020,08:00,09:00,249
13012020,09:00,10:00,249
13012020,10:00,11:00,249
13012020,11:00,12:00,249
13012020,12:00,13:00,249
13012020,13:00,14:00,248
13012020,14:00,15:00,248
13012020,15:00,16:00,225
13012020,16:00,17:00,248
13012020,17:00,18:00,249
13012020,18:00,19:00,249
13012020,19:00,20:00,248
13012020,20:00,21:00,249
13012020,21:00,22:00,249
13012020,22:00,23:00,248
13012020,23:00,00:00,247
14012020,00:00,01:00,239
14012020,01:00,02:00,242
14012020,02:00,03:00,165
14012020,03:00,04:00,158
14012020,04:00,05:00,186
14012020,05:00,06:00,242
14012020,06:00,07:00,250
14012020,07:00,08:00,250
14012020,08:00,09:00,249
14012020,09:00,10:00,248
14012020,10:00,11:00,247
14012020,11:00,12:00,246
14012020,12:00,13:00,246
14012020,13:00,14:00,247
14012020,14:00,15:00,248
14012020,15:00,16:00,247
14012020,16:00,17:00,248
14012020,17:00,18:00,248
14012020,18:00,19:00,248
14012020,19:00,20:00,247
14012020,20:00,21:00,247
14012020,21:00,22:00,246
14012020,22:00,23:00,238
14012020,23:00,00:00,175
15012020,00:00,01:00,204
15012020,01:00,02:00,150
15012020,02:00,03:00,150
15012020,03:00,04:00,150
15012020,04:00,05:00,187
15012020,05:00,06:00,243
15012020,06:00,07:00,250
15012020,07:00,08:00,250
15012020,08:00,09:00,250
15012020,09:00,10:00,250
15012020,10:00,11:00,250
15012020,11:00,12:00,250
15012020,12:00,13:00,249
15012020,13:00,14:00,249
15012020,14:00,15:00,249
15012020,15:00,16:00,250
15012020,16:00,17:00,250
15012020,17:00,18:00,250
15012020,18:00,19:00,251
15012020,19:00,20:00,252
15012020,20:00,21:00,252
15012020,21:00,22:00,252
15012020,22:00,23:00,240
15012020,23:00,00:00,234
16012020,00:00,01:00,233
16012020,01:00,02:00,233
16012020,02:00,03:00,233
16012020,03:00,04:00,235
16012020,04:00,05:00,245
16012020,05:00,06:00,253
16012020,06:00,07:00,252
16012020,07:00,08:00,253
16012020,08:00,09:00,254
16012020,09:00,10:00,253
16012020,10:00,11:00,253
16012020,11:00,12:00,251
16012020,12:00,13:00,250
16012020,13:00,14:00,249
16012020,14:00,15:00,249
16012020,15:00,16:00,250
16012020,16:00,17:00,251
16012020,17:00,18:00,252
16012020,18:00,19:00,253
16012020,19:00,20:00,253
16012020,20:00,21:00,253
16012020,21:00,22:00,254
16012020,22:00,23:00,253
16012020,23:00,00:00,245
17012020,00:00,01:00,253
17012020,01:00,02:00,253
17012020,02:00,03:00,253
17012020,03:00,04:00,253
17012020,04:00,05:00,253
17012020,05:00,06:00,251
17012020,06:00,07:00,251
17012020,07:00,08:00,252
17012020,08:00,09:00,252
17012020,09:00,10:00,251
17012020,10:00,11:00,250
17012020,11:00,12:00,248
17012020,12:00,13:00,248
17012020,13:00,14:00,248
17012020,14:00,15:00,248
17012020,15:00,16:00,249
17012020,16:00,17:00,250
17012020,17:00,18:00,250
17012020,18:00,19:00,251
17012020,19:00,20:00,251
17012020,20:00,21:00,251
17012020,21:00,22:00,251
17012020,22:00,23:00,250
17012020,23:00,00:00,250
18012020,00:00,01:00,250
18012020,01:00,02:00,250
18012020,02:00,03:00,250
18012020,03:00,04:00,250
18012020,04:00,05:00,250
18012020,05:00,06:00,251
18012020,06:00,07:00,251
18012020,07:00,08:00,249
18012020,08:00,09:00,249
18012020,09:00,10:00,249
18012020,10:00,11:00,249
18012020,11:00,12:00,249
18012020,12:00,13:00,248
18012020,13:00,14:00,248
18012020,14:00,15:00,248
18012020,15:00,16:00,248
18012020,16:00,17:00,248
18012020,17:00,18:00,249
18012020,18:00,19:00,250
18012020,19:00,20:00,251
18012020,20:00,21:00,250
18012020,21:00,22:00,251
18012020,22:00,23:00,250
18012020,23:00,00:00,250
19012020,00:00,01:00,250
19012020,01:00,02:00,251
19012020,02:00,03:00,251
19012020,03:00,04:00,251
19012020,04:00,05:00,252
19012020,05:00,06:00,252
19012020,06:00,07:00,252
19012020,07:00,08:00,252
19012020,08:00,09:00,253
19012020,09:00,10:00,253
19012020,10:00,11:00,253
19012020,11:00,12:00,253
19012020,12:00,13:00,253
19012020,13:00,14:00,253
19012020,14:00,15:00,253
19012020,15:00,16:00,254
19012020,16:00,17:00,254
19012020,17:00,18:00,254
19012020,18:00,19:00,254
19012020,19:00,20:00,254
19012020,20:00,21:00,254
19012020,21:00,22:00,255
19012020,22:00,23:00,255
19012020,23:00,00:00,255
20012020,00:00,01:00,255
20012020,01:00,02:00,255
20012020,02:00,03:00,254
20012020,03:00,04:00,254
20012020,04:00,05:00,254
20012020,05:00,06:00,254
20012020,06:00,07:00,255
20012020,07:00,08:00,254
20012020,08:00,09:00,254
20012020,09:00,10:00,254
20012020,10:00,11:00,254
20012020,11:00,12:00,254
20012020,12:00,13:00,254
20012020,13:00,14:00,253
20012020,14:00,15:00,253
20012020,15:00,16:00,254
20012020,16:00,17:00,255
20012020,17:00,18:00,255
20012020,18:00,19:00,256
20012020,19:00,20:00,257
20012020,20:00,21:00,257
20012020,21:00,22:00,257
20012020,22:00,23:00,257
20012020,23:00,00:00,258
21012020,00:00,01:00,257
21012020,01:00,02:00,258
21012020,02:00,03:00,258
21012020,03:00,04:00,259
21012020,04:00,05:00,259
21012020,05:00,06:00,259
21012020,06:00,07:00,259
21012020,07:00,08:00,258
21012020,08:00,09:00,259
21012020,09:00,10:00,258
21012020,10:00,11:00,257
21012020,11:00,12:00,256
21012020,12:00,13:00,254
21012020,13:00,14:00,252
21012020,14:00,15:00,251
21012020,15:00,16:00,251
21012020,16:00,17:00,252
21012020,17:00,18:00,253
21012020,18:00,19:00,254
21012020,19:00,20:00,255
21012020,20:00,21:00,257
21012020,21:00,22:00,257
21012020,22:00,23:00,257
21012020,23:00,00:00,257
22012020,00:00,01:00,257
22012020,01:00,02:00,257
22012020,02:00,03:00,257
22012020,03:00,04:00,257
