date,start,end,11WD2WILH0001255
07.01.2018,23:00,00:00,0.0
08.01.2018,00:00,01:00,0.0
08.01.2018,01:00,02:00,0.0
08.01.2018,02:00,03:00,0.0
08.01.2018,03:00,04:00,0.0
08.01.2018,04:00,05:00,0.0
08.01.2018,05:00,06:00,27.0
08.01.2018,06:00,07:00,282.0
08.01.2018,07:00,08:00,457.0
08.01.2018,08:00,09:00,265.0
08.01.2018,09:00,10:00,0.0
08.01.2018,10:00,11:00,0.0
08.01.2018,11:00,12:00,0.0
08.01.2018,12:00,13:00,0.0
08.01.2018,13:00,14:00,0.0
08.01.2018,14:00,15:00,0.0
08.01.2018,15:00,16:00,0.0
08.01.2018,16:00,17:00,0.0
08.01.2018,17:00,18:00,0.0
08.01.2018,18:00,19:00,0.0
08.01.2018,19:00,20:00,0.0
08.01.2018,20:00,21:00,0.0
08.01.2018,21:00,22:00,0.0
08.01.2018,22:00,23:00,0.0
08.01.2018,23:00,00:00,0.0
09.01.2018,00:00,01:00,0.0
09.01.2018,01:00,02:00,0.0
09.01.2018,02:00,03:00,0.0
09.01.2018,03:00,04:00,0.0
09.01.2018,04:00,05:00,0.0
09.01.2018,05:00,06:00,0.0
09.01.2018,06:00,07:00,0.0
09.01.2018,07:00,08:00,0.0
09.01.2018,08:00,09:00,0.0
09.01.2018,09:00,10:00,0.0
09.01.2018,10:00,11:00,0.0
09.01.2018,11:00,12:00,0.0
09.01.2018,12:00,13:00,0.0
09.01.2018,13:00,14:00,0.0
09.01.2018,14:00,15:00,0.0
09.01.2018,15:00,16:00,0.0
09.01.2018,16:00,17:00,0.0
09.01.2018,17:00,18:00,0.0
09.01.2018,18:00,19:00,0.0
09.01.2018,19:00,20:00,0.0
09.01.2018,20:00,21:00,0.0
09.01.2018,21:00,22:00,0.0
09.01.2018,22:00,23:00,1.0
09.01.2018,23:00,00:00,167.0
10.01.2018,00:00,01:00,265.0
10.01.2018,01:00,02:00,257.0
10.01.2018,02:00,03:00,235.0
10.01.2018,03:00,04:00,236.0
10.01.2018,04:00,05:00,249.0
10.01.2018,05:00,06:00,330.0
10.01.2018,06:00,07:00,465.0
10.01.2018,07:00,08:00,587.0
10.01.2018,08:00,09:00,600.0
10.01.2018,09:00,10:00,600.0
10.01.2018,10:00,11:00,601.0
10.01.2018,11:00,12:00,601.0
10.01.2018,12:00,13:00,601.0
10.01.2018,13:00,14:00,601.0
10.01.2018,14:00,15:00,601.0
10.01.2018,15:00,16:00,601.0
10.01.2018,16:00,17:00,600.0
10.01.2018,17:00,18:00,600.0
10.01.2018,18:00,19:00,600.0
10.01.2018,19:00,20:00,600.0
10.01.2018,20:00,21:00,600.0
10.01.2018,21:00,22:00,601.0
10.01.2018,22:00,23:00,601.0
10.01.2018,23:00,00:00,601.0
11.01.2018,00:00,01:00,601.0
11.01.2018,01:00,02:00,601.0
11.01.2018,02:00,03:00,601.0
11.01.2018,03:00,04:00,601.0
11.01.2018,04:00,05:00,601.0
11.01.2018,05:00,06:00,601.0
11.01.2018,06:00,07:00,601.0
11.01.2018,07:00,08:00,601.0
11.01.2018,08:00,09:00,601.0
11.01.2018,09:00,10:00,601.0
11.01.2018,10:00,11:00,601.0
11.01.2018,11:00,12:00,608.0
11.01.2018,12:00,13:00,706.0
11.01.2018,13:00,14:00,710.0
11.01.2018,14:00,15:00,711.0
11.01.2018,15:00,16:00,712.0
11.01.2018,16:00,17:00,711.0
11.01.2018,17:00,18:00,711.0
11.01.2018,18:00,19:00,711.0
11.01.2018,19:00,20:00,711.0
11.01.2018,20:00,21:00,711.0
11.01.2018,21:00,22:00,711.0
11.01.2018,22:00,23:00,711.0
11.01.2018,23:00,00:00,710.0
12.01.2018,00:00,01:00,694.0
12.01.2018,01:00,02:00,574.0
12.01.2018,02:00,03:00,541.0
12.01.2018,03:00,04:00,540.0
12.01.2018,04:00,05:00,541.0
12.01.2018,05:00,06:00,560.0
12.01.2018,06:00,07:00,686.0
12.01.2018,07:00,08:00,714.0
12.01.2018,08:00,09:00,715.0
12.01.2018,09:00,10:00,714.0
12.01.2018,10:00,11:00,714.0
12.01.2018,11:00,12:00,714.0
12.01.2018,12:00,13:00,714.0
12.01.2018,13:00,14:00,713.0
12.01.2018,14:00,15:00,713.0
12.01.2018,15:00,16:00,714.0
12.01.2018,16:00,17:00,714.0
12.01.2018,17:00,18:00,714.0
12.01.2018,18:00,19:00,714.0
