date,start,end,11WD8REUW1C---DD,11WD8REUW1C---EB
1012016,00:00,01:00,187,185
1012016,01:00,02:00,187,184
1012016,02:00,03:00,187,182
1012016,03:00,04:00,187,185
1012016,04:00,05:00,187,185
1012016,05:00,06:00,187,186
1012016,06:00,07:00,187,186
1012016,07:00,08:00,187,182
1012016,08:00,09:00,187,183
1012016,09:00,10:00,187,183
1012016,10:00,11:00,186,183
1012016,11:00,12:00,187,186
1012016,12:00,13:00,186,185
1012016,13:00,14:00,186,182
1012016,14:00,15:00,187,184
1012016,15:00,16:00,187,186
1012016,16:00,17:00,188,184
1012016,17:00,18:00,211,208
1012016,18:00,19:00,213,211
1012016,19:00,20:00,215,212
1012016,20:00,21:00,214,212
1012016,21:00,22:00,174,173
1012016,22:00,23:00,167,165
1012016,23:00,00:00,185,181
2012016,00:00,01:00,186,182
2012016,01:00,02:00,188,182
2012016,02:00,03:00,187,183
2012016,03:00,04:00,187,183
2012016,04:00,05:00,187,184
2012016,05:00,06:00,187,184
2012016,06:00,07:00,187,184
2012016,07:00,08:00,186,184
2012016,08:00,09:00,187,184
2012016,09:00,10:00,187,184
2012016,10:00,11:00,187,184
2012016,11:00,12:00,186,184
2012016,12:00,13:00,187,184
2012016,13:00,14:00,185,183
2012016,14:00,15:00,186,184
2012016,15:00,16:00,187,184
2012016,16:00,17:00,185,182
2012016,17:00,18:00,185,184
2012016,18:00,19:00,188,186
2012016,19:00,20:00,190,188
2012016,20:00,21:00,186,185
2012016,21:00,22:00,184,181
2012016,22:00,23:00,186,184
2012016,23:00,00:00,184,182
3012016,00:00,01:00,186,183
3012016,01:00,02:00,188,186
3012016,02:00,03:00,185,183
3012016,03:00,04:00,184,181
3012016,04:00,05:00,184,181
3012016,05:00,06:00,185,182
3012016,06:00,07:00,186,183
3012016,07:00,08:00,186,182
3012016,08:00,09:00,186,181
3012016,09:00,10:00,189,186
3012016,10:00,11:00,194,190
3012016,11:00,12:00,194,192
3012016,12:00,13:00,194,191
3012016,13:00,14:00,194,193
3012016,14:00,15:00,206,204
3012016,15:00,16:00,223,220
3012016,16:00,17:00,220,221
3012016,17:00,18:00,204,205
3012016,18:00,19:00,207,213
3012016,19:00,20:00,212,221
3012016,20:00,21:00,191,203
3012016,21:00,22:00,175,192
3012016,22:00,23:00,176,193
3012016,23:00,00:00,174,191
4012016,00:00,01:00,174,192
4012016,01:00,02:00,175,192
4012016,02:00,03:00,175,191
4012016,03:00,04:00,174,192
4012016,04:00,05:00,174,190
4012016,05:00,06:00,175,191
4012016,06:00,07:00,176,193
4012016,07:00,08:00,176,194
