date,start,end,11WD8SCHK1L---A2,11WD8SCHK1L---B0
1012020,00:00,01:00,235,0
1012020,01:00,02:00,238,0
1012020,02:00,03:00,238,0
1012020,03:00,04:00,237,0
1012020,04:00,05:00,237,0
1012020,05:00,06:00,239,0
1012020,06:00,07:00,236,0
1012020,07:00,08:00,233,0
1012020,08:00,09:00,223,0
1012020,09:00,10:00,221,0
1012020,10:00,11:00,223,0
1012020,11:00,12:00,222,0
1012020,12:00,13:00,221,0
1012020,13:00,14:00,222,0
1012020,14:00,15:00,222,0
1012020,15:00,16:00,222,0
1012020,16:00,17:00,222,0
1012020,17:00,18:00,220,0
1012020,18:00,19:00,222,0
1012020,19:00,20:00,207,0
1012020,20:00,21:00,208,0
1012020,21:00,22:00,208,0
1012020,22:00,23:00,208,0
1012020,23:00,00:00,217,0
2012020,00:00,01:00,221,0
2012020,01:00,02:00,222,0
2012020,02:00,03:00,220,0
2012020,03:00,04:00,223,0
2012020,04:00,05:00,220,0
2012020,05:00,06:00,222,0
2012020,06:00,07:00,214,0
2012020,07:00,08:00,216,0
2012020,08:00,09:00,218,0
2012020,09:00,10:00,217,0
2012020,10:00,11:00,225,0
2012020,11:00,12:00,230,0
2012020,12:00,13:00,232,0
2012020,13:00,14:00,245,0
2012020,14:00,15:00,245,0
2012020,15:00,16:00,245,0
2012020,16:00,17:00,245,0
2012020,17:00,18:00,245,0
2012020,18:00,19:00,244,0
2012020,19:00,20:00,245,0
2012020,20:00,21:00,227,0
2012020,21:00,22:00,213,0
2012020,22:00,23:00,214,0
2012020,23:00,00:00,214,0
3012020,00:00,01:00,213,0
3012020,01:00,02:00,214,0
3012020,02:00,03:00,214,0
3012020,03:00,04:00,214,0
3012020,04:00,05:00,211,0
3012020,05:00,06:00,213,0
3012020,06:00,07:00,212,0
3012020,07:00,08:00,212,0
3012020,08:00,09:00,214,0
3012020,09:00,10:00,212,0
3012020,10:00,11:00,214,0
3012020,11:00,12:00,213,0
3012020,12:00,13:00,213,0
3012020,13:00,14:00,214,0
3012020,14:00,15:00,213,0
3012020,15:00,16:00,215,0
3012020,16:00,17:00,213,0
3012020,17:00,18:00,213,0
3012020,18:00,19:00,213,0
3012020,19:00,20:00,213,0
3012020,20:00,21:00,214,0
3012020,21:00,22:00,213,0
3012020,22:00,23:00,215,0
3012020,23:00,00:00,212,0
4012020,00:00,01:00,213,0
4012020,01:00,02:00,214,0
4012020,02:00,03:00,214,0
4012020,03:00,04:00,213,0
4012020,04:00,05:00,212,0
4012020,05:00,06:00,213,0
4012020,06:00,07:00,214,0
4012020,07:00,08:00,211,0
4012020,08:00,09:00,213,0
4012020,09:00,10:00,212,0
4012020,10:00,11:00,219,0
4012020,11:00,12:00,216,0
4012020,12:00,13:00,214,0
4012020,13:00,14:00,213,0
4012020,14:00,15:00,217,0
4012020,15:00,16:00,215,0
4012020,16:00,17:00,218,0
4012020,17:00,18:00,213,0
4012020,18:00,19:00,212,0
4012020,19:00,20:00,213,0
4012020,20:00,21:00,214,0
4012020,21:00,22:00,212,0
4012020,22:00,23:00,214,0
4012020,23:00,00:00,214,0
5012020,00:00,01:00,214,0
5012020,01:00,02:00,213,0
5012020,02:00,03:00,213,0
5012020,03:00,04:00,214,0
5012020,04:00,05:00,213,0
5012020,05:00,06:00,213,0
5012020,06:00,07:00,212,0
5012020,07:00,08:00,213,0
5012020,08:00,09:00,214,0
5012020,09:00,10:00,214,0
5012020,10:00,11:00,213,0
5012020,11:00,12:00,214,0
5012020,12:00,13:00,213,0
5012020,13:00,14:00,211,0
5012020,14:00,15:00,214,0
5012020,15:00,16:00,214,0
5012020,16:00,17:00,214,0
5012020,17:00,18:00,212,0
5012020,18:00,19:00,219,0
5012020,19:00,20:00,212,0
5012020,20:00,21:00,214,0
5012020,21:00,22:00,213,0
5012020,22:00,23:00,214,0
5012020,23:00,00:00,211,0
6012020,00:00,01:00,215,0
6012020,01:00,02:00,214,0
6012020,02:00,03:00,213,0
6012020,03:00,04:00,213,0
6012020,04:00,05:00,213,0
6012020,05:00,06:00,213,0
6012020,06:00,07:00,213,0
6012020,07:00,08:00,214,0
6012020,08:00,09:00,213,0
6012020,09:00,10:00,214,0
6012020,10:00,11:00,212,0
6012020,11:00,12:00,213,0
6012020,12:00,13:00,215,0
6012020,13:00,14:00,213,0
6012020,14:00,15:00,213,0
6012020,15:00,16:00,214,0
6012020,16:00,17:00,213,0
6012020,17:00,18:00,226,0
6012020,18:00,19:00,315,0
6012020,19:00,20:00,320,0
6012020,20:00,21:00,252,0
6012020,21:00,22:00,223,0
6012020,22:00,23:00,217,0
6012020,23:00,00:00,211,0
7012020,00:00,01:00,208,0
7012020,01:00,02:00,211,0
7012020,02:00,03:00,209,0
7012020,03:00,04:00,208,0
7012020,04:00,05:00,209,0
7012020,05:00,06:00,209,0
7012020,06:00,07:00,230,0
7012020,07:00,08:00,269,0
7012020,08:00,09:00,271,0
7012020,09:00,10:00,295,0
7012020,10:00,11:00,312,0
7012020,11:00,12:00,306,0
7012020,12:00,13:00,262,0
7012020,13:00,14:00,266,0
7012020,14:00,15:00,235,0
7012020,15:00,16:00,228,0
7012020,16:00,17:00,265,0
7012020,17:00,18:00,268,0
7012020,18:00,19:00,253,0
7012020,19:00,20:00,232,0
7012020,20:00,21:00,228,0
7012020,21:00,22:00,235,0
7012020,22:00,23:00,229,0
7012020,23:00,00:00,235,0
8012020,00:00,01:00,236,0
8012020,01:00,02:00,235,0
8012020,02:00,03:00,236,0
8012020,03:00,04:00,234,0
8012020,04:00,05:00,236,0
8012020,05:00,06:00,235,0
8012020,06:00,07:00,235,0
8012020,07:00,08:00,235,0
8012020,08:00,09:00,235,0
8012020,09:00,10:00,235,0
8012020,10:00,11:00,234,0
8012020,11:00,12:00,236,0
8012020,12:00,13:00,235,0
8012020,13:00,14:00,235,0
8012020,14:00,15:00,238,0
8012020,15:00,16:00,261,0
8012020,16:00,17:00,231,0
8012020,17:00,18:00,282,0
8012020,18:00,19:00,271,0
8012020,19:00,20:00,289,0
8012020,20:00,21:00,297,0
8012020,21:00,22:00,294,0
8012020,22:00,23:00,258,0
8012020,23:00,00:00,252,0
9012020,00:00,01:00,247,0
9012020,01:00,02:00,248,0
9012020,02:00,03:00,249,0
9012020,03:00,04:00,249,0
9012020,04:00,05:00,231,0
9012020,05:00,06:00,227,9
9012020,06:00,07:00,226,134
9012020,07:00,08:00,286,184
9012020,08:00,09:00,255,249
9012020,09:00,10:00,246,275
9012020,10:00,11:00,238,295
9012020,11:00,12:00,215,242
9012020,12:00,13:00,0,238
9012020,13:00,14:00,0,238
9012020,14:00,15:00,0,200
9012020,15:00,16:00,0,186
9012020,16:00,17:00,0,181
9012020,17:00,18:00,0,179
9012020,18:00,19:00,0,179
9012020,19:00,20:00,0,180
9012020,20:00,21:00,0,178
9012020,21:00,22:00,0,181
9012020,22:00,23:00,0,179
9012020,23:00,00:00,0,180
10012020,00:00,01:00,0,179
10012020,01:00,02:00,0,182
10012020,02:00,03:00,0,182
10012020,03:00,04:00,0,179
10012020,04:00,05:00,0,179
10012020,05:00,06:00,0,181
10012020,06:00,07:00,0,183
10012020,07:00,08:00,0,267
10012020,08:00,09:00,0,297
10012020,09:00,10:00,0,299
10012020,10:00,11:00,0,300
10012020,11:00,12:00,0,300
10012020,12:00,13:00,0,284
10012020,13:00,14:00,0,266
10012020,14:00,15:00,0,266
10012020,15:00,16:00,0,268
10012020,16:00,17:00,0,269
10012020,17:00,18:00,0,284
10012020,18:00,19:00,0,300
10012020,19:00,20:00,0,299
10012020,20:00,21:00,0,295
10012020,21:00,22:00,0,247
10012020,22:00,23:00,0,262
10012020,23:00,00:00,0,226
11012020,00:00,01:00,0,199
11012020,01:00,02:00,0,200
11012020,02:00,03:00,0,198
11012020,03:00,04:00,0,196
11012020,04:00,05:00,0,197
11012020,05:00,06:00,0,201
11012020,06:00,07:00,0,200
11012020,07:00,08:00,0,193
11012020,08:00,09:00,0,187
11012020,09:00,10:00,0,193
11012020,10:00,11:00,0,204
11012020,11:00,12:00,0,204
11012020,12:00,13:00,0,199
11012020,13:00,14:00,0,198
11012020,14:00,15:00,0,195
11012020,15:00,16:00,0,189
11012020,16:00,17:00,0,184
11012020,17:00,18:00,0,183
11012020,18:00,19:00,0,177
11012020,19:00,20:00,0,176
11012020,20:00,21:00,0,174
11012020,21:00,22:00,0,174
11012020,22:00,23:00,0,177
11012020,23:00,00:00,0,177
12012020,00:00,01:00,0,184
12012020,01:00,02:00,0,194
12012020,02:00,03:00,0,193
12012020,03:00,04:00,0,197
12012020,04:00,05:00,0,198
12012020,05:00,06:00,0,198
12012020,06:00,07:00,0,210
12012020,07:00,08:00,0,215
12012020,08:00,09:00,0,212
12012020,09:00,10:00,0,204
12012020,10:00,11:00,0,197
12012020,11:00,12:00,0,199
12012020,12:00,13:00,0,196
12012020,13:00,14:00,0,202
12012020,14:00,15:00,0,203
12012020,15:00,16:00,0,200
12012020,16:00,17:00,0,196
12012020,17:00,18:00,0,197
12012020,18:00,19:00,0,198
12012020,19:00,20:00,0,199
12012020,20:00,21:00,0,198
12012020,21:00,22:00,0,192
12012020,22:00,23:00,0,189
12012020,23:00,00:00,0,192
13012020,00:00,01:00,0,183
13012020,01:00,02:00,0,184
13012020,02:00,03:00,0,187
13012020,03:00,04:00,0,186
13012020,04:00,05:00,0,186
13012020,05:00,06:00,0,186
13012020,06:00,07:00,0,193
13012020,07:00,08:00,0,288
13012020,08:00,09:00,0,314
13012020,09:00,10:00,0,314
13012020,10:00,11:00,0,318
13012020,11:00,12:00,0,318
13012020,12:00,13:00,0,319
13012020,13:00,14:00,0,321
13012020,14:00,15:00,0,320
13012020,15:00,16:00,0,319
13012020,16:00,17:00,0,297
13012020,17:00,18:00,0,314
13012020,18:00,19:00,0,289
13012020,19:00,20:00,0,193
13012020,20:00,21:00,0,182
