date,start,end,11WD2ZOL50001274
1012017,00:00,01:00,275
1012017,01:00,02:00,337
1012017,02:00,03:00,266
1012017,03:00,04:00,153
1012017,04:00,05:00,129
1012017,05:00,06:00,130
1012017,06:00,07:00,130
1012017,07:00,08:00,130
1012017,08:00,09:00,130
1012017,09:00,10:00,130
1012017,10:00,11:00,134
1012017,11:00,12:00,249
1012017,12:00,13:00,351
1012017,13:00,14:00,351
1012017,14:00,15:00,351
1012017,15:00,16:00,438
1012017,16:00,17:00,451
1012017,17:00,18:00,450
1012017,18:00,19:00,450
1012017,19:00,20:00,450
1012017,20:00,21:00,450
1012017,21:00,22:00,450
1012017,22:00,23:00,450
1012017,23:00,00:00,393
2012017,00:00,01:00,163
2012017,01:00,02:00,129
2012017,02:00,03:00,130
2012017,03:00,04:00,130
2012017,04:00,05:00,130
2012017,05:00,06:00,133
2012017,06:00,07:00,227
2012017,07:00,08:00,427
2012017,08:00,09:00,452
2012017,09:00,10:00,451
2012017,10:00,11:00,449
2012017,11:00,12:00,449
2012017,12:00,13:00,449
2012017,13:00,14:00,453
2012017,14:00,15:00,455
2012017,15:00,16:00,453
2012017,16:00,17:00,452
2012017,17:00,18:00,453
2012017,18:00,19:00,452
2012017,19:00,20:00,454
2012017,20:00,21:00,453
2012017,21:00,22:00,348
2012017,22:00,23:00,193
2012017,23:00,00:00,130
3012017,00:00,01:00,130
3012017,01:00,02:00,130
3012017,02:00,03:00,130
3012017,03:00,04:00,130
3012017,04:00,05:00,139
3012017,05:00,06:00,250
3012017,06:00,07:00,382
3012017,07:00,08:00,393
3012017,08:00,09:00,446
3012017,09:00,10:00,452
3012017,10:00,11:00,448
3012017,11:00,12:00,448
3012017,12:00,13:00,449
3012017,13:00,14:00,452
3012017,14:00,15:00,453
3012017,15:00,16:00,454
3012017,16:00,17:00,453
3012017,17:00,18:00,453
3012017,18:00,19:00,452
3012017,19:00,20:00,452
3012017,20:00,21:00,452
3012017,21:00,22:00,452
3012017,22:00,23:00,451
3012017,23:00,00:00,452
4012017,00:00,01:00,311
4012017,01:00,02:00,281
4012017,02:00,03:00,137
4012017,03:00,04:00,130
4012017,04:00,05:00,129
4012017,05:00,06:00,131
4012017,06:00,07:00,249
4012017,07:00,08:00,350
4012017,08:00,09:00,430
4012017,09:00,10:00,451
4012017,10:00,11:00,450
4012017,11:00,12:00,451
4012017,12:00,13:00,450
4012017,13:00,14:00,450
4012017,14:00,15:00,450
4012017,15:00,16:00,451
4012017,16:00,17:00,449
4012017,17:00,18:00,451
4012017,18:00,19:00,448
4012017,19:00,20:00,383
4012017,20:00,21:00,364
4012017,21:00,22:00,351
4012017,22:00,23:00,309
4012017,23:00,00:00,271
5012017,00:00,01:00,254
5012017,01:00,02:00,172
5012017,02:00,03:00,137
5012017,03:00,04:00,149
5012017,04:00,05:00,149
5012017,05:00,06:00,234
5012017,06:00,07:00,300
5012017,07:00,08:00,445
5012017,08:00,09:00,453
