date,start,end,11WD2NOR20001055
1012020,00:00,01:00,142
1012020,01:00,02:00,147
1012020,02:00,03:00,158
1012020,03:00,04:00,163
1012020,04:00,05:00,171
1012020,05:00,06:00,189
1012020,06:00,07:00,197
1012020,07:00,08:00,193
1012020,08:00,09:00,199
1012020,09:00,10:00,202
1012020,10:00,11:00,200
1012020,11:00,12:00,196
1012020,12:00,13:00,198
1012020,13:00,14:00,202
1012020,14:00,15:00,202
1012020,15:00,16:00,201
1012020,16:00,17:00,202
1012020,17:00,18:00,202
1012020,18:00,19:00,202
1012020,19:00,20:00,203
1012020,20:00,21:00,201
1012020,21:00,22:00,200
1012020,22:00,23:00,200
1012020,23:00,00:00,199
2012020,00:00,01:00,195
2012020,01:00,02:00,196
2012020,02:00,03:00,193
2012020,03:00,04:00,188
2012020,04:00,05:00,194
2012020,05:00,06:00,197
2012020,06:00,07:00,200
2012020,07:00,08:00,201
2012020,08:00,09:00,199
2012020,09:00,10:00,197
2012020,10:00,11:00,196
2012020,11:00,12:00,193
2012020,12:00,13:00,194
2012020,13:00,14:00,198
2012020,14:00,15:00,200
2012020,15:00,16:00,203
2012020,16:00,17:00,207
2012020,17:00,18:00,206
2012020,18:00,19:00,205
2012020,19:00,20:00,200
2012020,20:00,21:00,199
2012020,21:00,22:00,202
2012020,22:00,23:00,204
2012020,23:00,00:00,203
3012020,00:00,01:00,203
3012020,01:00,02:00,203
3012020,02:00,03:00,198
3012020,03:00,04:00,202
3012020,04:00,05:00,204
3012020,05:00,06:00,204
3012020,06:00,07:00,204
3012020,07:00,08:00,199
3012020,08:00,09:00,199
3012020,09:00,10:00,202
3012020,10:00,11:00,201
3012020,11:00,12:00,196
3012020,12:00,13:00,196
3012020,13:00,14:00,199
3012020,14:00,15:00,198
3012020,15:00,16:00,195
3012020,16:00,17:00,203
3012020,17:00,18:00,201
3012020,18:00,19:00,185
3012020,19:00,20:00,164
3012020,20:00,21:00,193
3012020,21:00,22:00,199
3012020,22:00,23:00,194
3012020,23:00,00:00,181
4012020,00:00,01:00,167
4012020,01:00,02:00,166
4012020,02:00,03:00,172
4012020,03:00,04:00,182
4012020,04:00,05:00,176
4012020,05:00,06:00,174
4012020,06:00,07:00,180
4012020,07:00,08:00,175
4012020,08:00,09:00,172
4012020,09:00,10:00,160
4012020,10:00,11:00,161
4012020,11:00,12:00,158
4012020,12:00,13:00,156
4012020,13:00,14:00,154
4012020,14:00,15:00,151
4012020,15:00,16:00,152
4012020,16:00,17:00,153
4012020,17:00,18:00,153
4012020,18:00,19:00,154
4012020,19:00,20:00,154
4012020,20:00,21:00,152
4012020,21:00,22:00,150
4012020,22:00,23:00,147
4012020,23:00,00:00,147
5012020,00:00,01:00,146
5012020,01:00,02:00,150
5012020,02:00,03:00,150
5012020,03:00,04:00,149
5012020,04:00,05:00,148
5012020,05:00,06:00,149
5012020,06:00,07:00,148
5012020,07:00,08:00,149
5012020,08:00,09:00,151
5012020,09:00,10:00,152
5012020,10:00,11:00,153
5012020,11:00,12:00,152
5012020,12:00,13:00,151
5012020,13:00,14:00,151
5012020,14:00,15:00,152
5012020,15:00,16:00,152
5012020,16:00,17:00,153
5012020,17:00,18:00,152
5012020,18:00,19:00,151
5012020,19:00,20:00,152
5012020,20:00,21:00,154
5012020,21:00,22:00,154
5012020,22:00,23:00,152
5012020,23:00,00:00,151
