date,start,end,11WD8KLIN5G--13E
10012020,11:00,12:00,117
10012020,12:00,13:00,100
10012020,13:00,14:00,92
10012020,14:00,15:00,80
10012020,15:00,16:00,63
10012020,16:00,17:00,64
10012020,17:00,18:00,98
10012020,18:00,19:00,104
10012020,19:00,20:00,119
10012020,20:00,21:00,112
10012020,21:00,22:00,109
10012020,22:00,23:00,90
10012020,23:00,00:00,90
11012020,00:00,01:00,91
11012020,01:00,02:00,82
11012020,02:00,03:00,84
11012020,03:00,04:00,86
11012020,04:00,05:00,98
11012020,05:00,06:00,114
11012020,06:00,07:00,127
11012020,07:00,08:00,128
11012020,08:00,09:00,128
11012020,09:00,10:00,127
11012020,10:00,11:00,127
11012020,11:00,12:00,127
11012020,12:00,13:00,127
11012020,13:00,14:00,127
11012020,14:00,15:00,127
11012020,15:00,16:00,128
11012020,16:00,17:00,128
11012020,17:00,18:00,129
11012020,18:00,19:00,128
11012020,19:00,20:00,128
11012020,20:00,21:00,128
11012020,21:00,22:00,128
11012020,22:00,23:00,129
11012020,23:00,00:00,137
12012020,00:00,01:00,137
12012020,01:00,02:00,137
12012020,02:00,03:00,137
12012020,03:00,04:00,137
12012020,04:00,05:00,137
12012020,05:00,06:00,137
12012020,06:00,07:00,137
12012020,07:00,08:00,137
12012020,08:00,09:00,137
12012020,09:00,10:00,137
12012020,10:00,11:00,137
12012020,11:00,12:00,137
12012020,12:00,13:00,137
12012020,13:00,14:00,137
12012020,14:00,15:00,136
12012020,15:00,16:00,136
12012020,16:00,17:00,136
12012020,17:00,18:00,135
12012020,18:00,19:00,135
12012020,19:00,20:00,136
12012020,20:00,21:00,136
12012020,21:00,22:00,136
12012020,22:00,23:00,136
12012020,23:00,00:00,137
13012020,00:00,01:00,138
13012020,01:00,02:00,137
13012020,02:00,03:00,136
13012020,03:00,04:00,136
13012020,04:00,05:00,137
13012020,05:00,06:00,137
13012020,06:00,07:00,137
13012020,07:00,08:00,137
13012020,08:00,09:00,137
13012020,09:00,10:00,137
13012020,10:00,11:00,137
13012020,11:00,12:00,137
13012020,12:00,13:00,137
13012020,13:00,14:00,137
13012020,14:00,15:00,138
13012020,15:00,16:00,138
13012020,16:00,17:00,138
13012020,17:00,18:00,138
13012020,18:00,19:00,138
13012020,19:00,20:00,138
13012020,20:00,21:00,138
13012020,21:00,22:00,138
13012020,22:00,23:00,138
13012020,23:00,00:00,138
14012020,00:00,01:00,138
14012020,01:00,02:00,138
14012020,02:00,03:00,138
14012020,03:00,04:00,138
14012020,04:00,05:00,138
14012020,05:00,06:00,138
14012020,06:00,07:00,138
14012020,07:00,08:00,138
14012020,08:00,09:00,138
14012020,09:00,10:00,138
14012020,10:00,11:00,138
14012020,11:00,12:00,132
14012020,12:00,13:00,115
14012020,13:00,14:00,115
14012020,14:00,15:00,115
14012020,15:00,16:00,115
14012020,16:00,17:00,115
14012020,17:00,18:00,113
14012020,18:00,19:00,113
14012020,19:00,20:00,113
14012020,20:00,21:00,113
14012020,21:00,22:00,114
14012020,22:00,23:00,100
14012020,23:00,00:00,90
15012020,00:00,01:00,87
15012020,01:00,02:00,86
15012020,02:00,03:00,86
15012020,03:00,04:00,87
15012020,04:00,05:00,95
15012020,05:00,06:00,103
15012020,06:00,07:00,119
15012020,07:00,08:00,111
15012020,08:00,09:00,95
15012020,09:00,10:00,95
15012020,10:00,11:00,95
15012020,11:00,12:00,95
15012020,12:00,13:00,94
15012020,13:00,14:00,90
15012020,14:00,15:00,90
15012020,15:00,16:00,91
15012020,16:00,17:00,91
15012020,17:00,18:00,101
15012020,18:00,19:00,123
15012020,19:00,20:00,123
15012020,20:00,21:00,123
15012020,21:00,22:00,123
15012020,22:00,23:00,119
15012020,23:00,00:00,104
16012020,00:00,01:00,93
16012020,01:00,02:00,87
16012020,02:00,03:00,86
16012020,03:00,04:00,86
16012020,04:00,05:00,87
16012020,05:00,06:00,97
16012020,06:00,07:00,108
16012020,07:00,08:00,108
16012020,08:00,09:00,108
16012020,09:00,10:00,108
16012020,10:00,11:00,109
16012020,11:00,12:00,92
16012020,12:00,13:00,91
16012020,13:00,14:00,89
16012020,14:00,15:00,81
16012020,15:00,16:00,81
16012020,16:00,17:00,88
16012020,17:00,18:00,118
16012020,18:00,19:00,136
16012020,19:00,20:00,137
16012020,20:00,21:00,137
16012020,21:00,22:00,129
16012020,22:00,23:00,127
16012020,23:00,00:00,123
17012020,00:00,01:00,111
17012020,01:00,02:00,110
17012020,02:00,03:00,110
17012020,03:00,04:00,110
17012020,04:00,05:00,110
17012020,05:00,06:00,110
17012020,06:00,07:00,110
17012020,07:00,08:00,109
17012020,08:00,09:00,109
17012020,09:00,10:00,109
17012020,10:00,11:00,110
17012020,11:00,12:00,115
17012020,12:00,13:00,113
17012020,13:00,14:00,105
17012020,14:00,15:00,100
17012020,15:00,16:00,82
17012020,16:00,17:00,89
17012020,17:00,18:00,109
17012020,18:00,19:00,111
17012020,19:00,20:00,120
17012020,20:00,21:00,126
17012020,21:00,22:00,127
17012020,22:00,23:00,121
17012020,23:00,00:00,117
18012020,00:00,01:00,103
18012020,01:00,02:00,100
18012020,02:00,03:00,93
18012020,03:00,04:00,91
18012020,04:00,05:00,90
18012020,05:00,06:00,105
18012020,06:00,07:00,109
18012020,07:00,08:00,109
18012020,08:00,09:00,108
18012020,09:00,10:00,109
18012020,10:00,11:00,110
18012020,11:00,12:00,123
18012020,12:00,13:00,122
18012020,13:00,14:00,105
18012020,14:00,15:00,83
18012020,15:00,16:00,102
18012020,16:00,17:00,123
18012020,17:00,18:00,134
18012020,18:00,19:00,138
18012020,19:00,20:00,137
18012020,20:00,21:00,122
18012020,21:00,22:00,123
18012020,22:00,23:00,123
18012020,23:00,00:00,123
19012020,00:00,01:00,106
19012020,01:00,02:00,100
19012020,02:00,03:00,100
19012020,03:00,04:00,101
19012020,04:00,05:00,100
19012020,05:00,06:00,100
19012020,06:00,07:00,100
19012020,07:00,08:00,108
19012020,08:00,09:00,118
19012020,09:00,10:00,131
19012020,10:00,11:00,132
19012020,11:00,12:00,132
19012020,12:00,13:00,133
19012020,13:00,14:00,132
19012020,14:00,15:00,132
19012020,15:00,16:00,132
19012020,16:00,17:00,132
19012020,17:00,18:00,132
19012020,18:00,19:00,132
19012020,19:00,20:00,132
19012020,20:00,21:00,132
19012020,21:00,22:00,115
19012020,22:00,23:00,114
19012020,23:00,00:00,107
20012020,00:00,01:00,105
20012020,01:00,02:00,105
20012020,02:00,03:00,105
20012020,03:00,04:00,105
20012020,04:00,05:00,106
20012020,05:00,06:00,132
20012020,06:00,07:00,132
20012020,07:00,08:00,132
20012020,08:00,09:00,132
20012020,09:00,10:00,132
20012020,10:00,11:00,132
20012020,11:00,12:00,132
20012020,12:00,13:00,132
20012020,13:00,14:00,132
20012020,14:00,15:00,132
20012020,15:00,16:00,132
20012020,16:00,17:00,132
20012020,17:00,18:00,132
20012020,18:00,19:00,132
20012020,19:00,20:00,132
20012020,20:00,21:00,132
20012020,21:00,22:00,132
20012020,22:00,23:00,132
20012020,23:00,00:00,133
21012020,00:00,01:00,133
21012020,01:00,02:00,125
21012020,02:00,03:00,133
21012020,03:00,04:00,130
21012020,04:00,05:00,132
21012020,05:00,06:00,132
21012020,06:00,07:00,132
21012020,07:00,08:00,132
21012020,08:00,09:00,132
21012020,09:00,10:00,132
21012020,10:00,11:00,132
21012020,11:00,12:00,132
21012020,12:00,13:00,132
21012020,13:00,14:00,132
21012020,14:00,15:00,126
21012020,15:00,16:00,114
21012020,16:00,17:00,131
21012020,17:00,18:00,132
21012020,18:00,19:00,132
21012020,19:00,20:00,132
21012020,20:00,21:00,132
21012020,21:00,22:00,132
21012020,22:00,23:00,130
21012020,23:00,00:00,116
22012020,00:00,01:00,114
22012020,01:00,02:00,114
22012020,02:00,03:00,114
22012020,03:00,04:00,115
22012020,04:00,05:00,114
22012020,05:00,06:00,126
22012020,06:00,07:00,128
22012020,07:00,08:00,128
22012020,08:00,09:00,128
22012020,09:00,10:00,128
22012020,10:00,11:00,128
22012020,11:00,12:00,129
22012020,12:00,13:00,128
22012020,13:00,14:00,129
22012020,14:00,15:00,129
22012020,15:00,16:00,128
22012020,16:00,17:00,127
22012020,17:00,18:00,127
22012020,18:00,19:00,127
22012020,19:00,20:00,127
22012020,20:00,21:00,127
22012020,21:00,22:00,127
22012020,22:00,23:00,121
22012020,23:00,00:00,118
23012020,00:00,01:00,119
23012020,01:00,02:00,119
23012020,02:00,03:00,117
23012020,03:00,04:00,118
23012020,04:00,05:00,119
23012020,05:00,06:00,127
23012020,06:00,07:00,127
23012020,07:00,08:00,127
23012020,08:00,09:00,127
23012020,09:00,10:00,127
23012020,10:00,11:00,127
23012020,11:00,12:00,127
23012020,12:00,13:00,127
23012020,13:00,14:00,112
23012020,14:00,15:00,105
23012020,15:00,16:00,105
23012020,16:00,17:00,122
23012020,17:00,18:00,132
23012020,18:00,19:00,132
23012020,19:00,20:00,132
23012020,20:00,21:00,132
23012020,21:00,22:00,132
23012020,22:00,23:00,132
23012020,23:00,00:00,133
24012020,00:00,01:00,132
24012020,01:00,02:00,132
24012020,02:00,03:00,133
24012020,03:00,04:00,133
24012020,04:00,05:00,133
24012020,05:00,06:00,133
24012020,06:00,07:00,133
24012020,07:00,08:00,133
24012020,08:00,09:00,133
24012020,09:00,10:00,132
24012020,10:00,11:00,132
24012020,11:00,12:00,132
24012020,12:00,13:00,131
24012020,13:00,14:00,132
24012020,14:00,15:00,131
24012020,15:00,16:00,131
24012020,16:00,17:00,131
24012020,17:00,18:00,131
24012020,18:00,19:00,131
24012020,19:00,20:00,131
24012020,20:00,21:00,135
24012020,21:00,22:00,138
24012020,22:00,23:00,136
24012020,23:00,00:00,137
25012020,00:00,01:00,133
25012020,01:00,02:00,127
25012020,02:00,03:00,125
25012020,03:00,04:00,118
25012020,04:00,05:00,118
25012020,05:00,06:00,118
25012020,06:00,07:00,118
25012020,07:00,08:00,130
25012020,08:00,09:00,136
25012020,09:00,10:00,137
25012020,10:00,11:00,136
25012020,11:00,12:00,136
25012020,12:00,13:00,136
25012020,13:00,14:00,136
25012020,14:00,15:00,136
25012020,15:00,16:00,136
25012020,16:00,17:00,135
25012020,17:00,18:00,135
25012020,18:00,19:00,136
25012020,19:00,20:00,135
25012020,20:00,21:00,135
25012020,21:00,22:00,135
25012020,22:00,23:00,136
25012020,23:00,00:00,135
26012020,00:00,01:00,134
26012020,01:00,02:00,134
26012020,02:00,03:00,133
26012020,03:00,04:00,140
26012020,04:00,05:00,142
26012020,05:00,06:00,144
26012020,06:00,07:00,151
26012020,07:00,08:00,151
26012020,08:00,09:00,152
26012020,09:00,10:00,153
26012020,10:00,11:00,153
26012020,11:00,12:00,153
26012020,12:00,13:00,153
26012020,13:00,14:00,153
26012020,14:00,15:00,153
26012020,15:00,16:00,153
