date,start,end,11WD7VOER1S--A-1,11WD7VOER1S--B-Z
06.01.2017,17:00,18:00,662.0,719.0
06.01.2017,18:00,19:00,666.0,720.0
06.01.2017,19:00,20:00,664.0,721.0
06.01.2017,20:00,21:00,663.0,686.0
06.01.2017,21:00,22:00,663.0,706.0
06.01.2017,22:00,23:00,643.0,709.0
06.01.2017,23:00,00:00,361.0,464.0
07.01.2017,00:00,01:00,477.0,449.0
07.01.2017,01:00,02:00,474.0,501.0
07.01.2017,02:00,03:00,405.0,490.0
07.01.2017,03:00,04:00,402.0,499.0
07.01.2017,04:00,05:00,336.0,484.0
07.01.2017,05:00,06:00,273.0,411.0
07.01.2017,06:00,07:00,129.0,247.0
07.01.2017,07:00,08:00,118.0,172.0
07.01.2017,08:00,09:00,119.0,193.0
07.01.2017,09:00,10:00,272.0,334.0
07.01.2017,10:00,11:00,553.0,610.0
07.01.2017,11:00,12:00,658.0,720.0
07.01.2017,12:00,13:00,659.0,720.0
07.01.2017,13:00,14:00,660.0,719.0
07.01.2017,14:00,15:00,659.0,719.0
07.01.2017,15:00,16:00,659.0,719.0
07.01.2017,16:00,17:00,659.0,719.0
07.01.2017,17:00,18:00,662.0,719.0
07.01.2017,18:00,19:00,660.0,721.0
07.01.2017,19:00,20:00,660.0,722.0
07.01.2017,20:00,21:00,661.0,720.0
07.01.2017,21:00,22:00,541.0,563.0
07.01.2017,22:00,23:00,550.0,595.0
07.01.2017,23:00,00:00,577.0,605.0
08.01.2017,00:00,01:00,616.0,660.0
08.01.2017,01:00,02:00,461.0,526.0
08.01.2017,02:00,03:00,466.0,525.0
08.01.2017,03:00,04:00,452.0,514.0
08.01.2017,04:00,05:00,428.0,498.0
08.01.2017,05:00,06:00,421.0,479.0
08.01.2017,06:00,07:00,421.0,479.0
08.01.2017,07:00,08:00,523.0,526.0
08.01.2017,08:00,09:00,662.0,685.0
08.01.2017,09:00,10:00,656.0,720.0
08.01.2017,10:00,11:00,657.0,720.0
08.01.2017,11:00,12:00,657.0,720.0
08.01.2017,12:00,13:00,655.0,719.0
08.01.2017,13:00,14:00,655.0,720.0
08.01.2017,14:00,15:00,660.0,719.0
08.01.2017,15:00,16:00,660.0,719.0
08.01.2017,16:00,17:00,659.0,723.0
08.01.2017,17:00,18:00,661.0,721.0
08.01.2017,18:00,19:00,657.0,719.0
08.01.2017,19:00,20:00,661.0,721.0
08.01.2017,20:00,21:00,664.0,721.0
08.01.2017,21:00,22:00,664.0,720.0
08.01.2017,22:00,23:00,665.0,721.0
08.01.2017,23:00,00:00,663.0,720.0
09.01.2017,00:00,01:00,592.0,662.0
09.01.2017,01:00,02:00,442.0,509.0
09.01.2017,02:00,03:00,444.0,504.0
09.01.2017,03:00,04:00,444.0,504.0
09.01.2017,04:00,05:00,443.0,500.0
09.01.2017,05:00,06:00,494.0,503.0
09.01.2017,06:00,07:00,582.0,619.0
09.01.2017,07:00,08:00,650.0,705.0
09.01.2017,08:00,09:00,645.0,707.0
09.01.2017,09:00,10:00,644.0,706.0
09.01.2017,10:00,11:00,644.0,705.0
09.01.2017,11:00,12:00,645.0,705.0
09.01.2017,12:00,13:00,645.0,706.0
09.01.2017,13:00,14:00,645.0,706.0
09.01.2017,14:00,15:00,645.0,705.0
09.01.2017,15:00,16:00,645.0,705.0
09.01.2017,16:00,17:00,645.0,705.0
09.01.2017,17:00,18:00,645.0,705.0
09.01.2017,18:00,19:00,645.0,706.0
09.01.2017,19:00,20:00,644.0,706.0
09.01.2017,20:00,21:00,642.0,671.0
09.01.2017,21:00,22:00,361.0,400.0
09.01.2017,22:00,23:00,307.0,370.0
09.01.2017,23:00,00:00,307.0,370.0
10.01.2017,00:00,01:00,202.0,271.0
10.01.2017,01:00,02:00,120.0,177.0
10.01.2017,02:00,03:00,116.0,170.0
10.01.2017,03:00,04:00,117.0,168.0
10.01.2017,04:00,05:00,117.0,170.0
10.01.2017,05:00,06:00,187.0,231.0
10.01.2017,06:00,07:00,463.0,524.0
10.01.2017,07:00,08:00,642.0,689.0
10.01.2017,08:00,09:00,642.0,699.0
10.01.2017,09:00,10:00,643.0,698.0
10.01.2017,10:00,11:00,644.0,703.0
10.01.2017,11:00,12:00,644.0,704.0
10.01.2017,12:00,13:00,643.0,705.0
10.01.2017,13:00,14:00,643.0,705.0
10.01.2017,14:00,15:00,644.0,704.0
10.01.2017,15:00,16:00,645.0,704.0
10.01.2017,16:00,17:00,648.0,703.0
10.01.2017,17:00,18:00,648.0,704.0
10.01.2017,18:00,19:00,648.0,704.0
10.01.2017,19:00,20:00,648.0,705.0
10.01.2017,20:00,21:00,648.0,703.0
10.01.2017,21:00,22:00,647.0,702.0
10.01.2017,22:00,23:00,648.0,703.0
10.01.2017,23:00,00:00,646.0,702.0
11.01.2017,00:00,01:00,563.0,616.0
11.01.2017,01:00,02:00,490.0,528.0
11.01.2017,02:00,03:00,419.0,478.0
11.01.2017,03:00,04:00,449.0,468.0
11.01.2017,04:00,05:00,497.0,535.0
11.01.2017,05:00,06:00,527.0,595.0
11.01.2017,06:00,07:00,647.0,660.0
11.01.2017,07:00,08:00,648.0,707.0
11.01.2017,08:00,09:00,649.0,704.0
11.01.2017,09:00,10:00,648.0,703.0
