date,start,end,11WD7BEEC5XHAM5G
1012018,00:00,01:00,225.0
1012018,01:00,02:00,224.0
1012018,02:00,03:00,221.0
1012018,03:00,04:00,221.0
1012018,04:00,05:00,223.0
1012018,05:00,06:00,221.0
1012018,06:00,07:00,188.0
1012018,07:00,08:00,139.0
1012018,08:00,09:00,123.0
1012018,09:00,10:00,125.0
1012018,10:00,11:00,119.0
1012018,11:00,12:00,120.0
1012018,12:00,13:00,120.0
1012018,13:00,14:00,119.0
1012018,14:00,15:00,119.0
1012018,15:00,16:00,130.0
1012018,16:00,17:00,140.0
1012018,17:00,18:00,123.0
1012018,18:00,19:00,132.0
1012018,19:00,20:00,139.0
1012018,20:00,21:00,137.0
1012018,21:00,22:00,127.0
1012018,22:00,23:00,122.0
1012018,23:00,00:00,124.0
2012018,00:00,01:00,141.0
2012018,01:00,02:00,154.0
2012018,02:00,03:00,137.0
2012018,03:00,04:00,142.0
2012018,04:00,05:00,136.0
2012018,05:00,06:00,146.0
2012018,06:00,07:00,171.0
2012018,07:00,08:00,196.0
2012018,08:00,09:00,206.0
2012018,09:00,10:00,214.0
2012018,10:00,11:00,217.0
2012018,11:00,12:00,214.0
2012018,12:00,13:00,218.0
2012018,13:00,14:00,222.0
2012018,14:00,15:00,218.0
2012018,15:00,16:00,221.0
2012018,16:00,17:00,222.0
2012018,17:00,18:00,222.0
2012018,18:00,19:00,221.0
2012018,19:00,20:00,221.0
2012018,20:00,21:00,221.0
2012018,21:00,22:00,218.0
2012018,22:00,23:00,200.0
2012018,23:00,00:00,191.0
3012018,00:00,01:00,198.0
3012018,01:00,02:00,208.0
3012018,02:00,03:00,191.0
3012018,03:00,04:00,153.0
3012018,04:00,05:00,128.0
3012018,05:00,06:00,140.0
3012018,06:00,07:00,139.0
3012018,07:00,08:00,136.0
3012018,08:00,09:00,144.0
3012018,09:00,10:00,143.0
3012018,10:00,11:00,145.0
3012018,11:00,12:00,133.0
3012018,12:00,13:00,134.0
3012018,13:00,14:00,135.0
3012018,14:00,15:00,146.0
3012018,15:00,16:00,153.0
3012018,16:00,17:00,155.0
3012018,17:00,18:00,155.0
3012018,18:00,19:00,156.0
3012018,19:00,20:00,166.0
3012018,20:00,21:00,159.0
3012018,21:00,22:00,173.0
3012018,22:00,23:00,163.0
3012018,23:00,00:00,163.0
4012018,00:00,01:00,163.0
4012018,01:00,02:00,169.0
4012018,02:00,03:00,173.0
4012018,03:00,04:00,162.0
4012018,04:00,05:00,157.0
4012018,05:00,06:00,158.0
4012018,06:00,07:00,157.0
4012018,07:00,08:00,155.0
4012018,08:00,09:00,167.0
4012018,09:00,10:00,166.0
4012018,10:00,11:00,162.0
4012018,11:00,12:00,165.0
4012018,12:00,13:00,161.0
4012018,13:00,14:00,158.0
4012018,14:00,15:00,170.0
4012018,15:00,16:00,166.0
4012018,16:00,17:00,169.0
4012018,17:00,18:00,184.0
4012018,18:00,19:00,196.0
4012018,19:00,20:00,200.0
4012018,20:00,21:00,212.0
4012018,21:00,22:00,210.0
4012018,22:00,23:00,191.0
4012018,23:00,00:00,178.0
5012018,00:00,01:00,199.0
5012018,01:00,02:00,213.0
5012018,02:00,03:00,211.0
5012018,03:00,04:00,208.0
5012018,04:00,05:00,213.0
5012018,05:00,06:00,216.0
5012018,06:00,07:00,204.0
5012018,07:00,08:00,206.0
5012018,08:00,09:00,215.0
5012018,09:00,10:00,216.0
5012018,10:00,11:00,208.0
5012018,11:00,12:00,207.0
5012018,12:00,13:00,202.0
5012018,13:00,14:00,200.0
5012018,14:00,15:00,205.0
5012018,15:00,16:00,212.0
5012018,16:00,17:00,210.0
5012018,17:00,18:00,201.0
5012018,18:00,19:00,164.0
5012018,19:00,20:00,162.0
5012018,20:00,21:00,166.0
5012018,21:00,22:00,142.0
5012018,22:00,23:00,192.0
5012018,23:00,00:00,187.0
6012018,00:00,01:00,164.0
6012018,01:00,02:00,150.0
6012018,02:00,03:00,161.0
6012018,03:00,04:00,192.0
6012018,04:00,05:00,179.0
6012018,05:00,06:00,166.0
6012018,06:00,07:00,171.0
6012018,07:00,08:00,185.0
6012018,08:00,09:00,205.0
6012018,09:00,10:00,207.0
6012018,10:00,11:00,189.0
6012018,11:00,12:00,189.0
6012018,12:00,13:00,152.0
6012018,13:00,14:00,135.0
6012018,14:00,15:00,151.0
6012018,15:00,16:00,150.0
