date,start,end,11WD7BEEC5XHAM5G
1012017,00:00,01:00,222.0
1012017,01:00,02:00,218.0
1012017,02:00,03:00,220.0
1012017,03:00,04:00,210.0
1012017,04:00,05:00,215.0
1012017,05:00,06:00,219.0
1012017,06:00,07:00,228.0
1012017,07:00,08:00,225.0
1012017,08:00,09:00,226.0
1012017,09:00,10:00,227.0
1012017,10:00,11:00,228.0
1012017,11:00,12:00,228.0
1012017,12:00,13:00,228.0
1012017,13:00,14:00,228.0
1012017,14:00,15:00,228.0
1012017,15:00,16:00,212.0
1012017,16:00,17:00,213.0
1012017,17:00,18:00,226.0
1012017,18:00,19:00,227.0
1012017,19:00,20:00,225.0
1012017,20:00,21:00,200.0
1012017,21:00,22:00,219.0
1012017,22:00,23:00,227.0
1012017,23:00,00:00,213.0
2012017,00:00,01:00,222.0
2012017,01:00,02:00,210.0
2012017,02:00,03:00,221.0
2012017,03:00,04:00,215.0
2012017,04:00,05:00,194.0
2012017,05:00,06:00,217.0
2012017,06:00,07:00,221.0
2012017,07:00,08:00,226.0
2012017,08:00,09:00,228.0
2012017,09:00,10:00,227.0
2012017,10:00,11:00,229.0
2012017,11:00,12:00,230.0
2012017,12:00,13:00,229.0
2012017,13:00,14:00,230.0
2012017,14:00,15:00,228.0
2012017,15:00,16:00,229.0
2012017,16:00,17:00,227.0
2012017,17:00,18:00,228.0
2012017,18:00,19:00,229.0
2012017,19:00,20:00,229.0
2012017,20:00,21:00,224.0
2012017,21:00,22:00,228.0
2012017,22:00,23:00,225.0
2012017,23:00,00:00,228.0
3012017,00:00,01:00,229.0
3012017,01:00,02:00,228.0
3012017,02:00,03:00,213.0
3012017,03:00,04:00,216.0
3012017,04:00,05:00,217.0
3012017,05:00,06:00,227.0
3012017,06:00,07:00,230.0
3012017,07:00,08:00,229.0
3012017,08:00,09:00,229.0
3012017,09:00,10:00,229.0
3012017,10:00,11:00,229.0
3012017,11:00,12:00,230.0
3012017,12:00,13:00,228.0
3012017,13:00,14:00,229.0
3012017,14:00,15:00,230.0
3012017,15:00,16:00,227.0
3012017,16:00,17:00,229.0
3012017,17:00,18:00,228.0
3012017,18:00,19:00,227.0
3012017,19:00,20:00,210.0
3012017,20:00,21:00,186.0
3012017,21:00,22:00,193.0
3012017,22:00,23:00,196.0
3012017,23:00,00:00,191.0
4012017,00:00,01:00,173.0
4012017,01:00,02:00,161.0
4012017,02:00,03:00,149.0
4012017,03:00,04:00,168.0
4012017,04:00,05:00,169.0
4012017,05:00,06:00,177.0
4012017,06:00,07:00,157.0
4012017,07:00,08:00,176.0
4012017,08:00,09:00,153.0
4012017,09:00,10:00,150.0
4012017,10:00,11:00,140.0
4012017,11:00,12:00,129.0
4012017,12:00,13:00,124.0
4012017,13:00,14:00,121.0
4012017,14:00,15:00,132.0
4012017,15:00,16:00,124.0
4012017,16:00,17:00,131.0
4012017,17:00,18:00,144.0
4012017,18:00,19:00,132.0
4012017,19:00,20:00,144.0
4012017,20:00,21:00,152.0
4012017,21:00,22:00,157.0
4012017,22:00,23:00,153.0
4012017,23:00,00:00,147.0
5012017,00:00,01:00,147.0
5012017,01:00,02:00,132.0
5012017,02:00,03:00,150.0
5012017,03:00,04:00,172.0
5012017,04:00,05:00,167.0
5012017,05:00,06:00,164.0
5012017,06:00,07:00,168.0
5012017,07:00,08:00,154.0
5012017,08:00,09:00,124.0
5012017,09:00,10:00,113.0
5012017,10:00,11:00,114.0
5012017,11:00,12:00,118.0
5012017,12:00,13:00,113.0
5012017,13:00,14:00,134.0
5012017,14:00,15:00,136.0
5012017,15:00,16:00,114.0
5012017,16:00,17:00,117.0
5012017,17:00,18:00,122.0
5012017,18:00,19:00,132.0
5012017,19:00,20:00,152.0
5012017,20:00,21:00,135.0
5012017,21:00,22:00,133.0
5012017,22:00,23:00,141.0
5012017,23:00,00:00,179.0
6012017,00:00,01:00,207.0
6012017,01:00,02:00,225.0
6012017,02:00,03:00,224.0
6012017,03:00,04:00,222.0
6012017,04:00,05:00,221.0
6012017,05:00,06:00,214.0
6012017,06:00,07:00,206.0
6012017,07:00,08:00,164.0
6012017,08:00,09:00,179.0
6012017,09:00,10:00,220.0
6012017,10:00,11:00,212.0
6012017,11:00,12:00,212.0
6012017,12:00,13:00,223.0
6012017,13:00,14:00,229.0
6012017,14:00,15:00,212.0
6012017,15:00,16:00,220.0
6012017,16:00,17:00,231.0
6012017,17:00,18:00,229.0
6012017,18:00,19:00,228.0
6012017,19:00,20:00,231.0
6012017,20:00,21:00,218.0
6012017,21:00,22:00,225.0
6012017,22:00,23:00,231.0
6012017,23:00,00:00,225.0
7012017,00:00,01:00,
7012017,01:00,02:00,
7012017,02:00,03:00,
7012017,03:00,04:00,
7012017,04:00,05:00,
7012017,05:00,06:00,
7012017,06:00,07:00,
7012017,07:00,08:00,
7012017,08:00,09:00,
7012017,09:00,10:00,
7012017,10:00,11:00,
7012017,11:00,12:00,
7012017,12:00,13:00,
7012017,13:00,14:00,
7012017,14:00,15:00,
7012017,15:00,16:00,
7012017,16:00,17:00,
7012017,17:00,18:00,
7012017,18:00,19:00,
7012017,19:00,20:00,
7012017,20:00,21:00,
7012017,21:00,22:00,
7012017,22:00,23:00,
7012017,23:00,00:00,
8012017,00:00,01:00,226.0
8012017,01:00,02:00,220.0
8012017,02:00,03:00,222.0
8012017,03:00,04:00,222.0
8012017,04:00,05:00,221.0
8012017,05:00,06:00,210.0
8012017,06:00,07:00,204.0
8012017,07:00,08:00,206.0
8012017,08:00,09:00,212.0
8012017,09:00,10:00,217.0
8012017,10:00,11:00,227.0
8012017,11:00,12:00,209.0
8012017,12:00,13:00,216.0
8012017,13:00,14:00,224.0
8012017,14:00,15:00,230.0
8012017,15:00,16:00,224.0
8012017,16:00,17:00,229.0
8012017,17:00,18:00,229.0
8012017,18:00,19:00,229.0
8012017,19:00,20:00,227.0
8012017,20:00,21:00,190.0
8012017,21:00,22:00,214.0
8012017,22:00,23:00,226.0
8012017,23:00,00:00,225.0
9012017,00:00,01:00,229.0
9012017,01:00,02:00,229.0
9012017,02:00,03:00,227.0
9012017,03:00,04:00,229.0
9012017,04:00,05:00,229.0
9012017,05:00,06:00,229.0
9012017,06:00,07:00,229.0
9012017,07:00,08:00,228.0
9012017,08:00,09:00,220.0
9012017,09:00,10:00,220.0
9012017,10:00,11:00,221.0
9012017,11:00,12:00,221.0
9012017,12:00,13:00,221.0
9012017,13:00,14:00,220.0
9012017,14:00,15:00,220.0
9012017,15:00,16:00,227.0
9012017,16:00,17:00,227.0
9012017,17:00,18:00,227.0
