date,start,end,11WD2NOR20001055
9012018,06:00,07:00,209
9012018,07:00,08:00,215
9012018,08:00,09:00,225
9012018,09:00,10:00,233
9012018,10:00,11:00,237
9012018,11:00,12:00,259
9012018,12:00,13:00,231
9012018,13:00,14:00,228
9012018,14:00,15:00,242
9012018,15:00,16:00,253
9012018,16:00,17:00,237
9012018,17:00,18:00,257
9012018,18:00,19:00,249
9012018,19:00,20:00,239
9012018,20:00,21:00,206
9012018,21:00,22:00,155
9012018,22:00,23:00,154
9012018,23:00,00:00,145
10012018,00:00,01:00,134
10012018,01:00,02:00,129
10012018,02:00,03:00,129
10012018,03:00,04:00,140
10012018,04:00,05:00,157
10012018,05:00,06:00,183
10012018,06:00,07:00,207
10012018,07:00,08:00,206
10012018,08:00,09:00,207
10012018,09:00,10:00,209
10012018,10:00,11:00,211
10012018,11:00,12:00,237
10012018,12:00,13:00,187
10012018,13:00,14:00,178
10012018,14:00,15:00,171
10012018,15:00,16:00,171
10012018,16:00,17:00,183
10012018,17:00,18:00,222
10012018,18:00,19:00,232
10012018,19:00,20:00,219
10012018,20:00,21:00,194
10012018,21:00,22:00,205
10012018,22:00,23:00,198
10012018,23:00,00:00,178
11012018,00:00,01:00,178
11012018,01:00,02:00,174
11012018,02:00,03:00,167
11012018,03:00,04:00,178
11012018,04:00,05:00,188
11012018,05:00,06:00,207
11012018,06:00,07:00,211
11012018,07:00,08:00,210
11012018,08:00,09:00,211
11012018,09:00,10:00,210
11012018,10:00,11:00,212
11012018,11:00,12:00,212
11012018,12:00,13:00,211
11012018,13:00,14:00,210
11012018,14:00,15:00,210
11012018,15:00,16:00,200
11012018,16:00,17:00,208
11012018,17:00,18:00,210
11012018,18:00,19:00,185
11012018,19:00,20:00,201
11012018,20:00,21:00,209
11012018,21:00,22:00,206
11012018,22:00,23:00,214
11012018,23:00,00:00,225
12012018,00:00,01:00,141
12012018,01:00,02:00,133
12012018,02:00,03:00,132
12012018,03:00,04:00,141
12012018,04:00,05:00,160
12012018,05:00,06:00,200
12012018,06:00,07:00,212
12012018,07:00,08:00,219
12012018,08:00,09:00,186
12012018,09:00,10:00,213
12012018,10:00,11:00,249
12012018,11:00,12:00,250
12012018,12:00,13:00,240
12012018,13:00,14:00,208
12012018,14:00,15:00,207
12012018,15:00,16:00,207
12012018,16:00,17:00,224
12012018,17:00,18:00,243
12012018,18:00,19:00,233
12012018,19:00,20:00,218
12012018,20:00,21:00,218
12012018,21:00,22:00,185
12012018,22:00,23:00,182
12012018,23:00,00:00,167
13012018,00:00,01:00,199
13012018,01:00,02:00,175
13012018,02:00,03:00,149
13012018,03:00,04:00,154
13012018,04:00,05:00,168
13012018,05:00,06:00,199
13012018,06:00,07:00,207
13012018,07:00,08:00,212
13012018,08:00,09:00,212
13012018,09:00,10:00,211
13012018,10:00,11:00,211
13012018,11:00,12:00,210
13012018,12:00,13:00,210
13012018,13:00,14:00,211
13012018,14:00,15:00,210
13012018,15:00,16:00,211
13012018,16:00,17:00,212
13012018,17:00,18:00,211
13012018,18:00,19:00,209
13012018,19:00,20:00,209
13012018,20:00,21:00,207
13012018,21:00,22:00,206
13012018,22:00,23:00,184
13012018,23:00,00:00,196
14012018,00:00,01:00,193
14012018,01:00,02:00,199
14012018,02:00,03:00,183
14012018,03:00,04:00,155
14012018,04:00,05:00,169
14012018,05:00,06:00,186
14012018,06:00,07:00,193
14012018,07:00,08:00,193
14012018,08:00,09:00,200
14012018,09:00,10:00,203
14012018,10:00,11:00,204
14012018,11:00,12:00,204
