date,start,end,11WD2HEY40000638
10012020,11:00,12:00,0
10012020,12:00,13:00,0
10012020,13:00,14:00,0
10012020,14:00,15:00,0
10012020,15:00,16:00,0
10012020,16:00,17:00,0
10012020,17:00,18:00,0
10012020,18:00,19:00,0
10012020,19:00,20:00,0
10012020,20:00,21:00,0
10012020,21:00,22:00,0
10012020,22:00,23:00,0
10012020,23:00,00:00,0
11012020,00:00,01:00,0
11012020,01:00,02:00,0
11012020,02:00,03:00,0
11012020,03:00,04:00,0
11012020,04:00,05:00,0
11012020,05:00,06:00,0
11012020,06:00,07:00,0
11012020,07:00,08:00,0
11012020,08:00,09:00,0
11012020,09:00,10:00,0
11012020,10:00,11:00,0
11012020,11:00,12:00,0
11012020,12:00,13:00,0
11012020,13:00,14:00,0
11012020,14:00,15:00,0
11012020,15:00,16:00,0
11012020,16:00,17:00,0
11012020,17:00,18:00,0
11012020,18:00,19:00,0
11012020,19:00,20:00,0
11012020,20:00,21:00,0
11012020,21:00,22:00,0
11012020,22:00,23:00,0
11012020,23:00,00:00,0
12012020,00:00,01:00,0
12012020,01:00,02:00,0
12012020,02:00,03:00,0
12012020,03:00,04:00,0
12012020,04:00,05:00,0
12012020,05:00,06:00,0
12012020,06:00,07:00,0
12012020,07:00,08:00,0
12012020,08:00,09:00,0
12012020,09:00,10:00,0
12012020,10:00,11:00,0
12012020,11:00,12:00,0
12012020,12:00,13:00,0
12012020,13:00,14:00,0
12012020,14:00,15:00,0
12012020,15:00,16:00,0
12012020,16:00,17:00,0
12012020,17:00,18:00,0
12012020,18:00,19:00,0
12012020,19:00,20:00,0
12012020,20:00,21:00,0
12012020,21:00,22:00,0
12012020,22:00,23:00,0
12012020,23:00,00:00,0
13012020,00:00,01:00,0
13012020,01:00,02:00,0
13012020,02:00,03:00,0
13012020,03:00,04:00,0
13012020,04:00,05:00,0
13012020,05:00,06:00,0
13012020,06:00,07:00,0
13012020,07:00,08:00,0
13012020,08:00,09:00,0
13012020,09:00,10:00,0
