date,start,end,11WD7RHAU5GKW3B5
1012018,00:00,01:00,0
1012018,01:00,02:00,0
1012018,02:00,03:00,0
1012018,03:00,04:00,0
1012018,04:00,05:00,0
1012018,05:00,06:00,0
1012018,06:00,07:00,0
1012018,07:00,08:00,0
1012018,08:00,09:00,0
1012018,09:00,10:00,0
1012018,10:00,11:00,0
1012018,11:00,12:00,0
1012018,12:00,13:00,0
1012018,13:00,14:00,0
1012018,14:00,15:00,0
1012018,15:00,16:00,0
1012018,16:00,17:00,0
1012018,17:00,18:00,0
1012018,18:00,19:00,0
1012018,19:00,20:00,0
1012018,20:00,21:00,0
1012018,21:00,22:00,0
1012018,22:00,23:00,4
1012018,23:00,00:00,4
2012018,00:00,01:00,4
2012018,01:00,02:00,4
2012018,02:00,03:00,9
2012018,03:00,04:00,21
2012018,04:00,05:00,37
2012018,05:00,06:00,44
2012018,06:00,07:00,70
2012018,07:00,08:00,105
2012018,08:00,09:00,106
2012018,09:00,10:00,106
2012018,10:00,11:00,106
2012018,11:00,12:00,107
2012018,12:00,13:00,106
2012018,13:00,14:00,106
2012018,14:00,15:00,106
2012018,15:00,16:00,105
2012018,16:00,17:00,105
2012018,17:00,18:00,105
2012018,18:00,19:00,105
2012018,19:00,20:00,105
2012018,20:00,21:00,104
2012018,21:00,22:00,104
2012018,22:00,23:00,105
2012018,23:00,00:00,82
3012018,00:00,01:00,53
3012018,01:00,02:00,54
3012018,02:00,03:00,54
3012018,03:00,04:00,53
3012018,04:00,05:00,53
3012018,05:00,06:00,56
3012018,06:00,07:00,72
3012018,07:00,08:00,71
3012018,08:00,09:00,71
3012018,09:00,10:00,74
3012018,10:00,11:00,81
3012018,11:00,12:00,79
3012018,12:00,13:00,86
3012018,13:00,14:00,80
3012018,14:00,15:00,96
3012018,15:00,16:00,76
3012018,16:00,17:00,74
3012018,17:00,18:00,73
3012018,18:00,19:00,72
3012018,19:00,20:00,74
3012018,20:00,21:00,63
3012018,21:00,22:00,55
3012018,22:00,23:00,53
3012018,23:00,00:00,52
4012018,00:00,01:00,53
4012018,01:00,02:00,53
4012018,02:00,03:00,53
4012018,03:00,04:00,53
4012018,04:00,05:00,53
4012018,05:00,06:00,59
4012018,06:00,07:00,71
4012018,07:00,08:00,75
4012018,08:00,09:00,85
4012018,09:00,10:00,89
4012018,10:00,11:00,98
4012018,11:00,12:00,103
4012018,12:00,13:00,103
4012018,13:00,14:00,103
4012018,14:00,15:00,106
4012018,15:00,16:00,105
4012018,16:00,17:00,103
4012018,17:00,18:00,102
4012018,18:00,19:00,102
4012018,19:00,20:00,102
4012018,20:00,21:00,99
4012018,21:00,22:00,93
4012018,22:00,23:00,56
4012018,23:00,00:00,53
