date,start,end,11WD8LEIP5X----6
10012019,11:00,12:00,168
10012019,12:00,13:00,168
10012019,13:00,14:00,168
10012019,14:00,15:00,169
10012019,15:00,16:00,169
10012019,16:00,17:00,169
10012019,17:00,18:00,170
10012019,18:00,19:00,170
10012019,19:00,20:00,169
10012019,20:00,21:00,168
10012019,21:00,22:00,162
10012019,22:00,23:00,167
10012019,23:00,00:00,163
11012019,00:00,01:00,151
11012019,01:00,02:00,120
11012019,02:00,03:00,102
11012019,03:00,04:00,119
11012019,04:00,05:00,153
11012019,05:00,06:00,153
11012019,06:00,07:00,165
11012019,07:00,08:00,165
11012019,08:00,09:00,165
11012019,09:00,10:00,165
11012019,10:00,11:00,161
11012019,11:00,12:00,164
11012019,12:00,13:00,150
11012019,13:00,14:00,163
11012019,14:00,15:00,154
11012019,15:00,16:00,145
11012019,16:00,17:00,164
11012019,17:00,18:00,165
11012019,18:00,19:00,164
11012019,19:00,20:00,164
11012019,20:00,21:00,164
11012019,21:00,22:00,156
11012019,22:00,23:00,149
11012019,23:00,00:00,148
12012019,00:00,01:00,136
12012019,01:00,02:00,94
12012019,02:00,03:00,73
12012019,03:00,04:00,81
12012019,04:00,05:00,85
12012019,05:00,06:00,115
12012019,06:00,07:00,143
12012019,07:00,08:00,155
12012019,08:00,09:00,160
12012019,09:00,10:00,148
12012019,10:00,11:00,140
12012019,11:00,12:00,142
12012019,12:00,13:00,124
12012019,13:00,14:00,124
12012019,14:00,15:00,147
12012019,15:00,16:00,146
12012019,16:00,17:00,157
12012019,17:00,18:00,156
12012019,18:00,19:00,155
12012019,19:00,20:00,145
12012019,20:00,21:00,146
12012019,21:00,22:00,126
12012019,22:00,23:00,69
12012019,23:00,00:00,53
13012019,00:00,01:00,29
13012019,01:00,02:00,23
13012019,02:00,03:00,23
13012019,03:00,04:00,23
13012019,04:00,05:00,23
13012019,05:00,06:00,23
13012019,06:00,07:00,23
13012019,07:00,08:00,23
13012019,08:00,09:00,23
13012019,09:00,10:00,23
13012019,10:00,11:00,23
13012019,11:00,12:00,23
13012019,12:00,13:00,23
13012019,13:00,14:00,23
13012019,14:00,15:00,23
13012019,15:00,16:00,23
13012019,16:00,17:00,23
13012019,17:00,18:00,23
13012019,18:00,19:00,23
13012019,19:00,20:00,23
13012019,20:00,21:00,23
13012019,21:00,22:00,23
13012019,22:00,23:00,23
13012019,23:00,00:00,23
14012019,00:00,01:00,23
14012019,01:00,02:00,23
14012019,02:00,03:00,31
14012019,03:00,04:00,38
14012019,04:00,05:00,40
14012019,05:00,06:00,71
14012019,06:00,07:00,93
14012019,07:00,08:00,124
14012019,08:00,09:00,152
14012019,09:00,10:00,161
14012019,10:00,11:00,162
14012019,11:00,12:00,163
14012019,12:00,13:00,162
14012019,13:00,14:00,163
14012019,14:00,15:00,164
14012019,15:00,16:00,165
14012019,16:00,17:00,165
14012019,17:00,18:00,165
14012019,18:00,19:00,165
14012019,19:00,20:00,165
14012019,20:00,21:00,157
14012019,21:00,22:00,149
14012019,22:00,23:00,103
14012019,23:00,00:00,63
15012019,00:00,01:00,63
15012019,01:00,02:00,63
15012019,02:00,03:00,63
15012019,03:00,04:00,63
15012019,04:00,05:00,63
15012019,05:00,06:00,63
15012019,06:00,07:00,122
15012019,07:00,08:00,149
15012019,08:00,09:00,151
15012019,09:00,10:00,160
15012019,10:00,11:00,162
15012019,11:00,12:00,149
15012019,12:00,13:00,148
15012019,13:00,14:00,148
15012019,14:00,15:00,148
15012019,15:00,16:00,149
15012019,16:00,17:00,151
15012019,17:00,18:00,150
15012019,18:00,19:00,149
15012019,19:00,20:00,150
15012019,20:00,21:00,148
15012019,21:00,22:00,129
15012019,22:00,23:00,88
15012019,23:00,00:00,63
16012019,00:00,01:00,62
16012019,01:00,02:00,63
16012019,02:00,03:00,62
16012019,03:00,04:00,63
16012019,04:00,05:00,63
16012019,05:00,06:00,78
16012019,06:00,07:00,118
16012019,07:00,08:00,149
16012019,08:00,09:00,143
16012019,09:00,10:00,122
16012019,10:00,11:00,120
16012019,11:00,12:00,128
16012019,12:00,13:00,116
16012019,13:00,14:00,137
16012019,14:00,15:00,143
16012019,15:00,16:00,148
16012019,16:00,17:00,146
16012019,17:00,18:00,148
16012019,18:00,19:00,148
16012019,19:00,20:00,146
16012019,20:00,21:00,149
16012019,21:00,22:00,127
16012019,22:00,23:00,91
16012019,23:00,00:00,56
17012019,00:00,01:00,30
17012019,01:00,02:00,30
17012019,02:00,03:00,30
17012019,03:00,04:00,30
17012019,04:00,05:00,45
17012019,05:00,06:00,87
17012019,06:00,07:00,118
17012019,07:00,08:00,143
17012019,08:00,09:00,145
17012019,09:00,10:00,144
17012019,10:00,11:00,142
17012019,11:00,12:00,144
17012019,12:00,13:00,115
17012019,13:00,14:00,97
17012019,14:00,15:00,97
17012019,15:00,16:00,120
17012019,16:00,17:00,136
17012019,17:00,18:00,128
17012019,18:00,19:00,142
17012019,19:00,20:00,145
17012019,20:00,21:00,147
17012019,21:00,22:00,107
17012019,22:00,23:00,63
17012019,23:00,00:00,101
18012019,00:00,01:00,101
18012019,01:00,02:00,96
18012019,02:00,03:00,103
18012019,03:00,04:00,102
18012019,04:00,05:00,143
18012019,05:00,06:00,149
18012019,06:00,07:00,145
18012019,07:00,08:00,153
18012019,08:00,09:00,156
18012019,09:00,10:00,165
18012019,10:00,11:00,163
18012019,11:00,12:00,150
18012019,12:00,13:00,143
18012019,13:00,14:00,130
18012019,14:00,15:00,148
18012019,15:00,16:00,150
18012019,16:00,17:00,151
18012019,17:00,18:00,151
18012019,18:00,19:00,151
18012019,19:00,20:00,150
18012019,20:00,21:00,148
18012019,21:00,22:00,147
18012019,22:00,23:00,150
18012019,23:00,00:00,150
19012019,00:00,01:00,120
19012019,01:00,02:00,98
19012019,02:00,03:00,99
19012019,03:00,04:00,139
19012019,04:00,05:00,150
19012019,05:00,06:00,151
19012019,06:00,07:00,154
19012019,07:00,08:00,156
19012019,08:00,09:00,165
19012019,09:00,10:00,154
19012019,10:00,11:00,145
19012019,11:00,12:00,151
19012019,12:00,13:00,144
19012019,13:00,14:00,138
19012019,14:00,15:00,142
19012019,15:00,16:00,148
19012019,16:00,17:00,151
19012019,17:00,18:00,151
19012019,18:00,19:00,154
19012019,19:00,20:00,150
19012019,20:00,21:00,143
19012019,21:00,22:00,148
19012019,22:00,23:00,142
19012019,23:00,00:00,141
20012019,00:00,01:00,153
20012019,01:00,02:00,153
20012019,02:00,03:00,118
20012019,03:00,04:00,70
20012019,04:00,05:00,94
20012019,05:00,06:00,128
20012019,06:00,07:00,157
20012019,07:00,08:00,161
20012019,08:00,09:00,163
20012019,09:00,10:00,163
20012019,10:00,11:00,160
20012019,11:00,12:00,154
20012019,12:00,13:00,154
20012019,13:00,14:00,154
20012019,14:00,15:00,154
20012019,15:00,16:00,160
20012019,16:00,17:00,161
20012019,17:00,18:00,161
20012019,18:00,19:00,162
20012019,19:00,20:00,162
20012019,20:00,21:00,162
20012019,21:00,22:00,158
20012019,22:00,23:00,156
20012019,23:00,00:00,156
21012019,00:00,01:00,156
21012019,01:00,02:00,157
21012019,02:00,03:00,120
21012019,03:00,04:00,87
21012019,04:00,05:00,128
21012019,05:00,06:00,163
21012019,06:00,07:00,167
21012019,07:00,08:00,170
21012019,08:00,09:00,170
21012019,09:00,10:00,170
21012019,10:00,11:00,171
21012019,11:00,12:00,167
21012019,12:00,13:00,166
21012019,13:00,14:00,164
21012019,14:00,15:00,166
21012019,15:00,16:00,170
21012019,16:00,17:00,170
21012019,17:00,18:00,171
21012019,18:00,19:00,170
21012019,19:00,20:00,170
21012019,20:00,21:00,170
21012019,21:00,22:00,170
21012019,22:00,23:00,170
21012019,23:00,00:00,157
22012019,00:00,01:00,157
22012019,01:00,02:00,154
22012019,02:00,03:00,154
22012019,03:00,04:00,154
22012019,04:00,05:00,155
22012019,05:00,06:00,158
22012019,06:00,07:00,167
22012019,07:00,08:00,168
22012019,08:00,09:00,169
22012019,09:00,10:00,169
22012019,10:00,11:00,168
22012019,11:00,12:00,163
22012019,12:00,13:00,160
22012019,13:00,14:00,162
22012019,14:00,15:00,163
22012019,15:00,16:00,159
22012019,16:00,17:00,159
22012019,17:00,18:00,163
22012019,18:00,19:00,166
22012019,19:00,20:00,167
22012019,20:00,21:00,167
22012019,21:00,22:00,164
22012019,22:00,23:00,159
22012019,23:00,00:00,152
23012019,00:00,01:00,153
23012019,01:00,02:00,151
23012019,02:00,03:00,151
23012019,03:00,04:00,153
23012019,04:00,05:00,154
23012019,05:00,06:00,157
23012019,06:00,07:00,167
23012019,07:00,08:00,169
23012019,08:00,09:00,168
23012019,09:00,10:00,165
23012019,10:00,11:00,165
23012019,11:00,12:00,167
23012019,12:00,13:00,167
23012019,13:00,14:00,166
23012019,14:00,15:00,165
23012019,15:00,16:00,166
23012019,16:00,17:00,167
23012019,17:00,18:00,168
23012019,18:00,19:00,168
23012019,19:00,20:00,169
23012019,20:00,21:00,169
23012019,21:00,22:00,168
23012019,22:00,23:00,168
23012019,23:00,00:00,166
24012019,00:00,01:00,160
24012019,01:00,02:00,154
24012019,02:00,03:00,153
24012019,03:00,04:00,151
24012019,04:00,05:00,155
24012019,05:00,06:00,159
24012019,06:00,07:00,168
24012019,07:00,08:00,170
24012019,08:00,09:00,168
24012019,09:00,10:00,169
24012019,10:00,11:00,169
24012019,11:00,12:00,168
24012019,12:00,13:00,169
24012019,13:00,14:00,169
24012019,14:00,15:00,169
24012019,15:00,16:00,169
24012019,16:00,17:00,170
24012019,17:00,18:00,171
24012019,18:00,19:00,171
24012019,19:00,20:00,170
24012019,20:00,21:00,170
24012019,21:00,22:00,163
24012019,22:00,23:00,157
24012019,23:00,00:00,156
25012019,00:00,01:00,154
25012019,01:00,02:00,156
25012019,02:00,03:00,154
25012019,03:00,04:00,155
25012019,04:00,05:00,157
25012019,05:00,06:00,161
25012019,06:00,07:00,170
25012019,07:00,08:00,172
25012019,08:00,09:00,173
25012019,09:00,10:00,171
25012019,10:00,11:00,169
25012019,11:00,12:00,170
25012019,12:00,13:00,169
25012019,13:00,14:00,169
25012019,14:00,15:00,169
25012019,15:00,16:00,169
25012019,16:00,17:00,169
25012019,17:00,18:00,169
25012019,18:00,19:00,170
25012019,19:00,20:00,170
25012019,20:00,21:00,166
25012019,21:00,22:00,155
25012019,22:00,23:00,121
25012019,23:00,00:00,98
26012019,00:00,01:00,100
26012019,01:00,02:00,101
26012019,02:00,03:00,101
26012019,03:00,04:00,101
26012019,04:00,05:00,101
26012019,05:00,06:00,101
26012019,06:00,07:00,92
26012019,07:00,08:00,121
26012019,08:00,09:00,150
26012019,09:00,10:00,149
26012019,10:00,11:00,149
26012019,11:00,12:00,145
26012019,12:00,13:00,144
26012019,13:00,14:00,141
26012019,14:00,15:00,144
26012019,15:00,16:00,146
26012019,16:00,17:00,142
26012019,17:00,18:00,145
26012019,18:00,19:00,144
26012019,19:00,20:00,141
26012019,20:00,21:00,147
26012019,21:00,22:00,146
26012019,22:00,23:00,121
26012019,23:00,00:00,73
27012019,00:00,01:00,63
27012019,01:00,02:00,63
27012019,02:00,03:00,63
27012019,03:00,04:00,63
27012019,04:00,05:00,63
27012019,05:00,06:00,63
27012019,06:00,07:00,83
27012019,07:00,08:00,130
27012019,08:00,09:00,144
27012019,09:00,10:00,144
27012019,10:00,11:00,144
27012019,11:00,12:00,122
27012019,12:00,13:00,121
27012019,13:00,14:00,112
27012019,14:00,15:00,92
27012019,15:00,16:00,92
27012019,16:00,17:00,119
27012019,17:00,18:00,143
27012019,18:00,19:00,145
27012019,19:00,20:00,146
27012019,20:00,21:00,144
27012019,21:00,22:00,130
27012019,22:00,23:00,93
27012019,23:00,00:00,63
28012019,00:00,01:00,63
28012019,01:00,02:00,63
28012019,02:00,03:00,63
28012019,03:00,04:00,63
28012019,04:00,05:00,97
28012019,05:00,06:00,120
28012019,06:00,07:00,148
28012019,07:00,08:00,148
28012019,08:00,09:00,148
28012019,09:00,10:00,147
28012019,10:00,11:00,146
28012019,11:00,12:00,146
28012019,12:00,13:00,145
28012019,13:00,14:00,146
28012019,14:00,15:00,147
28012019,15:00,16:00,148
28012019,16:00,17:00,149
28012019,17:00,18:00,149
28012019,18:00,19:00,150
28012019,19:00,20:00,150
28012019,20:00,21:00,150
28012019,21:00,22:00,150
28012019,22:00,23:00,150
28012019,23:00,00:00,146
29012019,00:00,01:00,135
29012019,01:00,02:00,101
29012019,02:00,03:00,69
29012019,03:00,04:00,80
29012019,04:00,05:00,124
29012019,05:00,06:00,146
29012019,06:00,07:00,153
29012019,07:00,08:00,154
29012019,08:00,09:00,151
29012019,09:00,10:00,152
29012019,10:00,11:00,163
29012019,11:00,12:00,130
29012019,12:00,13:00,132
29012019,13:00,14:00,146
29012019,14:00,15:00,148
29012019,15:00,16:00,151
29012019,16:00,17:00,160
29012019,17:00,18:00,163
29012019,18:00,19:00,163
29012019,19:00,20:00,154
29012019,20:00,21:00,152
29012019,21:00,22:00,152
29012019,22:00,23:00,153
29012019,23:00,00:00,143
30012019,00:00,01:00,136
30012019,01:00,02:00,137
30012019,02:00,03:00,136
30012019,03:00,04:00,136
30012019,04:00,05:00,146
30012019,05:00,06:00,151
30012019,06:00,07:00,160
30012019,07:00,08:00,165
30012019,08:00,09:00,165
30012019,09:00,10:00,164
30012019,10:00,11:00,148
30012019,11:00,12:00,135
30012019,12:00,13:00,147
30012019,13:00,14:00,147
30012019,14:00,15:00,147
30012019,15:00,16:00,145
30012019,16:00,17:00,149
30012019,17:00,18:00,149
30012019,18:00,19:00,149
30012019,19:00,20:00,149
30012019,20:00,21:00,148
30012019,21:00,22:00,148
30012019,22:00,23:00,148
30012019,23:00,00:00,143
31012019,00:00,01:00,141
31012019,01:00,02:00,119
31012019,02:00,03:00,88
31012019,03:00,04:00,88
31012019,04:00,05:00,118
31012019,05:00,06:00,151
31012019,06:00,07:00,160
31012019,07:00,08:00,163
31012019,08:00,09:00,163
31012019,09:00,10:00,153
31012019,10:00,11:00,148
31012019,11:00,12:00,147
