date,start,end,11WD8SCHK1L---A2,11WD8SCHK1L---B0
1012022,00:00,01:00,0.0,157.0
1012022,01:00,02:00,0.0,154.0
1012022,02:00,03:00,0.0,154.0
1012022,03:00,04:00,0.0,153.0
1012022,04:00,05:00,0.0,153.0
1012022,05:00,06:00,0.0,153.0
1012022,06:00,07:00,0.0,153.0
1012022,07:00,08:00,0.0,153.0
1012022,08:00,09:00,0.0,178.0
1012022,09:00,10:00,0.0,175.0
1012022,10:00,11:00,0.0,174.0
1012022,11:00,12:00,0.0,174.0
1012022,12:00,13:00,0.0,175.0
1012022,13:00,14:00,0.0,176.0
1012022,14:00,15:00,0.0,176.0
1012022,15:00,16:00,0.0,210.0
1012022,16:00,17:00,0.0,293.0
1012022,17:00,18:00,0.0,311.0
1012022,18:00,19:00,0.0,307.0
1012022,19:00,20:00,0.0,297.0
1012022,20:00,21:00,0.0,219.0
1012022,21:00,22:00,0.0,155.0
1012022,22:00,23:00,0.0,156.0
1012022,23:00,00:00,0.0,152.0
2012022,00:00,01:00,0.0,150.0
2012022,01:00,02:00,0.0,150.0
2012022,02:00,03:00,0.0,150.0
2012022,03:00,04:00,0.0,150.0
2012022,04:00,05:00,0.0,149.0
2012022,05:00,06:00,0.0,151.0
2012022,06:00,07:00,0.0,150.0
2012022,07:00,08:00,0.0,149.0
2012022,08:00,09:00,0.0,176.0
2012022,09:00,10:00,0.0,177.0
2012022,10:00,11:00,0.0,176.0
2012022,11:00,12:00,0.0,174.0
2012022,12:00,13:00,0.0,177.0
2012022,13:00,14:00,0.0,177.0
2012022,14:00,15:00,0.0,177.0
2012022,15:00,16:00,0.0,177.0
2012022,16:00,17:00,0.0,177.0
2012022,17:00,18:00,0.0,177.0
2012022,18:00,19:00,0.0,177.0
2012022,19:00,20:00,0.0,175.0
2012022,20:00,21:00,0.0,175.0
2012022,21:00,22:00,0.0,174.0
2012022,22:00,23:00,0.0,176.0
2012022,23:00,00:00,0.0,178.0
3012022,00:00,01:00,0.0,177.0
3012022,01:00,02:00,0.0,176.0
3012022,02:00,03:00,0.0,174.0
3012022,03:00,04:00,0.0,174.0
3012022,04:00,05:00,0.0,173.0
3012022,05:00,06:00,0.0,180.0
3012022,06:00,07:00,0.0,177.0
3012022,07:00,08:00,83.0,177.0
3012022,08:00,09:00,227.0,178.0
3012022,09:00,10:00,239.0,179.0
