date,start,end,11WD8TIEF5G-GUDI,11WD8TIEF5C----9
1012018,00:00,01:00,0.0,13
1012018,01:00,02:00,0.0,14
1012018,02:00,03:00,0.0,14
1012018,03:00,04:00,0.0,14
1012018,04:00,05:00,0.0,14
1012018,05:00,06:00,0.0,14
1012018,06:00,07:00,0.0,14
1012018,07:00,08:00,0.0,14
1012018,08:00,09:00,0.0,13
1012018,09:00,10:00,0.0,13
1012018,10:00,11:00,0.0,13
1012018,11:00,12:00,0.0,13
1012018,12:00,13:00,0.0,13
1012018,13:00,14:00,0.0,13
1012018,14:00,15:00,0.0,13
1012018,15:00,16:00,0.0,39
1012018,16:00,17:00,0.0,135
1012018,17:00,18:00,0.0,152
1012018,18:00,19:00,0.0,153
1012018,19:00,20:00,0.0,149
1012018,20:00,21:00,0.0,149
1012018,21:00,22:00,0.0,152
1012018,22:00,23:00,0.0,154
1012018,23:00,00:00,0.0,153
2012018,00:00,01:00,0.0,152
2012018,01:00,02:00,0.0,150
2012018,02:00,03:00,0.0,151
2012018,03:00,04:00,0.0,152
2012018,04:00,05:00,0.0,151
2012018,05:00,06:00,12.0,148
2012018,06:00,07:00,51.0,151
2012018,07:00,08:00,51.0,150
2012018,08:00,09:00,51.0,150
2012018,09:00,10:00,50.0,151
2012018,10:00,11:00,51.0,150
2012018,11:00,12:00,50.0,150
2012018,12:00,13:00,50.0,151
2012018,13:00,14:00,50.0,152
2012018,14:00,15:00,49.0,151
2012018,15:00,16:00,49.0,147
2012018,16:00,17:00,49.0,147
2012018,17:00,18:00,49.0,150
2012018,18:00,19:00,49.0,150
2012018,19:00,20:00,50.0,150
2012018,20:00,21:00,49.0,152
2012018,21:00,22:00,5.0,151
2012018,22:00,23:00,0.0,151
2012018,23:00,00:00,0.0,123
3012018,00:00,01:00,0.0,68
3012018,01:00,02:00,0.0,75
3012018,02:00,03:00,0.0,74
3012018,03:00,04:00,0.0,74
3012018,04:00,05:00,0.0,74
3012018,05:00,06:00,0.0,114
3012018,06:00,07:00,0.0,151
3012018,07:00,08:00,0.0,150
3012018,08:00,09:00,0.0,148
3012018,09:00,10:00,0.0,148
3012018,10:00,11:00,0.0,149
3012018,11:00,12:00,0.0,151
3012018,12:00,13:00,4.0,143
3012018,13:00,14:00,47.0,88
3012018,14:00,15:00,58.0,73
3012018,15:00,16:00,64.0,73
3012018,16:00,17:00,66.0,73
3012018,17:00,18:00,66.0,73
3012018,18:00,19:00,66.0,73
3012018,19:00,20:00,63.0,73
3012018,20:00,21:00,56.0,72
3012018,21:00,22:00,21.0,73
3012018,22:00,23:00,4.0,73
3012018,23:00,00:00,4.0,73
4012018,00:00,01:00,4.0,73
4012018,01:00,02:00,4.0,73
4012018,02:00,03:00,4.0,73
4012018,03:00,04:00,4.0,74
4012018,04:00,05:00,4.0,74
4012018,05:00,06:00,18.0,74
4012018,06:00,07:00,58.0,73
4012018,07:00,08:00,68.0,73
4012018,08:00,09:00,68.0,73
4012018,09:00,10:00,68.0,73
4012018,10:00,11:00,68.0,74
4012018,11:00,12:00,65.0,69
4012018,12:00,13:00,57.0,69
4012018,13:00,14:00,59.0,74
4012018,14:00,15:00,57.0,145
4012018,15:00,16:00,54.0,151
4012018,16:00,17:00,51.0,150
4012018,17:00,18:00,50.0,151
4012018,18:00,19:00,49.0,153
4012018,19:00,20:00,48.0,150
4012018,20:00,21:00,52.0,129
4012018,21:00,22:00,41.0,146
4012018,22:00,23:00,1.0,149
4012018,23:00,00:00,1.0,151
5012018,00:00,01:00,1.0,130
5012018,01:00,02:00,1.0,72
5012018,02:00,03:00,1.0,58
5012018,03:00,04:00,1.0,61
5012018,04:00,05:00,1.0,83
5012018,05:00,06:00,1.0,148
5012018,06:00,07:00,11.0,151
5012018,07:00,08:00,50.0,152
5012018,08:00,09:00,50.0,151
5012018,09:00,10:00,50.0,150
5012018,10:00,11:00,50.0,150
5012018,11:00,12:00,53.0,150
5012018,12:00,13:00,53.0,151
5012018,13:00,14:00,54.0,152
5012018,14:00,15:00,53.0,152
5012018,15:00,16:00,54.0,152
5012018,16:00,17:00,55.0,152
5012018,17:00,18:00,55.0,150
5012018,18:00,19:00,55.0,148
5012018,19:00,20:00,55.0,147
5012018,20:00,21:00,56.0,149
5012018,21:00,22:00,48.0,150
5012018,22:00,23:00,1.0,146
5012018,23:00,00:00,1.0,146
6012018,00:00,01:00,1.0,143
6012018,01:00,02:00,1.0,137
6012018,02:00,03:00,1.0,137
6012018,03:00,04:00,1.0,130
6012018,04:00,05:00,1.0,131
6012018,05:00,06:00,1.0,141
6012018,06:00,07:00,1.0,151
6012018,07:00,08:00,1.0,151
6012018,08:00,09:00,45.0,152
6012018,09:00,10:00,51.0,149
6012018,10:00,11:00,50.0,148
6012018,11:00,12:00,49.0,146
6012018,12:00,13:00,48.0,146
6012018,13:00,14:00,48.0,149
6012018,14:00,15:00,51.0,150
6012018,15:00,16:00,58.0,147
6012018,16:00,17:00,58.0,148
6012018,17:00,18:00,100.0,147
6012018,18:00,19:00,106.0,149
6012018,19:00,20:00,107.0,149
6012018,20:00,21:00,107.0,148
6012018,21:00,22:00,61.0,148
6012018,22:00,23:00,52.0,148
6012018,23:00,00:00,3.0,148
7012018,00:00,01:00,1.0,147
7012018,01:00,02:00,1.0,147
7012018,02:00,03:00,1.0,148
7012018,03:00,04:00,1.0,148
7012018,04:00,05:00,1.0,147
7012018,05:00,06:00,1.0,147
7012018,06:00,07:00,1.0,146
7012018,07:00,08:00,4.0,148
7012018,08:00,09:00,5.0,149
7012018,09:00,10:00,5.0,150
7012018,10:00,11:00,5.0,150
7012018,11:00,12:00,7.0,150
7012018,12:00,13:00,8.0,149
7012018,13:00,14:00,7.0,150
7012018,14:00,15:00,6.0,148
7012018,15:00,16:00,3.0,148
7012018,16:00,17:00,2.0,146
7012018,17:00,18:00,48.0,150
7012018,18:00,19:00,57.0,147
7012018,19:00,20:00,10.0,149
7012018,20:00,21:00,2.0,149
7012018,21:00,22:00,5.0,148
7012018,22:00,23:00,7.0,148
7012018,23:00,00:00,7.0,148
8012018,00:00,01:00,7.0,148
8012018,01:00,02:00,7.0,150
8012018,02:00,03:00,7.0,150
8012018,03:00,04:00,7.0,150
8012018,04:00,05:00,34.0,151
8012018,05:00,06:00,118.0,150
8012018,06:00,07:00,123.0,149
8012018,07:00,08:00,124.0,148
8012018,08:00,09:00,122.0,148
8012018,09:00,10:00,121.0,149
8012018,10:00,11:00,122.0,149
8012018,11:00,12:00,120.0,149
8012018,12:00,13:00,116.0,149
8012018,13:00,14:00,118.0,149
8012018,14:00,15:00,121.0,147
8012018,15:00,16:00,121.0,147
8012018,16:00,17:00,119.0,148
8012018,17:00,18:00,119.0,148
8012018,18:00,19:00,120.0,149
8012018,19:00,20:00,121.0,149
8012018,20:00,21:00,49.0,150
8012018,21:00,22:00,6.0,151
8012018,22:00,23:00,7.0,150
8012018,23:00,00:00,7.0,147
9012018,00:00,01:00,7.0,146
9012018,01:00,02:00,7.0,148
9012018,02:00,03:00,7.0,149
9012018,03:00,04:00,7.0,148
9012018,04:00,05:00,7.0,149
9012018,05:00,06:00,5.0,150
9012018,06:00,07:00,50.0,149
9012018,07:00,08:00,106.0,146
9012018,08:00,09:00,119.0,148
9012018,09:00,10:00,117.0,150
9012018,10:00,11:00,118.0,150
9012018,11:00,12:00,116.0,149
9012018,12:00,13:00,111.0,148
9012018,13:00,14:00,112.0,148
9012018,14:00,15:00,115.0,148
9012018,15:00,16:00,115.0,148
9012018,16:00,17:00,118.0,148
9012018,17:00,18:00,117.0,146
9012018,18:00,19:00,118.0,145
9012018,19:00,20:00,116.0,147
9012018,20:00,21:00,115.0,147
9012018,21:00,22:00,110.0,146
9012018,22:00,23:00,54.0,148
9012018,23:00,00:00,56.0,147
10012018,00:00,01:00,60.0,147
10012018,01:00,02:00,61.0,148
10012018,02:00,03:00,57.0,149
10012018,03:00,04:00,62.0,149
10012018,04:00,05:00,64.0,124
10012018,05:00,06:00,116.0,120
10012018,06:00,07:00,119.0,122
10012018,07:00,08:00,119.0,122
10012018,08:00,09:00,119.0,127
10012018,09:00,10:00,120.0,143
10012018,10:00,11:00,117.0,145
10012018,11:00,12:00,116.0,144
10012018,12:00,13:00,108.0,144
10012018,13:00,14:00,105.0,145
10012018,14:00,15:00,105.0,146
10012018,15:00,16:00,104.0,145
10012018,16:00,17:00,105.0,145
10012018,17:00,18:00,105.0,146
10012018,18:00,19:00,105.0,146
10012018,19:00,20:00,105.0,146
10012018,20:00,21:00,104.0,148
10012018,21:00,22:00,105.0,149
10012018,22:00,23:00,85.0,150
10012018,23:00,00:00,44.0,147
11012018,00:00,01:00,47.0,144
11012018,01:00,02:00,50.0,145
11012018,02:00,03:00,51.0,146
11012018,03:00,04:00,51.0,146
11012018,04:00,05:00,52.0,146
11012018,05:00,06:00,64.0,148
11012018,06:00,07:00,110.0,146
11012018,07:00,08:00,114.0,147
11012018,08:00,09:00,116.0,147
11012018,09:00,10:00,117.0,145
11012018,10:00,11:00,121.0,142
11012018,11:00,12:00,121.0,143
11012018,12:00,13:00,119.0,146
11012018,13:00,14:00,117.0,147
11012018,14:00,15:00,116.0,148
11012018,15:00,16:00,114.0,148
11012018,16:00,17:00,113.0,147
11012018,17:00,18:00,115.0,147
11012018,18:00,19:00,114.0,148
11012018,19:00,20:00,115.0,147
11012018,20:00,21:00,114.0,148
11012018,21:00,22:00,110.0,148
11012018,22:00,23:00,55.0,149
11012018,23:00,00:00,4.0,146
12012018,00:00,01:00,1.0,143
12012018,01:00,02:00,1.0,142
12012018,02:00,03:00,1.0,143
12012018,03:00,04:00,1.0,143
12012018,04:00,05:00,3.0,144
12012018,05:00,06:00,52.0,146
12012018,06:00,07:00,111.0,148
12012018,07:00,08:00,121.0,147
12012018,08:00,09:00,121.0,147
12012018,09:00,10:00,120.0,147
12012018,10:00,11:00,120.0,147
12012018,11:00,12:00,120.0,147
12012018,12:00,13:00,120.0,146
12012018,13:00,14:00,120.0,146
12012018,14:00,15:00,119.0,147
12012018,15:00,16:00,120.0,146
12012018,16:00,17:00,120.0,147
12012018,17:00,18:00,119.0,147
12012018,18:00,19:00,119.0,147
12012018,19:00,20:00,120.0,147
12012018,20:00,21:00,119.0,146
12012018,21:00,22:00,114.0,145
12012018,22:00,23:00,57.0,145
12012018,23:00,00:00,53.0,144
13012018,00:00,01:00,7.0,143
13012018,01:00,02:00,1.0,142
13012018,02:00,03:00,1.0,142
13012018,03:00,04:00,1.0,142
13012018,04:00,05:00,10.0,144
13012018,05:00,06:00,54.0,144
13012018,06:00,07:00,96.0,144
13012018,07:00,08:00,113.0,141
13012018,08:00,09:00,119.0,143
13012018,09:00,10:00,121.0,146
13012018,10:00,11:00,121.0,148
13012018,11:00,12:00,121.0,147
13012018,12:00,13:00,121.0,148
13012018,13:00,14:00,121.0,148
13012018,14:00,15:00,120.0,149
13012018,15:00,16:00,120.0,149
13012018,16:00,17:00,121.0,147
13012018,17:00,18:00,121.0,147
13012018,18:00,19:00,121.0,147
13012018,19:00,20:00,121.0,147
13012018,20:00,21:00,82.0,149
13012018,21:00,22:00,58.0,150
13012018,22:00,23:00,55.0,148
13012018,23:00,00:00,51.0,145
14012018,00:00,01:00,7.0,147
14012018,01:00,02:00,4.0,147
14012018,02:00,03:00,4.0,147
14012018,03:00,04:00,4.0,147
14012018,04:00,05:00,4.0,147
14012018,05:00,06:00,4.0,148
14012018,06:00,07:00,4.0,148
14012018,07:00,08:00,6.0,146
14012018,08:00,09:00,15.0,146
14012018,09:00,10:00,112.0,146
14012018,10:00,11:00,122.0,147
14012018,11:00,12:00,121.0,147
14012018,12:00,13:00,121.0,147
14012018,13:00,14:00,120.0,147
14012018,14:00,15:00,119.0,146
14012018,15:00,16:00,120.0,146
14012018,16:00,17:00,121.0,145
14012018,17:00,18:00,121.0,143
14012018,18:00,19:00,121.0,146
14012018,19:00,20:00,122.0,147
14012018,20:00,21:00,118.0,149
14012018,21:00,22:00,112.0,149
14012018,22:00,23:00,58.0,149
14012018,23:00,00:00,57.0,148
15012018,00:00,01:00,8.0,147
15012018,01:00,02:00,4.0,147
15012018,02:00,03:00,3.0,147
15012018,03:00,04:00,3.0,146
15012018,04:00,05:00,3.0,147
15012018,05:00,06:00,28.0,146
15012018,06:00,07:00,106.0,146
15012018,07:00,08:00,120.0,146
15012018,08:00,09:00,120.0,145
15012018,09:00,10:00,121.0,146
15012018,10:00,11:00,120.0,146
15012018,11:00,12:00,120.0,148
15012018,12:00,13:00,118.0,148
15012018,13:00,14:00,113.0,147
15012018,14:00,15:00,115.0,147
15012018,15:00,16:00,111.0,147
15012018,16:00,17:00,111.0,146
15012018,17:00,18:00,110.0,148
15012018,18:00,19:00,107.0,148
15012018,19:00,20:00,59.0,147
15012018,20:00,21:00,13.0,146
15012018,21:00,22:00,5.0,145
15012018,22:00,23:00,4.0,139
15012018,23:00,00:00,1.0,91
16012018,00:00,01:00,1.0,62
16012018,01:00,02:00,1.0,64
16012018,02:00,03:00,1.0,68
16012018,03:00,04:00,1.0,72
16012018,04:00,05:00,1.0,70
16012018,05:00,06:00,1.0,98
16012018,06:00,07:00,16.0,140
16012018,07:00,08:00,102.0,147
16012018,08:00,09:00,110.0,148
16012018,09:00,10:00,109.0,149
16012018,10:00,11:00,108.0,149
16012018,11:00,12:00,108.0,148
16012018,12:00,13:00,107.0,149
16012018,13:00,14:00,105.0,149
16012018,14:00,15:00,104.0,150
16012018,15:00,16:00,112.0,150
16012018,16:00,17:00,112.0,149
