date,start,end,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
1012016,00:00,01:00,600,830
1012016,01:00,02:00,602,835
1012016,02:00,03:00,604,837
1012016,03:00,04:00,603,836
1012016,04:00,05:00,602,836
1012016,05:00,06:00,603,836
1012016,06:00,07:00,603,838
1012016,07:00,08:00,603,837
1012016,08:00,09:00,602,837
1012016,09:00,10:00,601,839
1012016,10:00,11:00,602,836
1012016,11:00,12:00,602,837
1012016,12:00,13:00,604,838
1012016,13:00,14:00,604,838
1012016,14:00,15:00,604,836
1012016,15:00,16:00,602,837
1012016,16:00,17:00,603,835
1012016,17:00,18:00,602,837
1012016,18:00,19:00,603,834
1012016,19:00,20:00,600,835
1012016,20:00,21:00,601,836
1012016,21:00,22:00,602,835
1012016,22:00,23:00,601,835
1012016,23:00,00:00,602,836
2012016,00:00,01:00,601,838
2012016,01:00,02:00,602,838
2012016,02:00,03:00,602,796
2012016,03:00,04:00,602,741
2012016,04:00,05:00,598,719
2012016,05:00,06:00,583,697
2012016,06:00,07:00,580,711
2012016,07:00,08:00,588,791
2012016,08:00,09:00,588,837
2012016,09:00,10:00,587,838
2012016,10:00,11:00,589,835
2012016,11:00,12:00,585,837
2012016,12:00,13:00,482,835
2012016,13:00,14:00,373,826
2012016,14:00,15:00,370,819
2012016,15:00,16:00,372,578
2012016,16:00,17:00,373,534
2012016,17:00,18:00,378,533
2012016,18:00,19:00,556,551
2012016,19:00,20:00,558,596
2012016,20:00,21:00,542,548
2012016,21:00,22:00,431,544
2012016,22:00,23:00,570,726
2012016,23:00,00:00,565,750
3012016,00:00,01:00,430,799
3012016,01:00,02:00,400,779
3012016,02:00,03:00,400,767
3012016,03:00,04:00,401,741
3012016,04:00,05:00,416,743
3012016,05:00,06:00,427,744
3012016,06:00,07:00,419,740
3012016,07:00,08:00,418,745
3012016,08:00,09:00,513,743
3012016,09:00,10:00,569,770
3012016,10:00,11:00,538,772
3012016,11:00,12:00,582,773
