date,start,end,11WD8SCHW5X---19,11WD8SCHW5X---27
1012018,00:00,01:00,78,81
1012018,01:00,02:00,78,81
1012018,02:00,03:00,78,81
1012018,03:00,04:00,78,81
1012018,04:00,05:00,78,81
1012018,05:00,06:00,78,81
1012018,06:00,07:00,78,81
1012018,07:00,08:00,78,81
1012018,08:00,09:00,78,81
1012018,09:00,10:00,78,81
1012018,10:00,11:00,78,81
1012018,11:00,12:00,78,81
1012018,12:00,13:00,78,82
1012018,13:00,14:00,78,81
1012018,14:00,15:00,78,81
1012018,15:00,16:00,78,81
1012018,16:00,17:00,78,81
1012018,17:00,18:00,78,81
1012018,18:00,19:00,78,81
1012018,19:00,20:00,78,81
1012018,20:00,21:00,79,81
1012018,21:00,22:00,79,81
1012018,22:00,23:00,79,81
1012018,23:00,00:00,79,81
2012018,00:00,01:00,79,81
2012018,01:00,02:00,80,82
2012018,02:00,03:00,80,82
2012018,03:00,04:00,80,82
2012018,04:00,05:00,81,82
2012018,05:00,06:00,81,82
2012018,06:00,07:00,81,81
2012018,07:00,08:00,81,82
2012018,08:00,09:00,81,81
2012018,09:00,10:00,81,82
2012018,10:00,11:00,81,82
2012018,11:00,12:00,81,81
2012018,12:00,13:00,81,82
2012018,13:00,14:00,81,82
2012018,14:00,15:00,79,81
2012018,15:00,16:00,79,81
2012018,16:00,17:00,79,82
2012018,17:00,18:00,79,82
2012018,18:00,19:00,79,81
2012018,19:00,20:00,79,81
2012018,20:00,21:00,79,82
2012018,21:00,22:00,79,82
2012018,22:00,23:00,79,81
2012018,23:00,00:00,79,81
3012018,00:00,01:00,79,82
3012018,01:00,02:00,79,82
3012018,02:00,03:00,79,82
3012018,03:00,04:00,79,81
3012018,04:00,05:00,79,80
3012018,05:00,06:00,79,80
3012018,06:00,07:00,79,80
3012018,07:00,08:00,79,81
3012018,08:00,09:00,79,81
3012018,09:00,10:00,79,80
3012018,10:00,11:00,79,80
3012018,11:00,12:00,79,80
3012018,12:00,13:00,79,80
3012018,13:00,14:00,79,81
3012018,14:00,15:00,79,81
3012018,15:00,16:00,79,81
3012018,16:00,17:00,79,80
3012018,17:00,18:00,79,80
3012018,18:00,19:00,79,80
3012018,19:00,20:00,79,80
3012018,20:00,21:00,79,79
3012018,21:00,22:00,79,81
3012018,22:00,23:00,79,81
3012018,23:00,00:00,79,80
4012018,00:00,01:00,79,80
4012018,01:00,02:00,79,81
4012018,02:00,03:00,79,80
4012018,03:00,04:00,79,81
4012018,04:00,05:00,79,80
4012018,05:00,06:00,79,81
4012018,06:00,07:00,79,81
4012018,07:00,08:00,79,81
4012018,08:00,09:00,79,81
4012018,09:00,10:00,79,80
4012018,10:00,11:00,79,81
4012018,11:00,12:00,79,81
4012018,12:00,13:00,79,80
4012018,13:00,14:00,79,80
4012018,14:00,15:00,79,80
4012018,15:00,16:00,79,81
4012018,16:00,17:00,79,80
4012018,17:00,18:00,79,81
4012018,18:00,19:00,79,81
4012018,19:00,20:00,79,81
4012018,20:00,21:00,79,80
4012018,21:00,22:00,79,81
4012018,22:00,23:00,79,81
4012018,23:00,00:00,79,81
5012018,00:00,01:00,79,81
5012018,01:00,02:00,79,81
5012018,02:00,03:00,79,81
5012018,03:00,04:00,79,81
5012018,04:00,05:00,79,81
5012018,05:00,06:00,79,81
5012018,06:00,07:00,79,80
5012018,07:00,08:00,79,80
5012018,08:00,09:00,79,79
5012018,09:00,10:00,79,80
5012018,10:00,11:00,79,80
5012018,11:00,12:00,79,80
5012018,12:00,13:00,79,80
5012018,13:00,14:00,79,81
5012018,14:00,15:00,79,80
5012018,15:00,16:00,79,80
5012018,16:00,17:00,79,80
5012018,17:00,18:00,79,80
5012018,18:00,19:00,79,80
5012018,19:00,20:00,79,81
5012018,20:00,21:00,79,80
5012018,21:00,22:00,79,80
5012018,22:00,23:00,79,81
5012018,23:00,00:00,79,81
6012018,00:00,01:00,79,81
6012018,01:00,02:00,79,81
6012018,02:00,03:00,79,81
6012018,03:00,04:00,79,80
6012018,04:00,05:00,79,81
6012018,05:00,06:00,79,80
6012018,06:00,07:00,79,81
6012018,07:00,08:00,79,81
6012018,08:00,09:00,79,80
6012018,09:00,10:00,79,80
6012018,10:00,11:00,79,80
6012018,11:00,12:00,79,80
6012018,12:00,13:00,79,80
