date,start,end,11WD2BRE4000115K
1012019,00:00,01:00,162
1012019,01:00,02:00,154
1012019,02:00,03:00,155
1012019,03:00,04:00,155
1012019,04:00,05:00,152
1012019,05:00,06:00,143
1012019,06:00,07:00,144
1012019,07:00,08:00,167
1012019,08:00,09:00,163
1012019,09:00,10:00,144
1012019,10:00,11:00,122
1012019,11:00,12:00,120
1012019,12:00,13:00,123
1012019,13:00,14:00,133
1012019,14:00,15:00,125
1012019,15:00,16:00,145
1012019,16:00,17:00,137
1012019,17:00,18:00,146
1012019,18:00,19:00,149
1012019,19:00,20:00,145
1012019,20:00,21:00,145
1012019,21:00,22:00,136
1012019,22:00,23:00,136
1012019,23:00,00:00,0
2012019,00:00,01:00,140
2012019,01:00,02:00,143
2012019,02:00,03:00,144
2012019,03:00,04:00,142
2012019,04:00,05:00,129
2012019,05:00,06:00,122
2012019,06:00,07:00,125
2012019,07:00,08:00,141
2012019,08:00,09:00,146
2012019,09:00,10:00,145
2012019,10:00,11:00,136
2012019,11:00,12:00,150
2012019,12:00,13:00,158
2012019,13:00,14:00,131
2012019,14:00,15:00,139
2012019,15:00,16:00,159
2012019,16:00,17:00,156
2012019,17:00,18:00,131
2012019,18:00,19:00,145
2012019,19:00,20:00,139
2012019,20:00,21:00,140
2012019,21:00,22:00,162
2012019,22:00,23:00,149
2012019,23:00,00:00,0
3012019,00:00,01:00,135
3012019,01:00,02:00,130
3012019,02:00,03:00,129
3012019,03:00,04:00,134
3012019,04:00,05:00,144
3012019,05:00,06:00,132
3012019,06:00,07:00,132
3012019,07:00,08:00,83
3012019,08:00,09:00,79
3012019,09:00,10:00,91
3012019,10:00,11:00,115
3012019,11:00,12:00,129
3012019,12:00,13:00,107
3012019,13:00,14:00,97
3012019,14:00,15:00,96
3012019,15:00,16:00,97
3012019,16:00,17:00,115
3012019,17:00,18:00,141
3012019,18:00,19:00,166
3012019,19:00,20:00,143
3012019,20:00,21:00,140
3012019,21:00,22:00,155
3012019,22:00,23:00,144
3012019,23:00,00:00,0
4012019,00:00,01:00,130
4012019,01:00,02:00,134
4012019,02:00,03:00,143
4012019,03:00,04:00,141
4012019,04:00,05:00,125
4012019,05:00,06:00,118
4012019,06:00,07:00,121
4012019,07:00,08:00,142
4012019,08:00,09:00,156
4012019,09:00,10:00,161
4012019,10:00,11:00,142
4012019,11:00,12:00,143
4012019,12:00,13:00,149
4012019,13:00,14:00,133
4012019,14:00,15:00,145
4012019,15:00,16:00,134
4012019,16:00,17:00,132
4012019,17:00,18:00,122
4012019,18:00,19:00,119
4012019,19:00,20:00,128
4012019,20:00,21:00,115
4012019,21:00,22:00,115
4012019,22:00,23:00,117
4012019,23:00,00:00,0
5012019,00:00,01:00,109
5012019,01:00,02:00,108
5012019,02:00,03:00,119
5012019,03:00,04:00,90
5012019,04:00,05:00,55
5012019,05:00,06:00,53
5012019,06:00,07:00,53
5012019,07:00,08:00,54
5012019,08:00,09:00,54
5012019,09:00,10:00,54
5012019,10:00,11:00,54
5012019,11:00,12:00,54
5012019,12:00,13:00,54
5012019,13:00,14:00,54
5012019,14:00,15:00,12
5012019,15:00,16:00,0
5012019,16:00,17:00,0
5012019,17:00,18:00,0
5012019,18:00,19:00,0
5012019,19:00,20:00,4
5012019,20:00,21:00,67
5012019,21:00,22:00,127
5012019,22:00,23:00,138
5012019,23:00,00:00,0
6012019,00:00,01:00,100
6012019,01:00,02:00,111
6012019,02:00,03:00,119
6012019,03:00,04:00,141
6012019,04:00,05:00,180
6012019,05:00,06:00,175
6012019,06:00,07:00,153
6012019,07:00,08:00,155
6012019,08:00,09:00,158
6012019,09:00,10:00,156
6012019,10:00,11:00,136
6012019,11:00,12:00,151
6012019,12:00,13:00,146
6012019,13:00,14:00,139
6012019,14:00,15:00,140
6012019,15:00,16:00,139
6012019,16:00,17:00,138
6012019,17:00,18:00,137
6012019,18:00,19:00,137
6012019,19:00,20:00,129
6012019,20:00,21:00,124
6012019,21:00,22:00,124
6012019,22:00,23:00,125
6012019,23:00,00:00,0
7012019,00:00,01:00,128
7012019,01:00,02:00,121
7012019,02:00,03:00,121
7012019,03:00,04:00,127
7012019,04:00,05:00,110
7012019,05:00,06:00,110
7012019,06:00,07:00,126
7012019,07:00,08:00,135
7012019,08:00,09:00,136
7012019,09:00,10:00,136
7012019,10:00,11:00,134
7012019,11:00,12:00,133
7012019,12:00,13:00,138
7012019,13:00,14:00,137
7012019,14:00,15:00,127
7012019,15:00,16:00,119
7012019,16:00,17:00,100
7012019,17:00,18:00,85
7012019,18:00,19:00,92
7012019,19:00,20:00,95
7012019,20:00,21:00,88
7012019,21:00,22:00,86
7012019,22:00,23:00,130
7012019,23:00,00:00,0
8012019,00:00,01:00,125
8012019,01:00,02:00,124
8012019,02:00,03:00,121
8012019,03:00,04:00,113
8012019,04:00,05:00,113
8012019,05:00,06:00,121
8012019,06:00,07:00,111
8012019,07:00,08:00,129
8012019,08:00,09:00,136
8012019,09:00,10:00,144
8012019,10:00,11:00,132
8012019,11:00,12:00,130
8012019,12:00,13:00,131
8012019,13:00,14:00,131
8012019,14:00,15:00,130
8012019,15:00,16:00,120
8012019,16:00,17:00,69
8012019,17:00,18:00,66
8012019,18:00,19:00,66
8012019,19:00,20:00,65
8012019,20:00,21:00,66
8012019,21:00,22:00,66
8012019,22:00,23:00,67
8012019,23:00,00:00,0
9012019,00:00,01:00,111
9012019,01:00,02:00,108
9012019,02:00,03:00,122
9012019,03:00,04:00,112
9012019,04:00,05:00,136
9012019,05:00,06:00,149
9012019,06:00,07:00,160
9012019,07:00,08:00,154
9012019,08:00,09:00,143
9012019,09:00,10:00,158
9012019,10:00,11:00,158
9012019,11:00,12:00,144
9012019,12:00,13:00,139
9012019,13:00,14:00,147
9012019,14:00,15:00,155
9012019,15:00,16:00,147
9012019,16:00,17:00,146
9012019,17:00,18:00,159
9012019,18:00,19:00,138
9012019,19:00,20:00,130
9012019,20:00,21:00,126
9012019,21:00,22:00,153
9012019,22:00,23:00,164
9012019,23:00,00:00,0
10012019,00:00,01:00,128
10012019,01:00,02:00,141
10012019,02:00,03:00,143
10012019,03:00,04:00,143
10012019,04:00,05:00,138
10012019,05:00,06:00,117
10012019,06:00,07:00,135
10012019,07:00,08:00,153
10012019,08:00,09:00,147
10012019,09:00,10:00,159
10012019,10:00,11:00,168
10012019,11:00,12:00,167
10012019,12:00,13:00,161
10012019,13:00,14:00,172
10012019,14:00,15:00,173
10012019,15:00,16:00,168
10012019,16:00,17:00,167
10012019,17:00,18:00,167
10012019,18:00,19:00,165
10012019,19:00,20:00,148
10012019,20:00,21:00,147
10012019,21:00,22:00,146
10012019,22:00,23:00,103
10012019,23:00,00:00,0
11012019,00:00,01:00,66
11012019,01:00,02:00,66
11012019,02:00,03:00,65
11012019,03:00,04:00,64
11012019,04:00,05:00,62
11012019,05:00,06:00,90
11012019,06:00,07:00,71
11012019,07:00,08:00,71
11012019,08:00,09:00,71
11012019,09:00,10:00,78
11012019,10:00,11:00,91
11012019,11:00,12:00,99
11012019,12:00,13:00,128
11012019,13:00,14:00,148
11012019,14:00,15:00,150
11012019,15:00,16:00,135
11012019,16:00,17:00,134
11012019,17:00,18:00,136
11012019,18:00,19:00,145
11012019,19:00,20:00,127
11012019,20:00,21:00,140
11012019,21:00,22:00,153
11012019,22:00,23:00,131
11012019,23:00,00:00,0
12012019,00:00,01:00,115
12012019,01:00,02:00,145
12012019,02:00,03:00,132
12012019,03:00,04:00,127
12012019,04:00,05:00,126
12012019,05:00,06:00,118
12012019,06:00,07:00,125
12012019,07:00,08:00,133
12012019,08:00,09:00,135
12012019,09:00,10:00,131
12012019,10:00,11:00,138
12012019,11:00,12:00,127
12012019,12:00,13:00,129
12012019,13:00,14:00,153
12012019,14:00,15:00,138
12012019,15:00,16:00,126
12012019,16:00,17:00,140
12012019,17:00,18:00,141
12012019,18:00,19:00,132
12012019,19:00,20:00,140
12012019,20:00,21:00,140
12012019,21:00,22:00,121
12012019,22:00,23:00,120
12012019,23:00,00:00,0
13012019,00:00,01:00,123
13012019,01:00,02:00,123
13012019,02:00,03:00,124
13012019,03:00,04:00,125
13012019,04:00,05:00,126
13012019,05:00,06:00,127
13012019,06:00,07:00,127
13012019,07:00,08:00,119
13012019,08:00,09:00,127
13012019,09:00,10:00,122
13012019,10:00,11:00,118
13012019,11:00,12:00,124
13012019,12:00,13:00,110
13012019,13:00,14:00,123
13012019,14:00,15:00,140
13012019,15:00,16:00,130
13012019,16:00,17:00,126
13012019,17:00,18:00,127
13012019,18:00,19:00,147
13012019,19:00,20:00,148
13012019,20:00,21:00,133
13012019,21:00,22:00,124
13012019,22:00,23:00,136
13012019,23:00,00:00,0
14012019,00:00,01:00,139
14012019,01:00,02:00,132
14012019,02:00,03:00,127
14012019,03:00,04:00,127
14012019,04:00,05:00,132
14012019,05:00,06:00,138
14012019,06:00,07:00,124
14012019,07:00,08:00,133
14012019,08:00,09:00,143
14012019,09:00,10:00,144
14012019,10:00,11:00,140
14012019,11:00,12:00,135
14012019,12:00,13:00,152
14012019,13:00,14:00,148
14012019,14:00,15:00,157
14012019,15:00,16:00,160
14012019,16:00,17:00,150
