date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
7012022,14:00,15:00,705.0,733.0
7012022,15:00,16:00,707.0,732.0
7012022,16:00,17:00,715.0,736.0
7012022,17:00,18:00,706.0,731.0
7012022,18:00,19:00,701.0,724.0
7012022,19:00,20:00,704.0,729.0
7012022,20:00,21:00,693.0,734.0
7012022,21:00,22:00,707.0,722.0
7012022,22:00,23:00,696.0,731.0
7012022,23:00,00:00,708.0,731.0
8012022,00:00,01:00,705.0,712.0
8012022,01:00,02:00,703.0,717.0
8012022,02:00,03:00,700.0,712.0
8012022,03:00,04:00,685.0,704.0
8012022,04:00,05:00,687.0,714.0
8012022,05:00,06:00,706.0,708.0
8012022,06:00,07:00,721.0,719.0
8012022,07:00,08:00,721.0,727.0
8012022,08:00,09:00,705.0,704.0
8012022,09:00,10:00,714.0,728.0
8012022,10:00,11:00,705.0,731.0
8012022,11:00,12:00,708.0,731.0
8012022,12:00,13:00,720.0,719.0
8012022,13:00,14:00,728.0,717.0
8012022,14:00,15:00,723.0,731.0
8012022,15:00,16:00,728.0,738.0
8012022,16:00,17:00,728.0,734.0
8012022,17:00,18:00,732.0,741.0
8012022,18:00,19:00,732.0,738.0
8012022,19:00,20:00,686.0,698.0
8012022,20:00,21:00,513.0,525.0
8012022,21:00,22:00,460.0,456.0
8012022,22:00,23:00,558.0,577.0
8012022,23:00,00:00,591.0,601.0
9012022,00:00,01:00,470.0,462.0
9012022,01:00,02:00,523.0,541.0
9012022,02:00,03:00,404.0,464.0
9012022,03:00,04:00,382.0,482.0
9012022,04:00,05:00,375.0,519.0
9012022,05:00,06:00,359.0,497.0
9012022,06:00,07:00,334.0,488.0
9012022,07:00,08:00,355.0,472.0
9012022,08:00,09:00,475.0,458.0
9012022,09:00,10:00,611.0,606.0
9012022,10:00,11:00,694.0,701.0
9012022,11:00,12:00,710.0,741.0
9012022,12:00,13:00,687.0,693.0
9012022,13:00,14:00,722.0,747.0
9012022,14:00,15:00,725.0,759.0
9012022,15:00,16:00,736.0,749.0
9012022,16:00,17:00,734.0,739.0
9012022,17:00,18:00,734.0,746.0
9012022,18:00,19:00,733.0,753.0
9012022,19:00,20:00,731.0,752.0
9012022,20:00,21:00,735.0,750.0
9012022,21:00,22:00,733.0,747.0
9012022,22:00,23:00,700.0,705.0
9012022,23:00,00:00,645.0,643.0
10012022,00:00,01:00,732.0,737.0
10012022,01:00,02:00,736.0,742.0
10012022,02:00,03:00,738.0,736.0
10012022,03:00,04:00,736.0,738.0
10012022,04:00,05:00,736.0,737.0
10012022,05:00,06:00,739.0,738.0
10012022,06:00,07:00,704.0,733.0
10012022,07:00,08:00,692.0,730.0
10012022,08:00,09:00,697.0,741.0
10012022,09:00,10:00,697.0,741.0
10012022,10:00,11:00,711.0,736.0
10012022,11:00,12:00,695.0,735.0
10012022,12:00,13:00,687.0,743.0
10012022,13:00,14:00,696.0,741.0
10012022,14:00,15:00,692.0,743.0
10012022,15:00,16:00,697.0,733.0
10012022,16:00,17:00,696.0,738.0
10012022,17:00,18:00,697.0,733.0
10012022,18:00,19:00,689.0,738.0
10012022,19:00,20:00,693.0,742.0
10012022,20:00,21:00,692.0,739.0
10012022,21:00,22:00,690.0,733.0
10012022,22:00,23:00,706.0,735.0
10012022,23:00,00:00,702.0,738.0
11012022,00:00,01:00,704.0,733.0
11012022,01:00,02:00,704.0,736.0
11012022,02:00,03:00,706.0,737.0
11012022,03:00,04:00,692.0,734.0
11012022,04:00,05:00,708.0,737.0
11012022,05:00,06:00,706.0,737.0
11012022,06:00,07:00,725.0,733.0
11012022,07:00,08:00,722.0,738.0
11012022,08:00,09:00,718.0,739.0
11012022,09:00,10:00,726.0,734.0
11012022,10:00,11:00,718.0,731.0
11012022,11:00,12:00,723.0,734.0
11012022,12:00,13:00,730.0,731.0
11012022,13:00,14:00,728.0,736.0
11012022,14:00,15:00,726.0,736.0
11012022,15:00,16:00,715.0,731.0
11012022,16:00,17:00,711.0,733.0
11012022,17:00,18:00,709.0,733.0
11012022,18:00,19:00,711.0,728.0
11012022,19:00,20:00,710.0,734.0
11012022,20:00,21:00,711.0,730.0
11012022,21:00,22:00,712.0,730.0
11012022,22:00,23:00,709.0,737.0
11012022,23:00,00:00,709.0,689.0
12012022,00:00,01:00,708.0,678.0
12012022,01:00,02:00,713.0,735.0
12012022,02:00,03:00,707.0,733.0
12012022,03:00,04:00,708.0,732.0
12012022,04:00,05:00,716.0,733.0
12012022,05:00,06:00,713.0,732.0
12012022,06:00,07:00,710.0,735.0
12012022,07:00,08:00,706.0,734.0
12012022,08:00,09:00,707.0,727.0
12012022,09:00,10:00,717.0,730.0
12012022,10:00,11:00,719.0,731.0
12012022,11:00,12:00,718.0,722.0
12012022,12:00,13:00,723.0,732.0
12012022,13:00,14:00,720.0,734.0
12012022,14:00,15:00,713.0,735.0
12012022,15:00,16:00,717.0,738.0
12012022,16:00,17:00,705.0,731.0
12012022,17:00,18:00,704.0,731.0
12012022,18:00,19:00,702.0,732.0
12012022,19:00,20:00,706.0,730.0
12012022,20:00,21:00,707.0,734.0
12012022,21:00,22:00,718.0,732.0
12012022,22:00,23:00,715.0,740.0
12012022,23:00,00:00,699.0,712.0
13012022,00:00,01:00,563.0,573.0
13012022,01:00,02:00,454.0,526.0
13012022,02:00,03:00,354.0,438.0
13012022,03:00,04:00,355.0,450.0
13012022,04:00,05:00,352.0,393.0
13012022,05:00,06:00,422.0,472.0
13012022,06:00,07:00,613.0,626.0
13012022,07:00,08:00,642.0,634.0
13012022,08:00,09:00,619.0,626.0
13012022,09:00,10:00,591.0,587.0
13012022,10:00,11:00,428.0,486.0
13012022,11:00,12:00,334.0,474.0
13012022,12:00,13:00,388.0,589.0
13012022,13:00,14:00,297.0,482.0
13012022,14:00,15:00,305.0,455.0
13012022,15:00,16:00,399.0,590.0
13012022,16:00,17:00,514.0,719.0
13012022,17:00,18:00,439.0,632.0
13012022,18:00,19:00,444.0,565.0
13012022,19:00,20:00,466.0,596.0
13012022,20:00,21:00,379.0,575.0
13012022,21:00,22:00,330.0,459.0
13012022,22:00,23:00,323.0,515.0
13012022,23:00,00:00,323.0,475.0
14012022,00:00,01:00,453.0,559.0
14012022,01:00,02:00,435.0,443.0
14012022,02:00,03:00,500.0,505.0
14012022,03:00,04:00,496.0,512.0
14012022,04:00,05:00,540.0,570.0
14012022,05:00,06:00,549.0,544.0
14012022,06:00,07:00,682.0,685.0
14012022,07:00,08:00,719.0,719.0
14012022,08:00,09:00,733.0,705.0
14012022,09:00,10:00,664.0,651.0
14012022,10:00,11:00,614.0,612.0
14012022,11:00,12:00,603.0,582.0
14012022,12:00,13:00,605.0,586.0
14012022,13:00,14:00,590.0,617.0
14012022,14:00,15:00,702.0,711.0
14012022,15:00,16:00,663.0,717.0
14012022,16:00,17:00,668.0,708.0
14012022,17:00,18:00,574.0,614.0
14012022,18:00,19:00,649.0,718.0
14012022,19:00,20:00,695.0,721.0
14012022,20:00,21:00,696.0,728.0
14012022,21:00,22:00,696.0,721.0
14012022,22:00,23:00,657.0,675.0
14012022,23:00,00:00,464.0,525.0
15012022,00:00,01:00,424.0,448.0
15012022,01:00,02:00,422.0,439.0
15012022,02:00,03:00,436.0,455.0
15012022,03:00,04:00,422.0,432.0
15012022,04:00,05:00,453.0,481.0
15012022,05:00,06:00,581.0,573.0
15012022,06:00,07:00,651.0,644.0
15012022,07:00,08:00,707.0,704.0
15012022,08:00,09:00,655.0,648.0
15012022,09:00,10:00,666.0,658.0
15012022,10:00,11:00,668.0,662.0
15012022,11:00,12:00,661.0,655.0
15012022,12:00,13:00,661.0,664.0
15012022,13:00,14:00,656.0,659.0
15012022,14:00,15:00,648.0,663.0
15012022,15:00,16:00,659.0,674.0
15012022,16:00,17:00,651.0,659.0
15012022,17:00,18:00,649.0,663.0
15012022,18:00,19:00,649.0,667.0
15012022,19:00,20:00,671.0,683.0
15012022,20:00,21:00,670.0,666.0
15012022,21:00,22:00,663.0,665.0
15012022,22:00,23:00,659.0,668.0
15012022,23:00,00:00,665.0,667.0
16012022,00:00,01:00,619.0,640.0
16012022,01:00,02:00,478.0,514.0
16012022,02:00,03:00,460.0,516.0
16012022,03:00,04:00,433.0,465.0
16012022,04:00,05:00,429.0,482.0
16012022,05:00,06:00,439.0,493.0
16012022,06:00,07:00,439.0,487.0
16012022,07:00,08:00,433.0,504.0
16012022,08:00,09:00,381.0,405.0
16012022,09:00,10:00,392.0,414.0
16012022,10:00,11:00,404.0,425.0
16012022,11:00,12:00,496.0,441.0
16012022,12:00,13:00,293.0,389.0
16012022,13:00,14:00,295.0,376.0
16012022,14:00,15:00,290.0,367.0
16012022,15:00,16:00,308.0,368.0
16012022,16:00,17:00,333.0,364.0
16012022,17:00,18:00,288.0,350.0
16012022,18:00,19:00,352.0,358.0
16012022,19:00,20:00,358.0,367.0
16012022,20:00,21:00,324.0,330.0
16012022,21:00,22:00,318.0,310.0
16012022,22:00,23:00,268.0,308.0
16012022,23:00,00:00,296.0,343.0
17012022,00:00,01:00,299.0,517.0
17012022,01:00,02:00,378.0,601.0
17012022,02:00,03:00,391.0,457.0
17012022,03:00,04:00,325.0,390.0
17012022,04:00,05:00,328.0,483.0
17012022,05:00,06:00,444.0,619.0
17012022,06:00,07:00,295.0,551.0
17012022,07:00,08:00,282.0,383.0
17012022,08:00,09:00,314.0,453.0
17012022,09:00,10:00,308.0,461.0
17012022,10:00,11:00,315.0,459.0
17012022,11:00,12:00,385.0,532.0
17012022,12:00,13:00,369.0,542.0
17012022,13:00,14:00,357.0,438.0
17012022,14:00,15:00,344.0,440.0
17012022,15:00,16:00,337.0,432.0
17012022,16:00,17:00,447.0,543.0
17012022,17:00,18:00,576.0,604.0
17012022,18:00,19:00,653.0,724.0
17012022,19:00,20:00,700.0,735.0
17012022,20:00,21:00,708.0,723.0
17012022,21:00,22:00,706.0,733.0
17012022,22:00,23:00,697.0,736.0
17012022,23:00,00:00,593.0,641.0
18012022,00:00,01:00,605.0,610.0
18012022,01:00,02:00,596.0,621.0
18012022,02:00,03:00,603.0,636.0
18012022,03:00,04:00,604.0,635.0
18012022,04:00,05:00,604.0,614.0
18012022,05:00,06:00,702.0,713.0
18012022,06:00,07:00,714.0,729.0
18012022,07:00,08:00,712.0,736.0
18012022,08:00,09:00,716.0,727.0
18012022,09:00,10:00,708.0,720.0
18012022,10:00,11:00,696.0,708.0
18012022,11:00,12:00,712.0,709.0
18012022,12:00,13:00,700.0,708.0
18012022,13:00,14:00,709.0,711.0
18012022,14:00,15:00,714.0,730.0
18012022,15:00,16:00,704.0,723.0
18012022,16:00,17:00,715.0,733.0
18012022,17:00,18:00,706.0,726.0
18012022,18:00,19:00,711.0,724.0
18012022,19:00,20:00,718.0,735.0
18012022,20:00,21:00,701.0,724.0
18012022,21:00,22:00,701.0,723.0
18012022,22:00,23:00,705.0,729.0
18012022,23:00,00:00,688.0,703.0
19012022,00:00,01:00,564.0,568.0
19012022,01:00,02:00,566.0,579.0
19012022,02:00,03:00,491.0,506.0
19012022,03:00,04:00,593.0,585.0
19012022,04:00,05:00,579.0,575.0
19012022,05:00,06:00,472.0,465.0
19012022,06:00,07:00,617.0,601.0
19012022,07:00,08:00,603.0,607.0
19012022,08:00,09:00,635.0,636.0
19012022,09:00,10:00,646.0,639.0
19012022,10:00,11:00,663.0,663.0
19012022,11:00,12:00,663.0,659.0
19012022,12:00,13:00,616.0,618.0
19012022,13:00,14:00,486.0,484.0
19012022,14:00,15:00,499.0,498.0
19012022,15:00,16:00,402.0,397.0
19012022,16:00,17:00,395.0,395.0
19012022,17:00,18:00,390.0,390.0
19012022,18:00,19:00,370.0,394.0
19012022,19:00,20:00,372.0,385.0
19012022,20:00,21:00,243.0,282.0
19012022,21:00,22:00,271.0,268.0
19012022,22:00,23:00,270.0,282.0
19012022,23:00,00:00,266.0,273.0
20012022,00:00,01:00,251.0,350.0
20012022,01:00,02:00,233.0,383.0
20012022,02:00,03:00,248.0,325.0
20012022,03:00,04:00,259.0,339.0
20012022,04:00,05:00,311.0,362.0
20012022,05:00,06:00,298.0,406.0
20012022,06:00,07:00,299.0,380.0
20012022,07:00,08:00,326.0,406.0
20012022,08:00,09:00,306.0,440.0
20012022,09:00,10:00,302.0,434.0
20012022,10:00,11:00,301.0,446.0
20012022,11:00,12:00,301.0,414.0
20012022,12:00,13:00,304.0,323.0
20012022,13:00,14:00,308.0,328.0
20012022,14:00,15:00,310.0,347.0
20012022,15:00,16:00,394.0,427.0
20012022,16:00,17:00,403.0,431.0
20012022,17:00,18:00,360.0,443.0
20012022,18:00,19:00,364.0,425.0
20012022,19:00,20:00,428.0,503.0
20012022,20:00,21:00,621.0,669.0
20012022,21:00,22:00,565.0,621.0
20012022,22:00,23:00,470.0,505.0
20012022,23:00,00:00,588.0,571.0
21012022,00:00,01:00,622.0,635.0
21012022,01:00,02:00,479.0,488.0
21012022,02:00,03:00,503.0,508.0
21012022,03:00,04:00,532.0,533.0
21012022,04:00,05:00,540.0,545.0
21012022,05:00,06:00,646.0,640.0
21012022,06:00,07:00,610.0,625.0
