date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
1012016,00:00,01:00,75,74,65.0
1012016,01:00,02:00,74,74,65.0
1012016,02:00,03:00,75,75,66.0
1012016,03:00,04:00,71,71,65.0
1012016,04:00,05:00,69,69,66.0
1012016,05:00,06:00,70,69,68.0
1012016,06:00,07:00,71,70,68.0
1012016,07:00,08:00,71,71,67.0
1012016,08:00,09:00,69,69,65.0
1012016,09:00,10:00,68,68,62.0
1012016,10:00,11:00,72,72,64.0
1012016,11:00,12:00,68,68,65.0
1012016,12:00,13:00,72,72,65.0
1012016,13:00,14:00,76,76,64.0
1012016,14:00,15:00,77,77,66.0
1012016,15:00,16:00,78,78,66.0
1012016,16:00,17:00,80,79,66.0
1012016,17:00,18:00,98,98,70.0
1012016,18:00,19:00,98,97,69.0
1012016,19:00,20:00,98,98,71.0
1012016,20:00,21:00,74,74,64.0
1012016,21:00,22:00,73,73,64.0
1012016,22:00,23:00,74,73,63.0
1012016,23:00,00:00,71,71,64.0
2012016,00:00,01:00,68,67,62.0
2012016,01:00,02:00,69,65,53.0
2012016,02:00,03:00,69,64,55.0
2012016,03:00,04:00,69,66,44.0
2012016,04:00,05:00,73,71,61.0
2012016,05:00,06:00,75,72,62.0
2012016,06:00,07:00,74,70,63.0
2012016,07:00,08:00,89,88,67.0
2012016,08:00,09:00,97,96,68.0
2012016,09:00,10:00,99,98,68.0
2012016,10:00,11:00,99,99,69.0
2012016,11:00,12:00,100,99,69.0
2012016,12:00,13:00,101,101,70.0
2012016,13:00,14:00,100,100,70.0
2012016,14:00,15:00,101,100,70.0
2012016,15:00,16:00,102,102,70.0
2012016,16:00,17:00,103,102,72.0
2012016,17:00,18:00,102,102,73.0
2012016,18:00,19:00,104,104,71.0
2012016,19:00,20:00,100,100,67.0
2012016,20:00,21:00,85,86,64.0
2012016,21:00,22:00,80,80,63.0
2012016,22:00,23:00,84,84,64.0
2012016,23:00,00:00,75,73,62.0
3012016,00:00,01:00,81,80,63.0
3012016,01:00,02:00,74,74,63.0
3012016,02:00,03:00,69,68,61.0
3012016,03:00,04:00,75,74,62.0
3012016,04:00,05:00,80,77,64.0
3012016,05:00,06:00,82,79,64.0
3012016,06:00,07:00,84,80,65.0
3012016,07:00,08:00,80,78,61.0
3012016,08:00,09:00,96,95,66.0
3012016,09:00,10:00,97,95,66.0
3012016,10:00,11:00,97,97,68.0
3012016,11:00,12:00,94,92,68.0
3012016,12:00,13:00,82,82,65.0
3012016,13:00,14:00,91,91,67.0
3012016,14:00,15:00,97,93,69.0
3012016,15:00,16:00,89,88,69.0
3012016,16:00,17:00,104,104,73.0
3012016,17:00,18:00,102,102,70.0
3012016,18:00,19:00,100,98,70.0
3012016,19:00,20:00,103,102,69.0
3012016,20:00,21:00,110,109,67.0
3012016,21:00,22:00,81,81,64.0
3012016,22:00,23:00,78,78,60.0
3012016,23:00,00:00,87,87,62.0
4012016,00:00,01:00,71,71,59.0
4012016,01:00,02:00,70,70,58.0
4012016,02:00,03:00,70,69,58.0
4012016,03:00,04:00,69,69,57.0
4012016,04:00,05:00,73,73,60.0
4012016,05:00,06:00,100,99,65.0
4012016,06:00,07:00,104,103,67.0
4012016,07:00,08:00,113,112,63.0
4012016,08:00,09:00,113,111,64.0
4012016,09:00,10:00,109,107,65.0
4012016,10:00,11:00,106,106,68.0
4012016,11:00,12:00,102,102,70.0
4012016,12:00,13:00,111,111,70.0
4012016,13:00,14:00,108,107,73.0
4012016,14:00,15:00,96,96,70.0
4012016,15:00,16:00,86,91,67.0
4012016,16:00,17:00,90,89,67.0
4012016,17:00,18:00,104,104,72.0
4012016,18:00,19:00,107,107,73.0
4012016,19:00,20:00,104,104,72.0
4012016,20:00,21:00,107,106,72.0
4012016,21:00,22:00,87,87,65.0
4012016,22:00,23:00,73,73,61.0
4012016,23:00,00:00,73,73,61.0
5012016,00:00,01:00,71,70,60.0
5012016,01:00,02:00,73,73,61.0
5012016,02:00,03:00,71,70,61.0
5012016,03:00,04:00,75,75,61.0
5012016,04:00,05:00,90,90,64.0
5012016,05:00,06:00,102,102,59.0
5012016,06:00,07:00,106,105,64.0
5012016,07:00,08:00,107,107,71.0
5012016,08:00,09:00,108,108,73.0
5012016,09:00,10:00,108,107,72.0
5012016,10:00,11:00,109,107,71.0
5012016,11:00,12:00,107,106,69.0
5012016,12:00,13:00,103,102,68.0
5012016,13:00,14:00,103,103,69.0
5012016,14:00,15:00,104,103,68.0
5012016,15:00,16:00,107,106,69.0
5012016,16:00,17:00,108,107,70.0
5012016,17:00,18:00,104,103,68.0
5012016,18:00,19:00,111,110,71.0
5012016,19:00,20:00,111,110,67.0
5012016,20:00,21:00,108,108,68.0
5012016,21:00,22:00,91,91,65.0
5012016,22:00,23:00,83,83,63.0
5012016,23:00,00:00,81,80,63.0
6012016,00:00,01:00,74,75,61.0
6012016,01:00,02:00,73,73,62.0
6012016,02:00,03:00,73,73,63.0
6012016,03:00,04:00,72,72,64.0
6012016,04:00,05:00,73,73,63.0
6012016,05:00,06:00,79,78,65.0
6012016,06:00,07:00,106,102,70.0
6012016,07:00,08:00,109,106,71.0
6012016,08:00,09:00,107,109,73.0
6012016,09:00,10:00,108,107,71.0
6012016,10:00,11:00,103,102,72.0
6012016,11:00,12:00,105,104,73.0
6012016,12:00,13:00,103,102,74.0
6012016,13:00,14:00,107,106,68.0
6012016,14:00,15:00,110,109,68.0
6012016,15:00,16:00,111,110,67.0
6012016,16:00,17:00,110,109,64.0
6012016,17:00,18:00,111,110,64.0
6012016,18:00,19:00,111,110,64.0
6012016,19:00,20:00,110,109,62.0
6012016,20:00,21:00,110,109,63.0
6012016,21:00,22:00,109,109,69.0
6012016,22:00,23:00,103,102,71.0
6012016,23:00,00:00,96,94,67.0
7012016,00:00,01:00,82,79,66.0
7012016,01:00,02:00,71,69,64.0
7012016,02:00,03:00,70,68,62.0
7012016,03:00,04:00,72,71,63.0
7012016,04:00,05:00,95,94,66.0
7012016,05:00,06:00,99,98,70.0
7012016,06:00,07:00,102,101,73.0
7012016,07:00,08:00,99,97,77.0
