date,start,end,11WD2BURG000145R
5012019,20:00,21:00,
5012019,21:00,22:00,
5012019,22:00,23:00,
5012019,23:00,00:00,
6012019,00:00,01:00,
6012019,01:00,02:00,
6012019,02:00,03:00,
6012019,03:00,04:00,
6012019,04:00,05:00,
6012019,05:00,06:00,
6012019,06:00,07:00,
6012019,07:00,08:00,
6012019,08:00,09:00,
6012019,09:00,10:00,
6012019,10:00,11:00,
6012019,11:00,12:00,
6012019,12:00,13:00,
6012019,13:00,14:00,
6012019,14:00,15:00,
6012019,15:00,16:00,
6012019,16:00,17:00,
6012019,17:00,18:00,
6012019,18:00,19:00,
6012019,19:00,20:00,
6012019,20:00,21:00,
6012019,21:00,22:00,
6012019,22:00,23:00,
6012019,23:00,00:00,
7012019,00:00,01:00,
7012019,01:00,02:00,
7012019,02:00,03:00,
7012019,03:00,04:00,
7012019,04:00,05:00,
7012019,05:00,06:00,
7012019,06:00,07:00,
7012019,07:00,08:00,
7012019,08:00,09:00,
7012019,09:00,10:00,
7012019,10:00,11:00,
7012019,11:00,12:00,
7012019,12:00,13:00,
7012019,13:00,14:00,
7012019,14:00,15:00,
7012019,15:00,16:00,
7012019,16:00,17:00,
7012019,17:00,18:00,
7012019,18:00,19:00,
7012019,19:00,20:00,
7012019,20:00,21:00,
7012019,21:00,22:00,
7012019,22:00,23:00,
7012019,23:00,00:00,
8012019,00:00,01:00,
8012019,01:00,02:00,
8012019,02:00,03:00,
8012019,03:00,04:00,
8012019,04:00,05:00,
8012019,05:00,06:00,
8012019,06:00,07:00,
8012019,07:00,08:00,
8012019,08:00,09:00,
8012019,09:00,10:00,
8012019,10:00,11:00,
8012019,11:00,12:00,
8012019,12:00,13:00,
8012019,13:00,14:00,
8012019,14:00,15:00,
8012019,15:00,16:00,
8012019,16:00,17:00,
8012019,17:00,18:00,
8012019,18:00,19:00,
8012019,19:00,20:00,
8012019,20:00,21:00,
8012019,21:00,22:00,
8012019,22:00,23:00,
8012019,23:00,00:00,
9012019,00:00,01:00,
9012019,01:00,02:00,
9012019,02:00,03:00,
9012019,03:00,04:00,
9012019,04:00,05:00,
9012019,05:00,06:00,
9012019,06:00,07:00,
9012019,07:00,08:00,
9012019,08:00,09:00,
9012019,09:00,10:00,
9012019,10:00,11:00,
9012019,11:00,12:00,
9012019,12:00,13:00,
9012019,13:00,14:00,
9012019,14:00,15:00,
9012019,15:00,16:00,
9012019,16:00,17:00,
9012019,17:00,18:00,
9012019,18:00,19:00,
9012019,19:00,20:00,
9012019,20:00,21:00,
9012019,21:00,22:00,
9012019,22:00,23:00,
9012019,23:00,00:00,
10012019,00:00,01:00,
10012019,01:00,02:00,
10012019,02:00,03:00,
10012019,03:00,04:00,
10012019,04:00,05:00,
10012019,05:00,06:00,
10012019,06:00,07:00,
10012019,07:00,08:00,
10012019,08:00,09:00,
10012019,09:00,10:00,
10012019,10:00,11:00,
10012019,11:00,12:00,
10012019,12:00,13:00,
10012019,13:00,14:00,
10012019,14:00,15:00,
10012019,15:00,16:00,
10012019,16:00,17:00,
10012019,17:00,18:00,
10012019,18:00,19:00,
10012019,19:00,20:00,
10012019,20:00,21:00,
10012019,21:00,22:00,
10012019,22:00,23:00,
10012019,23:00,00:00,
11012019,00:00,01:00,
11012019,01:00,02:00,
11012019,02:00,03:00,
11012019,03:00,04:00,
11012019,04:00,05:00,
11012019,05:00,06:00,
11012019,06:00,07:00,
11012019,07:00,08:00,
11012019,08:00,09:00,
11012019,09:00,10:00,
11012019,10:00,11:00,
11012019,11:00,12:00,
11012019,12:00,13:00,
11012019,13:00,14:00,
11012019,14:00,15:00,
11012019,15:00,16:00,
11012019,16:00,17:00,
11012019,17:00,18:00,
11012019,18:00,19:00,
11012019,19:00,20:00,
11012019,20:00,21:00,
11012019,21:00,22:00,
11012019,22:00,23:00,
11012019,23:00,00:00,
12012019,00:00,01:00,
12012019,01:00,02:00,
12012019,02:00,03:00,
12012019,03:00,04:00,
12012019,04:00,05:00,
12012019,05:00,06:00,
12012019,06:00,07:00,
12012019,07:00,08:00,
12012019,08:00,09:00,
12012019,09:00,10:00,
12012019,10:00,11:00,
12012019,11:00,12:00,
12012019,12:00,13:00,
12012019,13:00,14:00,
12012019,14:00,15:00,
12012019,15:00,16:00,
12012019,16:00,17:00,
12012019,17:00,18:00,
12012019,18:00,19:00,
12012019,19:00,20:00,
12012019,20:00,21:00,
12012019,21:00,22:00,
12012019,22:00,23:00,
12012019,23:00,00:00,
13012019,00:00,01:00,
13012019,01:00,02:00,
13012019,02:00,03:00,
13012019,03:00,04:00,
13012019,04:00,05:00,
13012019,05:00,06:00,
13012019,06:00,07:00,
13012019,07:00,08:00,
13012019,08:00,09:00,
13012019,09:00,10:00,
13012019,10:00,11:00,
13012019,11:00,12:00,
13012019,12:00,13:00,
13012019,13:00,14:00,
13012019,14:00,15:00,
13012019,15:00,16:00,
13012019,16:00,17:00,
13012019,17:00,18:00,
13012019,18:00,19:00,
13012019,19:00,20:00,
13012019,20:00,21:00,
13012019,21:00,22:00,
13012019,22:00,23:00,
13012019,23:00,00:00,
14012019,00:00,01:00,
14012019,01:00,02:00,
14012019,02:00,03:00,
14012019,03:00,04:00,
14012019,04:00,05:00,
14012019,05:00,06:00,
14012019,06:00,07:00,
14012019,07:00,08:00,
14012019,08:00,09:00,
14012019,09:00,10:00,
14012019,10:00,11:00,
14012019,11:00,12:00,
14012019,12:00,13:00,
14012019,13:00,14:00,
14012019,14:00,15:00,
14012019,15:00,16:00,
14012019,16:00,17:00,
14012019,17:00,18:00,
14012019,18:00,19:00,
14012019,19:00,20:00,
14012019,20:00,21:00,
14012019,21:00,22:00,
14012019,22:00,23:00,
14012019,23:00,00:00,
15012019,00:00,01:00,
15012019,01:00,02:00,
15012019,02:00,03:00,
15012019,03:00,04:00,
15012019,04:00,05:00,
15012019,05:00,06:00,
15012019,06:00,07:00,
15012019,07:00,08:00,
15012019,08:00,09:00,
15012019,09:00,10:00,
15012019,10:00,11:00,
15012019,11:00,12:00,
15012019,12:00,13:00,
15012019,13:00,14:00,
15012019,14:00,15:00,
15012019,15:00,16:00,
15012019,16:00,17:00,
15012019,17:00,18:00,
15012019,18:00,19:00,
15012019,19:00,20:00,
15012019,20:00,21:00,
15012019,21:00,22:00,
15012019,22:00,23:00,
15012019,23:00,00:00,
16012019,00:00,01:00,
16012019,01:00,02:00,
16012019,02:00,03:00,
16012019,03:00,04:00,
16012019,04:00,05:00,
16012019,05:00,06:00,
16012019,06:00,07:00,
16012019,07:00,08:00,
16012019,08:00,09:00,
16012019,09:00,10:00,
16012019,10:00,11:00,
16012019,11:00,12:00,
16012019,12:00,13:00,
16012019,13:00,14:00,
16012019,14:00,15:00,
16012019,15:00,16:00,
16012019,16:00,17:00,
16012019,17:00,18:00,
16012019,18:00,19:00,
16012019,19:00,20:00,
16012019,20:00,21:00,
16012019,21:00,22:00,
16012019,22:00,23:00,
16012019,23:00,00:00,
17012019,00:00,01:00,
17012019,01:00,02:00,
17012019,02:00,03:00,
17012019,03:00,04:00,
17012019,04:00,05:00,
17012019,05:00,06:00,
17012019,06:00,07:00,
17012019,07:00,08:00,
17012019,08:00,09:00,
17012019,09:00,10:00,
17012019,10:00,11:00,
17012019,11:00,12:00,
17012019,12:00,13:00,
17012019,13:00,14:00,
17012019,14:00,15:00,
17012019,15:00,16:00,
17012019,16:00,17:00,
17012019,17:00,18:00,
17012019,18:00,19:00,
17012019,19:00,20:00,
17012019,20:00,21:00,
17012019,21:00,22:00,
17012019,22:00,23:00,
17012019,23:00,00:00,
18012019,00:00,01:00,
18012019,01:00,02:00,
18012019,02:00,03:00,
18012019,03:00,04:00,
18012019,04:00,05:00,
18012019,05:00,06:00,
18012019,06:00,07:00,
18012019,07:00,08:00,
18012019,08:00,09:00,
18012019,09:00,10:00,
18012019,10:00,11:00,
18012019,11:00,12:00,
18012019,12:00,13:00,
18012019,13:00,14:00,
18012019,14:00,15:00,
18012019,15:00,16:00,
18012019,16:00,17:00,
18012019,17:00,18:00,
18012019,18:00,19:00,
18012019,19:00,20:00,
18012019,20:00,21:00,
18012019,21:00,22:00,
18012019,22:00,23:00,
18012019,23:00,00:00,
19012019,00:00,01:00,
19012019,01:00,02:00,
19012019,02:00,03:00,
19012019,03:00,04:00,
19012019,04:00,05:00,
19012019,05:00,06:00,
19012019,06:00,07:00,
19012019,07:00,08:00,
19012019,08:00,09:00,
19012019,09:00,10:00,
19012019,10:00,11:00,
19012019,11:00,12:00,
19012019,12:00,13:00,
19012019,13:00,14:00,
19012019,14:00,15:00,
19012019,15:00,16:00,
19012019,16:00,17:00,
19012019,17:00,18:00,
19012019,18:00,19:00,
19012019,19:00,20:00,
19012019,20:00,21:00,
19012019,21:00,22:00,
19012019,22:00,23:00,
19012019,23:00,00:00,
20012019,00:00,01:00,
20012019,01:00,02:00,
20012019,02:00,03:00,
20012019,03:00,04:00,
20012019,04:00,05:00,
20012019,05:00,06:00,
20012019,06:00,07:00,
20012019,07:00,08:00,
20012019,08:00,09:00,
20012019,09:00,10:00,
20012019,10:00,11:00,
20012019,11:00,12:00,
20012019,12:00,13:00,
20012019,13:00,14:00,
20012019,14:00,15:00,
20012019,15:00,16:00,
20012019,16:00,17:00,
20012019,17:00,18:00,
20012019,18:00,19:00,
20012019,19:00,20:00,
20012019,20:00,21:00,
20012019,21:00,22:00,
20012019,22:00,23:00,
20012019,23:00,00:00,
21012019,00:00,01:00,
21012019,01:00,02:00,
21012019,02:00,03:00,
21012019,03:00,04:00,
21012019,04:00,05:00,
21012019,05:00,06:00,
21012019,06:00,07:00,
21012019,07:00,08:00,
21012019,08:00,09:00,
21012019,09:00,10:00,
21012019,10:00,11:00,
21012019,11:00,12:00,
21012019,12:00,13:00,
21012019,13:00,14:00,
21012019,14:00,15:00,
21012019,15:00,16:00,
21012019,16:00,17:00,
21012019,17:00,18:00,
21012019,18:00,19:00,
21012019,19:00,20:00,
21012019,20:00,21:00,
21012019,21:00,22:00,
21012019,22:00,23:00,
21012019,23:00,00:00,
22012019,00:00,01:00,
22012019,01:00,02:00,
22012019,02:00,03:00,
22012019,03:00,04:00,
22012019,04:00,05:00,
22012019,05:00,06:00,
22012019,06:00,07:00,
22012019,07:00,08:00,
22012019,08:00,09:00,
22012019,09:00,10:00,
22012019,10:00,11:00,
22012019,11:00,12:00,
22012019,12:00,13:00,
22012019,13:00,14:00,
22012019,14:00,15:00,
22012019,15:00,16:00,
22012019,16:00,17:00,
22012019,17:00,18:00,
22012019,18:00,19:00,
22012019,19:00,20:00,
22012019,20:00,21:00,
22012019,21:00,22:00,
22012019,22:00,23:00,
22012019,23:00,00:00,
23012019,00:00,01:00,
23012019,01:00,02:00,
23012019,02:00,03:00,
23012019,03:00,04:00,
23012019,04:00,05:00,
23012019,05:00,06:00,
23012019,06:00,07:00,
23012019,07:00,08:00,
23012019,08:00,09:00,
23012019,09:00,10:00,
23012019,10:00,11:00,
