date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
1012017,00:00,01:00,623.0,426.0
1012017,01:00,02:00,622.0,422.0
1012017,02:00,03:00,727.0,668.0
1012017,03:00,04:00,737.0,733.0
1012017,04:00,05:00,742.0,729.0
1012017,05:00,06:00,740.0,739.0
1012017,06:00,07:00,735.0,738.0
1012017,07:00,08:00,741.0,724.0
1012017,08:00,09:00,716.0,705.0
1012017,09:00,10:00,659.0,724.0
1012017,10:00,11:00,652.0,708.0
1012017,11:00,12:00,637.0,697.0
1012017,12:00,13:00,740.0,683.0
1012017,13:00,14:00,740.0,732.0
1012017,14:00,15:00,733.0,718.0
1012017,15:00,16:00,649.0,535.0
1012017,16:00,17:00,642.0,585.0
1012017,17:00,18:00,567.0,434.0
1012017,18:00,19:00,571.0,427.0
1012017,19:00,20:00,571.0,424.0
1012017,20:00,21:00,637.0,487.0
1012017,21:00,22:00,644.0,492.0
1012017,22:00,23:00,640.0,487.0
1012017,23:00,00:00,638.0,494.0
2012017,00:00,01:00,726.0,487.0
2012017,01:00,02:00,697.0,443.0
2012017,02:00,03:00,730.0,678.0
2012017,03:00,04:00,732.0,741.0
2012017,04:00,05:00,731.0,740.0
2012017,05:00,06:00,734.0,688.0
2012017,06:00,07:00,674.0,722.0
2012017,07:00,08:00,678.0,681.0
2012017,08:00,09:00,691.0,726.0
2012017,09:00,10:00,685.0,733.0
2012017,10:00,11:00,689.0,717.0
2012017,11:00,12:00,689.0,719.0
2012017,12:00,13:00,688.0,718.0
2012017,13:00,14:00,697.0,719.0
2012017,14:00,15:00,687.0,732.0
2012017,15:00,16:00,695.0,732.0
2012017,16:00,17:00,710.0,731.0
2012017,17:00,18:00,703.0,732.0
2012017,18:00,19:00,705.0,735.0
2012017,19:00,20:00,698.0,730.0
2012017,20:00,21:00,705.0,668.0
2012017,21:00,22:00,722.0,651.0
2012017,22:00,23:00,691.0,638.0
2012017,23:00,00:00,573.0,607.0
3012017,00:00,01:00,340.0,481.0
3012017,01:00,02:00,296.0,493.0
3012017,02:00,03:00,309.0,489.0
3012017,03:00,04:00,288.0,470.0
3012017,04:00,05:00,363.0,481.0
3012017,05:00,06:00,397.0,481.0
3012017,06:00,07:00,495.0,475.0
3012017,07:00,08:00,657.0,468.0
3012017,08:00,09:00,716.0,637.0
3012017,09:00,10:00,526.0,576.0
3012017,10:00,11:00,513.0,574.0
3012017,11:00,12:00,514.0,578.0
3012017,12:00,13:00,575.0,613.0
3012017,13:00,14:00,522.0,612.0
3012017,14:00,15:00,535.0,615.0
3012017,15:00,16:00,528.0,617.0
3012017,16:00,17:00,416.0,543.0
3012017,17:00,18:00,402.0,545.0
3012017,18:00,19:00,390.0,543.0
3012017,19:00,20:00,397.0,544.0
3012017,20:00,21:00,472.0,591.0
3012017,21:00,22:00,459.0,589.0
3012017,22:00,23:00,461.0,591.0
3012017,23:00,00:00,496.0,561.0
4012017,00:00,01:00,591.0,331.0
4012017,01:00,02:00,582.0,310.0
4012017,02:00,03:00,592.0,298.0
4012017,03:00,04:00,589.0,294.0
4012017,04:00,05:00,590.0,282.0
4012017,05:00,06:00,606.0,373.0
4012017,06:00,07:00,657.0,375.0
4012017,07:00,08:00,545.0,487.0
4012017,08:00,09:00,607.0,493.0
