date,start,end,11WD7SCHO1S--B-0,11WD7SCHO2S--C-R
1012018,00:00,01:00,0,185
1012018,01:00,02:00,0,186
1012018,02:00,03:00,0,173
1012018,03:00,04:00,0,177
1012018,04:00,05:00,0,176
1012018,05:00,06:00,0,177
1012018,06:00,07:00,0,157
1012018,07:00,08:00,0,157
1012018,08:00,09:00,0,158
1012018,09:00,10:00,0,158
1012018,10:00,11:00,0,157
1012018,11:00,12:00,0,157
1012018,12:00,13:00,0,176
1012018,13:00,14:00,0,177
1012018,14:00,15:00,0,186
1012018,15:00,16:00,0,187
1012018,16:00,17:00,0,188
1012018,17:00,18:00,0,187
1012018,18:00,19:00,0,188
1012018,19:00,20:00,0,189
1012018,20:00,21:00,0,190
1012018,21:00,22:00,0,178
1012018,22:00,23:00,0,172
1012018,23:00,00:00,0,177
2012018,00:00,01:00,0,265
2012018,01:00,02:00,0,274
2012018,02:00,03:00,0,270
2012018,03:00,04:00,0,228
2012018,04:00,05:00,31,197
2012018,05:00,06:00,107,168
2012018,06:00,07:00,142,180
2012018,07:00,08:00,195,201
2012018,08:00,09:00,224,202
2012018,09:00,10:00,224,167
2012018,10:00,11:00,213,170
2012018,11:00,12:00,212,170
2012018,12:00,13:00,196,169
2012018,13:00,14:00,177,167
2012018,14:00,15:00,152,148
2012018,15:00,16:00,144,167
2012018,16:00,17:00,188,201
2012018,17:00,18:00,200,227
2012018,18:00,19:00,201,225
2012018,19:00,20:00,202,225
2012018,20:00,21:00,195,220
2012018,21:00,22:00,186,202
2012018,22:00,23:00,164,181
2012018,23:00,00:00,149,145
3012018,00:00,01:00,127,127
3012018,01:00,02:00,143,128
3012018,02:00,03:00,134,129
3012018,03:00,04:00,124,131
3012018,04:00,05:00,123,126
3012018,05:00,06:00,154,149
3012018,06:00,07:00,150,203
3012018,07:00,08:00,128,259
3012018,08:00,09:00,123,285
3012018,09:00,10:00,131,292
3012018,10:00,11:00,133,292
3012018,11:00,12:00,119,290
3012018,12:00,13:00,118,289
3012018,13:00,14:00,132,291
3012018,14:00,15:00,134,295
3012018,15:00,16:00,121,291
3012018,16:00,17:00,151,287
3012018,17:00,18:00,190,256
3012018,18:00,19:00,195,244
3012018,19:00,20:00,181,243
3012018,20:00,21:00,179,201
3012018,21:00,22:00,162,146
3012018,22:00,23:00,160,140
3012018,23:00,00:00,161,140
4012018,00:00,01:00,143,140
4012018,01:00,02:00,143,140
4012018,02:00,03:00,142,140
4012018,03:00,04:00,144,139
4012018,04:00,05:00,152,139
4012018,05:00,06:00,166,189
4012018,06:00,07:00,160,243
4012018,07:00,08:00,140,291
4012018,08:00,09:00,141,293
4012018,09:00,10:00,122,291
4012018,10:00,11:00,120,292
4012018,11:00,12:00,118,290
4012018,12:00,13:00,126,293
4012018,13:00,14:00,130,291
4012018,14:00,15:00,133,290
4012018,15:00,16:00,196,292
4012018,16:00,17:00,234,296
4012018,17:00,18:00,232,284
4012018,18:00,19:00,232,273
4012018,19:00,20:00,234,268
4012018,20:00,21:00,213,196
4012018,21:00,22:00,181,155
4012018,22:00,23:00,183,148
4012018,23:00,00:00,148,139
5012018,00:00,01:00,144,137
5012018,01:00,02:00,144,138
5012018,02:00,03:00,144,138
5012018,03:00,04:00,144,139
5012018,04:00,05:00,149,139
5012018,05:00,06:00,180,181
5012018,06:00,07:00,182,235
5012018,07:00,08:00,150,276
5012018,08:00,09:00,155,284
5012018,09:00,10:00,144,283
5012018,10:00,11:00,132,283
5012018,11:00,12:00,182,283
5012018,12:00,13:00,180,282
5012018,13:00,14:00,150,282
5012018,14:00,15:00,120,285
5012018,15:00,16:00,162,291
5012018,16:00,17:00,245,311
5012018,17:00,18:00,286,324
5012018,18:00,19:00,290,325
5012018,19:00,20:00,269,325
5012018,20:00,21:00,196,258
5012018,21:00,22:00,172,189
5012018,22:00,23:00,169,152
5012018,23:00,00:00,153,140
6012018,00:00,01:00,152,137
6012018,01:00,02:00,153,138
6012018,02:00,03:00,153,139
6012018,03:00,04:00,153,141
6012018,04:00,05:00,152,139
6012018,05:00,06:00,153,140
6012018,06:00,07:00,152,140
6012018,07:00,08:00,152,174
6012018,08:00,09:00,187,190
6012018,09:00,10:00,190,182
6012018,10:00,11:00,172,159
6012018,11:00,12:00,138,138
6012018,12:00,13:00,142,139
6012018,13:00,14:00,145,156
6012018,14:00,15:00,143,164
6012018,15:00,16:00,156,174
6012018,16:00,17:00,175,186
6012018,17:00,18:00,180,198
6012018,18:00,19:00,178,189
6012018,19:00,20:00,147,175
6012018,20:00,21:00,125,143
6012018,21:00,22:00,113,122
6012018,22:00,23:00,113,123
6012018,23:00,00:00,113,123
7012018,00:00,01:00,113,124
7012018,01:00,02:00,113,124
7012018,02:00,03:00,113,121
7012018,03:00,04:00,114,120
7012018,04:00,05:00,113,121
7012018,05:00,06:00,113,121
7012018,06:00,07:00,113,121
7012018,07:00,08:00,113,121
7012018,08:00,09:00,113,121
7012018,09:00,10:00,114,120
7012018,10:00,11:00,114,120
7012018,11:00,12:00,137,120
7012018,12:00,13:00,153,158
7012018,13:00,14:00,164,161
7012018,14:00,15:00,173,188
7012018,15:00,16:00,173,220
7012018,16:00,17:00,172,237
7012018,17:00,18:00,172,238
7012018,18:00,19:00,172,236
7012018,19:00,20:00,171,236
7012018,20:00,21:00,172,236
7012018,21:00,22:00,171,195
7012018,22:00,23:00,148,167
7012018,23:00,00:00,116,134
8012018,00:00,01:00,115,119
8012018,01:00,02:00,116,121
8012018,02:00,03:00,116,120
8012018,03:00,04:00,115,121
8012018,04:00,05:00,122,121
8012018,05:00,06:00,155,167
8012018,06:00,07:00,197,198
8012018,07:00,08:00,200,226
8012018,08:00,09:00,222,248
8012018,09:00,10:00,249,270
8012018,10:00,11:00,251,272
8012018,11:00,12:00,252,281
8012018,12:00,13:00,257,283
8012018,13:00,14:00,260,260
8012018,14:00,15:00,259,235
8012018,15:00,16:00,258,267
8012018,16:00,17:00,243,255
8012018,17:00,18:00,258,265
8012018,18:00,19:00,253,264
8012018,19:00,20:00,254,265
8012018,20:00,21:00,254,264
8012018,21:00,22:00,213,230
8012018,22:00,23:00,192,189
8012018,23:00,00:00,163,171
9012018,00:00,01:00,153,169
9012018,01:00,02:00,170,168
9012018,02:00,03:00,172,169
9012018,03:00,04:00,173,169
9012018,04:00,05:00,169,194
9012018,05:00,06:00,224,248
9012018,06:00,07:00,262,284
9012018,07:00,08:00,254,282
9012018,08:00,09:00,245,274
9012018,09:00,10:00,219,246
9012018,10:00,11:00,184,198
9012018,11:00,12:00,175,187
9012018,12:00,13:00,173,192
9012018,13:00,14:00,173,197
9012018,14:00,15:00,211,222
9012018,15:00,16:00,244,249
9012018,16:00,17:00,256,262
9012018,17:00,18:00,256,245
9012018,18:00,19:00,254,245
9012018,19:00,20:00,257,245
9012018,20:00,21:00,248,246
9012018,21:00,22:00,230,239
9012018,22:00,23:00,177,201
9012018,23:00,00:00,163,171
10012018,00:00,01:00,161,161
10012018,01:00,02:00,161,158
10012018,02:00,03:00,162,159
10012018,03:00,04:00,162,161
10012018,04:00,05:00,161,164
10012018,05:00,06:00,183,180
10012018,06:00,07:00,236,237
10012018,07:00,08:00,247,276
10012018,08:00,09:00,249,278
10012018,09:00,10:00,278,278
10012018,10:00,11:00,266,290
10012018,11:00,12:00,265,275
10012018,12:00,13:00,266,273
10012018,13:00,14:00,264,255
10012018,14:00,15:00,267,254
10012018,15:00,16:00,283,281
10012018,16:00,17:00,274,299
10012018,17:00,18:00,251,290
10012018,18:00,19:00,263,299
10012018,19:00,20:00,267,300
10012018,20:00,21:00,270,300
10012018,21:00,22:00,269,297
10012018,22:00,23:00,239,262
10012018,23:00,00:00,204,206
11012018,00:00,01:00,198,198
11012018,01:00,02:00,199,205
11012018,02:00,03:00,199,197
11012018,03:00,04:00,199,196
11012018,04:00,05:00,199,199
11012018,05:00,06:00,192,201
11012018,06:00,07:00,247,246
11012018,07:00,08:00,284,295
11012018,08:00,09:00,282,289
11012018,09:00,10:00,271,291
11012018,10:00,11:00,244,268
11012018,11:00,12:00,228,252
11012018,12:00,13:00,259,284
11012018,13:00,14:00,273,300
11012018,14:00,15:00,271,300
11012018,15:00,16:00,272,300
11012018,16:00,17:00,272,299
11012018,17:00,18:00,273,300
11012018,18:00,19:00,272,301
11012018,19:00,20:00,273,301
11012018,20:00,21:00,257,282
11012018,21:00,22:00,232,235
11012018,22:00,23:00,193,184
11012018,23:00,00:00,167,163
12012018,00:00,01:00,164,159
12012018,01:00,02:00,162,162
12012018,02:00,03:00,163,169
12012018,03:00,04:00,162,169
12012018,04:00,05:00,162,169
12012018,05:00,06:00,175,175
12012018,06:00,07:00,211,223
12012018,07:00,08:00,249,272
12012018,08:00,09:00,229,254
12012018,09:00,10:00,204,243
12012018,10:00,11:00,122,289
12012018,11:00,12:00,164,253
12012018,12:00,13:00,220,219
12012018,13:00,14:00,239,236
12012018,14:00,15:00,238,248
12012018,15:00,16:00,251,265
12012018,16:00,17:00,256,264
12012018,17:00,18:00,254,270
12012018,18:00,19:00,256,276
12012018,19:00,20:00,244,262
12012018,20:00,21:00,214,213
12012018,21:00,22:00,191,170
12012018,22:00,23:00,173,139
12012018,23:00,00:00,149,138
13012018,00:00,01:00,166,139
13012018,01:00,02:00,153,138
13012018,02:00,03:00,147,139
13012018,03:00,04:00,147,139
13012018,04:00,05:00,148,138
13012018,05:00,06:00,147,138
13012018,06:00,07:00,148,139
13012018,07:00,08:00,148,148
13012018,08:00,09:00,159,160
13012018,09:00,10:00,169,175
13012018,10:00,11:00,159,159
13012018,11:00,12:00,152,141
13012018,12:00,13:00,155,142
13012018,13:00,14:00,153,142
13012018,14:00,15:00,163,159
13012018,15:00,16:00,172,169
13012018,16:00,17:00,171,172
13012018,17:00,18:00,199,192
13012018,18:00,19:00,210,219
13012018,19:00,20:00,190,213
13012018,20:00,21:00,169,181
13012018,21:00,22:00,171,164
13012018,22:00,23:00,152,133
13012018,23:00,00:00,116,133
14012018,00:00,01:00,116,134
14012018,01:00,02:00,115,181
14012018,02:00,03:00,116,172
14012018,03:00,04:00,117,131
14012018,04:00,05:00,116,128
14012018,05:00,06:00,116,129
14012018,06:00,07:00,117,129
14012018,07:00,08:00,116,129
14012018,08:00,09:00,117,128
14012018,09:00,10:00,118,129
14012018,10:00,11:00,127,129
14012018,11:00,12:00,144,141
14012018,12:00,13:00,145,143
14012018,13:00,14:00,141,140
14012018,14:00,15:00,148,162
14012018,15:00,16:00,165,190
14012018,16:00,17:00,195,210
14012018,17:00,18:00,219,218
14012018,18:00,19:00,219,228
14012018,19:00,20:00,220,228
14012018,20:00,21:00,205,213
14012018,21:00,22:00,172,158
14012018,22:00,23:00,154,138
14012018,23:00,00:00,134,128
15012018,00:00,01:00,138,131
15012018,01:00,02:00,155,140
15012018,02:00,03:00,154,141
15012018,03:00,04:00,155,140
15012018,04:00,05:00,153,140
15012018,05:00,06:00,162,144
15012018,06:00,07:00,190,195
15012018,07:00,08:00,237,231
15012018,08:00,09:00,255,237
15012018,09:00,10:00,251,220
15012018,10:00,11:00,212,181
15012018,11:00,12:00,178,147
15012018,12:00,13:00,160,140
15012018,13:00,14:00,162,140
15012018,14:00,15:00,181,172
15012018,15:00,16:00,208,211
15012018,16:00,17:00,252,253
15012018,17:00,18:00,266,274
15012018,18:00,19:00,264,274
15012018,19:00,20:00,265,272
15012018,20:00,21:00,250,262
15012018,21:00,22:00,223,241
15012018,22:00,23:00,199,198
15012018,23:00,00:00,175,172
16012018,00:00,01:00,157,161
16012018,01:00,02:00,152,158
16012018,02:00,03:00,154,159
16012018,03:00,04:00,152,160
16012018,04:00,05:00,179,179
16012018,05:00,06:00,212,206
16012018,06:00,07:00,254,252
16012018,07:00,08:00,273,289
16012018,08:00,09:00,282,304
16012018,09:00,10:00,283,298
16012018,10:00,11:00,283,197
16012018,11:00,12:00,283,197
16012018,12:00,13:00,282,212
16012018,13:00,14:00,282,249
16012018,14:00,15:00,281,254
16012018,15:00,16:00,285,291
16012018,16:00,17:00,298,327
16012018,17:00,18:00,295,330
16012018,18:00,19:00,294,331
16012018,19:00,20:00,293,330
16012018,20:00,21:00,286,270
16012018,21:00,22:00,277,181
16012018,22:00,23:00,250,72
16012018,23:00,00:00,234,0
17012018,00:00,01:00,223,0
17012018,01:00,02:00,229,0
17012018,02:00,03:00,229,0
17012018,03:00,04:00,230,0
17012018,04:00,05:00,229,0
17012018,05:00,06:00,280,0
17012018,06:00,07:00,283,0
17012018,07:00,08:00,284,0
17012018,08:00,09:00,271,0
17012018,09:00,10:00,263,0
17012018,10:00,11:00,264,0
17012018,11:00,12:00,265,0
17012018,12:00,13:00,284,0
17012018,13:00,14:00,209,0
17012018,14:00,15:00,183,0
17012018,15:00,16:00,182,0
17012018,16:00,17:00,205,0
17012018,17:00,18:00,271,0
17012018,18:00,19:00,279,0
17012018,19:00,20:00,279,0
17012018,20:00,21:00,265,0
17012018,21:00,22:00,236,0
17012018,22:00,23:00,286,0
17012018,23:00,00:00,271,0
18012018,00:00,01:00,247,0
18012018,01:00,02:00,255,0
18012018,02:00,03:00,255,0
18012018,03:00,04:00,168,0
18012018,04:00,05:00,142,0
18012018,05:00,06:00,141,0
18012018,06:00,07:00,143,0
18012018,07:00,08:00,144,0
18012018,08:00,09:00,143,0
18012018,09:00,10:00,142,0
18012018,10:00,11:00,130,0
18012018,11:00,12:00,125,0
18012018,12:00,13:00,125,0
18012018,13:00,14:00,125,0
18012018,14:00,15:00,127,0
18012018,15:00,16:00,124,0
18012018,16:00,17:00,127,0
18012018,17:00,18:00,129,0
18012018,18:00,19:00,131,73
18012018,19:00,20:00,128,147
18012018,20:00,21:00,130,216
18012018,21:00,22:00,129,251
18012018,22:00,23:00,129,179
18012018,23:00,00:00,9,162
19012018,00:00,01:00,0,220
19012018,01:00,02:00,0,235
19012018,02:00,03:00,0,239
19012018,03:00,04:00,0,242
19012018,04:00,05:00,0,262
19012018,05:00,06:00,0,225
19012018,06:00,07:00,0,189
19012018,07:00,08:00,0,151
19012018,08:00,09:00,0,138
19012018,09:00,10:00,0,138
19012018,10:00,11:00,0,136
19012018,11:00,12:00,0,135
19012018,12:00,13:00,0,139
19012018,13:00,14:00,0,145
19012018,14:00,15:00,0,145
19012018,15:00,16:00,0,157
19012018,16:00,17:00,0,194
19012018,17:00,18:00,0,194
19012018,18:00,19:00,0,243
19012018,19:00,20:00,0,236
19012018,20:00,21:00,0,247
19012018,21:00,22:00,0,299
19012018,22:00,23:00,0,297
19012018,23:00,00:00,0,299
20012018,00:00,01:00,0,299
20012018,01:00,02:00,0,299
20012018,02:00,03:00,0,299
20012018,03:00,04:00,0,299
20012018,04:00,05:00,0,299
20012018,05:00,06:00,0,290
20012018,06:00,07:00,0,286
20012018,07:00,08:00,0,301
20012018,08:00,09:00,0,301
20012018,09:00,10:00,0,304
20012018,10:00,11:00,0,304
20012018,11:00,12:00,0,297
20012018,12:00,13:00,0,295
20012018,13:00,14:00,0,288
20012018,14:00,15:00,0,261
20012018,15:00,16:00,0,273
20012018,16:00,17:00,0,277
20012018,17:00,18:00,0,261
20012018,18:00,19:00,0,311
20012018,19:00,20:00,0,314
20012018,20:00,21:00,0,317
20012018,21:00,22:00,0,315
20012018,22:00,23:00,0,307
20012018,23:00,00:00,0,280
21012018,00:00,01:00,0,237
21012018,01:00,02:00,0,222
21012018,02:00,03:00,0,227
21012018,03:00,04:00,0,232
21012018,04:00,05:00,0,231
21012018,05:00,06:00,0,232
21012018,06:00,07:00,0,232
21012018,07:00,08:00,0,244
21012018,08:00,09:00,0,266
21012018,09:00,10:00,0,267
21012018,10:00,11:00,0,268
21012018,11:00,12:00,0,268
21012018,12:00,13:00,0,267
21012018,13:00,14:00,0,275
21012018,14:00,15:00,0,288
21012018,15:00,16:00,0,294
21012018,16:00,17:00,0,294
21012018,17:00,18:00,0,294
21012018,18:00,19:00,0,294
21012018,19:00,20:00,0,294
21012018,20:00,21:00,0,295
21012018,21:00,22:00,0,295
21012018,22:00,23:00,0,272
21012018,23:00,00:00,0,241
22012018,00:00,01:00,0,240
22012018,01:00,02:00,0,238
22012018,02:00,03:00,0,260
22012018,03:00,04:00,0,252
22012018,04:00,05:00,0,250
22012018,05:00,06:00,0,248
22012018,06:00,07:00,0,280
22012018,07:00,08:00,0,295
22012018,08:00,09:00,0,285
22012018,09:00,10:00,0,277
22012018,10:00,11:00,0,294
22012018,11:00,12:00,0,295
22012018,12:00,13:00,0,297
22012018,13:00,14:00,0,299
22012018,14:00,15:00,0,290
