date,start,end,11WD2BUSD0000386
10012016,11:00,12:00,223
10012016,12:00,13:00,222
10012016,13:00,14:00,223
10012016,14:00,15:00,222
10012016,15:00,16:00,223
10012016,16:00,17:00,272
10012016,17:00,18:00,336
10012016,18:00,19:00,351
10012016,19:00,20:00,351
10012016,20:00,21:00,351
10012016,21:00,22:00,351
10012016,22:00,23:00,300
10012016,23:00,00:00,239
11012016,00:00,01:00,222
11012016,01:00,02:00,221
11012016,02:00,03:00,221
11012016,03:00,04:00,222
11012016,04:00,05:00,222
11012016,05:00,06:00,273
11012016,06:00,07:00,332
11012016,07:00,08:00,350
11012016,08:00,09:00,350
11012016,09:00,10:00,350
11012016,10:00,11:00,350
11012016,11:00,12:00,351
11012016,12:00,13:00,350
11012016,13:00,14:00,348
11012016,14:00,15:00,348
11012016,15:00,16:00,345
11012016,16:00,17:00,345
11012016,17:00,18:00,349
11012016,18:00,19:00,347
11012016,19:00,20:00,347
11012016,20:00,21:00,349
11012016,21:00,22:00,348
11012016,22:00,23:00,303
11012016,23:00,00:00,240
12012016,00:00,01:00,221
12012016,01:00,02:00,221
12012016,02:00,03:00,221
12012016,03:00,04:00,221
12012016,04:00,05:00,221
12012016,05:00,06:00,269
12012016,06:00,07:00,332
12012016,07:00,08:00,349
12012016,08:00,09:00,349
12012016,09:00,10:00,349
12012016,10:00,11:00,350
12012016,11:00,12:00,348
12012016,12:00,13:00,349
12012016,13:00,14:00,347
12012016,14:00,15:00,347
12012016,15:00,16:00,347
12012016,16:00,17:00,347
12012016,17:00,18:00,346
12012016,18:00,19:00,346
12012016,19:00,20:00,346
12012016,20:00,21:00,347
12012016,21:00,22:00,346
12012016,22:00,23:00,302
12012016,23:00,00:00,238
13012016,00:00,01:00,219
13012016,01:00,02:00,220
13012016,02:00,03:00,219
13012016,03:00,04:00,219
13012016,04:00,05:00,220
13012016,05:00,06:00,221
13012016,06:00,07:00,270
13012016,07:00,08:00,333
13012016,08:00,09:00,349
13012016,09:00,10:00,348
13012016,10:00,11:00,350
13012016,11:00,12:00,350
13012016,12:00,13:00,348
13012016,13:00,14:00,349
13012016,14:00,15:00,349
13012016,15:00,16:00,350
13012016,16:00,17:00,350
13012016,17:00,18:00,350
13012016,18:00,19:00,350
13012016,19:00,20:00,349
13012016,20:00,21:00,350
13012016,21:00,22:00,349
13012016,22:00,23:00,349
13012016,23:00,00:00,349
14012016,00:00,01:00,348
14012016,01:00,02:00,302
14012016,02:00,03:00,237
14012016,03:00,04:00,221
14012016,04:00,05:00,222
14012016,05:00,06:00,274
14012016,06:00,07:00,328
14012016,07:00,08:00,351
14012016,08:00,09:00,351
14012016,09:00,10:00,350
14012016,10:00,11:00,352
14012016,11:00,12:00,351
14012016,12:00,13:00,349
14012016,13:00,14:00,333
14012016,14:00,15:00,330
14012016,15:00,16:00,335
14012016,16:00,17:00,332
14012016,17:00,18:00,345
14012016,18:00,19:00,349
14012016,19:00,20:00,350
14012016,20:00,21:00,349
14012016,21:00,22:00,348
14012016,22:00,23:00,350
14012016,23:00,00:00,349
15012016,00:00,01:00,312
15012016,01:00,02:00,224
15012016,02:00,03:00,220
15012016,03:00,04:00,221
15012016,04:00,05:00,220
15012016,05:00,06:00,272
15012016,06:00,07:00,344
15012016,07:00,08:00,350
15012016,08:00,09:00,351
15012016,09:00,10:00,351
15012016,10:00,11:00,351
15012016,11:00,12:00,351
15012016,12:00,13:00,352
15012016,13:00,14:00,351
15012016,14:00,15:00,350
15012016,15:00,16:00,351
15012016,16:00,17:00,350
15012016,17:00,18:00,351
15012016,18:00,19:00,350
15012016,19:00,20:00,349
15012016,20:00,21:00,351
15012016,21:00,22:00,350
15012016,22:00,23:00,349
15012016,23:00,00:00,350
16012016,00:00,01:00,349
16012016,01:00,02:00,349
16012016,02:00,03:00,349
16012016,03:00,04:00,348
16012016,04:00,05:00,349
16012016,05:00,06:00,349
16012016,06:00,07:00,350
16012016,07:00,08:00,352
16012016,08:00,09:00,351
16012016,09:00,10:00,351
16012016,10:00,11:00,351
16012016,11:00,12:00,351
16012016,12:00,13:00,351
16012016,13:00,14:00,351
16012016,14:00,15:00,351
16012016,15:00,16:00,351
16012016,16:00,17:00,350
16012016,17:00,18:00,350
16012016,18:00,19:00,350
16012016,19:00,20:00,350
16012016,20:00,21:00,351
16012016,21:00,22:00,350
16012016,22:00,23:00,348
16012016,23:00,00:00,350
17012016,00:00,01:00,321
17012016,01:00,02:00,238
17012016,02:00,03:00,221
17012016,03:00,04:00,221
17012016,04:00,05:00,220
17012016,05:00,06:00,221
17012016,06:00,07:00,221
17012016,07:00,08:00,222
17012016,08:00,09:00,270
17012016,09:00,10:00,328
17012016,10:00,11:00,345
17012016,11:00,12:00,347
17012016,12:00,13:00,346
17012016,13:00,14:00,349
17012016,14:00,15:00,344
17012016,15:00,16:00,349
17012016,16:00,17:00,347
17012016,17:00,18:00,343
17012016,18:00,19:00,347
17012016,19:00,20:00,345
17012016,20:00,21:00,346
17012016,21:00,22:00,347
17012016,22:00,23:00,347
17012016,23:00,00:00,347
18012016,00:00,01:00,347
18012016,01:00,02:00,347
18012016,02:00,03:00,348
18012016,03:00,04:00,347
18012016,04:00,05:00,347
18012016,05:00,06:00,349
18012016,06:00,07:00,350
18012016,07:00,08:00,352
18012016,08:00,09:00,350
18012016,09:00,10:00,352
18012016,10:00,11:00,351
18012016,11:00,12:00,351
18012016,12:00,13:00,352
18012016,13:00,14:00,350
18012016,14:00,15:00,350
18012016,15:00,16:00,351
18012016,16:00,17:00,350
18012016,17:00,18:00,350
18012016,18:00,19:00,347
18012016,19:00,20:00,351
18012016,20:00,21:00,350
18012016,21:00,22:00,350
18012016,22:00,23:00,350
18012016,23:00,00:00,351
19012016,00:00,01:00,351
19012016,01:00,02:00,350
19012016,02:00,03:00,351
19012016,03:00,04:00,351
19012016,04:00,05:00,350
19012016,05:00,06:00,350
19012016,06:00,07:00,348
19012016,07:00,08:00,350
19012016,08:00,09:00,345
19012016,09:00,10:00,351
19012016,10:00,11:00,351
19012016,11:00,12:00,351
19012016,12:00,13:00,350
19012016,13:00,14:00,350
19012016,14:00,15:00,350
19012016,15:00,16:00,351
19012016,16:00,17:00,350
19012016,17:00,18:00,350
19012016,18:00,19:00,351
19012016,19:00,20:00,350
19012016,20:00,21:00,350
19012016,21:00,22:00,351
19012016,22:00,23:00,350
19012016,23:00,00:00,350
20012016,00:00,01:00,351
20012016,01:00,02:00,349
20012016,02:00,03:00,351
20012016,03:00,04:00,351
20012016,04:00,05:00,351
20012016,05:00,06:00,349
20012016,06:00,07:00,348
20012016,07:00,08:00,347
20012016,08:00,09:00,348
20012016,09:00,10:00,350
20012016,10:00,11:00,350
20012016,11:00,12:00,351
20012016,12:00,13:00,349
20012016,13:00,14:00,349
20012016,14:00,15:00,350
20012016,15:00,16:00,348
20012016,16:00,17:00,349
20012016,17:00,18:00,351
20012016,18:00,19:00,349
20012016,19:00,20:00,350
20012016,20:00,21:00,351
20012016,21:00,22:00,350
20012016,22:00,23:00,350
20012016,23:00,00:00,350
21012016,00:00,01:00,351
21012016,01:00,02:00,349
21012016,02:00,03:00,352
21012016,03:00,04:00,351
21012016,04:00,05:00,350
21012016,05:00,06:00,351
21012016,06:00,07:00,351
21012016,07:00,08:00,349
21012016,08:00,09:00,349
21012016,09:00,10:00,350
21012016,10:00,11:00,350
21012016,11:00,12:00,352
21012016,12:00,13:00,351
21012016,13:00,14:00,353
21012016,14:00,15:00,354
21012016,15:00,16:00,353
21012016,16:00,17:00,353
21012016,17:00,18:00,352
21012016,18:00,19:00,351
21012016,19:00,20:00,351
21012016,20:00,21:00,350
21012016,21:00,22:00,351
21012016,22:00,23:00,351
21012016,23:00,00:00,351
22012016,00:00,01:00,349
22012016,01:00,02:00,349
22012016,02:00,03:00,350
22012016,03:00,04:00,350
22012016,04:00,05:00,350
22012016,05:00,06:00,350
22012016,06:00,07:00,350
22012016,07:00,08:00,350
22012016,08:00,09:00,350
22012016,09:00,10:00,349
22012016,10:00,11:00,349
22012016,11:00,12:00,349
22012016,12:00,13:00,346
22012016,13:00,14:00,351
22012016,14:00,15:00,351
22012016,15:00,16:00,351
22012016,16:00,17:00,352
22012016,17:00,18:00,349
22012016,18:00,19:00,349
22012016,19:00,20:00,351
22012016,20:00,21:00,348
22012016,21:00,22:00,350
22012016,22:00,23:00,346
22012016,23:00,00:00,290
23012016,00:00,01:00,285
23012016,01:00,02:00,282
23012016,02:00,03:00,227
23012016,03:00,04:00,222
23012016,04:00,05:00,221
23012016,05:00,06:00,222
23012016,06:00,07:00,228
23012016,07:00,08:00,286
23012016,08:00,09:00,343
23012016,09:00,10:00,350
23012016,10:00,11:00,350
23012016,11:00,12:00,350
23012016,12:00,13:00,350
23012016,13:00,14:00,350
23012016,14:00,15:00,351
23012016,15:00,16:00,351
23012016,16:00,17:00,349
23012016,17:00,18:00,349
23012016,18:00,19:00,349
23012016,19:00,20:00,348
23012016,20:00,21:00,350
23012016,21:00,22:00,349
23012016,22:00,23:00,351
23012016,23:00,00:00,350
24012016,00:00,01:00,349
24012016,01:00,02:00,345
24012016,02:00,03:00,270
24012016,03:00,04:00,234
24012016,04:00,05:00,242
24012016,05:00,06:00,222
24012016,06:00,07:00,223
24012016,07:00,08:00,223
24012016,08:00,09:00,223
24012016,09:00,10:00,237
24012016,10:00,11:00,301
24012016,11:00,12:00,350
24012016,12:00,13:00,351
24012016,13:00,14:00,351
24012016,14:00,15:00,349
24012016,15:00,16:00,350
24012016,16:00,17:00,348
24012016,17:00,18:00,350
24012016,18:00,19:00,350
24012016,19:00,20:00,349
24012016,20:00,21:00,350
24012016,21:00,22:00,299
24012016,22:00,23:00,236
24012016,23:00,00:00,350
25012016,00:00,01:00,223
25012016,01:00,02:00,222
25012016,02:00,03:00,222
25012016,03:00,04:00,223
25012016,04:00,05:00,228
25012016,05:00,06:00,289
25012016,06:00,07:00,346
25012016,07:00,08:00,349
25012016,08:00,09:00,349
25012016,09:00,10:00,350
25012016,10:00,11:00,350
25012016,11:00,12:00,350
25012016,12:00,13:00,349
25012016,13:00,14:00,351
25012016,14:00,15:00,350
25012016,15:00,16:00,350
25012016,16:00,17:00,348
25012016,17:00,18:00,350
25012016,18:00,19:00,349
25012016,19:00,20:00,350
25012016,20:00,21:00,351
25012016,21:00,22:00,350
25012016,22:00,23:00,338
25012016,23:00,00:00,327
26012016,00:00,01:00,258
26012016,01:00,02:00,221
26012016,02:00,03:00,221
26012016,03:00,04:00,223
26012016,04:00,05:00,239
26012016,05:00,06:00,277
26012016,06:00,07:00,345
26012016,07:00,08:00,350
26012016,08:00,09:00,348
26012016,09:00,10:00,349
26012016,10:00,11:00,350
26012016,11:00,12:00,349
26012016,12:00,13:00,350
26012016,13:00,14:00,349
26012016,14:00,15:00,252
26012016,15:00,16:00,221
26012016,16:00,17:00,222
26012016,17:00,18:00,223
26012016,18:00,19:00,317
26012016,19:00,20:00,349
26012016,20:00,21:00,349
26012016,21:00,22:00,348
26012016,22:00,23:00,348
26012016,23:00,00:00,334
27012016,00:00,01:00,224
27012016,01:00,02:00,222
27012016,02:00,03:00,223
27012016,03:00,04:00,222
27012016,04:00,05:00,223
27012016,05:00,06:00,224
27012016,06:00,07:00,231
27012016,07:00,08:00,292
27012016,08:00,09:00,344
27012016,09:00,10:00,351
27012016,10:00,11:00,349
27012016,11:00,12:00,349
27012016,12:00,13:00,351
27012016,13:00,14:00,346
27012016,14:00,15:00,322
27012016,15:00,16:00,348
27012016,16:00,17:00,347
27012016,17:00,18:00,348
27012016,18:00,19:00,346
27012016,19:00,20:00,344
27012016,20:00,21:00,291
27012016,21:00,22:00,227
27012016,22:00,23:00,223
27012016,23:00,00:00,222
28012016,00:00,01:00,224
28012016,01:00,02:00,223
28012016,02:00,03:00,223
28012016,03:00,04:00,223
28012016,04:00,05:00,223
28012016,05:00,06:00,228
28012016,06:00,07:00,285
28012016,07:00,08:00,345
28012016,08:00,09:00,349
28012016,09:00,10:00,349
28012016,10:00,11:00,349
28012016,11:00,12:00,348
28012016,12:00,13:00,349
28012016,13:00,14:00,349
28012016,14:00,15:00,350
28012016,15:00,16:00,350
28012016,16:00,17:00,349
28012016,17:00,18:00,349
28012016,18:00,19:00,348
28012016,19:00,20:00,349
28012016,20:00,21:00,349
28012016,21:00,22:00,350
28012016,22:00,23:00,334
28012016,23:00,00:00,301
29012016,00:00,01:00,239
29012016,01:00,02:00,223
29012016,02:00,03:00,222
29012016,03:00,04:00,223
29012016,04:00,05:00,222
29012016,05:00,06:00,226
29012016,06:00,07:00,285
29012016,07:00,08:00,340
29012016,08:00,09:00,287
29012016,09:00,10:00,224
29012016,10:00,11:00,223
29012016,11:00,12:00,225
29012016,12:00,13:00,266
29012016,13:00,14:00,227
29012016,14:00,15:00,222
29012016,15:00,16:00,223
29012016,16:00,17:00,222
29012016,17:00,18:00,223
29012016,18:00,19:00,222
29012016,19:00,20:00,221
29012016,20:00,21:00,222
29012016,21:00,22:00,30
29012016,22:00,23:00,0
29012016,23:00,00:00,0
30012016,00:00,01:00,0
30012016,01:00,02:00,0
30012016,02:00,03:00,0
30012016,03:00,04:00,0
30012016,04:00,05:00,0
30012016,05:00,06:00,0
30012016,06:00,07:00,0
30012016,07:00,08:00,0
30012016,08:00,09:00,0
30012016,09:00,10:00,0
30012016,10:00,11:00,0
30012016,11:00,12:00,0
30012016,12:00,13:00,0
30012016,13:00,14:00,0
30012016,14:00,15:00,0
30012016,15:00,16:00,0
30012016,16:00,17:00,0
30012016,17:00,18:00,0
30012016,18:00,19:00,0
30012016,19:00,20:00,0
30012016,20:00,21:00,0
30012016,21:00,22:00,0
30012016,22:00,23:00,0
30012016,23:00,00:00,0
31012016,00:00,01:00,0
31012016,01:00,02:00,0
31012016,02:00,03:00,0
31012016,03:00,04:00,0
31012016,04:00,05:00,0
31012016,05:00,06:00,0
31012016,06:00,07:00,0
31012016,07:00,08:00,0
31012016,08:00,09:00,0
31012016,09:00,10:00,0
31012016,10:00,11:00,0
31012016,11:00,12:00,0
31012016,12:00,13:00,0
31012016,13:00,14:00,0
31012016,14:00,15:00,0
31012016,15:00,16:00,0
31012016,16:00,17:00,0
31012016,17:00,18:00,0
31012016,18:00,19:00,0
31012016,19:00,20:00,0
31012016,20:00,21:00,0
31012016,21:00,22:00,0
31012016,22:00,23:00,0
31012016,23:00,00:00,0
1022016,00:00,01:00,0
1022016,01:00,02:00,0
1022016,02:00,03:00,0
1022016,03:00,04:00,0
1022016,04:00,05:00,0
1022016,05:00,06:00,176
1022016,06:00,07:00,336
1022016,07:00,08:00,239
1022016,08:00,09:00,224
1022016,09:00,10:00,224
1022016,10:00,11:00,263
1022016,11:00,12:00,347
1022016,12:00,13:00,317
1022016,13:00,14:00,255
1022016,14:00,15:00,223
1022016,15:00,16:00,170
1022016,16:00,17:00,224
1022016,17:00,18:00,237
1022016,18:00,19:00,298
1022016,19:00,20:00,350
1022016,20:00,21:00,349
1022016,21:00,22:00,318
1022016,22:00,23:00,223
1022016,23:00,00:00,223
2022016,00:00,01:00,222
2022016,01:00,02:00,222
2022016,02:00,03:00,223
2022016,03:00,04:00,222
2022016,04:00,05:00,223
2022016,05:00,06:00,223
2022016,06:00,07:00,226
2022016,07:00,08:00,285
2022016,08:00,09:00,348
2022016,09:00,10:00,353
2022016,10:00,11:00,349
2022016,11:00,12:00,266
2022016,12:00,13:00,224
2022016,13:00,14:00,225
2022016,14:00,15:00,241
