date,start,end,11WD8SCHK1L---A2,11WD8SCHK1L---B0
1012019,00:00,01:00,64,233
1012019,01:00,02:00,0,218
1012019,02:00,03:00,0,219
1012019,03:00,04:00,0,223
1012019,04:00,05:00,0,222
1012019,05:00,06:00,0,220
1012019,06:00,07:00,0,221
1012019,07:00,08:00,0,218
1012019,08:00,09:00,0,222
1012019,09:00,10:00,0,222
1012019,10:00,11:00,0,224
1012019,11:00,12:00,0,220
1012019,12:00,13:00,0,224
1012019,13:00,14:00,0,224
1012019,14:00,15:00,0,222
1012019,15:00,16:00,0,226
1012019,16:00,17:00,0,223
1012019,17:00,18:00,0,230
1012019,18:00,19:00,0,217
1012019,19:00,20:00,0,214
1012019,20:00,21:00,0,215
1012019,21:00,22:00,0,213
1012019,22:00,23:00,0,213
1012019,23:00,00:00,0,213
2012019,00:00,01:00,0,212
2012019,01:00,02:00,0,212
2012019,02:00,03:00,0,213
2012019,03:00,04:00,0,212
2012019,04:00,05:00,0,213
2012019,05:00,06:00,0,213
2012019,06:00,07:00,0,213
2012019,07:00,08:00,0,212
2012019,08:00,09:00,0,214
2012019,09:00,10:00,0,214
2012019,10:00,11:00,0,206
2012019,11:00,12:00,0,180
2012019,12:00,13:00,0,170
2012019,13:00,14:00,0,167
2012019,14:00,15:00,0,166
2012019,15:00,16:00,0,168
2012019,16:00,17:00,0,170
2012019,17:00,18:00,0,161
2012019,18:00,19:00,0,164
2012019,19:00,20:00,0,168
2012019,20:00,21:00,0,174
2012019,21:00,22:00,0,209
2012019,22:00,23:00,0,219
2012019,23:00,00:00,0,214
3012019,00:00,01:00,188,223
3012019,01:00,02:00,276,289
3012019,02:00,03:00,373,316
3012019,03:00,04:00,387,327
3012019,04:00,05:00,388,327
3012019,05:00,06:00,388,330
3012019,06:00,07:00,385,318
3012019,07:00,08:00,328,273
3012019,08:00,09:00,251,184
3012019,09:00,10:00,337,283
3012019,10:00,11:00,391,326
3012019,11:00,12:00,393,325
3012019,12:00,13:00,393,326
3012019,13:00,14:00,394,329
3012019,14:00,15:00,393,327
3012019,15:00,16:00,393,328
3012019,16:00,17:00,392,326
3012019,17:00,18:00,394,325
3012019,18:00,19:00,393,324
3012019,19:00,20:00,393,326
3012019,20:00,21:00,393,325
3012019,21:00,22:00,392,325
3012019,22:00,23:00,394,324
3012019,23:00,00:00,393,324
4012019,00:00,01:00,393,325
