date,start,end,11WD7VOLK5S-HKVM
9012019,06:00,07:00,48.0
9012019,07:00,08:00,50.0
9012019,08:00,09:00,49.0
9012019,09:00,10:00,74.0
9012019,10:00,11:00,122.0
9012019,11:00,12:00,139.0
9012019,12:00,13:00,139.0
9012019,13:00,14:00,111.0
9012019,14:00,15:00,86.0
9012019,15:00,16:00,86.0
9012019,16:00,17:00,87.0
9012019,17:00,18:00,146.0
9012019,18:00,19:00,168.0
9012019,19:00,20:00,141.0
9012019,20:00,21:00,127.0
9012019,21:00,22:00,54.0
9012019,22:00,23:00,42.0
9012019,23:00,00:00,51.0
10012019,00:00,01:00,42.0
10012019,01:00,02:00,48.0
10012019,02:00,03:00,41.0
10012019,03:00,04:00,76.0
10012019,04:00,05:00,82.0
10012019,05:00,06:00,134.0
10012019,06:00,07:00,168.0
10012019,07:00,08:00,170.0
10012019,08:00,09:00,171.0
10012019,09:00,10:00,170.0
10012019,10:00,11:00,169.0
10012019,11:00,12:00,169.0
10012019,12:00,13:00,168.0
10012019,13:00,14:00,168.0
10012019,14:00,15:00,169.0
10012019,15:00,16:00,168.0
10012019,16:00,17:00,169.0
10012019,17:00,18:00,170.0
10012019,18:00,19:00,171.0
10012019,19:00,20:00,172.0
10012019,20:00,21:00,172.0
10012019,21:00,22:00,170.0
10012019,22:00,23:00,167.0
10012019,23:00,00:00,141.0
11012019,00:00,01:00,101.0
11012019,01:00,02:00,98.0
11012019,02:00,03:00,99.0
11012019,03:00,04:00,111.0
11012019,04:00,05:00,101.0
11012019,05:00,06:00,100.0
11012019,06:00,07:00,108.0
11012019,07:00,08:00,159.0
11012019,08:00,09:00,169.0
11012019,09:00,10:00,170.0
11012019,10:00,11:00,170.0
11012019,11:00,12:00,171.0
11012019,12:00,13:00,164.0
11012019,13:00,14:00,97.0
11012019,14:00,15:00,75.0
11012019,15:00,16:00,52.0
11012019,16:00,17:00,46.0
11012019,17:00,18:00,62.0
11012019,18:00,19:00,61.0
11012019,19:00,20:00,52.0
11012019,20:00,21:00,51.0
11012019,21:00,22:00,54.0
11012019,22:00,23:00,54.0
11012019,23:00,00:00,54.0
12012019,00:00,01:00,35.0
12012019,01:00,02:00,31.0
12012019,02:00,03:00,33.0
12012019,03:00,04:00,34.0
12012019,04:00,05:00,38.0
12012019,05:00,06:00,41.0
12012019,06:00,07:00,44.0
12012019,07:00,08:00,57.0
12012019,08:00,09:00,57.0
12012019,09:00,10:00,56.0
12012019,10:00,11:00,58.0
12012019,11:00,12:00,55.0
12012019,12:00,13:00,55.0
12012019,13:00,14:00,52.0
12012019,14:00,15:00,52.0
12012019,15:00,16:00,52.0
12012019,16:00,17:00,52.0
12012019,17:00,18:00,52.0
12012019,18:00,19:00,52.0
12012019,19:00,20:00,48.0
12012019,20:00,21:00,46.0
12012019,21:00,22:00,40.0
12012019,22:00,23:00,36.0
12012019,23:00,00:00,35.0
13012019,00:00,01:00,22.0
13012019,01:00,02:00,22.0
13012019,02:00,03:00,26.0
13012019,03:00,04:00,29.0
13012019,04:00,05:00,37.0
13012019,05:00,06:00,38.0
13012019,06:00,07:00,38.0
13012019,07:00,08:00,34.0
13012019,08:00,09:00,42.0
13012019,09:00,10:00,42.0
13012019,10:00,11:00,43.0
13012019,11:00,12:00,44.0
13012019,12:00,13:00,39.0
13012019,13:00,14:00,37.0
13012019,14:00,15:00,39.0
13012019,15:00,16:00,40.0
13012019,16:00,17:00,38.0
13012019,17:00,18:00,38.0
13012019,18:00,19:00,39.0
13012019,19:00,20:00,39.0
13012019,20:00,21:00,40.0
13012019,21:00,22:00,39.0
13012019,22:00,23:00,37.0
13012019,23:00,00:00,32.0
14012019,00:00,01:00,23.0
14012019,01:00,02:00,23.0
14012019,02:00,03:00,23.0
14012019,03:00,04:00,33.0
14012019,04:00,05:00,36.0
14012019,05:00,06:00,63.0
14012019,06:00,07:00,138.0
14012019,07:00,08:00,163.0
14012019,08:00,09:00,170.0
14012019,09:00,10:00,160.0
14012019,10:00,11:00,169.0
14012019,11:00,12:00,116.0
14012019,12:00,13:00,59.0
14012019,13:00,14:00,32.0
14012019,14:00,15:00,37.0
14012019,15:00,16:00,42.0
14012019,16:00,17:00,53.0
14012019,17:00,18:00,68.0
14012019,18:00,19:00,151.0
14012019,19:00,20:00,133.0
14012019,20:00,21:00,66.0
14012019,21:00,22:00,32.0
14012019,22:00,23:00,39.0
14012019,23:00,00:00,40.0
15012019,00:00,01:00,40.0
15012019,01:00,02:00,40.0
15012019,02:00,03:00,40.0
15012019,03:00,04:00,40.0
15012019,04:00,05:00,40.0
15012019,05:00,06:00,74.0
15012019,06:00,07:00,153.0
15012019,07:00,08:00,169.0
15012019,08:00,09:00,170.0
15012019,09:00,10:00,170.0
15012019,10:00,11:00,171.0
15012019,11:00,12:00,152.0
15012019,12:00,13:00,61.0
15012019,13:00,14:00,33.0
15012019,14:00,15:00,49.0
15012019,15:00,16:00,51.0
15012019,16:00,17:00,47.0
15012019,17:00,18:00,37.0
15012019,18:00,19:00,35.0
15012019,19:00,20:00,35.0
15012019,20:00,21:00,36.0
15012019,21:00,22:00,35.0
15012019,22:00,23:00,35.0
15012019,23:00,00:00,35.0
16012019,00:00,01:00,35.0
16012019,01:00,02:00,35.0
16012019,02:00,03:00,35.0
16012019,03:00,04:00,35.0
16012019,04:00,05:00,35.0
16012019,05:00,06:00,64.0
16012019,06:00,07:00,108.0
16012019,07:00,08:00,158.0
16012019,08:00,09:00,112.0
16012019,09:00,10:00,124.0
16012019,10:00,11:00,71.0
16012019,11:00,12:00,51.0
16012019,12:00,13:00,33.0
16012019,13:00,14:00,31.0
16012019,14:00,15:00,32.0
16012019,15:00,16:00,40.0
16012019,16:00,17:00,111.0
16012019,17:00,18:00,167.0
16012019,18:00,19:00,168.0
16012019,19:00,20:00,116.0
16012019,20:00,21:00,53.0
16012019,21:00,22:00,34.0
16012019,22:00,23:00,35.0
16012019,23:00,00:00,36.0
17012019,00:00,01:00,37.0
17012019,01:00,02:00,37.0
17012019,02:00,03:00,36.0
17012019,03:00,04:00,36.0
17012019,04:00,05:00,35.0
17012019,05:00,06:00,35.0
17012019,06:00,07:00,36.0
17012019,07:00,08:00,96.0
17012019,08:00,09:00,166.0
17012019,09:00,10:00,176.0
17012019,10:00,11:00,155.0
17012019,11:00,12:00,98.0
17012019,12:00,13:00,61.0
17012019,13:00,14:00,60.0
17012019,14:00,15:00,71.0
17012019,15:00,16:00,109.0
17012019,16:00,17:00,124.0
17012019,17:00,18:00,106.0
17012019,18:00,19:00,57.0
17012019,19:00,20:00,32.0
17012019,20:00,21:00,35.0
17012019,21:00,22:00,40.0
17012019,22:00,23:00,39.0
17012019,23:00,00:00,40.0
18012019,00:00,01:00,39.0
18012019,01:00,02:00,50.0
18012019,02:00,03:00,45.0
18012019,03:00,04:00,42.0
18012019,04:00,05:00,48.0
18012019,05:00,06:00,116.0
18012019,06:00,07:00,162.0
18012019,07:00,08:00,164.0
18012019,08:00,09:00,170.0
18012019,09:00,10:00,171.0
18012019,10:00,11:00,171.0
18012019,11:00,12:00,171.0
18012019,12:00,13:00,172.0
18012019,13:00,14:00,173.0
18012019,14:00,15:00,175.0
18012019,15:00,16:00,173.0
18012019,16:00,17:00,174.0
18012019,17:00,18:00,173.0
18012019,18:00,19:00,171.0
18012019,19:00,20:00,170.0
18012019,20:00,21:00,170.0
18012019,21:00,22:00,171.0
18012019,22:00,23:00,169.0
18012019,23:00,00:00,153.0
19012019,00:00,01:00,138.0
19012019,01:00,02:00,132.0
19012019,02:00,03:00,130.0
19012019,03:00,04:00,128.0
19012019,04:00,05:00,128.0
19012019,05:00,06:00,150.0
19012019,06:00,07:00,163.0
19012019,07:00,08:00,140.0
19012019,08:00,09:00,139.0
19012019,09:00,10:00,139.0
19012019,10:00,11:00,158.0
19012019,11:00,12:00,154.0
19012019,12:00,13:00,140.0
19012019,13:00,14:00,158.0
19012019,14:00,15:00,143.0
19012019,15:00,16:00,162.0
19012019,16:00,17:00,171.0
19012019,17:00,18:00,171.0
19012019,18:00,19:00,170.0
19012019,19:00,20:00,170.0
19012019,20:00,21:00,170.0
19012019,21:00,22:00,148.0
19012019,22:00,23:00,102.0
19012019,23:00,00:00,51.0
20012019,00:00,01:00,42.0
20012019,01:00,02:00,45.0
20012019,02:00,03:00,47.0
20012019,03:00,04:00,48.0
20012019,04:00,05:00,49.0
20012019,05:00,06:00,49.0
20012019,06:00,07:00,76.0
20012019,07:00,08:00,122.0
20012019,08:00,09:00,164.0
20012019,09:00,10:00,164.0
20012019,10:00,11:00,163.0
20012019,11:00,12:00,163.0
20012019,12:00,13:00,163.0
20012019,13:00,14:00,141.0
20012019,14:00,15:00,144.0
20012019,15:00,16:00,164.0
20012019,16:00,17:00,167.0
20012019,17:00,18:00,165.0
20012019,18:00,19:00,165.0
20012019,19:00,20:00,166.0
20012019,20:00,21:00,165.0
20012019,21:00,22:00,149.0
20012019,22:00,23:00,151.0
20012019,23:00,00:00,155.0
21012019,00:00,01:00,131.0
21012019,01:00,02:00,132.0
21012019,02:00,03:00,138.0
21012019,03:00,04:00,125.0
21012019,04:00,05:00,149.0
21012019,05:00,06:00,167.0
21012019,06:00,07:00,169.0
21012019,07:00,08:00,168.0
21012019,08:00,09:00,169.0
21012019,09:00,10:00,168.0
21012019,10:00,11:00,168.0
21012019,11:00,12:00,169.0
21012019,12:00,13:00,168.0
21012019,13:00,14:00,167.0
21012019,14:00,15:00,168.0
21012019,15:00,16:00,171.0
21012019,16:00,17:00,171.0
21012019,17:00,18:00,171.0
21012019,18:00,19:00,171.0
21012019,19:00,20:00,168.0
21012019,20:00,21:00,170.0
21012019,21:00,22:00,170.0
21012019,22:00,23:00,170.0
21012019,23:00,00:00,172.0
22012019,00:00,01:00,174.0
22012019,01:00,02:00,174.0
22012019,02:00,03:00,173.0
22012019,03:00,04:00,173.0
22012019,04:00,05:00,173.0
22012019,05:00,06:00,175.0
22012019,06:00,07:00,175.0
22012019,07:00,08:00,175.0
22012019,08:00,09:00,174.0
22012019,09:00,10:00,175.0
22012019,10:00,11:00,174.0
22012019,11:00,12:00,174.0
22012019,12:00,13:00,173.0
22012019,13:00,14:00,172.0
22012019,14:00,15:00,172.0
22012019,15:00,16:00,171.0
22012019,16:00,17:00,172.0
22012019,17:00,18:00,171.0
22012019,18:00,19:00,170.0
22012019,19:00,20:00,171.0
22012019,20:00,21:00,171.0
22012019,21:00,22:00,171.0
22012019,22:00,23:00,171.0
22012019,23:00,00:00,171.0
23012019,00:00,01:00,163.0
23012019,01:00,02:00,129.0
23012019,02:00,03:00,128.0
23012019,03:00,04:00,134.0
23012019,04:00,05:00,162.0
23012019,05:00,06:00,173.0
23012019,06:00,07:00,175.0
23012019,07:00,08:00,174.0
23012019,08:00,09:00,174.0
23012019,09:00,10:00,174.0
23012019,10:00,11:00,175.0
23012019,11:00,12:00,174.0
23012019,12:00,13:00,175.0
23012019,13:00,14:00,174.0
23012019,14:00,15:00,179.0
23012019,15:00,16:00,179.0
23012019,16:00,17:00,179.0
23012019,17:00,18:00,179.0
23012019,18:00,19:00,178.0
23012019,19:00,20:00,177.0
23012019,20:00,21:00,178.0
23012019,21:00,22:00,178.0
23012019,22:00,23:00,178.0
23012019,23:00,00:00,177.0
24012019,00:00,01:00,177.0
24012019,01:00,02:00,178.0
24012019,02:00,03:00,178.0
24012019,03:00,04:00,177.0
24012019,04:00,05:00,178.0
24012019,05:00,06:00,176.0
24012019,06:00,07:00,177.0
24012019,07:00,08:00,177.0
24012019,08:00,09:00,177.0
24012019,09:00,10:00,177.0
24012019,10:00,11:00,178.0
24012019,11:00,12:00,176.0
24012019,12:00,13:00,176.0
24012019,13:00,14:00,176.0
24012019,14:00,15:00,148.0
24012019,15:00,16:00,136.0
