Timestamp,11WD8JAEN1L---AD,11WD8JAEN1L---BB,11WD8JAEN1L---C9,11WD8JAEN1L---D7,11WD8JAEN1L---E5,11WD8JAEN1L---F3
2020-01-01 00:00:00,0,473,488,491,,
2020-01-01 01:00:00,0,477,492,494,,
2020-01-01 02:00:00,0,478,490,495,,
2020-01-01 03:00:00,0,476,492,497,,
2020-01-01 04:00:00,0,476,494,490,,
2020-01-01 05:00:00,0,478,493,494,,
2020-01-01 06:00:00,0,472,494,493,,
2020-01-01 07:00:00,0,470,493,495,,
2020-01-01 08:00:00,0,457,482,482,,
2020-01-01 09:00:00,0,462,482,480,,
2020-01-01 10:00:00,0,455,478,478,,
2020-01-01 11:00:00,0,425,461,407,,
2020-01-01 12:00:00,0,449,471,468,,
2020-01-01 13:00:00,0,435,468,405,,
2020-01-01 14:00:00,0,474,497,490,,
2020-01-01 15:00:00,0,475,496,494,,
2020-01-01 16:00:00,0,475,496,496,,
2020-01-01 17:00:00,0,461,484,481,,
2020-01-01 18:00:00,0,454,475,473,,
2020-01-01 19:00:00,0,408,451,387,,
2020-01-01 20:00:00,0,459,481,482,,
2020-01-01 21:00:00,0,475,494,491,,
2020-01-01 22:00:00,0,479,497,494,,
2020-01-01 23:00:00,0,477,496,494,,
2020-01-02 00:00:00,0,469,489,486,,
2020-01-02 01:00:00,0,477,497,495,,
2020-01-02 02:00:00,0,474,495,495,,
2020-01-02 03:00:00,0,455,484,433,,
2020-01-02 04:00:00,0,427,435,366,,
2020-01-02 05:00:00,0,431,467,403,,
2020-01-02 06:00:00,0,432,467,437,,
2020-01-02 07:00:00,0,412,481,415,,
2020-01-02 08:00:00,0,452,496,491,,
2020-01-02 09:00:00,0,467,498,496,,
2020-01-02 10:00:00,0,464,495,493,,
2020-01-02 11:00:00,0,461,497,494,,
2020-01-02 12:00:00,0,461,498,495,,
2020-01-02 13:00:00,0,465,499,497,,
2020-01-02 14:00:00,0,451,487,494,,
2020-01-02 15:00:00,0,446,477,488,,
2020-01-02 16:00:00,0,442,473,483,,
2020-01-02 17:00:00,0,438,476,488,,
2020-01-02 18:00:00,0,437,474,486,,
2020-01-02 19:00:00,0,445,476,487,,
2020-01-02 20:00:00,0,440,490,487,,
2020-01-02 21:00:00,0,431,480,476,,
2020-01-02 22:00:00,0,437,491,474,,
2020-01-02 23:00:00,0,390,419,354,,
2020-01-03 00:00:00,0,372,347,295,,
2020-01-03 01:00:00,0,378,314,297,,
2020-01-03 02:00:00,0,370,307,295,,
2020-01-03 03:00:00,0,368,307,298,,
2020-01-03 04:00:00,0,373,308,297,,
2020-01-03 05:00:00,0,369,306,300,,
2020-01-03 06:00:00,0,341,306,298,,
2020-01-03 07:00:00,0,349,307,301,,
2020-01-03 08:00:00,0,373,331,313,,
2020-01-03 09:00:00,0,407,345,332,,
2020-01-03 10:00:00,0,391,332,318,,
2020-01-03 11:00:00,0,389,353,334,,
2020-01-03 12:00:00,0,388,357,336,,
2020-01-03 13:00:00,0,374,331,312,,
2020-01-03 14:00:00,0,371,352,315,,
2020-01-03 15:00:00,0,358,342,317,,
2020-01-03 16:00:00,0,342,427,331,,
2020-01-03 17:00:00,0,344,368,352,,
2020-01-03 18:00:00,0,341,388,337,,
2020-01-03 19:00:00,0,353,385,350,,
2020-01-03 20:00:00,0,331,383,328,,
2020-01-03 21:00:00,0,336,382,328,,
2020-01-03 22:00:00,0,385,201,341,,
2020-01-03 23:00:00,0,361,113,316,,
2020-01-04 00:00:00,0,353,0,306,,
2020-01-04 01:00:00,0,341,0,304,,
2020-01-04 02:00:00,0,349,0,301,,
2020-01-04 03:00:00,0,346,0,304,,
2020-01-04 04:00:00,0,365,0,304,,
2020-01-04 05:00:00,0,362,0,305,,
2020-01-04 06:00:00,0,361,0,304,,
2020-01-04 07:00:00,0,358,0,307,,
2020-01-04 08:00:00,0,353,0,309,,
2020-01-04 09:00:00,0,360,0,309,,
2020-01-04 10:00:00,0,359,0,308,,
2020-01-04 11:00:00,0,359,0,309,,
2020-01-04 12:00:00,0,363,0,309,,
2020-01-04 13:00:00,0,364,0,307,,
2020-01-04 14:00:00,0,366,0,313,,
2020-01-04 15:00:00,0,366,0,311,,
2020-01-04 16:00:00,0,374,0,320,,
2020-01-04 17:00:00,0,446,0,434,,
2020-01-04 18:00:00,0,425,0,417,,
2020-01-04 19:00:00,0,410,0,396,,
2020-01-04 20:00:00,0,419,0,397,,
2020-01-04 21:00:00,0,390,0,333,,
2020-01-04 22:00:00,0,449,0,458,,
2020-01-04 23:00:00,0,450,0,471,,
2020-01-05 00:00:00,0,426,0,411,,
2020-01-05 01:00:00,0,428,0,425,,
2020-01-05 02:00:00,0,413,0,408,,
2020-01-05 03:00:00,0,412,0,406,,
2020-01-05 04:00:00,3,434,0,436,,
2020-01-05 05:00:00,73,425,0,388,,
2020-01-05 06:00:00,96,444,0,466,,
2020-01-05 07:00:00,139,453,0,469,,
2020-01-05 08:00:00,152,452,0,457,,
2020-01-05 09:00:00,145,441,0,464,,
2020-01-05 10:00:00,153,447,0,454,,
2020-01-05 11:00:00,181,468,0,486,,
2020-01-05 12:00:00,187,476,0,489,,
2020-01-05 13:00:00,181,482,0,495,,
2020-01-05 14:00:00,257,478,0,488,,
2020-01-05 15:00:00,369,476,0,456,,
2020-01-05 16:00:00,419,463,0,463,,
2020-01-05 17:00:00,460,471,0,489,,
2020-01-05 18:00:00,487,475,0,493,,
2020-01-05 19:00:00,498,479,0,492,,
2020-01-05 20:00:00,495,469,0,480,,
