date,start,end,11W0-0000-0044-W
1012022,00:00,01:00,404.0
1012022,01:00,02:00,406.0
1012022,02:00,03:00,406.0
1012022,03:00,04:00,405.0
1012022,04:00,05:00,405.0
1012022,05:00,06:00,405.0
1012022,06:00,07:00,407.0
1012022,07:00,08:00,405.0
1012022,08:00,09:00,405.0
1012022,09:00,10:00,406.0
1012022,10:00,11:00,406.0
1012022,11:00,12:00,434.0
1012022,12:00,13:00,482.0
1012022,13:00,14:00,462.0
1012022,14:00,15:00,422.0
1012022,15:00,16:00,695.0
1012022,16:00,17:00,869.0
1012022,17:00,18:00,866.0
1012022,18:00,19:00,868.0
1012022,19:00,20:00,866.0
1012022,20:00,21:00,786.0
1012022,21:00,22:00,525.0
1012022,22:00,23:00,470.0
1012022,23:00,00:00,426.0
2012022,00:00,01:00,407.0
2012022,01:00,02:00,410.0
2012022,02:00,03:00,411.0
2012022,03:00,04:00,410.0
2012022,04:00,05:00,409.0
2012022,05:00,06:00,411.0
2012022,06:00,07:00,410.0
2012022,07:00,08:00,410.0
2012022,08:00,09:00,410.0
2012022,09:00,10:00,412.0
2012022,10:00,11:00,410.0
2012022,11:00,12:00,410.0
2012022,12:00,13:00,410.0
2012022,13:00,14:00,410.0
2012022,14:00,15:00,408.0
2012022,15:00,16:00,410.0
2012022,16:00,17:00,412.0
2012022,17:00,18:00,408.0
2012022,18:00,19:00,408.0
2012022,19:00,20:00,413.0
2012022,20:00,21:00,411.0
2012022,21:00,22:00,407.0
2012022,22:00,23:00,412.0
2012022,23:00,00:00,410.0
3012022,00:00,01:00,409.0
3012022,01:00,02:00,410.0
3012022,02:00,03:00,410.0
3012022,03:00,04:00,410.0
3012022,04:00,05:00,410.0
3012022,05:00,06:00,411.0
3012022,06:00,07:00,410.0
3012022,07:00,08:00,434.0
3012022,08:00,09:00,473.0
3012022,09:00,10:00,411.0
3012022,10:00,11:00,409.0
3012022,11:00,12:00,410.0
3012022,12:00,13:00,409.0
3012022,13:00,14:00,410.0
3012022,14:00,15:00,410.0
3012022,15:00,16:00,423.0
3012022,16:00,17:00,782.0
3012022,17:00,18:00,946.0
3012022,18:00,19:00,946.0
3012022,19:00,20:00,883.0
3012022,20:00,21:00,767.0
3012022,21:00,22:00,690.0
3012022,22:00,23:00,657.0
3012022,23:00,00:00,415.0
4012022,00:00,01:00,410.0
4012022,01:00,02:00,410.0
4012022,02:00,03:00,410.0
4012022,03:00,04:00,409.0
4012022,04:00,05:00,410.0
4012022,05:00,06:00,408.0
4012022,06:00,07:00,456.0
4012022,07:00,08:00,632.0
4012022,08:00,09:00,826.0
4012022,09:00,10:00,926.0
4012022,10:00,11:00,897.0
4012022,11:00,12:00,847.0
4012022,12:00,13:00,877.0
4012022,13:00,14:00,821.0
4012022,14:00,15:00,666.0
4012022,15:00,16:00,514.0
4012022,16:00,17:00,577.0
4012022,17:00,18:00,674.0
4012022,18:00,19:00,626.0
4012022,19:00,20:00,556.0
4012022,20:00,21:00,439.0
4012022,21:00,22:00,410.0
4012022,22:00,23:00,410.0
4012022,23:00,00:00,423.0
5012022,00:00,01:00,409.0
5012022,01:00,02:00,410.0
5012022,02:00,03:00,408.0
5012022,03:00,04:00,410.0
5012022,04:00,05:00,411.0
5012022,05:00,06:00,408.0
5012022,06:00,07:00,446.0
5012022,07:00,08:00,650.0
5012022,08:00,09:00,522.0
5012022,09:00,10:00,438.0
5012022,10:00,11:00,450.0
5012022,11:00,12:00,410.0
5012022,12:00,13:00,410.0
5012022,13:00,14:00,409.0
5012022,14:00,15:00,536.0
5012022,15:00,16:00,730.0
5012022,16:00,17:00,898.0
5012022,17:00,18:00,907.0
5012022,18:00,19:00,906.0
5012022,19:00,20:00,905.0
5012022,20:00,21:00,743.0
5012022,21:00,22:00,455.0
5012022,22:00,23:00,427.0
5012022,23:00,00:00,410.0
6012022,00:00,01:00,410.0
6012022,01:00,02:00,413.0
6012022,02:00,03:00,410.0
6012022,03:00,04:00,412.0
6012022,04:00,05:00,418.0
6012022,05:00,06:00,418.0
6012022,06:00,07:00,522.0
6012022,07:00,08:00,582.0
6012022,08:00,09:00,594.0
6012022,09:00,10:00,663.0
6012022,10:00,11:00,568.0
6012022,11:00,12:00,494.0
6012022,12:00,13:00,542.0
6012022,13:00,14:00,602.0
6012022,14:00,15:00,725.0
6012022,15:00,16:00,917.0
6012022,16:00,17:00,937.0
6012022,17:00,18:00,934.0
6012022,18:00,19:00,937.0
6012022,19:00,20:00,935.0
6012022,20:00,21:00,771.0
6012022,21:00,22:00,446.0
6012022,22:00,23:00,418.0
6012022,23:00,00:00,422.0
7012022,00:00,01:00,414.0
7012022,01:00,02:00,410.0
7012022,02:00,03:00,410.0
7012022,03:00,04:00,410.0
7012022,04:00,05:00,410.0
7012022,05:00,06:00,422.0
7012022,06:00,07:00,507.0
7012022,07:00,08:00,518.0
7012022,08:00,09:00,544.0
7012022,09:00,10:00,617.0
7012022,10:00,11:00,533.0
7012022,11:00,12:00,459.0
7012022,12:00,13:00,515.0
7012022,13:00,14:00,569.0
7012022,14:00,15:00,556.0
7012022,15:00,16:00,631.0
7012022,16:00,17:00,814.0
7012022,17:00,18:00,940.0
7012022,18:00,19:00,941.0
7012022,19:00,20:00,930.0
7012022,20:00,21:00,882.0
7012022,21:00,22:00,725.0
7012022,22:00,23:00,595.0
7012022,23:00,00:00,410.0
8012022,00:00,01:00,410.0
8012022,01:00,02:00,410.0
8012022,02:00,03:00,410.0
8012022,03:00,04:00,410.0
8012022,04:00,05:00,409.0
8012022,05:00,06:00,410.0
8012022,06:00,07:00,409.0
8012022,07:00,08:00,610.0
8012022,08:00,09:00,800.0
8012022,09:00,10:00,824.0
8012022,10:00,11:00,826.0
