date,start,end,11WD7IBBE2S--B-P
9012017,06:00,07:00,784.0
9012017,07:00,08:00,784.0
9012017,08:00,09:00,784.0
9012017,09:00,10:00,784.0
9012017,10:00,11:00,784.0
9012017,11:00,12:00,784.0
9012017,12:00,13:00,782.0
9012017,13:00,14:00,783.0
9012017,14:00,15:00,783.0
9012017,15:00,16:00,784.0
9012017,16:00,17:00,782.0
9012017,17:00,18:00,784.0
9012017,18:00,19:00,782.0
9012017,19:00,20:00,784.0
9012017,20:00,21:00,780.0
9012017,21:00,22:00,511.0
9012017,22:00,23:00,491.0
9012017,23:00,00:00,504.0
10012017,00:00,01:00,595.0
10012017,01:00,02:00,440.0
10012017,02:00,03:00,432.0
10012017,03:00,04:00,432.0
10012017,04:00,05:00,433.0
10012017,05:00,06:00,493.0
10012017,06:00,07:00,772.0
10012017,07:00,08:00,783.0
10012017,08:00,09:00,782.0
10012017,09:00,10:00,783.0
10012017,10:00,11:00,784.0
10012017,11:00,12:00,784.0
10012017,12:00,13:00,782.0
10012017,13:00,14:00,784.0
10012017,14:00,15:00,784.0
10012017,15:00,16:00,785.0
10012017,16:00,17:00,783.0
10012017,17:00,18:00,783.0
10012017,18:00,19:00,784.0
10012017,19:00,20:00,783.0
10012017,20:00,21:00,785.0
10012017,21:00,22:00,782.0
10012017,22:00,23:00,783.0
10012017,23:00,00:00,783.0
11012017,00:00,01:00,758.0
11012017,01:00,02:00,758.0
11012017,02:00,03:00,695.0
11012017,03:00,04:00,752.0
11012017,04:00,05:00,756.0
11012017,05:00,06:00,757.0
11012017,06:00,07:00,785.0
11012017,07:00,08:00,781.0
11012017,08:00,09:00,785.0
11012017,09:00,10:00,784.0
11012017,10:00,11:00,784.0
11012017,11:00,12:00,784.0
11012017,12:00,13:00,783.0
11012017,13:00,14:00,785.0
11012017,14:00,15:00,782.0
11012017,15:00,16:00,784.0
11012017,16:00,17:00,784.0
11012017,17:00,18:00,783.0
11012017,18:00,19:00,783.0
11012017,19:00,20:00,783.0
11012017,20:00,21:00,562.0
11012017,21:00,22:00,437.0
11012017,22:00,23:00,183.0
11012017,23:00,00:00,130.0
12012017,00:00,01:00,139.0
12012017,01:00,02:00,136.0
12012017,02:00,03:00,134.0
12012017,03:00,04:00,135.0
12012017,04:00,05:00,135.0
12012017,05:00,06:00,165.0
12012017,06:00,07:00,518.0
12012017,07:00,08:00,731.0
12012017,08:00,09:00,758.0
12012017,09:00,10:00,758.0
12012017,10:00,11:00,758.0
12012017,11:00,12:00,758.0
12012017,12:00,13:00,758.0
12012017,13:00,14:00,757.0
12012017,14:00,15:00,758.0
12012017,15:00,16:00,757.0
12012017,16:00,17:00,757.0
12012017,17:00,18:00,780.0
12012017,18:00,19:00,784.0
12012017,19:00,20:00,786.0
12012017,20:00,21:00,785.0
12012017,21:00,22:00,787.0
12012017,22:00,23:00,783.0
12012017,23:00,00:00,758.0
13012017,00:00,01:00,746.0
13012017,01:00,02:00,409.0
13012017,02:00,03:00,144.0
13012017,03:00,04:00,188.0
13012017,04:00,05:00,439.0
13012017,05:00,06:00,677.0
13012017,06:00,07:00,784.0
13012017,07:00,08:00,787.0
13012017,08:00,09:00,779.0
13012017,09:00,10:00,781.0
13012017,10:00,11:00,788.0
13012017,11:00,12:00,781.0
13012017,12:00,13:00,788.0
13012017,13:00,14:00,782.0
13012017,14:00,15:00,784.0
13012017,15:00,16:00,786.0
13012017,16:00,17:00,784.0
13012017,17:00,18:00,785.0
13012017,18:00,19:00,786.0
13012017,19:00,20:00,760.0
13012017,20:00,21:00,757.0
13012017,21:00,22:00,643.0
13012017,22:00,23:00,581.0
13012017,23:00,00:00,276.0
14012017,00:00,01:00,131.0
14012017,01:00,02:00,129.0
14012017,02:00,03:00,133.0
14012017,03:00,04:00,135.0
14012017,04:00,05:00,134.0
14012017,05:00,06:00,140.0
14012017,06:00,07:00,144.0
14012017,07:00,08:00,195.0
14012017,08:00,09:00,600.0
14012017,09:00,10:00,758.0
14012017,10:00,11:00,752.0
14012017,11:00,12:00,758.0
14012017,12:00,13:00,758.0
14012017,13:00,14:00,757.0
14012017,14:00,15:00,757.0
14012017,15:00,16:00,757.0
14012017,16:00,17:00,757.0
14012017,17:00,18:00,757.0
14012017,18:00,19:00,757.0
14012017,19:00,20:00,752.0
14012017,20:00,21:00,377.0
14012017,21:00,22:00,158.0
14012017,22:00,23:00,134.0
14012017,23:00,00:00,134.0
15012017,00:00,01:00,137.0
15012017,01:00,02:00,135.0
15012017,02:00,03:00,133.0
15012017,03:00,04:00,132.0
15012017,04:00,05:00,134.0
15012017,05:00,06:00,133.0
15012017,06:00,07:00,134.0
15012017,07:00,08:00,134.0
15012017,08:00,09:00,181.0
15012017,09:00,10:00,633.0
15012017,10:00,11:00,759.0
15012017,11:00,12:00,759.0
15012017,12:00,13:00,758.0
15012017,13:00,14:00,758.0
15012017,14:00,15:00,758.0
15012017,15:00,16:00,758.0
15012017,16:00,17:00,759.0
15012017,17:00,18:00,786.0
15012017,18:00,19:00,781.0
15012017,19:00,20:00,788.0
15012017,20:00,21:00,785.0
15012017,21:00,22:00,779.0
15012017,22:00,23:00,777.0
15012017,23:00,00:00,777.0
16012017,00:00,01:00,784.0
16012017,01:00,02:00,788.0
16012017,02:00,03:00,784.0
16012017,03:00,04:00,790.0
16012017,04:00,05:00,784.0
16012017,05:00,06:00,785.0
16012017,06:00,07:00,788.0
16012017,07:00,08:00,786.0
16012017,08:00,09:00,786.0
16012017,09:00,10:00,786.0
16012017,10:00,11:00,788.0
16012017,11:00,12:00,787.0
16012017,12:00,13:00,787.0
16012017,13:00,14:00,786.0
16012017,14:00,15:00,786.0
16012017,15:00,16:00,786.0
16012017,16:00,17:00,786.0
16012017,17:00,18:00,786.0
16012017,18:00,19:00,787.0
16012017,19:00,20:00,787.0
16012017,20:00,21:00,787.0
16012017,21:00,22:00,786.0
16012017,22:00,23:00,786.0
16012017,23:00,00:00,785.0
17012017,00:00,01:00,785.0
17012017,01:00,02:00,785.0
17012017,02:00,03:00,785.0
17012017,03:00,04:00,785.0
17012017,04:00,05:00,785.0
17012017,05:00,06:00,785.0
17012017,06:00,07:00,786.0
17012017,07:00,08:00,787.0
17012017,08:00,09:00,787.0
17012017,09:00,10:00,787.0
17012017,10:00,11:00,785.0
17012017,11:00,12:00,786.0
17012017,12:00,13:00,785.0
17012017,13:00,14:00,786.0
17012017,14:00,15:00,787.0
17012017,15:00,16:00,784.0
17012017,16:00,17:00,786.0
17012017,17:00,18:00,786.0
17012017,18:00,19:00,785.0
17012017,19:00,20:00,786.0
