date,start,end,11WD2WBW1000039N,11WD2WBW2000040U
1012017,00:00,01:00,54,57
1012017,01:00,02:00,54,58
1012017,02:00,03:00,54,57
1012017,03:00,04:00,54,57
1012017,04:00,05:00,54,58
1012017,05:00,06:00,55,55
1012017,06:00,07:00,36,56
1012017,07:00,08:00,34,57
1012017,08:00,09:00,45,57
1012017,09:00,10:00,48,64
1012017,10:00,11:00,49,59
1012017,11:00,12:00,49,59
1012017,12:00,13:00,35,50
1012017,13:00,14:00,35,47
1012017,14:00,15:00,36,48
1012017,15:00,16:00,37,48
1012017,16:00,17:00,41,50
1012017,17:00,18:00,69,101
1012017,18:00,19:00,69,91
1012017,19:00,20:00,85,88
1012017,20:00,21:00,82,64
1012017,21:00,22:00,60,46
1012017,22:00,23:00,54,51
1012017,23:00,00:00,51,47
2012017,00:00,01:00,52,32
2012017,01:00,02:00,51,30
2012017,02:00,03:00,62,31
2012017,03:00,04:00,59,32
2012017,04:00,05:00,63,32
2012017,05:00,06:00,63,52
2012017,06:00,07:00,63,60
2012017,07:00,08:00,55,54
2012017,08:00,09:00,55,54
2012017,09:00,10:00,60,59
2012017,10:00,11:00,61,61
2012017,11:00,12:00,61,60
2012017,12:00,13:00,61,60
2012017,13:00,14:00,61,60
2012017,14:00,15:00,73,74
2012017,15:00,16:00,69,76
2012017,16:00,17:00,87,87
2012017,17:00,18:00,114,68
2012017,18:00,19:00,121,76
2012017,19:00,20:00,125,80
2012017,20:00,21:00,81,76
2012017,21:00,22:00,61,68
2012017,22:00,23:00,65,60
2012017,23:00,00:00,80,55
3012017,00:00,01:00,74,58
3012017,01:00,02:00,70,61
3012017,02:00,03:00,68,61
3012017,03:00,04:00,74,72
3012017,04:00,05:00,82,63
3012017,05:00,06:00,93,57
3012017,06:00,07:00,93,81
3012017,07:00,08:00,83,84
3012017,08:00,09:00,90,73
3012017,09:00,10:00,105,73
3012017,10:00,11:00,118,88
3012017,11:00,12:00,118,98
3012017,12:00,13:00,118,79
3012017,13:00,14:00,116,72
3012017,14:00,15:00,115,86
3012017,15:00,16:00,117,82
3012017,16:00,17:00,119,80
3012017,17:00,18:00,102,97
3012017,18:00,19:00,94,93
3012017,19:00,20:00,97,92
3012017,20:00,21:00,96,91
3012017,21:00,22:00,86,83
3012017,22:00,23:00,91,82
3012017,23:00,00:00,84,71
4012017,00:00,01:00,105,70
4012017,01:00,02:00,116,79
4012017,02:00,03:00,95,70
4012017,03:00,04:00,106,68
4012017,04:00,05:00,77,65
4012017,05:00,06:00,78,64
4012017,06:00,07:00,82,83
4012017,07:00,08:00,109,106
4012017,08:00,09:00,109,110
4012017,09:00,10:00,97,111
4012017,10:00,11:00,98,105
4012017,11:00,12:00,102,102
4012017,12:00,13:00,109,105
4012017,13:00,14:00,102,105
4012017,14:00,15:00,105,104
4012017,15:00,16:00,108,108
4012017,16:00,17:00,106,104
4012017,17:00,18:00,102,103
4012017,18:00,19:00,92,88
4012017,19:00,20:00,95,88
4012017,20:00,21:00,92,88
4012017,21:00,22:00,100,88
4012017,22:00,23:00,97,90
4012017,23:00,00:00,95,92
5012017,00:00,01:00,86,90
5012017,01:00,02:00,84,90
5012017,02:00,03:00,82,79
5012017,03:00,04:00,75,82
5012017,04:00,05:00,74,76
5012017,05:00,06:00,73,70
5012017,06:00,07:00,79,77
5012017,07:00,08:00,96,93
5012017,08:00,09:00,106,96
