date,start,end,11WD8ROST1C----K
8012019,04:00,05:00,0
8012019,05:00,06:00,0
8012019,06:00,07:00,0
8012019,07:00,08:00,0
8012019,08:00,09:00,0
8012019,09:00,10:00,0
8012019,10:00,11:00,0
8012019,11:00,12:00,0
8012019,12:00,13:00,0
8012019,13:00,14:00,0
8012019,14:00,15:00,0
8012019,15:00,16:00,0
8012019,16:00,17:00,0
8012019,17:00,18:00,0
8012019,18:00,19:00,0
8012019,19:00,20:00,0
8012019,20:00,21:00,0
8012019,21:00,22:00,0
8012019,22:00,23:00,0
8012019,23:00,00:00,0
9012019,00:00,01:00,0
9012019,01:00,02:00,0
9012019,02:00,03:00,0
9012019,03:00,04:00,0
9012019,04:00,05:00,0
9012019,05:00,06:00,0
9012019,06:00,07:00,65
9012019,07:00,08:00,231
9012019,08:00,09:00,301
9012019,09:00,10:00,321
9012019,10:00,11:00,319
9012019,11:00,12:00,266
9012019,12:00,13:00,268
9012019,13:00,14:00,267
9012019,14:00,15:00,268
9012019,15:00,16:00,269
9012019,16:00,17:00,269
9012019,17:00,18:00,268
9012019,18:00,19:00,268
9012019,19:00,20:00,268
9012019,20:00,21:00,268
9012019,21:00,22:00,266
9012019,22:00,23:00,378
9012019,23:00,00:00,411
10012019,00:00,01:00,448
10012019,01:00,02:00,496
10012019,02:00,03:00,497
10012019,03:00,04:00,497
10012019,04:00,05:00,498
10012019,05:00,06:00,497
10012019,06:00,07:00,498
10012019,07:00,08:00,501
10012019,08:00,09:00,500
10012019,09:00,10:00,503
10012019,10:00,11:00,503
10012019,11:00,12:00,503
10012019,12:00,13:00,498
10012019,13:00,14:00,500
10012019,14:00,15:00,501
10012019,15:00,16:00,502
10012019,16:00,17:00,503
10012019,17:00,18:00,503
10012019,18:00,19:00,502
10012019,19:00,20:00,503
10012019,20:00,21:00,506
10012019,21:00,22:00,503
10012019,22:00,23:00,494
10012019,23:00,00:00,494
11012019,00:00,01:00,493
11012019,01:00,02:00,496
11012019,02:00,03:00,500
11012019,03:00,04:00,500
11012019,04:00,05:00,499
11012019,05:00,06:00,495
11012019,06:00,07:00,494
11012019,07:00,08:00,494
11012019,08:00,09:00,497
11012019,09:00,10:00,497
11012019,10:00,11:00,498
11012019,11:00,12:00,500
11012019,12:00,13:00,498
11012019,13:00,14:00,498
11012019,14:00,15:00,499
11012019,15:00,16:00,506
11012019,16:00,17:00,507
11012019,17:00,18:00,508
11012019,18:00,19:00,507
11012019,19:00,20:00,505
11012019,20:00,21:00,502
11012019,21:00,22:00,499
11012019,22:00,23:00,500
11012019,23:00,00:00,396
12012019,00:00,01:00,301
12012019,01:00,02:00,270
12012019,02:00,03:00,267
12012019,03:00,04:00,267
12012019,04:00,05:00,267
12012019,05:00,06:00,268
12012019,06:00,07:00,266
12012019,07:00,08:00,267
12012019,08:00,09:00,267
12012019,09:00,10:00,266
12012019,10:00,11:00,267
12012019,11:00,12:00,267
12012019,12:00,13:00,95
12012019,13:00,14:00,0
12012019,14:00,15:00,0
12012019,15:00,16:00,0
12012019,16:00,17:00,0
12012019,17:00,18:00,0
12012019,18:00,19:00,0
12012019,19:00,20:00,0
12012019,20:00,21:00,0
12012019,21:00,22:00,0
12012019,22:00,23:00,0
12012019,23:00,00:00,0
13012019,00:00,01:00,0
13012019,01:00,02:00,0
13012019,02:00,03:00,0
13012019,03:00,04:00,0
13012019,04:00,05:00,0
13012019,05:00,06:00,0
13012019,06:00,07:00,0
13012019,07:00,08:00,0
13012019,08:00,09:00,0
13012019,09:00,10:00,0
13012019,10:00,11:00,0
13012019,11:00,12:00,0
13012019,12:00,13:00,0
13012019,13:00,14:00,0
13012019,14:00,15:00,0
13012019,15:00,16:00,0
13012019,16:00,17:00,0
13012019,17:00,18:00,0
13012019,18:00,19:00,0
13012019,19:00,20:00,0
13012019,20:00,21:00,0
13012019,21:00,22:00,0
13012019,22:00,23:00,0
13012019,23:00,00:00,0
14012019,00:00,01:00,0
14012019,01:00,02:00,0
14012019,02:00,03:00,0
14012019,03:00,04:00,0
14012019,04:00,05:00,0
14012019,05:00,06:00,0
14012019,06:00,07:00,0
14012019,07:00,08:00,0
14012019,08:00,09:00,0
14012019,09:00,10:00,0
14012019,10:00,11:00,0
14012019,11:00,12:00,0
14012019,12:00,13:00,0
14012019,13:00,14:00,0
14012019,14:00,15:00,0
14012019,15:00,16:00,0
14012019,16:00,17:00,114
14012019,17:00,18:00,295
14012019,18:00,19:00,466
14012019,19:00,20:00,473
14012019,20:00,21:00,504
14012019,21:00,22:00,496
14012019,22:00,23:00,496
14012019,23:00,00:00,500
15012019,00:00,01:00,392
15012019,01:00,02:00,270
15012019,02:00,03:00,266
15012019,03:00,04:00,266
15012019,04:00,05:00,266
15012019,05:00,06:00,278
15012019,06:00,07:00,353
15012019,07:00,08:00,364
15012019,08:00,09:00,276
15012019,09:00,10:00,319
15012019,10:00,11:00,487
15012019,11:00,12:00,495
15012019,12:00,13:00,494
15012019,13:00,14:00,496
15012019,14:00,15:00,497
15012019,15:00,16:00,494
15012019,16:00,17:00,402
15012019,17:00,18:00,278
15012019,18:00,19:00,266
15012019,19:00,20:00,266
15012019,20:00,21:00,267
15012019,21:00,22:00,266
15012019,22:00,23:00,267
15012019,23:00,00:00,267
16012019,00:00,01:00,267
16012019,01:00,02:00,268
16012019,02:00,03:00,267
16012019,03:00,04:00,267
16012019,04:00,05:00,268
16012019,05:00,06:00,349
16012019,06:00,07:00,490
16012019,07:00,08:00,502
16012019,08:00,09:00,502
16012019,09:00,10:00,504
16012019,10:00,11:00,502
16012019,11:00,12:00,497
16012019,12:00,13:00,495
16012019,13:00,14:00,499
16012019,14:00,15:00,500
16012019,15:00,16:00,507
16012019,16:00,17:00,504
16012019,17:00,18:00,501
16012019,18:00,19:00,504
16012019,19:00,20:00,505
16012019,20:00,21:00,504
16012019,21:00,22:00,501
16012019,22:00,23:00,475
16012019,23:00,00:00,332
17012019,00:00,01:00,272
17012019,01:00,02:00,267
17012019,02:00,03:00,266
17012019,03:00,04:00,267
17012019,04:00,05:00,267
17012019,05:00,06:00,266
17012019,06:00,07:00,308
17012019,07:00,08:00,331
17012019,08:00,09:00,365
17012019,09:00,10:00,493
17012019,10:00,11:00,497
17012019,11:00,12:00,496
17012019,12:00,13:00,495
17012019,13:00,14:00,493
17012019,14:00,15:00,496
17012019,15:00,16:00,423
17012019,16:00,17:00,383
17012019,17:00,18:00,382
17012019,18:00,19:00,316
17012019,19:00,20:00,264
17012019,20:00,21:00,268
17012019,21:00,22:00,266
17012019,22:00,23:00,267
17012019,23:00,00:00,286
18012019,00:00,01:00,365
18012019,01:00,02:00,351
18012019,02:00,03:00,351
18012019,03:00,04:00,353
18012019,04:00,05:00,353
18012019,05:00,06:00,353
18012019,06:00,07:00,351
18012019,07:00,08:00,352
18012019,08:00,09:00,353
18012019,09:00,10:00,353
18012019,10:00,11:00,355
18012019,11:00,12:00,346
18012019,12:00,13:00,365
18012019,13:00,14:00,477
18012019,14:00,15:00,486
18012019,15:00,16:00,491
18012019,16:00,17:00,496
18012019,17:00,18:00,497
18012019,18:00,19:00,496
18012019,19:00,20:00,497
18012019,20:00,21:00,498
18012019,21:00,22:00,498
18012019,22:00,23:00,500
18012019,23:00,00:00,502
19012019,00:00,01:00,501
19012019,01:00,02:00,499
19012019,02:00,03:00,498
19012019,03:00,04:00,497
19012019,04:00,05:00,499
19012019,05:00,06:00,499
19012019,06:00,07:00,499
19012019,07:00,08:00,497
19012019,08:00,09:00,495
19012019,09:00,10:00,493
19012019,10:00,11:00,495
19012019,11:00,12:00,497
19012019,12:00,13:00,494
19012019,13:00,14:00,495
19012019,14:00,15:00,495
19012019,15:00,16:00,495
19012019,16:00,17:00,499
19012019,17:00,18:00,500
19012019,18:00,19:00,498
19012019,19:00,20:00,499
19012019,20:00,21:00,498
19012019,21:00,22:00,501
19012019,22:00,23:00,503
19012019,23:00,00:00,501
20012019,00:00,01:00,502
20012019,01:00,02:00,502
20012019,02:00,03:00,502
20012019,03:00,04:00,499
20012019,04:00,05:00,496
20012019,05:00,06:00,497
20012019,06:00,07:00,494
20012019,07:00,08:00,493
20012019,08:00,09:00,492
20012019,09:00,10:00,491
20012019,10:00,11:00,491
20012019,11:00,12:00,493
20012019,12:00,13:00,496
20012019,13:00,14:00,495
20012019,14:00,15:00,492
20012019,15:00,16:00,492
20012019,16:00,17:00,492
20012019,17:00,18:00,490
20012019,18:00,19:00,492
20012019,19:00,20:00,492
20012019,20:00,21:00,492
20012019,21:00,22:00,493
20012019,22:00,23:00,496
20012019,23:00,00:00,500
21012019,00:00,01:00,500
21012019,01:00,02:00,499
21012019,02:00,03:00,498
21012019,03:00,04:00,498
21012019,04:00,05:00,495
21012019,05:00,06:00,500
21012019,06:00,07:00,497
21012019,07:00,08:00,497
21012019,08:00,09:00,495
21012019,09:00,10:00,496
21012019,10:00,11:00,495
21012019,11:00,12:00,495
21012019,12:00,13:00,495
21012019,13:00,14:00,496
21012019,14:00,15:00,497
21012019,15:00,16:00,498
21012019,16:00,17:00,499
21012019,17:00,18:00,500
21012019,18:00,19:00,500
21012019,19:00,20:00,501
21012019,20:00,21:00,501
21012019,21:00,22:00,504
21012019,22:00,23:00,507
21012019,23:00,00:00,504
22012019,00:00,01:00,501
22012019,01:00,02:00,502
22012019,02:00,03:00,502
22012019,03:00,04:00,501
22012019,04:00,05:00,497
22012019,05:00,06:00,498
22012019,06:00,07:00,496
22012019,07:00,08:00,498
22012019,08:00,09:00,498
22012019,09:00,10:00,501
22012019,10:00,11:00,500
22012019,11:00,12:00,499
22012019,12:00,13:00,501
22012019,13:00,14:00,502
22012019,14:00,15:00,502
22012019,15:00,16:00,502
22012019,16:00,17:00,503
22012019,17:00,18:00,502
22012019,18:00,19:00,501
22012019,19:00,20:00,495
22012019,20:00,21:00,496
22012019,21:00,22:00,494
22012019,22:00,23:00,495
22012019,23:00,00:00,498
23012019,00:00,01:00,497
23012019,01:00,02:00,497
23012019,02:00,03:00,496
23012019,03:00,04:00,497
23012019,04:00,05:00,496
23012019,05:00,06:00,498
23012019,06:00,07:00,500
23012019,07:00,08:00,498
23012019,08:00,09:00,493
23012019,09:00,10:00,494
23012019,10:00,11:00,495
23012019,11:00,12:00,499
23012019,12:00,13:00,501
23012019,13:00,14:00,501
23012019,14:00,15:00,499
23012019,15:00,16:00,497
23012019,16:00,17:00,497
23012019,17:00,18:00,498
23012019,18:00,19:00,498
23012019,19:00,20:00,498
23012019,20:00,21:00,498
23012019,21:00,22:00,498
23012019,22:00,23:00,496
23012019,23:00,00:00,495
24012019,00:00,01:00,497
24012019,01:00,02:00,498
24012019,02:00,03:00,498
24012019,03:00,04:00,496
24012019,04:00,05:00,498
24012019,05:00,06:00,502
24012019,06:00,07:00,500
24012019,07:00,08:00,500
24012019,08:00,09:00,499
24012019,09:00,10:00,496
24012019,10:00,11:00,496
24012019,11:00,12:00,499
24012019,12:00,13:00,498
24012019,13:00,14:00,501
24012019,14:00,15:00,500
24012019,15:00,16:00,498
24012019,16:00,17:00,498
24012019,17:00,18:00,499
24012019,18:00,19:00,500
24012019,19:00,20:00,498
24012019,20:00,21:00,498
24012019,21:00,22:00,498
24012019,22:00,23:00,499
24012019,23:00,00:00,496
25012019,00:00,01:00,496
25012019,01:00,02:00,497
25012019,02:00,03:00,496
25012019,03:00,04:00,497
25012019,04:00,05:00,499
25012019,05:00,06:00,503
25012019,06:00,07:00,502
25012019,07:00,08:00,499
25012019,08:00,09:00,498
25012019,09:00,10:00,500
25012019,10:00,11:00,500
25012019,11:00,12:00,500
25012019,12:00,13:00,498
25012019,13:00,14:00,498
25012019,14:00,15:00,497
25012019,15:00,16:00,500
25012019,16:00,17:00,502
25012019,17:00,18:00,503
25012019,18:00,19:00,501
25012019,19:00,20:00,500
25012019,20:00,21:00,497
25012019,21:00,22:00,492
25012019,22:00,23:00,486
25012019,23:00,00:00,487
26012019,00:00,01:00,487
26012019,01:00,02:00,490
26012019,02:00,03:00,493
26012019,03:00,04:00,493
26012019,04:00,05:00,491
26012019,05:00,06:00,491
26012019,06:00,07:00,492
26012019,07:00,08:00,490
26012019,08:00,09:00,486
26012019,09:00,10:00,487
26012019,10:00,11:00,489
