date,start,end,11WD8REUW1C---DD,11WD8REUW1C---EB
1012020,00:00,01:00,181,0
1012020,01:00,02:00,181,0
1012020,02:00,03:00,181,0
1012020,03:00,04:00,181,0
1012020,04:00,05:00,181,0
1012020,05:00,06:00,181,0
1012020,06:00,07:00,181,0
1012020,07:00,08:00,181,0
1012020,08:00,09:00,181,0
1012020,09:00,10:00,181,0
1012020,10:00,11:00,181,0
1012020,11:00,12:00,181,0
1012020,12:00,13:00,181,0
1012020,13:00,14:00,181,0
1012020,14:00,15:00,181,0
1012020,15:00,16:00,181,0
1012020,16:00,17:00,181,0
1012020,17:00,18:00,181,0
1012020,18:00,19:00,181,0
1012020,19:00,20:00,181,0
1012020,20:00,21:00,181,0
1012020,21:00,22:00,181,0
1012020,22:00,23:00,181,0
1012020,23:00,00:00,181,0
2012020,00:00,01:00,169,0
2012020,01:00,02:00,164,0
2012020,02:00,03:00,166,0
2012020,03:00,04:00,168,0
2012020,04:00,05:00,168,0
2012020,05:00,06:00,168,0
2012020,06:00,07:00,168,0
2012020,07:00,08:00,168,0
2012020,08:00,09:00,168,0
2012020,09:00,10:00,168,0
2012020,10:00,11:00,167,0
2012020,11:00,12:00,144,0
2012020,12:00,13:00,149,0
2012020,13:00,14:00,140,0
2012020,14:00,15:00,140,0
2012020,15:00,16:00,140,0
2012020,16:00,17:00,140,0
2012020,17:00,18:00,140,0
2012020,18:00,19:00,140,0
2012020,19:00,20:00,140,0
2012020,20:00,21:00,140,0
2012020,21:00,22:00,140,0
2012020,22:00,23:00,140,0
2012020,23:00,00:00,140,0
3012020,00:00,01:00,140,0
3012020,01:00,02:00,137,0
3012020,02:00,03:00,138,0
3012020,03:00,04:00,137,0
3012020,04:00,05:00,138,0
3012020,05:00,06:00,140,0
3012020,06:00,07:00,140,0
3012020,07:00,08:00,140,0
3012020,08:00,09:00,140,0
3012020,09:00,10:00,140,0
3012020,10:00,11:00,140,0
3012020,11:00,12:00,140,0
3012020,12:00,13:00,140,38
3012020,13:00,14:00,140,83
3012020,14:00,15:00,139,101
3012020,15:00,16:00,140,112
3012020,16:00,17:00,135,118
3012020,17:00,18:00,138,117
3012020,18:00,19:00,140,135
3012020,19:00,20:00,140,171
3012020,20:00,21:00,138,180
3012020,21:00,22:00,135,181
3012020,22:00,23:00,135,185
3012020,23:00,00:00,135,185
4012020,00:00,01:00,135,152
4012020,01:00,02:00,135,149
4012020,02:00,03:00,135,149
4012020,03:00,04:00,135,149
4012020,04:00,05:00,137,149
4012020,05:00,06:00,135,149
4012020,06:00,07:00,135,149
4012020,07:00,08:00,135,149
4012020,08:00,09:00,135,149
4012020,09:00,10:00,135,149
4012020,10:00,11:00,135,149
4012020,11:00,12:00,135,149
4012020,12:00,13:00,135,149
4012020,13:00,14:00,135,149
4012020,14:00,15:00,135,149
4012020,15:00,16:00,135,149
4012020,16:00,17:00,135,149
4012020,17:00,18:00,135,149
4012020,18:00,19:00,135,149
4012020,19:00,20:00,135,149
4012020,20:00,21:00,135,149
4012020,21:00,22:00,135,149
4012020,22:00,23:00,135,149
4012020,23:00,00:00,135,149
5012020,00:00,01:00,135,149
5012020,01:00,02:00,135,149
5012020,02:00,03:00,136,149
5012020,03:00,04:00,139,149
5012020,04:00,05:00,139,148
5012020,05:00,06:00,139,148
5012020,06:00,07:00,137,148
5012020,07:00,08:00,135,148
5012020,08:00,09:00,135,148
5012020,09:00,10:00,135,148
5012020,10:00,11:00,135,148
5012020,11:00,12:00,139,148
5012020,12:00,13:00,135,148
5012020,13:00,14:00,135,148
5012020,14:00,15:00,135,148
5012020,15:00,16:00,135,148
5012020,16:00,17:00,135,146
5012020,17:00,18:00,135,144
5012020,18:00,19:00,135,144
5012020,19:00,20:00,135,144
5012020,20:00,21:00,135,151
5012020,21:00,22:00,135,152
5012020,22:00,23:00,135,152
5012020,23:00,00:00,135,152
6012020,00:00,01:00,135,152
6012020,01:00,02:00,135,152
6012020,02:00,03:00,137,153
6012020,03:00,04:00,139,153
6012020,04:00,05:00,139,153
6012020,05:00,06:00,139,153
6012020,06:00,07:00,140,157
6012020,07:00,08:00,147,181
6012020,08:00,09:00,147,181
6012020,09:00,10:00,147,199
6012020,10:00,11:00,147,234
6012020,11:00,12:00,147,202
6012020,12:00,13:00,147,149
6012020,13:00,14:00,147,149
6012020,14:00,15:00,147,149
6012020,15:00,16:00,147,167
6012020,16:00,17:00,147,170
6012020,17:00,18:00,147,170
6012020,18:00,19:00,147,170
6012020,19:00,20:00,147,169
6012020,20:00,21:00,147,160
6012020,21:00,22:00,147,149
6012020,22:00,23:00,147,149
6012020,23:00,00:00,147,149
7012020,00:00,01:00,147,149
7012020,01:00,02:00,147,149
7012020,02:00,03:00,147,149
7012020,03:00,04:00,147,148
7012020,04:00,05:00,147,148
7012020,05:00,06:00,147,146
7012020,06:00,07:00,147,152
7012020,07:00,08:00,147,216
7012020,08:00,09:00,147,220
7012020,09:00,10:00,147,220
7012020,10:00,11:00,147,220
7012020,11:00,12:00,147,220
7012020,12:00,13:00,147,220
7012020,13:00,14:00,147,220
7012020,14:00,15:00,147,220
7012020,15:00,16:00,147,220
7012020,16:00,17:00,147,220
7012020,17:00,18:00,147,220
7012020,18:00,19:00,147,220
7012020,19:00,20:00,147,186
7012020,20:00,21:00,147,158
7012020,21:00,22:00,147,144
7012020,22:00,23:00,147,143
7012020,23:00,00:00,147,143
8012020,00:00,01:00,147,143
8012020,01:00,02:00,147,143
8012020,02:00,03:00,147,143
8012020,03:00,04:00,147,143
8012020,04:00,05:00,147,143
8012020,05:00,06:00,147,143
8012020,06:00,07:00,147,143
8012020,07:00,08:00,147,143
8012020,08:00,09:00,147,143
8012020,09:00,10:00,147,143
8012020,10:00,11:00,147,143
8012020,11:00,12:00,147,143
8012020,12:00,13:00,147,143
8012020,13:00,14:00,147,143
8012020,14:00,15:00,147,143
8012020,15:00,16:00,147,169
8012020,16:00,17:00,147,212
8012020,17:00,18:00,147,212
8012020,18:00,19:00,147,215
8012020,19:00,20:00,147,216
8012020,20:00,21:00,147,216
8012020,21:00,22:00,147,216
8012020,22:00,23:00,147,181
8012020,23:00,00:00,147,147
9012020,00:00,01:00,147,147
9012020,01:00,02:00,147,147
9012020,02:00,03:00,147,147
9012020,03:00,04:00,147,147
9012020,04:00,05:00,147,147
9012020,05:00,06:00,147,147
9012020,06:00,07:00,147,149
9012020,07:00,08:00,147,172
9012020,08:00,09:00,147,212
9012020,09:00,10:00,147,213
9012020,10:00,11:00,147,213
9012020,11:00,12:00,147,167
9012020,12:00,13:00,147,147
9012020,13:00,14:00,147,147
9012020,14:00,15:00,147,191
9012020,15:00,16:00,147,188
9012020,16:00,17:00,147,149
9012020,17:00,18:00,146,148
9012020,18:00,19:00,146,148
9012020,19:00,20:00,146,148
9012020,20:00,21:00,146,148
9012020,21:00,22:00,146,148
9012020,22:00,23:00,146,148
9012020,23:00,00:00,146,148
10012020,00:00,01:00,146,148
10012020,01:00,02:00,146,148
10012020,02:00,03:00,146,148
10012020,03:00,04:00,146,148
10012020,04:00,05:00,146,148
10012020,05:00,06:00,145,148
10012020,06:00,07:00,145,155
10012020,07:00,08:00,145,221
10012020,08:00,09:00,145,222
10012020,09:00,10:00,145,222
10012020,10:00,11:00,145,222
10012020,11:00,12:00,145,215
10012020,12:00,13:00,145,197
10012020,13:00,14:00,145,190
10012020,14:00,15:00,145,190
10012020,15:00,16:00,145,212
10012020,16:00,17:00,145,213
10012020,17:00,18:00,143,215
10012020,18:00,19:00,103,217
10012020,19:00,20:00,67,215
10012020,20:00,21:00,0,214
10012020,21:00,22:00,0,217
10012020,22:00,23:00,0,217
10012020,23:00,00:00,0,217
11012020,00:00,01:00,0,217
11012020,01:00,02:00,0,217
11012020,02:00,03:00,0,217
11012020,03:00,04:00,0,217
11012020,04:00,05:00,0,217
11012020,05:00,06:00,0,217
11012020,06:00,07:00,0,217
11012020,07:00,08:00,0,217
11012020,08:00,09:00,0,217
11012020,09:00,10:00,0,217
11012020,10:00,11:00,0,217
11012020,11:00,12:00,0,217
11012020,12:00,13:00,0,217
11012020,13:00,14:00,0,217
11012020,14:00,15:00,0,215
11012020,15:00,16:00,0,201
11012020,16:00,17:00,0,201
11012020,17:00,18:00,0,201
11012020,18:00,19:00,0,201
11012020,19:00,20:00,0,201
11012020,20:00,21:00,0,201
11012020,21:00,22:00,0,201
11012020,22:00,23:00,0,201
11012020,23:00,00:00,0,201
12012020,00:00,01:00,0,201
12012020,01:00,02:00,0,201
12012020,02:00,03:00,0,201
12012020,03:00,04:00,0,201
12012020,04:00,05:00,0,201
12012020,05:00,06:00,0,201
12012020,06:00,07:00,0,201
12012020,07:00,08:00,0,202
12012020,08:00,09:00,0,202
12012020,09:00,10:00,0,202
12012020,10:00,11:00,0,202
12012020,11:00,12:00,0,202
12012020,12:00,13:00,0,202
12012020,13:00,14:00,0,202
12012020,14:00,15:00,0,202
12012020,15:00,16:00,0,202
12012020,16:00,17:00,0,202
12012020,17:00,18:00,0,202
12012020,18:00,19:00,0,202
12012020,19:00,20:00,0,202
12012020,20:00,21:00,0,202
12012020,21:00,22:00,0,202
12012020,22:00,23:00,0,202
12012020,23:00,00:00,0,202
13012020,00:00,01:00,0,202
13012020,01:00,02:00,0,202
13012020,02:00,03:00,0,202
13012020,03:00,04:00,0,202
13012020,04:00,05:00,0,202
13012020,05:00,06:00,0,202
13012020,06:00,07:00,0,202
13012020,07:00,08:00,0,201
13012020,08:00,09:00,0,192
