date,start,end,11WD7BRAU5G-GUDH
1012019,00:00,01:00,0
1012019,01:00,02:00,0
1012019,02:00,03:00,0
1012019,03:00,04:00,0
1012019,04:00,05:00,0
1012019,05:00,06:00,0
1012019,06:00,07:00,0
1012019,07:00,08:00,0
1012019,08:00,09:00,0
1012019,09:00,10:00,0
1012019,10:00,11:00,0
1012019,11:00,12:00,0
1012019,12:00,13:00,0
1012019,13:00,14:00,0
1012019,14:00,15:00,0
1012019,15:00,16:00,0
1012019,16:00,17:00,0
1012019,17:00,18:00,0
1012019,18:00,19:00,0
1012019,19:00,20:00,0
1012019,20:00,21:00,0
1012019,21:00,22:00,0
1012019,22:00,23:00,0
1012019,23:00,00:00,0
2012019,00:00,01:00,0
2012019,01:00,02:00,0
2012019,02:00,03:00,0
2012019,03:00,04:00,0
2012019,04:00,05:00,0
2012019,05:00,06:00,0
2012019,06:00,07:00,0
2012019,07:00,08:00,0
2012019,08:00,09:00,0
2012019,09:00,10:00,0
2012019,10:00,11:00,0
2012019,11:00,12:00,0
2012019,12:00,13:00,0
2012019,13:00,14:00,0
2012019,14:00,15:00,0
2012019,15:00,16:00,0
2012019,16:00,17:00,0
2012019,17:00,18:00,0
2012019,18:00,19:00,0
2012019,19:00,20:00,0
2012019,20:00,21:00,0
2012019,21:00,22:00,0
2012019,22:00,23:00,0
2012019,23:00,00:00,0
3012019,00:00,01:00,0
3012019,01:00,02:00,0
3012019,02:00,03:00,0
3012019,03:00,04:00,0
3012019,04:00,05:00,0
3012019,05:00,06:00,1
3012019,06:00,07:00,44
3012019,07:00,08:00,147
3012019,08:00,09:00,297
3012019,09:00,10:00,284
3012019,10:00,11:00,283
3012019,11:00,12:00,283
3012019,12:00,13:00,285
3012019,13:00,14:00,279
3012019,14:00,15:00,282
3012019,15:00,16:00,279
3012019,16:00,17:00,279
3012019,17:00,18:00,276
3012019,18:00,19:00,270
3012019,19:00,20:00,270
3012019,20:00,21:00,271
3012019,21:00,22:00,269
3012019,22:00,23:00,270
3012019,23:00,00:00,270
4012019,00:00,01:00,262
4012019,01:00,02:00,263
4012019,02:00,03:00,264
4012019,03:00,04:00,214
4012019,04:00,05:00,85
4012019,05:00,06:00,219
4012019,06:00,07:00,264
4012019,07:00,08:00,129
4012019,08:00,09:00,91
4012019,09:00,10:00,228
4012019,10:00,11:00,267
4012019,11:00,12:00,254
4012019,12:00,13:00,232
4012019,13:00,14:00,55
4012019,14:00,15:00,139
4012019,15:00,16:00,229
4012019,16:00,17:00,111
4012019,17:00,18:00,95
4012019,18:00,19:00,117
4012019,19:00,20:00,73
4012019,20:00,21:00,158
4012019,21:00,22:00,36
4012019,22:00,23:00,33
4012019,23:00,00:00,34
5012019,00:00,01:00,58
5012019,01:00,02:00,59
5012019,02:00,03:00,59
5012019,03:00,04:00,59
5012019,04:00,05:00,59
5012019,05:00,06:00,59
5012019,06:00,07:00,59
5012019,07:00,08:00,59
5012019,08:00,09:00,59
5012019,09:00,10:00,59
5012019,10:00,11:00,196
5012019,11:00,12:00,80
5012019,12:00,13:00,219
5012019,13:00,14:00,71
5012019,14:00,15:00,81
5012019,15:00,16:00,227
5012019,16:00,17:00,234
5012019,17:00,18:00,236
5012019,18:00,19:00,238
5012019,19:00,20:00,214
5012019,20:00,21:00,66
5012019,21:00,22:00,59
5012019,22:00,23:00,59
5012019,23:00,00:00,59
6012019,00:00,01:00,59
6012019,01:00,02:00,59
6012019,02:00,03:00,59
6012019,03:00,04:00,59
6012019,04:00,05:00,59
6012019,05:00,06:00,59
6012019,06:00,07:00,59
6012019,07:00,08:00,59
6012019,08:00,09:00,60
6012019,09:00,10:00,162
6012019,10:00,11:00,157
6012019,11:00,12:00,237
6012019,12:00,13:00,240
6012019,13:00,14:00,239
6012019,14:00,15:00,72
6012019,15:00,16:00,207
6012019,16:00,17:00,241
6012019,17:00,18:00,242
6012019,18:00,19:00,243
6012019,19:00,20:00,243
6012019,20:00,21:00,236
6012019,21:00,22:00,245
6012019,22:00,23:00,246
6012019,23:00,00:00,205
7012019,00:00,01:00,69
7012019,01:00,02:00,59
7012019,02:00,03:00,59
7012019,03:00,04:00,59
7012019,04:00,05:00,60
7012019,05:00,06:00,90
7012019,06:00,07:00,237
7012019,07:00,08:00,248
7012019,08:00,09:00,249
7012019,09:00,10:00,247
7012019,10:00,11:00,246
7012019,11:00,12:00,244
7012019,12:00,13:00,244
7012019,13:00,14:00,243
7012019,14:00,15:00,240
7012019,15:00,16:00,238
7012019,16:00,17:00,239
7012019,17:00,18:00,236
7012019,18:00,19:00,73
7012019,19:00,20:00,56
7012019,20:00,21:00,56
7012019,21:00,22:00,56
7012019,22:00,23:00,56
7012019,23:00,00:00,56
8012019,00:00,01:00,39
8012019,01:00,02:00,30
8012019,02:00,03:00,30
