Timestamp,11WD8JAEN1L---AD,11WD8JAEN1L---BB,11WD8JAEN1L---C9,11WD8JAEN1L---D7,11WD8JAEN1L---E5,11WD8JAEN1L---F3
2021-01-01 00:00:00,228.0,426.0,494.0,493.0,,
2021-01-01 01:00:00,235.0,428.0,497.0,496.0,,
2021-01-01 02:00:00,231.0,428.0,490.0,488.0,,
2021-01-01 03:00:00,230.0,427.0,488.0,487.0,,
2021-01-01 04:00:00,229.0,428.0,488.0,487.0,,
2021-01-01 05:00:00,232.0,427.0,492.0,491.0,,
2021-01-01 06:00:00,235.0,421.0,496.0,495.0,,
2021-01-01 07:00:00,230.0,418.0,495.0,492.0,,
2021-01-01 08:00:00,223.0,418.0,476.0,474.0,,
2021-01-01 09:00:00,228.0,419.0,485.0,481.0,,
2021-01-01 10:00:00,231.0,418.0,488.0,487.0,,
2021-01-01 11:00:00,235.0,419.0,501.0,497.0,,
2021-01-01 12:00:00,235.0,423.0,495.0,492.0,,
2021-01-01 13:00:00,233.0,428.0,496.0,493.0,,
2021-01-01 14:00:00,233.0,416.0,497.0,495.0,,
2021-01-01 15:00:00,232.0,419.0,496.0,498.0,,
2021-01-01 16:00:00,233.0,416.0,497.0,494.0,,
2021-01-01 17:00:00,230.0,417.0,495.0,490.0,,
2021-01-01 18:00:00,208.0,416.0,489.0,486.0,,
2021-01-01 19:00:00,226.0,416.0,487.0,490.0,,
2021-01-01 20:00:00,227.0,426.0,492.0,491.0,,
2021-01-01 21:00:00,234.0,428.0,490.0,489.0,,
2021-01-01 22:00:00,230.0,426.0,473.0,469.0,,
2021-01-01 23:00:00,290.0,425.0,468.0,465.0,,
2021-01-02 00:00:00,376.0,426.0,439.0,438.0,,
2021-01-02 01:00:00,396.0,426.0,462.0,459.0,,
2021-01-02 02:00:00,421.0,426.0,439.0,435.0,,
2021-01-02 03:00:00,417.0,427.0,437.0,433.0,,
2021-01-02 04:00:00,430.0,427.0,445.0,439.0,,
2021-01-02 05:00:00,490.0,426.0,500.0,496.0,,
2021-01-02 06:00:00,473.0,414.0,481.0,481.0,,
2021-01-02 07:00:00,469.0,404.0,472.0,470.0,,
