Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2018-01-01 00:00:00,120,0,0,125,0,483
2018-01-01 01:00:00,119,0,0,127,0,482
2018-01-01 02:00:00,120,0,0,125,0,483
2018-01-01 03:00:00,121,0,0,127,0,483
2018-01-01 04:00:00,123,0,0,125,0,482
2018-01-01 05:00:00,123,0,0,126,0,484
2018-01-01 06:00:00,122,0,0,126,0,484
2018-01-01 07:00:00,122,0,0,125,0,483
2018-01-01 08:00:00,121,0,0,125,0,483
2018-01-01 09:00:00,120,0,0,126,0,483
2018-01-01 10:00:00,120,0,0,127,0,483
2018-01-01 11:00:00,124,0,0,125,0,487
2018-01-01 12:00:00,123,0,0,125,0,526
2018-01-01 13:00:00,121,0,0,125,0,482
2018-01-01 14:00:00,121,0,0,125,0,481
2018-01-01 15:00:00,122,0,0,126,0,480
2018-01-01 16:00:00,140,0,0,130,0,599
2018-01-01 17:00:00,154,0,0,150,71,625
2018-01-01 18:00:00,152,0,0,147,268,627
2018-01-01 19:00:00,155,0,0,219,541,638
2018-01-01 20:00:00,156,0,0,314,646,649
2018-01-01 21:00:00,154,0,0,322,653,647
2018-01-01 22:00:00,153,0,0,321,651,647
2018-01-01 23:00:00,147,0,0,321,652,647
2018-01-02 00:00:00,147,0,0,320,653,644
2018-01-02 01:00:00,133,0,0,323,399,562
2018-01-02 02:00:00,134,0,0,322,251,489
2018-01-02 03:00:00,170,0,0,321,349,604
2018-01-02 04:00:00,238,0,0,322,606,645
2018-01-02 05:00:00,290,0,0,321,585,589
2018-01-02 06:00:00,321,0,0,322,649,641
2018-01-02 07:00:00,318,0,0,328,653,643
2018-01-02 08:00:00,320,0,0,326,656,647
2018-01-02 09:00:00,316,0,0,322,652,650
2018-01-02 10:00:00,320,0,0,325,655,646
2018-01-02 11:00:00,320,0,0,328,657,649
2018-01-02 12:00:00,317,0,0,325,653,649
2018-01-02 13:00:00,318,0,0,326,654,647
2018-01-02 14:00:00,319,0,0,321,656,648
2018-01-02 15:00:00,320,0,0,325,657,649
2018-01-02 16:00:00,322,0,0,325,656,647
2018-01-02 17:00:00,323,0,0,322,657,644
2018-01-02 18:00:00,320,0,0,319,656,649
2018-01-02 19:00:00,319,0,0,324,655,647
2018-01-02 20:00:00,322,0,0,322,655,649
2018-01-02 21:00:00,321,0,0,323,652,647
2018-01-02 22:00:00,304,0,0,296,368,535
2018-01-02 23:00:00,218,0,0,222,245,487
2018-01-03 00:00:00,208,0,0,216,246,486
2018-01-03 01:00:00,211,0,0,215,247,487
2018-01-03 02:00:00,210,0,0,215,248,488
2018-01-03 03:00:00,210,0,0,212,246,486
2018-01-03 04:00:00,213,0,0,216,247,487
2018-01-03 05:00:00,212,0,0,218,247,488
2018-01-03 06:00:00,209,0,0,213,246,486
2018-01-03 07:00:00,208,0,0,213,248,487
2018-01-03 08:00:00,212,0,0,219,249,490
2018-01-03 09:00:00,293,0,0,299,381,619
2018-01-03 10:00:00,314,0,0,318,609,640
2018-01-03 11:00:00,317,0,0,315,651,640
2018-01-03 12:00:00,314,0,0,313,654,641
2018-01-03 13:00:00,315,0,0,318,656,641
