Timestamp,11WD7NIED2B--D-E,11WD7NIED2B--C-H,11WD7NIED2B--E-B,11WD7NIED2B--F-8,11WD7NIED1B--G-C,11WD7NIED1B--H-9,11WD7NIED1B--K-0
2021-01-01 00:00:00,,259,,,604,0,0
2021-01-01 01:00:00,,259,,,602,0,0
2021-01-01 02:00:00,,259,,,606,0,0
2021-01-01 03:00:00,,259,,,604,0,163
2021-01-01 04:00:00,,192,,,501,0,423
2021-01-01 05:00:00,,172,,,579,0,497
2021-01-01 06:00:00,,259,,,612,0,748
2021-01-01 07:00:00,,270,,,616,0,852
2021-01-01 08:00:00,,270,,,607,0,917
2021-01-01 09:00:00,,268,,,333,0,909
2021-01-01 10:00:00,,269,,,0,0,908
2021-01-01 11:00:00,,269,,,0,0,906
2021-01-01 12:00:00,,269,,,0,0,907
2021-01-01 13:00:00,,269,,,0,0,911
2021-01-01 14:00:00,,268,,,0,0,913
2021-01-01 15:00:00,,269,,,0,0,916
2021-01-01 16:00:00,,269,,,0,0,909
2021-01-01 17:00:00,,269,,,0,0,908
2021-01-01 18:00:00,,269,,,0,0,910
2021-01-01 19:00:00,,270,,,0,0,907
2021-01-01 20:00:00,,270,,,0,0,912
2021-01-01 21:00:00,,269,,,0,0,912
2021-01-01 22:00:00,,270,,,0,0,908
2021-01-01 23:00:00,,269,,,0,0,909
2021-01-02 00:00:00,,269,,,0,0,913
2021-01-02 01:00:00,,269,,,0,0,910
2021-01-02 02:00:00,,269,,,0,0,912
2021-01-02 03:00:00,,269,,,0,0,908
2021-01-02 04:00:00,,269,,,0,0,911
2021-01-02 05:00:00,,269,,,0,0,910
2021-01-02 06:00:00,,269,,,0,0,917
2021-01-02 07:00:00,,268,,,0,0,910
2021-01-02 08:00:00,,273,,,0,0,918
2021-01-02 09:00:00,,273,,,0,0,939
2021-01-02 10:00:00,,274,,,0,0,942
2021-01-02 11:00:00,,274,,,0,0,942
2021-01-02 12:00:00,,274,,,0,0,940
2021-01-02 13:00:00,,273,,,0,0,942
2021-01-02 14:00:00,,273,,,0,0,943
2021-01-02 15:00:00,,275,,,0,0,943
2021-01-02 16:00:00,,274,,,0,0,943
2021-01-02 17:00:00,,275,,,0,0,944
2021-01-02 18:00:00,,275,,,0,0,939
2021-01-02 19:00:00,,275,,,0,0,945
2021-01-02 20:00:00,,274,,,0,0,942
2021-01-02 21:00:00,,274,,,0,0,931
2021-01-02 22:00:00,,274,,,0,0,791
