Timestamp,11WD7NEUR1B--G-I,11WD7NEUR1B--F-L,11WD7NEUR2B--A-T,11WD7NEUR1B--B-X,11WD7NEUR1B--C-U,11WD7NEUR1B--D-R,11WD7NEUR1B--E-O
2021-01-01 00:00:00,0,998,0,289,,619,626
2021-01-01 01:00:00,0,995,0,287,,614,625
2021-01-01 02:00:00,151,994,0,286,,616,624
2021-01-01 03:00:00,586,994,0,278,,610,625
2021-01-01 04:00:00,811,999,0,151,,602,622
2021-01-01 05:00:00,940,1023,0,180,,605,625
2021-01-01 06:00:00,858,901,0,288,,615,633
2021-01-01 07:00:00,477,502,0,290,,619,636
2021-01-01 08:00:00,483,505,0,288,,619,635
2021-01-01 09:00:00,479,512,0,288,,611,634
2021-01-01 10:00:00,483,260,0,289,,622,637
2021-01-01 11:00:00,348,0,0,290,,621,635
2021-01-01 12:00:00,0,0,0,294,,615,628
2021-01-01 13:00:00,0,0,0,289,,616,630
2021-01-01 14:00:00,0,0,0,288,,617,630
2021-01-01 15:00:00,0,0,0,289,,614,629
2021-01-01 16:00:00,0,0,0,292,,607,625
2021-01-01 17:00:00,0,0,0,296,,609,625
2021-01-01 18:00:00,0,0,0,297,,611,628
2021-01-01 19:00:00,0,0,0,296,,609,626
2021-01-01 20:00:00,0,0,0,296,,610,626
2021-01-01 21:00:00,0,0,0,297,,611,627
2021-01-01 22:00:00,0,0,0,292,,611,626
2021-01-01 23:00:00,16,0,0,290,,605,621
2021-01-02 00:00:00,486,0,0,281,,601,620
2021-01-02 01:00:00,685,0,0,275,,586,623
2021-01-02 02:00:00,726,0,0,220,,567,623
2021-01-02 03:00:00,731,0,0,222,,574,622
2021-01-02 04:00:00,905,0,0,250,,590,622
2021-01-02 05:00:00,1013,2,0,291,,606,623
2021-01-02 06:00:00,1013,212,0,292,,607,621
2021-01-02 07:00:00,1017,461,0,292,,608,623
2021-01-02 08:00:00,1012,860,0,296,,605,619
2021-01-02 09:00:00,1019,1029,0,296,,608,624
2021-01-02 10:00:00,1025,1026,0,297,,609,625
2021-01-02 11:00:00,1021,1027,0,296,,607,624
2021-01-02 12:00:00,1021,1025,0,296,,595,624
2021-01-02 13:00:00,1021,1028,0,290,,569,626
2021-01-02 14:00:00,1020,1026,0,291,,569,625
2021-01-02 15:00:00,1019,1027,0,293,,605,624
2021-01-02 16:00:00,1020,1025,0,299,,609,623
2021-01-02 17:00:00,1023,1030,0,300,,609,626
2021-01-02 18:00:00,1026,1027,0,299,,611,626
2021-01-02 19:00:00,1029,1029,0,300,,609,624
2021-01-02 20:00:00,1031,1030,0,299,,611,626
2021-01-02 21:00:00,1032,1029,0,298,,610,626
2021-01-02 22:00:00,1025,1026,0,295,,610,626
2021-01-02 23:00:00,889,859,0,293,,607,622
2021-01-03 00:00:00,837,810,0,234,,441,428
2021-01-03 01:00:00,664,568,0,192,,410,271
2021-01-03 02:00:00,631,487,0,142,,308,268
2021-01-03 03:00:00,822,670,0,139,,266,267
2021-01-03 04:00:00,879,700,0,139,,268,269
2021-01-03 05:00:00,857,683,0,140,,269,270
2021-01-03 06:00:00,604,482,0,140,,269,268
2021-01-03 07:00:00,651,480,0,138,,271,274
2021-01-03 08:00:00,649,476,0,139,,500,434
2021-01-03 09:00:00,661,479,0,140,,597,599
2021-01-03 10:00:00,830,646,0,218,,604,621
2021-01-03 11:00:00,856,810,0,292,,607,624
2021-01-03 12:00:00,882,826,0,296,,609,625
2021-01-03 13:00:00,1028,827,0,251,,556,565
2021-01-03 14:00:00,1030,829,0,221,,519,519
2021-01-03 15:00:00,1026,920,0,244,,553,598
2021-01-03 16:00:00,1030,925,0,289,,605,625
2021-01-03 17:00:00,1030,927,0,290,,610,626
2021-01-03 18:00:00,1032,926,0,292,,611,625
2021-01-03 19:00:00,1031,834,0,294,,611,626
2021-01-03 20:00:00,1034,834,0,292,,609,626
2021-01-03 21:00:00,1032,907,0,292,,611,626
2021-01-03 22:00:00,934,738,0,293,,611,627
2021-01-03 23:00:00,884,706,0,293,,445,626
2021-01-04 00:00:00,694,559,0,291,,387,625
2021-01-04 01:00:00,688,520,0,292,,596,624
2021-01-04 02:00:00,715,527,0,292,,600,623
2021-01-04 03:00:00,811,526,0,293,,584,623
2021-01-04 04:00:00,844,528,0,293,,585,623
2021-01-04 05:00:00,871,594,0,293,,587,622
2021-01-04 06:00:00,1025,907,0,293,,588,624
2021-01-04 07:00:00,922,1028,0,297,,589,624
2021-01-04 08:00:00,869,1024,0,298,,588,623
2021-01-04 09:00:00,930,1023,0,297,,589,625
2021-01-04 10:00:00,897,1027,0,296,,590,625
2021-01-04 11:00:00,870,1025,0,293,,590,625
2021-01-04 12:00:00,831,1026,0,296,,583,623
2021-01-04 13:00:00,850,1026,0,296,,568,624
2021-01-04 14:00:00,861,1026,0,299,,575,623
2021-01-04 15:00:00,861,1023,0,299,,578,625
2021-01-04 16:00:00,860,1029,0,299,,579,624
2021-01-04 17:00:00,866,1023,0,299,,579,625
2021-01-04 18:00:00,958,1028,0,299,,580,625
2021-01-04 19:00:00,973,1030,0,296,,580,625
2021-01-04 20:00:00,1030,1028,0,297,,595,626
2021-01-04 21:00:00,1038,1025,0,296,,597,627
