Timestamp,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
2018-01-01 00:00:00,66,0,0
2018-01-01 01:00:00,72,0,0
2018-01-01 02:00:00,71,0,0
2018-01-01 03:00:00,65,0,0
2018-01-01 04:00:00,64,0,0
2018-01-01 05:00:00,67,0,0
2018-01-01 06:00:00,64,0,0
2018-01-01 07:00:00,62,0,0
2018-01-01 08:00:00,60,0,0
2018-01-01 09:00:00,63,0,0
2018-01-01 10:00:00,62,0,0
2018-01-01 11:00:00,62,0,0
2018-01-01 12:00:00,70,0,0
2018-01-01 13:00:00,76,0,0
2018-01-01 14:00:00,76,0,0
2018-01-01 15:00:00,79,0,0
2018-01-01 16:00:00,87,0,0
2018-01-01 17:00:00,107,0,0
2018-01-01 18:00:00,108,0,0
2018-01-01 19:00:00,107,0,0
2018-01-01 20:00:00,103,0,0
2018-01-01 21:00:00,102,0,0
2018-01-01 22:00:00,102,0,0
2018-01-01 23:00:00,73,0,0
2018-01-02 00:00:00,63,0,1
2018-01-02 01:00:00,63,0,7
2018-01-02 02:00:00,63,0,14
2018-01-02 03:00:00,66,0,22
2018-01-02 04:00:00,67,0,23
2018-01-02 05:00:00,94,0,30
2018-01-02 06:00:00,97,0,34
2018-01-02 07:00:00,102,0,35
2018-01-02 08:00:00,103,24,41
2018-01-02 09:00:00,104,108,83
2018-01-02 10:00:00,102,116,87
2018-01-02 11:00:00,104,112,86
2018-01-02 12:00:00,106,109,83
2018-01-02 13:00:00,102,110,83
2018-01-02 14:00:00,102,116,92
2018-01-02 15:00:00,105,116,94
2018-01-02 16:00:00,112,115,108
2018-01-02 17:00:00,112,116,111
2018-01-02 18:00:00,112,113,106
2018-01-02 19:00:00,113,110,89
2018-01-02 20:00:00,95,95,63
2018-01-02 21:00:00,71,68,55
2018-01-02 22:00:00,67,42,42
2018-01-02 23:00:00,70,0,21
2018-01-03 00:00:00,79,0,20
2018-01-03 01:00:00,72,0,18
2018-01-03 02:00:00,71,0,19
2018-01-03 03:00:00,74,0,19
2018-01-03 04:00:00,71,0,23
2018-01-03 05:00:00,88,0,25
2018-01-03 06:00:00,77,20,30
2018-01-03 07:00:00,66,62,61
2018-01-03 08:00:00,64,65,61
2018-01-03 09:00:00,92,94,70
2018-01-03 10:00:00,81,83,73
2018-01-03 11:00:00,92,94,79
2018-01-03 12:00:00,88,89,77
2018-01-03 13:00:00,93,95,77
2018-01-03 14:00:00,92,94,73
2018-01-03 15:00:00,91,93,70
2018-01-03 16:00:00,91,94,69
2018-01-03 17:00:00,91,93,69
2018-01-03 18:00:00,72,74,64
2018-01-03 19:00:00,68,73,62
2018-01-03 20:00:00,71,47,52
2018-01-03 21:00:00,72,1,29
2018-01-03 22:00:00,76,0,28
2018-01-03 23:00:00,69,0,27
2018-01-04 00:00:00,83,0,29
2018-01-04 01:00:00,84,0,30
2018-01-04 02:00:00,72,0,30
2018-01-04 03:00:00,68,0,28
2018-01-04 04:00:00,79,0,30
2018-01-04 05:00:00,98,10,34
2018-01-04 06:00:00,76,67,62
2018-01-04 07:00:00,83,85,70
2018-01-04 08:00:00,96,98,82
2018-01-04 09:00:00,107,110,95
2018-01-04 10:00:00,110,113,96
2018-01-04 11:00:00,110,113,88
2018-01-04 12:00:00,110,113,88
2018-01-04 13:00:00,109,111,87
2018-01-04 14:00:00,108,111,86
2018-01-04 15:00:00,106,111,79
2018-01-04 16:00:00,109,112,89
2018-01-04 17:00:00,108,110,77
2018-01-04 18:00:00,96,97,73
2018-01-04 19:00:00,67,55,57
2018-01-04 20:00:00,68,2,30
2018-01-04 21:00:00,75,0,30
2018-01-04 22:00:00,71,0,28
2018-01-04 23:00:00,67,0,29
2018-01-05 00:00:00,67,0,30
2018-01-05 01:00:00,63,0,30
2018-01-05 02:00:00,73,0,30
2018-01-05 03:00:00,77,0,32
2018-01-05 04:00:00,84,0,32
2018-01-05 05:00:00,100,0,39
2018-01-05 06:00:00,97,0,41
2018-01-05 07:00:00,99,0,47
2018-01-05 08:00:00,110,0,57
2018-01-05 09:00:00,109,0,57
2018-01-05 10:00:00,109,0,52
2018-01-05 11:00:00,107,0,43
2018-01-05 12:00:00,107,0,43
2018-01-05 13:00:00,107,0,43
2018-01-05 14:00:00,107,0,44
2018-01-05 15:00:00,107,0,45
