date,start,end,11WD7VOLK5S-HKVM
1012017,00:00,01:00,108.0
1012017,01:00,02:00,108.0
1012017,02:00,03:00,87.0
1012017,03:00,04:00,86.0
1012017,04:00,05:00,92.0
1012017,05:00,06:00,110.0
1012017,06:00,07:00,100.0
1012017,07:00,08:00,119.0
1012017,08:00,09:00,145.0
1012017,09:00,10:00,119.0
1012017,10:00,11:00,105.0
1012017,11:00,12:00,126.0
1012017,12:00,13:00,129.0
1012017,13:00,14:00,138.0
1012017,14:00,15:00,151.0
1012017,15:00,16:00,152.0
1012017,16:00,17:00,132.0
1012017,17:00,18:00,147.0
1012017,18:00,19:00,146.0
1012017,19:00,20:00,146.0
1012017,20:00,21:00,147.0
1012017,21:00,22:00,147.0
1012017,22:00,23:00,147.0
1012017,23:00,00:00,109.0
2012017,00:00,01:00,79.0
2012017,01:00,02:00,75.0
2012017,02:00,03:00,78.0
2012017,03:00,04:00,87.0
2012017,04:00,05:00,90.0
2012017,05:00,06:00,107.0
2012017,06:00,07:00,122.0
2012017,07:00,08:00,159.0
2012017,08:00,09:00,165.0
2012017,09:00,10:00,167.0
2012017,10:00,11:00,169.0
2012017,11:00,12:00,169.0
2012017,12:00,13:00,169.0
2012017,13:00,14:00,169.0
2012017,14:00,15:00,170.0
2012017,15:00,16:00,170.0
2012017,16:00,17:00,169.0
2012017,17:00,18:00,169.0
2012017,18:00,19:00,162.0
2012017,19:00,20:00,165.0
2012017,20:00,21:00,171.0
2012017,21:00,22:00,169.0
2012017,22:00,23:00,165.0
2012017,23:00,00:00,136.0
3012017,00:00,01:00,81.0
3012017,01:00,02:00,80.0
3012017,02:00,03:00,80.0
3012017,03:00,04:00,87.0
3012017,04:00,05:00,94.0
3012017,05:00,06:00,117.0
3012017,06:00,07:00,130.0
3012017,07:00,08:00,141.0
3012017,08:00,09:00,141.0
3012017,09:00,10:00,168.0
3012017,10:00,11:00,139.0
3012017,11:00,12:00,140.0
3012017,12:00,13:00,141.0
3012017,13:00,14:00,170.0
3012017,14:00,15:00,170.0
3012017,15:00,16:00,170.0
3012017,16:00,17:00,169.0
3012017,17:00,18:00,169.0
3012017,18:00,19:00,164.0
3012017,19:00,20:00,141.0
3012017,20:00,21:00,100.0
3012017,21:00,22:00,90.0
3012017,22:00,23:00,81.0
3012017,23:00,00:00,93.0
4012017,00:00,01:00,100.0
4012017,01:00,02:00,72.0
4012017,02:00,03:00,61.0
4012017,03:00,04:00,65.0
4012017,04:00,05:00,74.0
4012017,05:00,06:00,98.0
4012017,06:00,07:00,151.0
4012017,07:00,08:00,160.0
