date,start,end,11WD2WBW1000039N,11WD2WBW2000040U
1012020,00:00,01:00,48,41
1012020,01:00,02:00,58,36
1012020,02:00,03:00,56,38
1012020,03:00,04:00,56,37
1012020,04:00,05:00,55,37
1012020,05:00,06:00,55,39
1012020,06:00,07:00,57,60
1012020,07:00,08:00,64,59
1012020,08:00,09:00,61,57
1012020,09:00,10:00,60,57
1012020,10:00,11:00,61,57
1012020,11:00,12:00,61,57
1012020,12:00,13:00,65,50
1012020,13:00,14:00,56,58
1012020,14:00,15:00,41,58
1012020,15:00,16:00,34,60
1012020,16:00,17:00,37,61
1012020,17:00,18:00,35,56
1012020,18:00,19:00,33,50
1012020,19:00,20:00,32,51
1012020,20:00,21:00,33,52
1012020,21:00,22:00,38,50
1012020,22:00,23:00,58,43
1012020,23:00,00:00,58,33
2012020,00:00,01:00,56,33
2012020,01:00,02:00,56,33
2012020,02:00,03:00,56,33
2012020,03:00,04:00,60,33
2012020,04:00,05:00,60,33
2012020,05:00,06:00,61,33
2012020,06:00,07:00,63,35
2012020,07:00,08:00,56,48
2012020,08:00,09:00,58,53
2012020,09:00,10:00,64,54
2012020,10:00,11:00,57,54
2012020,11:00,12:00,59,55
2012020,12:00,13:00,59,54
2012020,13:00,14:00,59,39
2012020,14:00,15:00,58,38
2012020,15:00,16:00,71,57
2012020,16:00,17:00,65,66
2012020,17:00,18:00,65,65
2012020,18:00,19:00,66,63
2012020,19:00,20:00,71,86
2012020,20:00,21:00,59,91
2012020,21:00,22:00,62,81
2012020,22:00,23:00,53,47
2012020,23:00,00:00,51,47
3012020,00:00,01:00,51,48
3012020,01:00,02:00,44,46
3012020,02:00,03:00,42,47
3012020,03:00,04:00,42,48
3012020,04:00,05:00,39,48
3012020,05:00,06:00,36,48
3012020,06:00,07:00,40,48
3012020,07:00,08:00,54,50
3012020,08:00,09:00,58,53
3012020,09:00,10:00,62,57
3012020,10:00,11:00,63,58
3012020,11:00,12:00,64,60
3012020,12:00,13:00,58,59
3012020,13:00,14:00,56,58
3012020,14:00,15:00,49,52
3012020,15:00,16:00,48,51
3012020,16:00,17:00,51,50
3012020,17:00,18:00,50,43
3012020,18:00,19:00,50,37
3012020,19:00,20:00,51,37
3012020,20:00,21:00,52,37
3012020,21:00,22:00,51,35
3012020,22:00,23:00,56,35
3012020,23:00,00:00,51,36
4012020,00:00,01:00,49,35
4012020,01:00,02:00,49,35
4012020,02:00,03:00,49,35
4012020,03:00,04:00,51,35
4012020,04:00,05:00,53,36
4012020,05:00,06:00,54,35
4012020,06:00,07:00,51,33
4012020,07:00,08:00,51,33
4012020,08:00,09:00,52,34
4012020,09:00,10:00,52,33
4012020,10:00,11:00,51,33
4012020,11:00,12:00,51,33
4012020,12:00,13:00,51,33
4012020,13:00,14:00,52,33
4012020,14:00,15:00,53,33
4012020,15:00,16:00,51,34
4012020,16:00,17:00,50,37
4012020,17:00,18:00,52,36
4012020,18:00,19:00,51,36
4012020,19:00,20:00,51,36
4012020,20:00,21:00,51,35
4012020,21:00,22:00,56,36
4012020,22:00,23:00,56,35
4012020,23:00,00:00,55,35
5012020,00:00,01:00,56,35
5012020,01:00,02:00,56,35
5012020,02:00,03:00,55,35
5012020,03:00,04:00,56,35
5012020,04:00,05:00,56,35
5012020,05:00,06:00,55,34
5012020,06:00,07:00,35,34
5012020,07:00,08:00,33,33
5012020,08:00,09:00,33,33
5012020,09:00,10:00,33,33
5012020,10:00,11:00,33,33
5012020,11:00,12:00,33,34
5012020,12:00,13:00,33,33
5012020,13:00,14:00,34,33
5012020,14:00,15:00,33,33
5012020,15:00,16:00,33,34
5012020,16:00,17:00,33,34
5012020,17:00,18:00,33,36
5012020,18:00,19:00,47,35
5012020,19:00,20:00,45,35
5012020,20:00,21:00,45,34
5012020,21:00,22:00,46,34
5012020,22:00,23:00,47,35
5012020,23:00,00:00,49,35
6012020,00:00,01:00,52,53
6012020,01:00,02:00,56,56
6012020,02:00,03:00,55,54
6012020,03:00,04:00,56,60
6012020,04:00,05:00,57,61
6012020,05:00,06:00,67,58
6012020,06:00,07:00,88,71
6012020,07:00,08:00,119,74
6012020,08:00,09:00,119,79
6012020,09:00,10:00,122,83
6012020,10:00,11:00,124,83
6012020,11:00,12:00,124,83
6012020,12:00,13:00,124,83
6012020,13:00,14:00,123,85
6012020,14:00,15:00,110,93
6012020,15:00,16:00,103,92
6012020,16:00,17:00,99,94
6012020,17:00,18:00,94,97
6012020,18:00,19:00,91,88
6012020,19:00,20:00,95,88
6012020,20:00,21:00,88,88
6012020,21:00,22:00,88,86
6012020,22:00,23:00,77,78
6012020,23:00,00:00,81,79
7012020,00:00,01:00,83,82
7012020,01:00,02:00,88,84
7012020,02:00,03:00,83,83
7012020,03:00,04:00,89,92
7012020,04:00,05:00,90,93
7012020,05:00,06:00,96,95
7012020,06:00,07:00,99,103
7012020,07:00,08:00,110,108
7012020,08:00,09:00,112,109
7012020,09:00,10:00,119,117
7012020,10:00,11:00,117,118
7012020,11:00,12:00,113,120
7012020,12:00,13:00,111,121
7012020,13:00,14:00,113,118
7012020,14:00,15:00,108,109
7012020,15:00,16:00,106,105
7012020,16:00,17:00,105,104
7012020,17:00,18:00,119,120
7012020,18:00,19:00,102,101
7012020,19:00,20:00,100,96
7012020,20:00,21:00,95,91
7012020,21:00,22:00,97,92
7012020,22:00,23:00,91,89
7012020,23:00,00:00,97,92
8012020,00:00,01:00,92,89
8012020,01:00,02:00,96,89
8012020,02:00,03:00,91,89
8012020,03:00,04:00,101,97
8012020,04:00,05:00,96,102
8012020,05:00,06:00,103,103
8012020,06:00,07:00,111,107
8012020,07:00,08:00,122,123
8012020,08:00,09:00,123,124
8012020,09:00,10:00,125,122
8012020,10:00,11:00,125,119
8012020,11:00,12:00,119,117
8012020,12:00,13:00,116,111
8012020,13:00,14:00,112,112
8012020,14:00,15:00,106,107
8012020,15:00,16:00,109,107
8012020,16:00,17:00,105,105
8012020,17:00,18:00,120,118
8012020,18:00,19:00,125,124
8012020,19:00,20:00,110,109
8012020,20:00,21:00,98,97
8012020,21:00,22:00,98,98
