date,start,end,11WD7FRIM2B--Q-D,11WD7FRIM2B--P-G
1012016,00:00,01:00,0.0,194.0
1012016,01:00,02:00,0.0,194.0
1012016,02:00,03:00,0.0,194.0
1012016,03:00,04:00,0.0,194.0
1012016,04:00,05:00,0.0,195.0
1012016,05:00,06:00,0.0,194.0
1012016,06:00,07:00,0.0,194.0
1012016,07:00,08:00,0.0,193.0
1012016,08:00,09:00,0.0,194.0
1012016,09:00,10:00,0.0,194.0
1012016,10:00,11:00,0.0,193.0
1012016,11:00,12:00,0.0,194.0
1012016,12:00,13:00,0.0,195.0
1012016,13:00,14:00,0.0,196.0
1012016,14:00,15:00,0.0,200.0
1012016,15:00,16:00,0.0,201.0
1012016,16:00,17:00,0.0,199.0
1012016,17:00,18:00,0.0,201.0
1012016,18:00,19:00,0.0,201.0
1012016,19:00,20:00,0.0,202.0
1012016,20:00,21:00,0.0,201.0
1012016,21:00,22:00,0.0,201.0
1012016,22:00,23:00,0.0,201.0
1012016,23:00,00:00,0.0,199.0
2012016,00:00,01:00,0.0,200.0
2012016,01:00,02:00,0.0,200.0
2012016,02:00,03:00,0.0,201.0
2012016,03:00,04:00,0.0,200.0
2012016,04:00,05:00,0.0,200.0
2012016,05:00,06:00,0.0,200.0
2012016,06:00,07:00,0.0,200.0
2012016,07:00,08:00,0.0,200.0
2012016,08:00,09:00,0.0,199.0
2012016,09:00,10:00,0.0,200.0
2012016,10:00,11:00,0.0,200.0
2012016,11:00,12:00,0.0,200.0
2012016,12:00,13:00,0.0,200.0
2012016,13:00,14:00,0.0,201.0
2012016,14:00,15:00,0.0,203.0
2012016,15:00,16:00,0.0,205.0
2012016,16:00,17:00,0.0,204.0
2012016,17:00,18:00,0.0,203.0
2012016,18:00,19:00,0.0,205.0
2012016,19:00,20:00,0.0,203.0
2012016,20:00,21:00,0.0,204.0
2012016,21:00,22:00,0.0,203.0
2012016,22:00,23:00,0.0,204.0
2012016,23:00,00:00,0.0,204.0
3012016,00:00,01:00,0.0,203.0
3012016,01:00,02:00,0.0,204.0
3012016,02:00,03:00,0.0,202.0
3012016,03:00,04:00,0.0,204.0
3012016,04:00,05:00,0.0,205.0
3012016,05:00,06:00,0.0,204.0
3012016,06:00,07:00,0.0,204.0
3012016,07:00,08:00,0.0,203.0
3012016,08:00,09:00,0.0,203.0
3012016,09:00,10:00,0.0,204.0
3012016,10:00,11:00,0.0,203.0
3012016,11:00,12:00,0.0,204.0
3012016,12:00,13:00,0.0,203.0
3012016,13:00,14:00,0.0,203.0
3012016,14:00,15:00,0.0,204.0
3012016,15:00,16:00,0.0,204.0
3012016,16:00,17:00,0.0,204.0
3012016,17:00,18:00,0.0,204.0
3012016,18:00,19:00,0.0,205.0
3012016,19:00,20:00,0.0,204.0
3012016,20:00,21:00,0.0,204.0
3012016,21:00,22:00,0.0,203.0
3012016,22:00,23:00,0.0,203.0
3012016,23:00,00:00,0.0,204.0
4012016,00:00,01:00,0.0,203.0
4012016,01:00,02:00,0.0,202.0
4012016,02:00,03:00,0.0,203.0
4012016,03:00,04:00,0.0,204.0
4012016,04:00,05:00,0.0,203.0
4012016,05:00,06:00,5.0,204.0
4012016,06:00,07:00,92.0,203.0
4012016,07:00,08:00,211.0,204.0
4012016,08:00,09:00,217.0,205.0
4012016,09:00,10:00,220.0,203.0
4012016,10:00,11:00,220.0,203.0
4012016,11:00,12:00,234.0,203.0
4012016,12:00,13:00,270.0,203.0
4012016,13:00,14:00,268.0,204.0
4012016,14:00,15:00,264.0,203.0
4012016,15:00,16:00,266.0,204.0
4012016,16:00,17:00,266.0,203.0
4012016,17:00,18:00,266.0,204.0
4012016,18:00,19:00,267.0,203.0
4012016,19:00,20:00,267.0,204.0
4012016,20:00,21:00,267.0,204.0
4012016,21:00,22:00,270.0,204.0
4012016,22:00,23:00,272.0,205.0
4012016,23:00,00:00,270.0,203.0
5012016,00:00,01:00,271.0,203.0
5012016,01:00,02:00,269.0,207.0
5012016,02:00,03:00,269.0,204.0
5012016,03:00,04:00,268.0,205.0
5012016,04:00,05:00,267.0,237.0
