date,start,end,11WD2IRG4000061X
16012016,17:00,18:00,0
16012016,18:00,19:00,0
16012016,19:00,20:00,0
16012016,20:00,21:00,0
16012016,21:00,22:00,0
16012016,22:00,23:00,0
16012016,23:00,00:00,0
17012016,00:00,01:00,0
17012016,01:00,02:00,0
17012016,02:00,03:00,0
17012016,03:00,04:00,0
17012016,04:00,05:00,0
17012016,05:00,06:00,0
17012016,06:00,07:00,0
17012016,07:00,08:00,0
17012016,08:00,09:00,0
17012016,09:00,10:00,0
17012016,10:00,11:00,0
17012016,11:00,12:00,0
17012016,12:00,13:00,0
17012016,13:00,14:00,0
17012016,14:00,15:00,0
17012016,15:00,16:00,0
17012016,16:00,17:00,0
17012016,17:00,18:00,0
17012016,18:00,19:00,0
17012016,19:00,20:00,0
17012016,20:00,21:00,0
17012016,21:00,22:00,0
17012016,22:00,23:00,0
17012016,23:00,00:00,0
18012016,00:00,01:00,0
18012016,01:00,02:00,0
18012016,02:00,03:00,0
18012016,03:00,04:00,3
18012016,04:00,05:00,35
18012016,05:00,06:00,42
18012016,06:00,07:00,49
18012016,07:00,08:00,201
18012016,08:00,09:00,489
18012016,09:00,10:00,547
18012016,10:00,11:00,547
18012016,11:00,12:00,547
18012016,12:00,13:00,547
18012016,13:00,14:00,479
18012016,14:00,15:00,419
18012016,15:00,16:00,485
18012016,16:00,17:00,508
18012016,17:00,18:00,492
18012016,18:00,19:00,502
18012016,19:00,20:00,511
18012016,20:00,21:00,458
18012016,21:00,22:00,433
18012016,22:00,23:00,370
18012016,23:00,00:00,370
19012016,00:00,01:00,370
19012016,01:00,02:00,370
19012016,02:00,03:00,370
19012016,03:00,04:00,370
19012016,04:00,05:00,370
19012016,05:00,06:00,370
19012016,06:00,07:00,450
19012016,07:00,08:00,547
19012016,08:00,09:00,547
19012016,09:00,10:00,547
19012016,10:00,11:00,542
19012016,11:00,12:00,543
19012016,12:00,13:00,529
19012016,13:00,14:00,490
19012016,14:00,15:00,476
19012016,15:00,16:00,486
19012016,16:00,17:00,497
19012016,17:00,18:00,520
19012016,18:00,19:00,514
19012016,19:00,20:00,517
19012016,20:00,21:00,503
19012016,21:00,22:00,485
19012016,22:00,23:00,455
19012016,23:00,00:00,373
20012016,00:00,01:00,370
20012016,01:00,02:00,370
20012016,02:00,03:00,370
20012016,03:00,04:00,370
20012016,04:00,05:00,374
20012016,05:00,06:00,407
20012016,06:00,07:00,499
20012016,07:00,08:00,540
20012016,08:00,09:00,547
20012016,09:00,10:00,547
20012016,10:00,11:00,547
20012016,11:00,12:00,547
20012016,12:00,13:00,547
20012016,13:00,14:00,545
20012016,14:00,15:00,525
20012016,15:00,16:00,538
20012016,16:00,17:00,537
20012016,17:00,18:00,536
20012016,18:00,19:00,534
20012016,19:00,20:00,532
20012016,20:00,21:00,531
20012016,21:00,22:00,527
20012016,22:00,23:00,450
20012016,23:00,00:00,380
21012016,00:00,01:00,370
21012016,01:00,02:00,370
21012016,02:00,03:00,370
21012016,03:00,04:00,370
21012016,04:00,05:00,370
21012016,05:00,06:00,443
21012016,06:00,07:00,476
21012016,07:00,08:00,538
21012016,08:00,09:00,536
21012016,09:00,10:00,533
21012016,10:00,11:00,536
21012016,11:00,12:00,533
21012016,12:00,13:00,532
21012016,13:00,14:00,534
21012016,14:00,15:00,536
21012016,15:00,16:00,536
21012016,16:00,17:00,536
21012016,17:00,18:00,536
21012016,18:00,19:00,533
21012016,19:00,20:00,534
21012016,20:00,21:00,535
21012016,21:00,22:00,505
21012016,22:00,23:00,430
21012016,23:00,00:00,371
22012016,00:00,01:00,370
22012016,01:00,02:00,371
22012016,02:00,03:00,371
22012016,03:00,04:00,371
22012016,04:00,05:00,371
22012016,05:00,06:00,410
22012016,06:00,07:00,494
22012016,07:00,08:00,535
22012016,08:00,09:00,530
22012016,09:00,10:00,529
22012016,10:00,11:00,530
22012016,11:00,12:00,529
22012016,12:00,13:00,515
22012016,13:00,14:00,463
22012016,14:00,15:00,427
22012016,15:00,16:00,438
22012016,16:00,17:00,410
22012016,17:00,18:00,414
22012016,18:00,19:00,404
22012016,19:00,20:00,327
22012016,20:00,21:00,14
22012016,21:00,22:00,0
22012016,22:00,23:00,0
22012016,23:00,00:00,0
23012016,00:00,01:00,0
23012016,01:00,02:00,0
23012016,02:00,03:00,0
23012016,03:00,04:00,0
23012016,04:00,05:00,0
23012016,05:00,06:00,0
23012016,06:00,07:00,0
23012016,07:00,08:00,0
23012016,08:00,09:00,0
23012016,09:00,10:00,0
23012016,10:00,11:00,0
23012016,11:00,12:00,0
23012016,12:00,13:00,0
23012016,13:00,14:00,0
23012016,14:00,15:00,0
23012016,15:00,16:00,0
23012016,16:00,17:00,0
23012016,17:00,18:00,0
23012016,18:00,19:00,0
23012016,19:00,20:00,0
