date,start,end,11WD7HUCK2G--A-C,11WD7HUCK2G--B-9
1012016,00:00,01:00,81.0,140.0
1012016,01:00,02:00,80.0,147.0
1012016,02:00,03:00,81.0,145.0
1012016,03:00,04:00,81.0,137.0
1012016,04:00,05:00,81.0,140.0
1012016,05:00,06:00,81.0,140.0
1012016,06:00,07:00,81.0,134.0
1012016,07:00,08:00,83.0,138.0
1012016,08:00,09:00,86.0,138.0
1012016,09:00,10:00,87.0,135.0
1012016,10:00,11:00,86.0,148.0
1012016,11:00,12:00,85.0,150.0
1012016,12:00,13:00,85.0,137.0
1012016,13:00,14:00,85.0,136.0
1012016,14:00,15:00,85.0,134.0
1012016,15:00,16:00,85.0,113.0
1012016,16:00,17:00,85.0,122.0
1012016,17:00,18:00,85.0,122.0
1012016,18:00,19:00,86.0,113.0
1012016,19:00,20:00,86.0,137.0
1012016,20:00,21:00,85.0,143.0
1012016,21:00,22:00,85.0,141.0
1012016,22:00,23:00,85.0,142.0
1012016,23:00,00:00,85.0,136.0
2012016,00:00,01:00,85.0,125.0
2012016,01:00,02:00,85.0,132.0
2012016,02:00,03:00,85.0,135.0
2012016,03:00,04:00,86.0,134.0
2012016,04:00,05:00,58.0,134.0
2012016,05:00,06:00,81.0,132.0
2012016,06:00,07:00,85.0,132.0
2012016,07:00,08:00,85.0,139.0
2012016,08:00,09:00,85.0,145.0
2012016,09:00,10:00,85.0,135.0
2012016,10:00,11:00,85.0,134.0
2012016,11:00,12:00,84.0,125.0
2012016,12:00,13:00,85.0,122.0
2012016,13:00,14:00,89.0,116.0
2012016,14:00,15:00,89.0,120.0
2012016,15:00,16:00,90.0,114.0
2012016,16:00,17:00,90.0,130.0
2012016,17:00,18:00,89.0,135.0
2012016,18:00,19:00,90.0,134.0
2012016,19:00,20:00,89.0,128.0
2012016,20:00,21:00,90.0,128.0
2012016,21:00,22:00,90.0,124.0
2012016,22:00,23:00,90.0,119.0
2012016,23:00,00:00,89.0,116.0
3012016,00:00,01:00,89.0,108.0
3012016,01:00,02:00,90.0,114.0
3012016,02:00,03:00,90.0,122.0
3012016,03:00,04:00,90.0,127.0
3012016,04:00,05:00,90.0,137.0
3012016,05:00,06:00,90.0,145.0
3012016,06:00,07:00,91.0,148.0
3012016,07:00,08:00,90.0,142.0
3012016,08:00,09:00,89.0,132.0
3012016,09:00,10:00,89.0,128.0
3012016,10:00,11:00,83.0,126.0
3012016,11:00,12:00,76.0,127.0
3012016,12:00,13:00,81.0,134.0
3012016,13:00,14:00,86.0,128.0
3012016,14:00,15:00,87.0,132.0
3012016,15:00,16:00,87.0,135.0
3012016,16:00,17:00,86.0,148.0
3012016,17:00,18:00,87.0,133.0
3012016,18:00,19:00,86.0,124.0
3012016,19:00,20:00,86.0,131.0
3012016,20:00,21:00,86.0,132.0
3012016,21:00,22:00,86.0,123.0
3012016,22:00,23:00,87.0,121.0
3012016,23:00,00:00,87.0,123.0
4012016,00:00,01:00,87.0,114.0
4012016,01:00,02:00,87.0,126.0
4012016,02:00,03:00,88.0,136.0
4012016,03:00,04:00,88.0,134.0
4012016,04:00,05:00,88.0,139.0
4012016,05:00,06:00,87.0,147.0
4012016,06:00,07:00,87.0,140.0
4012016,07:00,08:00,87.0,130.0
4012016,08:00,09:00,87.0,120.0
4012016,09:00,10:00,87.0,118.0
4012016,10:00,11:00,88.0,118.0
4012016,11:00,12:00,88.0,118.0
4012016,12:00,13:00,88.0,126.0
4012016,13:00,14:00,88.0,141.0
4012016,14:00,15:00,87.0,144.0
4012016,15:00,16:00,88.0,145.0
4012016,16:00,17:00,90.0,152.0
4012016,17:00,18:00,88.0,145.0
4012016,18:00,19:00,84.0,118.0
4012016,19:00,20:00,84.0,145.0
4012016,20:00,21:00,83.0,140.0
4012016,21:00,22:00,83.0,118.0
4012016,22:00,23:00,83.0,116.0
4012016,23:00,00:00,84.0,121.0
5012016,00:00,01:00,84.0,124.0
5012016,01:00,02:00,89.0,138.0
5012016,02:00,03:00,89.0,143.0
5012016,03:00,04:00,89.0,141.0
5012016,04:00,05:00,89.0,144.0
5012016,05:00,06:00,89.0,144.0
5012016,06:00,07:00,87.0,135.0
5012016,07:00,08:00,87.0,129.0
5012016,08:00,09:00,87.0,126.0
5012016,09:00,10:00,88.0,120.0
5012016,10:00,11:00,86.0,120.0
5012016,11:00,12:00,88.0,115.0
5012016,12:00,13:00,87.0,127.0
5012016,13:00,14:00,88.0,132.0
5012016,14:00,15:00,87.0,141.0
5012016,15:00,16:00,87.0,140.0
5012016,16:00,17:00,86.0,142.0
5012016,17:00,18:00,86.0,136.0
5012016,18:00,19:00,87.0,132.0
5012016,19:00,20:00,87.0,123.0
5012016,20:00,21:00,88.0,108.0
5012016,21:00,22:00,89.0,103.0
5012016,22:00,23:00,88.0,108.0
5012016,23:00,00:00,89.0,127.0
6012016,00:00,01:00,88.0,135.0
6012016,01:00,02:00,88.0,142.0
6012016,02:00,03:00,82.0,107.0
6012016,03:00,04:00,0.0,147.0
6012016,04:00,05:00,0.0,140.0
6012016,05:00,06:00,0.0,124.0
6012016,06:00,07:00,0.0,118.0
6012016,07:00,08:00,0.0,122.0
6012016,08:00,09:00,0.0,123.0
6012016,09:00,10:00,0.0,110.0
6012016,10:00,11:00,0.0,126.0
6012016,11:00,12:00,0.0,142.0
6012016,12:00,13:00,0.0,139.0
6012016,13:00,14:00,0.0,159.0
6012016,14:00,15:00,0.0,163.0
6012016,15:00,16:00,0.0,144.0
6012016,16:00,17:00,0.0,152.0
6012016,17:00,18:00,0.0,159.0
6012016,18:00,19:00,0.0,144.0
6012016,19:00,20:00,0.0,129.0
6012016,20:00,21:00,0.0,133.0
6012016,21:00,22:00,0.0,137.0
6012016,22:00,23:00,0.0,146.0
6012016,23:00,00:00,0.0,143.0
7012016,00:00,01:00,0.0,191.0
7012016,01:00,02:00,0.0,226.0
7012016,02:00,03:00,0.0,211.0
7012016,03:00,04:00,0.0,207.0
7012016,04:00,05:00,0.0,191.0
7012016,05:00,06:00,0.0,148.0
7012016,06:00,07:00,0.0,110.0
7012016,07:00,08:00,0.0,104.0
7012016,08:00,09:00,0.0,123.0
7012016,09:00,10:00,0.0,189.0
7012016,10:00,11:00,0.0,202.0
7012016,11:00,12:00,0.0,227.0
7012016,12:00,13:00,0.0,225.0
7012016,13:00,14:00,0.0,232.0
7012016,14:00,15:00,0.0,235.0
7012016,15:00,16:00,0.0,228.0
7012016,16:00,17:00,0.0,228.0
7012016,17:00,18:00,0.0,226.0
7012016,18:00,19:00,0.0,218.0
7012016,19:00,20:00,0.0,217.0
7012016,20:00,21:00,0.0,209.0
7012016,21:00,22:00,0.0,214.0
7012016,22:00,23:00,0.0,240.0
7012016,23:00,00:00,0.0,197.0
8012016,00:00,01:00,0.0,154.0
8012016,01:00,02:00,0.0,165.0
8012016,02:00,03:00,0.0,178.0
8012016,03:00,04:00,0.0,233.0
8012016,04:00,05:00,0.0,219.0
8012016,05:00,06:00,0.0,207.0
8012016,06:00,07:00,0.0,201.0
8012016,07:00,08:00,0.0,214.0
8012016,08:00,09:00,0.0,216.0
8012016,09:00,10:00,0.0,227.0
8012016,10:00,11:00,0.0,239.0
8012016,11:00,12:00,0.0,245.0
8012016,12:00,13:00,0.0,240.0
8012016,13:00,14:00,0.0,233.0
8012016,14:00,15:00,0.0,219.0
8012016,15:00,16:00,0.0,204.0
8012016,16:00,17:00,0.0,211.0
8012016,17:00,18:00,0.0,205.0
8012016,18:00,19:00,0.0,208.0
8012016,19:00,20:00,0.0,216.0
8012016,20:00,21:00,0.0,225.0
