date,start,end,11WD7LUDW5GSDG1Q,11WD7LUDW5GSDG2O
1012016,00:00,01:00,65.5,65.5
1012016,01:00,02:00,65.5,65.5
1012016,02:00,03:00,65.5,65.5
1012016,03:00,04:00,65.5,65.5
1012016,04:00,05:00,65.5,65.5
1012016,05:00,06:00,65.5,65.5
1012016,06:00,07:00,65.5,65.5
1012016,07:00,08:00,65.5,65.5
1012016,08:00,09:00,65.5,65.5
1012016,09:00,10:00,65.5,65.5
1012016,10:00,11:00,65.5,65.5
1012016,11:00,12:00,65.5,65.5
1012016,12:00,13:00,65.5,65.5
1012016,13:00,14:00,65.5,65.5
1012016,14:00,15:00,65.5,65.5
1012016,15:00,16:00,65.5,65.5
1012016,16:00,17:00,68.5,68.5
1012016,17:00,18:00,78.5,78.5
1012016,18:00,19:00,79.0,79.0
1012016,19:00,20:00,78.5,78.5
1012016,20:00,21:00,69.5,69.5
1012016,21:00,22:00,69.5,69.5
1012016,22:00,23:00,69.5,69.5
1012016,23:00,00:00,69.5,69.5
2012016,00:00,01:00,69.5,69.5
2012016,01:00,02:00,69.5,69.5
2012016,02:00,03:00,69.5,69.5
2012016,03:00,04:00,69.5,69.5
2012016,04:00,05:00,69.5,69.5
2012016,05:00,06:00,69.5,69.5
2012016,06:00,07:00,69.5,69.5
2012016,07:00,08:00,69.5,69.5
2012016,08:00,09:00,69.5,69.5
2012016,09:00,10:00,69.5,69.5
2012016,10:00,11:00,69.5,69.5
2012016,11:00,12:00,69.5,69.5
2012016,12:00,13:00,69.5,69.5
2012016,13:00,14:00,69.5,69.5
2012016,14:00,15:00,69.5,69.5
2012016,15:00,16:00,69.5,69.5
2012016,16:00,17:00,69.5,69.5
2012016,17:00,18:00,69.5,69.5
2012016,18:00,19:00,69.5,69.5
2012016,19:00,20:00,,
2012016,20:00,21:00,,
2012016,21:00,22:00,,
2012016,22:00,23:00,,
2012016,23:00,00:00,,
3012016,00:00,01:00,69.5,69.5
3012016,01:00,02:00,69.5,69.5
3012016,02:00,03:00,69.5,69.5
3012016,03:00,04:00,69.5,69.5
3012016,04:00,05:00,69.5,69.5
3012016,05:00,06:00,69.5,69.5
3012016,06:00,07:00,69.5,69.5
3012016,07:00,08:00,69.5,69.5
3012016,08:00,09:00,69.5,69.5
3012016,09:00,10:00,69.5,69.5
3012016,10:00,11:00,69.5,69.5
