date,start,end,11WD2HEY40000638
1012016,00:00,01:00,190
1012016,01:00,02:00,190
1012016,02:00,03:00,193
1012016,03:00,04:00,192
1012016,04:00,05:00,193
1012016,05:00,06:00,192
1012016,06:00,07:00,192
1012016,07:00,08:00,193
1012016,08:00,09:00,191
1012016,09:00,10:00,191
1012016,10:00,11:00,191
1012016,11:00,12:00,191
1012016,12:00,13:00,190
1012016,13:00,14:00,192
1012016,14:00,15:00,192
1012016,15:00,16:00,190
1012016,16:00,17:00,192
1012016,17:00,18:00,192
1012016,18:00,19:00,193
1012016,19:00,20:00,193
1012016,20:00,21:00,192
1012016,21:00,22:00,193
1012016,22:00,23:00,194
1012016,23:00,00:00,193
2012016,00:00,01:00,192
2012016,01:00,02:00,193
2012016,02:00,03:00,193
2012016,03:00,04:00,193
2012016,04:00,05:00,193
2012016,05:00,06:00,194
2012016,06:00,07:00,194
2012016,07:00,08:00,195
2012016,08:00,09:00,193
2012016,09:00,10:00,194
2012016,10:00,11:00,195
2012016,11:00,12:00,196
2012016,12:00,13:00,197
2012016,13:00,14:00,195
2012016,14:00,15:00,194
2012016,15:00,16:00,195
2012016,16:00,17:00,197
2012016,17:00,18:00,197
2012016,18:00,19:00,195
2012016,19:00,20:00,256
2012016,20:00,21:00,478
2012016,21:00,22:00,520
2012016,22:00,23:00,461
2012016,23:00,00:00,240
3012016,00:00,01:00,52
3012016,01:00,02:00,0
3012016,02:00,03:00,0
3012016,03:00,04:00,0
3012016,04:00,05:00,0
3012016,05:00,06:00,0
3012016,06:00,07:00,0
3012016,07:00,08:00,0
3012016,08:00,09:00,0
3012016,09:00,10:00,0
3012016,10:00,11:00,0
3012016,11:00,12:00,0
3012016,12:00,13:00,0
3012016,13:00,14:00,0
3012016,14:00,15:00,0
3012016,15:00,16:00,0
3012016,16:00,17:00,0
3012016,17:00,18:00,0
3012016,18:00,19:00,0
3012016,19:00,20:00,0
3012016,20:00,21:00,0
3012016,21:00,22:00,0
3012016,22:00,23:00,0
3012016,23:00,00:00,0
4012016,00:00,01:00,0
4012016,01:00,02:00,0
4012016,02:00,03:00,0
4012016,03:00,04:00,0
4012016,04:00,05:00,146
4012016,05:00,06:00,281
4012016,06:00,07:00,340
4012016,07:00,08:00,441
4012016,08:00,09:00,725
4012016,09:00,10:00,857
4012016,10:00,11:00,868
4012016,11:00,12:00,868
4012016,12:00,13:00,867
4012016,13:00,14:00,827
4012016,14:00,15:00,855
4012016,15:00,16:00,844
4012016,16:00,17:00,810
4012016,17:00,18:00,646
4012016,18:00,19:00,614
4012016,19:00,20:00,747
4012016,20:00,21:00,853
4012016,21:00,22:00,806
4012016,22:00,23:00,590
4012016,23:00,00:00,369
5012016,00:00,01:00,229
5012016,01:00,02:00,224
5012016,02:00,03:00,190
5012016,03:00,04:00,182
5012016,04:00,05:00,184
5012016,05:00,06:00,263
5012016,06:00,07:00,450
5012016,07:00,08:00,782
5012016,08:00,09:00,864
5012016,09:00,10:00,858
5012016,10:00,11:00,856
5012016,11:00,12:00,861
5012016,12:00,13:00,861
5012016,13:00,14:00,862
5012016,14:00,15:00,852
5012016,15:00,16:00,854
5012016,16:00,17:00,856
5012016,17:00,18:00,861
5012016,18:00,19:00,855
5012016,19:00,20:00,858
5012016,20:00,21:00,799
5012016,21:00,22:00,639
5012016,22:00,23:00,508
5012016,23:00,00:00,356
6012016,00:00,01:00,55
6012016,01:00,02:00,0
6012016,02:00,03:00,0
6012016,03:00,04:00,0
6012016,04:00,05:00,0
6012016,05:00,06:00,0
6012016,06:00,07:00,0
6012016,07:00,08:00,0
6012016,08:00,09:00,0
6012016,09:00,10:00,0
6012016,10:00,11:00,0
6012016,11:00,12:00,0
6012016,12:00,13:00,0
6012016,13:00,14:00,0
6012016,14:00,15:00,0
6012016,15:00,16:00,0
6012016,16:00,17:00,0
6012016,17:00,18:00,0
6012016,18:00,19:00,0
6012016,19:00,20:00,0
6012016,20:00,21:00,0
6012016,21:00,22:00,0
6012016,22:00,23:00,0
6012016,23:00,00:00,0
7012016,00:00,01:00,0
7012016,01:00,02:00,0
7012016,02:00,03:00,0
7012016,03:00,04:00,0
7012016,04:00,05:00,0
7012016,05:00,06:00,0
7012016,06:00,07:00,0
7012016,07:00,08:00,0
7012016,08:00,09:00,0
7012016,09:00,10:00,0
7012016,10:00,11:00,0
7012016,11:00,12:00,0
7012016,12:00,13:00,0
7012016,13:00,14:00,0
7012016,14:00,15:00,0
7012016,15:00,16:00,0
7012016,16:00,17:00,0
7012016,17:00,18:00,0
7012016,18:00,19:00,0
7012016,19:00,20:00,0
7012016,20:00,21:00,0
7012016,21:00,22:00,0
7012016,22:00,23:00,0
7012016,23:00,00:00,0
8012016,00:00,01:00,0
8012016,01:00,02:00,0
8012016,02:00,03:00,0
8012016,03:00,04:00,0
8012016,04:00,05:00,0
8012016,05:00,06:00,0
8012016,06:00,07:00,0
8012016,07:00,08:00,0
8012016,08:00,09:00,0
8012016,09:00,10:00,0
8012016,10:00,11:00,0
8012016,11:00,12:00,0
8012016,12:00,13:00,0
8012016,13:00,14:00,64
8012016,14:00,15:00,169
8012016,15:00,16:00,346
8012016,16:00,17:00,414
8012016,17:00,18:00,684
8012016,18:00,19:00,837
8012016,19:00,20:00,862
8012016,20:00,21:00,840
8012016,21:00,22:00,834
8012016,22:00,23:00,868
8012016,23:00,00:00,747
9012016,00:00,01:00,409
9012016,01:00,02:00,370
9012016,02:00,03:00,246
9012016,03:00,04:00,192
9012016,04:00,05:00,192
9012016,05:00,06:00,191
9012016,06:00,07:00,243
9012016,07:00,08:00,451
9012016,08:00,09:00,717
9012016,09:00,10:00,671
9012016,10:00,11:00,850
9012016,11:00,12:00,862
9012016,12:00,13:00,862
9012016,13:00,14:00,772
9012016,14:00,15:00,721
9012016,15:00,16:00,716
9012016,16:00,17:00,833
9012016,17:00,18:00,862
9012016,18:00,19:00,866
9012016,19:00,20:00,765
9012016,20:00,21:00,343
9012016,21:00,22:00,0
9012016,22:00,23:00,0
9012016,23:00,00:00,0
10012016,00:00,01:00,0
10012016,01:00,02:00,0
10012016,02:00,03:00,0
10012016,03:00,04:00,0
10012016,04:00,05:00,0
10012016,05:00,06:00,0
10012016,06:00,07:00,0
10012016,07:00,08:00,0
10012016,08:00,09:00,0
10012016,09:00,10:00,0
10012016,10:00,11:00,0
10012016,11:00,12:00,0
10012016,12:00,13:00,0
10012016,13:00,14:00,0
10012016,14:00,15:00,0
10012016,15:00,16:00,0
10012016,16:00,17:00,0
10012016,17:00,18:00,0
10012016,18:00,19:00,0
10012016,19:00,20:00,0
10012016,20:00,21:00,0
10012016,21:00,22:00,0
10012016,22:00,23:00,0
10012016,23:00,00:00,0
11012016,00:00,01:00,0
11012016,01:00,02:00,0
11012016,02:00,03:00,0
11012016,03:00,04:00,0
11012016,04:00,05:00,117
11012016,05:00,06:00,348
11012016,06:00,07:00,655
11012016,07:00,08:00,817
11012016,08:00,09:00,857
11012016,09:00,10:00,857
11012016,10:00,11:00,859
11012016,11:00,12:00,860
11012016,12:00,13:00,860
11012016,13:00,14:00,860
11012016,14:00,15:00,864
11012016,15:00,16:00,860
11012016,16:00,17:00,863
11012016,17:00,18:00,862
11012016,18:00,19:00,857
11012016,19:00,20:00,816
11012016,20:00,21:00,788
11012016,21:00,22:00,734
11012016,22:00,23:00,745
11012016,23:00,00:00,687
12012016,00:00,01:00,522
12012016,01:00,02:00,260
12012016,02:00,03:00,187
12012016,03:00,04:00,184
12012016,04:00,05:00,184
12012016,05:00,06:00,243
12012016,06:00,07:00,659
12012016,07:00,08:00,861
12012016,08:00,09:00,860
12012016,09:00,10:00,861
12012016,10:00,11:00,864
12012016,11:00,12:00,867
12012016,12:00,13:00,830
12012016,13:00,14:00,760
12012016,14:00,15:00,587
12012016,15:00,16:00,685
12012016,16:00,17:00,736
12012016,17:00,18:00,860
12012016,18:00,19:00,823
12012016,19:00,20:00,708
12012016,20:00,21:00,433
12012016,21:00,22:00,154
12012016,22:00,23:00,0
12012016,23:00,00:00,0
13012016,00:00,01:00,0
13012016,01:00,02:00,0
13012016,02:00,03:00,0
13012016,03:00,04:00,0
13012016,04:00,05:00,0
13012016,05:00,06:00,0
13012016,06:00,07:00,143
13012016,07:00,08:00,396
13012016,08:00,09:00,756
13012016,09:00,10:00,852
13012016,10:00,11:00,864
13012016,11:00,12:00,862
13012016,12:00,13:00,865
13012016,13:00,14:00,857
13012016,14:00,15:00,853
13012016,15:00,16:00,869
13012016,16:00,17:00,868
13012016,17:00,18:00,867
13012016,18:00,19:00,865
13012016,19:00,20:00,849
13012016,20:00,21:00,841
13012016,21:00,22:00,767
13012016,22:00,23:00,451
13012016,23:00,00:00,245
14012016,00:00,01:00,194
14012016,01:00,02:00,193
14012016,02:00,03:00,219
14012016,03:00,04:00,250
14012016,04:00,05:00,223
14012016,05:00,06:00,310
14012016,06:00,07:00,648
14012016,07:00,08:00,835
14012016,08:00,09:00,870
14012016,09:00,10:00,830
14012016,10:00,11:00,754
14012016,11:00,12:00,609
14012016,12:00,13:00,548
14012016,13:00,14:00,747
14012016,14:00,15:00,848
14012016,15:00,16:00,868
14012016,16:00,17:00,867
14012016,17:00,18:00,863
14012016,18:00,19:00,859
14012016,19:00,20:00,866
14012016,20:00,21:00,868
14012016,21:00,22:00,866
14012016,22:00,23:00,702
14012016,23:00,00:00,386
15012016,00:00,01:00,226
15012016,01:00,02:00,201
15012016,02:00,03:00,195
15012016,03:00,04:00,195
15012016,04:00,05:00,195
15012016,05:00,06:00,255
15012016,06:00,07:00,542
15012016,07:00,08:00,848
15012016,08:00,09:00,865
15012016,09:00,10:00,864
15012016,10:00,11:00,870
15012016,11:00,12:00,867
15012016,12:00,13:00,862
15012016,13:00,14:00,869
15012016,14:00,15:00,870
15012016,15:00,16:00,866
15012016,16:00,17:00,865
15012016,17:00,18:00,865
15012016,18:00,19:00,866
15012016,19:00,20:00,866
15012016,20:00,21:00,861
15012016,21:00,22:00,804
15012016,22:00,23:00,596
15012016,23:00,00:00,364
16012016,00:00,01:00,211
16012016,01:00,02:00,195
16012016,02:00,03:00,192
16012016,03:00,04:00,187
16012016,04:00,05:00,188
16012016,05:00,06:00,223
16012016,06:00,07:00,230
16012016,07:00,08:00,377
16012016,08:00,09:00,607
16012016,09:00,10:00,829
16012016,10:00,11:00,854
16012016,11:00,12:00,854
16012016,12:00,13:00,800
16012016,13:00,14:00,699
16012016,14:00,15:00,565
16012016,15:00,16:00,689
16012016,16:00,17:00,797
16012016,17:00,18:00,825
16012016,18:00,19:00,807
16012016,19:00,20:00,500
16012016,20:00,21:00,2
16012016,21:00,22:00,0
16012016,22:00,23:00,0
16012016,23:00,00:00,0
17012016,00:00,01:00,0
17012016,01:00,02:00,0
17012016,02:00,03:00,0
17012016,03:00,04:00,0
17012016,04:00,05:00,0
17012016,05:00,06:00,0
17012016,06:00,07:00,0
17012016,07:00,08:00,0
17012016,08:00,09:00,0
17012016,09:00,10:00,0
17012016,10:00,11:00,0
17012016,11:00,12:00,0
17012016,12:00,13:00,188
17012016,13:00,14:00,393
17012016,14:00,15:00,399
17012016,15:00,16:00,407
17012016,16:00,17:00,501
17012016,17:00,18:00,666
17012016,18:00,19:00,856
17012016,19:00,20:00,862
17012016,20:00,21:00,807
17012016,21:00,22:00,667
17012016,22:00,23:00,622
17012016,23:00,00:00,502
18012016,00:00,01:00,257
18012016,01:00,02:00,252
18012016,02:00,03:00,216
18012016,03:00,04:00,254
18012016,04:00,05:00,297
18012016,05:00,06:00,416
18012016,06:00,07:00,746
18012016,07:00,08:00,865
18012016,08:00,09:00,867
18012016,09:00,10:00,864
18012016,10:00,11:00,862
18012016,11:00,12:00,867
18012016,12:00,13:00,866
18012016,13:00,14:00,861
18012016,14:00,15:00,861
18012016,15:00,16:00,863
18012016,16:00,17:00,863
18012016,17:00,18:00,865
18012016,18:00,19:00,867
18012016,19:00,20:00,865
18012016,20:00,21:00,865
18012016,21:00,22:00,848
18012016,22:00,23:00,718
18012016,23:00,00:00,571
19012016,00:00,01:00,821
19012016,01:00,02:00,843
19012016,02:00,03:00,753
19012016,03:00,04:00,863
19012016,04:00,05:00,866
19012016,05:00,06:00,655
19012016,06:00,07:00,740
19012016,07:00,08:00,861
19012016,08:00,09:00,857
19012016,09:00,10:00,862
19012016,10:00,11:00,859
19012016,11:00,12:00,863
19012016,12:00,13:00,861
19012016,13:00,14:00,866
19012016,14:00,15:00,869
19012016,15:00,16:00,867
19012016,16:00,17:00,866
19012016,17:00,18:00,863
19012016,18:00,19:00,865
19012016,19:00,20:00,865
19012016,20:00,21:00,865
19012016,21:00,22:00,818
19012016,22:00,23:00,850
19012016,23:00,00:00,827
20012016,00:00,01:00,824
