Timestamp,11WD7NEUR2B--A-T,11WD7NEUR1B--B-X,11WD7NEUR1B--C-U,11WD7NEUR1B--D-R,11WD7NEUR1B--E-O,11WD7NEUR1B--F-L,11WD7NEUR1B--G-I
2022-01-01 00:00:00,181.0,,,0.0,0.0,478.0,0.0
2022-01-01 01:00:00,181.0,,,0.0,0.0,471.0,0.0
2022-01-01 02:00:00,181.0,,,0.0,0.0,472.0,0.0
2022-01-01 03:00:00,182.0,,,0.0,0.0,474.0,0.0
2022-01-01 04:00:00,181.0,,,0.0,0.0,473.0,0.0
2022-01-01 05:00:00,181.0,,,0.0,0.0,474.0,0.0
2022-01-01 06:00:00,180.0,,,0.0,0.0,471.0,0.0
2022-01-01 07:00:00,180.0,,,0.0,0.0,471.0,0.0
2022-01-01 08:00:00,180.0,,,0.0,0.0,471.0,0.0
2022-01-01 09:00:00,180.0,,,0.0,0.0,469.0,0.0
2022-01-01 10:00:00,180.0,,,0.0,0.0,470.0,0.0
2022-01-01 11:00:00,181.0,,,0.0,0.0,473.0,0.0
2022-01-01 12:00:00,180.0,,,0.0,0.0,469.0,0.0
2022-01-01 13:00:00,180.0,,,0.0,0.0,466.0,0.0
2022-01-01 14:00:00,180.0,,,0.0,0.0,501.0,0.0
2022-01-01 15:00:00,182.0,,,0.0,0.0,764.0,0.0
2022-01-01 16:00:00,182.0,,,0.0,0.0,1021.0,0.0
2022-01-01 17:00:00,221.0,,,0.0,0.0,1029.0,0.0
2022-01-01 18:00:00,287.0,,,0.0,0.0,1029.0,0.0
2022-01-01 19:00:00,240.0,,,0.0,0.0,1016.0,0.0
2022-01-01 20:00:00,182.0,,,0.0,0.0,766.0,0.0
2022-01-01 21:00:00,182.0,,,0.0,0.0,475.0,0.0
2022-01-01 22:00:00,182.0,,,0.0,0.0,478.0,0.0
2022-01-01 23:00:00,182.0,,,0.0,0.0,477.0,0.0
2022-01-02 00:00:00,181.0,,,0.0,0.0,475.0,0.0
2022-01-02 01:00:00,181.0,,,0.0,0.0,472.0,0.0
2022-01-02 02:00:00,182.0,,,0.0,0.0,473.0,0.0
2022-01-02 03:00:00,182.0,,,0.0,0.0,477.0,0.0
2022-01-02 04:00:00,182.0,,,0.0,0.0,478.0,0.0
2022-01-02 05:00:00,182.0,,,0.0,0.0,473.0,0.0
2022-01-02 06:00:00,181.0,,,0.0,0.0,473.0,0.0
2022-01-02 07:00:00,180.0,,,0.0,0.0,472.0,0.0
2022-01-02 08:00:00,181.0,,,0.0,0.0,472.0,0.0
2022-01-02 09:00:00,180.0,,,0.0,0.0,469.0,0.0
2022-01-02 10:00:00,179.0,,,0.0,0.0,471.0,0.0
