date,start,end,11WD8LIPD1L---R6,11WD8LIPD1L---S4
1012021,00:00,01:00,869.0,858.0
1012021,01:00,02:00,871.0,854.0
1012021,02:00,03:00,865.0,855.0
1012021,03:00,04:00,869.0,857.0
1012021,04:00,05:00,865.0,861.0
1012021,05:00,06:00,869.0,859.0
1012021,06:00,07:00,870.0,859.0
1012021,07:00,08:00,868.0,858.0
1012021,08:00,09:00,850.0,859.0
1012021,09:00,10:00,851.0,859.0
1012021,10:00,11:00,854.0,857.0
1012021,11:00,12:00,868.0,860.0
1012021,12:00,13:00,866.0,859.0
1012021,13:00,14:00,865.0,857.0
1012021,14:00,15:00,867.0,857.0
1012021,15:00,16:00,871.0,860.0
1012021,16:00,17:00,870.0,859.0
1012021,17:00,18:00,870.0,859.0
1012021,18:00,19:00,870.0,859.0
1012021,19:00,20:00,866.0,858.0
1012021,20:00,21:00,869.0,854.0
1012021,21:00,22:00,867.0,856.0
1012021,22:00,23:00,862.0,858.0
1012021,23:00,00:00,869.0,857.0
2012021,00:00,01:00,854.0,857.0
2012021,01:00,02:00,849.0,858.0
2012021,02:00,03:00,847.0,857.0
2012021,03:00,04:00,689.0,862.0
2012021,04:00,05:00,847.0,864.0
2012021,05:00,06:00,857.0,863.0
2012021,06:00,07:00,847.0,862.0
2012021,07:00,08:00,841.0,865.0
2012021,08:00,09:00,849.0,864.0
2012021,09:00,10:00,852.0,863.0
2012021,10:00,11:00,853.0,864.0
2012021,11:00,12:00,853.0,863.0
2012021,12:00,13:00,854.0,863.0
2012021,13:00,14:00,858.0,865.0
2012021,14:00,15:00,858.0,865.0
2012021,15:00,16:00,860.0,864.0
2012021,16:00,17:00,859.0,864.0
2012021,17:00,18:00,858.0,861.0
2012021,18:00,19:00,856.0,863.0
2012021,19:00,20:00,857.0,865.0
2012021,20:00,21:00,855.0,863.0
2012021,21:00,22:00,860.0,864.0
2012021,22:00,23:00,855.0,864.0
2012021,23:00,00:00,842.0,865.0
3012021,00:00,01:00,858.0,865.0
3012021,01:00,02:00,849.0,861.0
3012021,02:00,03:00,812.0,818.0
3012021,03:00,04:00,645.0,685.0
3012021,04:00,05:00,376.0,437.0
3012021,05:00,06:00,290.0,433.0
3012021,06:00,07:00,311.0,434.0
3012021,07:00,08:00,463.0,441.0
3012021,08:00,09:00,651.0,638.0
3012021,09:00,10:00,705.0,708.0
3012021,10:00,11:00,771.0,777.0
3012021,11:00,12:00,854.0,860.0
3012021,12:00,13:00,824.0,830.0
3012021,13:00,14:00,828.0,828.0
3012021,14:00,15:00,853.0,863.0
3012021,15:00,16:00,853.0,865.0
3012021,16:00,17:00,854.0,863.0
3012021,17:00,18:00,840.0,860.0
3012021,18:00,19:00,768.0,769.0
3012021,19:00,20:00,768.0,767.0
3012021,20:00,21:00,697.0,706.0
3012021,21:00,22:00,739.0,704.0
3012021,22:00,23:00,687.0,688.0
3012021,23:00,00:00,630.0,620.0
4012021,00:00,01:00,563.0,460.0
4012021,01:00,02:00,701.0,682.0
4012021,02:00,03:00,824.0,830.0
4012021,03:00,04:00,815.0,809.0
4012021,04:00,05:00,736.0,737.0
4012021,05:00,06:00,588.0,580.0
4012021,06:00,07:00,454.0,429.0
4012021,07:00,08:00,371.0,429.0
4012021,08:00,09:00,293.0,445.0
4012021,09:00,10:00,436.0,621.0
4012021,10:00,11:00,588.0,854.0
4012021,11:00,12:00,856.0,859.0
4012021,12:00,13:00,108.0,844.0
4012021,13:00,14:00,0.0,838.0
4012021,14:00,15:00,0.0,838.0
4012021,15:00,16:00,348.0,847.0
4012021,16:00,17:00,562.0,858.0
4012021,17:00,18:00,710.0,860.0
4012021,18:00,19:00,852.0,859.0
4012021,19:00,20:00,858.0,863.0
4012021,20:00,21:00,841.0,855.0
4012021,21:00,22:00,839.0,838.0
4012021,22:00,23:00,857.0,852.0
4012021,23:00,00:00,808.0,805.0
5012021,00:00,01:00,734.0,739.0
5012021,01:00,02:00,825.0,822.0
5012021,02:00,03:00,868.0,864.0
5012021,03:00,04:00,869.0,866.0
5012021,04:00,05:00,811.0,814.0
5012021,05:00,06:00,835.0,837.0
5012021,06:00,07:00,862.0,864.0
5012021,07:00,08:00,865.0,866.0
5012021,08:00,09:00,870.0,864.0
5012021,09:00,10:00,870.0,863.0
5012021,10:00,11:00,866.0,862.0
5012021,11:00,12:00,871.0,861.0
5012021,12:00,13:00,866.0,859.0
5012021,13:00,14:00,870.0,863.0
5012021,14:00,15:00,870.0,863.0
5012021,15:00,16:00,869.0,864.0
5012021,16:00,17:00,839.0,838.0
5012021,17:00,18:00,862.0,861.0
5012021,18:00,19:00,867.0,864.0
5012021,19:00,20:00,855.0,850.0
5012021,20:00,21:00,864.0,860.0
5012021,21:00,22:00,870.0,864.0
5012021,22:00,23:00,868.0,864.0
5012021,23:00,00:00,869.0,866.0
6012021,00:00,01:00,831.0,863.0
6012021,01:00,02:00,601.0,861.0
6012021,02:00,03:00,615.0,846.0
6012021,03:00,04:00,821.0,614.0
6012021,04:00,05:00,870.0,839.0
6012021,05:00,06:00,869.0,855.0
6012021,06:00,07:00,867.0,854.0
6012021,07:00,08:00,866.0,858.0
6012021,08:00,09:00,866.0,857.0
6012021,09:00,10:00,871.0,856.0
6012021,10:00,11:00,866.0,855.0
6012021,11:00,12:00,871.0,857.0
6012021,12:00,13:00,866.0,857.0
6012021,13:00,14:00,865.0,855.0
6012021,14:00,15:00,868.0,855.0
6012021,15:00,16:00,869.0,855.0
6012021,16:00,17:00,870.0,854.0
6012021,17:00,18:00,863.0,853.0
6012021,18:00,19:00,869.0,856.0
6012021,19:00,20:00,864.0,857.0
6012021,20:00,21:00,868.0,857.0
6012021,21:00,22:00,866.0,856.0
6012021,22:00,23:00,869.0,854.0
6012021,23:00,00:00,866.0,860.0
7012021,00:00,01:00,848.0,859.0
7012021,01:00,02:00,608.0,846.0
7012021,02:00,03:00,607.0,832.0
7012021,03:00,04:00,824.0,639.0
7012021,04:00,05:00,868.0,856.0
7012021,05:00,06:00,867.0,857.0
7012021,06:00,07:00,868.0,857.0
7012021,07:00,08:00,865.0,856.0
7012021,08:00,09:00,868.0,853.0
7012021,09:00,10:00,866.0,858.0
7012021,10:00,11:00,866.0,855.0
7012021,11:00,12:00,868.0,857.0
7012021,12:00,13:00,866.0,856.0
7012021,13:00,14:00,867.0,855.0
7012021,14:00,15:00,868.0,856.0
7012021,15:00,16:00,870.0,854.0
7012021,16:00,17:00,867.0,857.0
7012021,17:00,18:00,865.0,854.0
7012021,18:00,19:00,874.0,854.0
7012021,19:00,20:00,868.0,856.0
7012021,20:00,21:00,865.0,857.0
7012021,21:00,22:00,871.0,859.0
7012021,22:00,23:00,870.0,856.0
7012021,23:00,00:00,869.0,860.0
8012021,00:00,01:00,840.0,860.0
8012021,01:00,02:00,598.0,845.0
8012021,02:00,03:00,631.0,798.0
8012021,03:00,04:00,833.0,587.0
8012021,04:00,05:00,842.0,625.0
8012021,05:00,06:00,859.0,856.0
8012021,06:00,07:00,853.0,857.0
8012021,07:00,08:00,856.0,858.0
8012021,08:00,09:00,868.0,858.0
8012021,09:00,10:00,870.0,855.0
8012021,10:00,11:00,867.0,857.0
8012021,11:00,12:00,865.0,857.0
8012021,12:00,13:00,870.0,856.0
8012021,13:00,14:00,868.0,855.0
8012021,14:00,15:00,870.0,856.0
8012021,15:00,16:00,867.0,853.0
8012021,16:00,17:00,869.0,853.0
8012021,17:00,18:00,870.0,855.0
8012021,18:00,19:00,866.0,854.0
8012021,19:00,20:00,867.0,857.0
8012021,20:00,21:00,866.0,855.0
8012021,21:00,22:00,867.0,855.0
8012021,22:00,23:00,869.0,858.0
8012021,23:00,00:00,868.0,858.0
9012021,00:00,01:00,864.0,858.0
9012021,01:00,02:00,603.0,853.0
9012021,02:00,03:00,597.0,832.0
9012021,03:00,04:00,832.0,595.0
9012021,04:00,05:00,856.0,629.0
9012021,05:00,06:00,869.0,853.0
9012021,06:00,07:00,868.0,858.0
9012021,07:00,08:00,862.0,858.0
9012021,08:00,09:00,869.0,856.0
9012021,09:00,10:00,863.0,858.0
9012021,10:00,11:00,868.0,857.0
9012021,11:00,12:00,865.0,856.0
9012021,12:00,13:00,868.0,856.0
9012021,13:00,14:00,868.0,857.0
9012021,14:00,15:00,866.0,852.0
9012021,15:00,16:00,867.0,853.0
9012021,16:00,17:00,867.0,856.0
9012021,17:00,18:00,865.0,856.0
9012021,18:00,19:00,868.0,855.0
9012021,19:00,20:00,866.0,856.0
9012021,20:00,21:00,871.0,855.0
9012021,21:00,22:00,866.0,856.0
9012021,22:00,23:00,869.0,857.0
9012021,23:00,00:00,870.0,860.0
10012021,00:00,01:00,854.0,860.0
10012021,01:00,02:00,601.0,855.0
10012021,02:00,03:00,595.0,809.0
10012021,03:00,04:00,834.0,589.0
10012021,04:00,05:00,856.0,604.0
10012021,05:00,06:00,871.0,793.0
10012021,06:00,07:00,871.0,859.0
10012021,07:00,08:00,867.0,854.0
10012021,08:00,09:00,868.0,857.0
10012021,09:00,10:00,869.0,858.0
10012021,10:00,11:00,872.0,858.0
10012021,11:00,12:00,871.0,860.0
10012021,12:00,13:00,864.0,858.0
10012021,13:00,14:00,856.0,859.0
10012021,14:00,15:00,863.0,857.0
10012021,15:00,16:00,869.0,857.0
10012021,16:00,17:00,868.0,855.0
10012021,17:00,18:00,869.0,854.0
10012021,18:00,19:00,870.0,857.0
10012021,19:00,20:00,869.0,857.0
10012021,20:00,21:00,869.0,854.0
10012021,21:00,22:00,871.0,857.0
10012021,22:00,23:00,871.0,855.0
10012021,23:00,00:00,854.0,851.0
11012021,00:00,01:00,851.0,858.0
11012021,01:00,02:00,584.0,861.0
11012021,02:00,03:00,587.0,797.0
11012021,03:00,04:00,829.0,589.0
11012021,04:00,05:00,828.0,614.0
11012021,05:00,06:00,850.0,843.0
11012021,06:00,07:00,864.0,855.0
11012021,07:00,08:00,868.0,855.0
11012021,08:00,09:00,813.0,815.0
11012021,09:00,10:00,774.0,774.0
11012021,10:00,11:00,775.0,762.0
11012021,11:00,12:00,762.0,760.0
11012021,12:00,13:00,783.0,788.0
11012021,13:00,14:00,853.0,855.0
11012021,14:00,15:00,860.0,857.0
11012021,15:00,16:00,849.0,848.0
11012021,16:00,17:00,675.0,684.0
11012021,17:00,18:00,574.0,545.0
11012021,18:00,19:00,552.0,516.0
11012021,19:00,20:00,594.0,591.0
11012021,20:00,21:00,613.0,622.0
11012021,21:00,22:00,562.0,560.0
11012021,22:00,23:00,473.0,469.0
11012021,23:00,00:00,474.0,470.0
12012021,00:00,01:00,437.0,434.0
12012021,01:00,02:00,437.0,433.0
12012021,02:00,03:00,437.0,433.0
12012021,03:00,04:00,437.0,432.0
12012021,04:00,05:00,435.0,432.0
12012021,05:00,06:00,566.0,539.0
12012021,06:00,07:00,669.0,666.0
12012021,07:00,08:00,562.0,534.0
12012021,08:00,09:00,552.0,554.0
12012021,09:00,10:00,534.0,542.0
12012021,10:00,11:00,577.0,570.0
12012021,11:00,12:00,553.0,538.0
12012021,12:00,13:00,548.0,547.0
12012021,13:00,14:00,624.0,628.0
12012021,14:00,15:00,688.0,686.0
12012021,15:00,16:00,786.0,782.0
12012021,16:00,17:00,851.0,848.0
12012021,17:00,18:00,752.0,760.0
12012021,18:00,19:00,579.0,590.0
12012021,19:00,20:00,559.0,548.0
12012021,20:00,21:00,560.0,454.0
12012021,21:00,22:00,562.0,454.0
12012021,22:00,23:00,550.0,493.0
12012021,23:00,00:00,576.0,571.0
13012021,00:00,01:00,560.0,554.0
13012021,01:00,02:00,496.0,492.0
13012021,02:00,03:00,519.0,520.0
13012021,03:00,04:00,649.0,645.0
13012021,04:00,05:00,697.0,696.0
13012021,05:00,06:00,676.0,675.0
13012021,06:00,07:00,648.0,647.0
13012021,07:00,08:00,609.0,601.0
13012021,08:00,09:00,674.0,666.0
13012021,09:00,10:00,636.0,635.0
13012021,10:00,11:00,607.0,622.0
13012021,11:00,12:00,551.0,559.0
13012021,12:00,13:00,540.0,537.0
13012021,13:00,14:00,514.0,536.0
13012021,14:00,15:00,518.0,522.0
13012021,15:00,16:00,507.0,524.0
13012021,16:00,17:00,520.0,534.0
13012021,17:00,18:00,520.0,526.0
