date,start,end,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
7012021,14:00,15:00,566.0,837.0
7012021,15:00,16:00,554.0,838.0
7012021,16:00,17:00,552.0,833.0
7012021,17:00,18:00,553.0,840.0
7012021,18:00,19:00,557.0,837.0
7012021,19:00,20:00,570.0,838.0
7012021,20:00,21:00,564.0,839.0
7012021,21:00,22:00,570.0,838.0
7012021,22:00,23:00,561.0,834.0
7012021,23:00,00:00,557.0,833.0
8012021,00:00,01:00,555.0,834.0
8012021,01:00,02:00,561.0,835.0
8012021,02:00,03:00,560.0,834.0
8012021,03:00,04:00,545.0,830.0
8012021,04:00,05:00,551.0,831.0
8012021,05:00,06:00,577.0,834.0
8012021,06:00,07:00,572.0,822.0
8012021,07:00,08:00,570.0,821.0
8012021,08:00,09:00,585.0,837.0
8012021,09:00,10:00,584.0,836.0
8012021,10:00,11:00,580.0,836.0
8012021,11:00,12:00,584.0,834.0
8012021,12:00,13:00,580.0,833.0
8012021,13:00,14:00,578.0,834.0
8012021,14:00,15:00,573.0,836.0
8012021,15:00,16:00,570.0,833.0
8012021,16:00,17:00,565.0,833.0
8012021,17:00,18:00,562.0,833.0
8012021,18:00,19:00,557.0,834.0
8012021,19:00,20:00,556.0,837.0
8012021,20:00,21:00,565.0,839.0
8012021,21:00,22:00,570.0,836.0
8012021,22:00,23:00,568.0,774.0
8012021,23:00,00:00,540.0,688.0
9012021,00:00,01:00,448.0,734.0
9012021,01:00,02:00,437.0,707.0
9012021,02:00,03:00,436.0,692.0
9012021,03:00,04:00,430.0,692.0
9012021,04:00,05:00,437.0,694.0
9012021,05:00,06:00,412.0,693.0
9012021,06:00,07:00,476.0,695.0
9012021,07:00,08:00,545.0,780.0
9012021,08:00,09:00,584.0,836.0
9012021,09:00,10:00,582.0,835.0
9012021,10:00,11:00,587.0,836.0
9012021,11:00,12:00,586.0,836.0
9012021,12:00,13:00,587.0,834.0
9012021,13:00,14:00,589.0,834.0
9012021,14:00,15:00,596.0,837.0
9012021,15:00,16:00,598.0,835.0
9012021,16:00,17:00,595.0,834.0
9012021,17:00,18:00,587.0,838.0
9012021,18:00,19:00,580.0,836.0
9012021,19:00,20:00,580.0,838.0
9012021,20:00,21:00,578.0,805.0
9012021,21:00,22:00,580.0,832.0
9012021,22:00,23:00,526.0,779.0
9012021,23:00,00:00,461.0,718.0
10012021,00:00,01:00,542.0,788.0
10012021,01:00,02:00,582.0,832.0
10012021,02:00,03:00,580.0,834.0
10012021,03:00,04:00,578.0,835.0
10012021,04:00,05:00,586.0,837.0
10012021,05:00,06:00,604.0,837.0
10012021,06:00,07:00,603.0,837.0
10012021,07:00,08:00,602.0,833.0
10012021,08:00,09:00,603.0,839.0
10012021,09:00,10:00,605.0,839.0
10012021,10:00,11:00,606.0,837.0
10012021,11:00,12:00,606.0,833.0
10012021,12:00,13:00,594.0,833.0
10012021,13:00,14:00,591.0,833.0
10012021,14:00,15:00,600.0,835.0
10012021,15:00,16:00,605.0,836.0
10012021,16:00,17:00,604.0,836.0
10012021,17:00,18:00,603.0,836.0
10012021,18:00,19:00,604.0,835.0
10012021,19:00,20:00,602.0,835.0
10012021,20:00,21:00,602.0,835.0
10012021,21:00,22:00,604.0,836.0
10012021,22:00,23:00,604.0,835.0
10012021,23:00,00:00,602.0,834.0
11012021,00:00,01:00,587.0,837.0
11012021,01:00,02:00,581.0,839.0
11012021,02:00,03:00,590.0,819.0
11012021,03:00,04:00,593.0,839.0
11012021,04:00,05:00,596.0,839.0
11012021,05:00,06:00,597.0,839.0
11012021,06:00,07:00,582.0,838.0
11012021,07:00,08:00,583.0,839.0
11012021,08:00,09:00,579.0,838.0
11012021,09:00,10:00,576.0,838.0
11012021,10:00,11:00,576.0,838.0
11012021,11:00,12:00,576.0,835.0
11012021,12:00,13:00,578.0,836.0
11012021,13:00,14:00,578.0,839.0
11012021,14:00,15:00,574.0,838.0
11012021,15:00,16:00,576.0,840.0
11012021,16:00,17:00,566.0,838.0
11012021,17:00,18:00,556.0,839.0
11012021,18:00,19:00,552.0,816.0
11012021,19:00,20:00,551.0,828.0
11012021,20:00,21:00,546.0,712.0
11012021,21:00,22:00,419.0,525.0
11012021,22:00,23:00,246.0,538.0
11012021,23:00,00:00,288.0,348.0
12012021,00:00,01:00,169.0,0.0
12012021,01:00,02:00,142.0,0.0
12012021,02:00,03:00,148.0,0.0
12012021,03:00,04:00,172.0,0.0
12012021,04:00,05:00,282.0,0.0
12012021,05:00,06:00,314.0,0.0
12012021,06:00,07:00,359.0,239.0
12012021,07:00,08:00,467.0,543.0
12012021,08:00,09:00,537.0,562.0
12012021,09:00,10:00,548.0,672.0
12012021,10:00,11:00,552.0,682.0
12012021,11:00,12:00,557.0,683.0
12012021,12:00,13:00,543.0,673.0
12012021,13:00,14:00,549.0,670.0
12012021,14:00,15:00,565.0,671.0
12012021,15:00,16:00,552.0,663.0
12012021,16:00,17:00,552.0,669.0
12012021,17:00,18:00,565.0,678.0
12012021,18:00,19:00,547.0,678.0
12012021,19:00,20:00,548.0,684.0
12012021,20:00,21:00,548.0,716.0
12012021,21:00,22:00,478.0,563.0
12012021,22:00,23:00,467.0,511.0
12012021,23:00,00:00,463.0,513.0
13012021,00:00,01:00,546.0,558.0
13012021,01:00,02:00,511.0,548.0
13012021,02:00,03:00,410.0,560.0
13012021,03:00,04:00,329.0,515.0
13012021,04:00,05:00,375.0,593.0
13012021,05:00,06:00,563.0,559.0
13012021,06:00,07:00,579.0,643.0
13012021,07:00,08:00,564.0,692.0
13012021,08:00,09:00,546.0,698.0
13012021,09:00,10:00,563.0,683.0
13012021,10:00,11:00,568.0,665.0
13012021,11:00,12:00,560.0,683.0
13012021,12:00,13:00,569.0,681.0
13012021,13:00,14:00,551.0,658.0
13012021,14:00,15:00,481.0,676.0
13012021,15:00,16:00,428.0,669.0
13012021,16:00,17:00,527.0,578.0
13012021,17:00,18:00,431.0,577.0
13012021,18:00,19:00,392.0,583.0
13012021,19:00,20:00,469.0,586.0
13012021,20:00,21:00,347.0,599.0
13012021,21:00,22:00,268.0,598.0
13012021,22:00,23:00,247.0,597.0
13012021,23:00,00:00,350.0,631.0
14012021,00:00,01:00,316.0,547.0
14012021,01:00,02:00,363.0,565.0
14012021,02:00,03:00,378.0,600.0
14012021,03:00,04:00,380.0,665.0
14012021,04:00,05:00,497.0,801.0
14012021,05:00,06:00,538.0,812.0
14012021,06:00,07:00,541.0,812.0
14012021,07:00,08:00,557.0,830.0
14012021,08:00,09:00,562.0,836.0
14012021,09:00,10:00,563.0,834.0
14012021,10:00,11:00,558.0,833.0
14012021,11:00,12:00,557.0,832.0
14012021,12:00,13:00,561.0,831.0
14012021,13:00,14:00,573.0,833.0
14012021,14:00,15:00,563.0,832.0
14012021,15:00,16:00,566.0,831.0
14012021,16:00,17:00,558.0,822.0
14012021,17:00,18:00,556.0,827.0
