Timestamp,11WD7NIED2B--D-E,11WD7NIED2B--C-H,11WD7NIED2B--E-B,11WD7NIED2B--F-8,11WD7NIED1B--G-C,11WD7NIED1B--H-9,11WD7NIED1B--K-0
2019-01-01 00:00:00,125,105,,,0,366,0
2019-01-01 01:00:00,128,92,,,0,320,0
2019-01-01 02:00:00,126,92,,,0,321,0
2019-01-01 03:00:00,127,92,,,0,321,0
2019-01-01 04:00:00,126,92,,,0,318,0
2019-01-01 05:00:00,126,92,,,0,321,0
2019-01-01 06:00:00,127,92,,,0,323,0
2019-01-01 07:00:00,127,92,,,0,320,0
2019-01-01 08:00:00,126,92,,,0,321,0
2019-01-01 09:00:00,127,92,,,0,320,0
2019-01-01 10:00:00,127,92,,,0,322,0
2019-01-01 11:00:00,127,92,,,0,321,0
2019-01-01 12:00:00,128,92,,,0,319,0
2019-01-01 13:00:00,127,92,,,0,320,0
2019-01-01 14:00:00,127,92,,,0,319,0
2019-01-01 15:00:00,128,92,,,0,325,0
2019-01-01 16:00:00,130,90,,,0,367,0
2019-01-01 17:00:00,128,91,,,0,385,0
2019-01-01 18:00:00,127,92,,,0,320,0
2019-01-01 19:00:00,127,92,,,0,323,0
2019-01-01 20:00:00,128,92,,,0,320,0
2019-01-01 21:00:00,127,93,,,0,320,0
2019-01-01 22:00:00,127,92,,,0,321,0
2019-01-01 23:00:00,127,92,,,0,319,0
2019-01-02 00:00:00,127,92,,,0,320,0
2019-01-02 01:00:00,128,92,,,0,320,0
2019-01-02 02:00:00,128,92,,,0,320,0
2019-01-02 03:00:00,127,92,,,0,320,0
2019-01-02 04:00:00,127,92,,,0,319,0
2019-01-02 05:00:00,127,92,,,0,318,0
2019-01-02 06:00:00,127,92,,,0,321,0
2019-01-02 07:00:00,127,92,,,0,323,0
2019-01-02 08:00:00,182,101,,,0,457,0
2019-01-02 09:00:00,225,126,,,0,643,0
2019-01-02 10:00:00,140,104,,,0,611,0
2019-01-02 11:00:00,127,87,,,0,394,0
2019-01-02 12:00:00,126,92,,,0,318,0
2019-01-02 13:00:00,126,92,,,251,321,0
2019-01-02 14:00:00,179,88,,,336,342,0
2019-01-02 15:00:00,261,86,,,471,581,0
2019-01-02 16:00:00,286,106,,,583,635,0
2019-01-02 17:00:00,284,137,,,626,642,0
2019-01-02 18:00:00,242,131,,,632,640,0
2019-01-02 19:00:00,185,139,,,629,642,0
2019-01-02 20:00:00,158,142,,,629,641,0
2019-01-02 21:00:00,125,139,,,628,638,0
2019-01-02 22:00:00,128,139,,,618,634,0
2019-01-02 23:00:00,127,139,,,619,638,0
2019-01-03 00:00:00,127,138,,,512,633,0
2019-01-03 01:00:00,127,138,,,568,638,0
2019-01-03 02:00:00,127,140,,,618,642,0
2019-01-03 03:00:00,127,141,,,612,641,0
2019-01-03 04:00:00,128,141,,,611,640,0
2019-01-03 05:00:00,191,141,,,613,641,0
2019-01-03 06:00:00,252,141,,,616,642,0
2019-01-03 07:00:00,264,141,,,615,638,0
2019-01-03 08:00:00,293,140,,,610,636,0
2019-01-03 09:00:00,290,140,,,616,641,0
2019-01-03 10:00:00,289,140,,,616,642,0
2019-01-03 11:00:00,280,143,,,614,637,0
2019-01-03 12:00:00,290,143,,,613,640,0
2019-01-03 13:00:00,290,142,,,615,637,0
2019-01-03 14:00:00,293,139,,,615,640,0
2019-01-03 15:00:00,291,136,,,617,639,0
2019-01-03 16:00:00,291,127,,,622,638,0
2019-01-03 17:00:00,291,128,,,623,633,0
2019-01-03 18:00:00,291,128,,,624,627,0
2019-01-03 19:00:00,289,128,,,623,628,0
2019-01-03 20:00:00,293,128,,,622,629,0
2019-01-03 21:00:00,291,128,,,627,634,0
2019-01-03 22:00:00,291,128,,,623,631,0
2019-01-03 23:00:00,290,128,,,617,640,0
2019-01-04 00:00:00,291,128,,,616,639,0
2019-01-04 01:00:00,290,128,,,614,636,0
2019-01-04 02:00:00,292,128,,,614,640,0
2019-01-04 03:00:00,265,137,,,572,643,0
2019-01-04 04:00:00,164,138,,,352,639,0
2019-01-04 05:00:00,228,138,,,321,640,0
2019-01-04 06:00:00,290,137,,,340,640,0
2019-01-04 07:00:00,293,138,,,531,642,0
2019-01-04 08:00:00,271,138,,,620,639,0
2019-01-04 09:00:00,289,138,,,617,639,0
2019-01-04 10:00:00,290,138,,,619,641,0
2019-01-04 11:00:00,283,138,,,619,641,0
2019-01-04 12:00:00,283,138,,,620,643,0
2019-01-04 13:00:00,237,138,,,619,639,0
2019-01-04 14:00:00,276,138,,,618,641,0
2019-01-04 15:00:00,283,138,,,619,641,0
2019-01-04 16:00:00,293,138,,,619,637,0
2019-01-04 17:00:00,294,138,,,616,639,0
2019-01-04 18:00:00,295,138,,,620,643,0
2019-01-04 19:00:00,293,138,,,620,644,0
2019-01-04 20:00:00,279,138,,,615,640,0
2019-01-04 21:00:00,161,113,,,474,630,0
2019-01-04 22:00:00,124,94,,,405,520,0
2019-01-04 23:00:00,126,94,,,321,306,0
2019-01-05 00:00:00,126,94,,,322,291,0
2019-01-05 01:00:00,126,94,,,325,279,0
2019-01-05 02:00:00,126,93,,,318,280,0
2019-01-05 03:00:00,127,93,,,326,279,0
2019-01-05 04:00:00,126,93,,,328,282,0
2019-01-05 05:00:00,129,94,,,321,282,0
2019-01-05 06:00:00,125,94,,,322,279,0
2019-01-05 07:00:00,127,94,,,322,282,0
2019-01-05 08:00:00,126,93,,,336,394,0
2019-01-05 09:00:00,149,120,,,471,634,0
2019-01-05 10:00:00,243,137,,,548,646,0
2019-01-05 11:00:00,290,138,,,545,640,0
2019-01-05 12:00:00,294,140,,,545,638,0
2019-01-05 13:00:00,293,139,,,547,641,0
2019-01-05 14:00:00,295,138,,,548,635,0
2019-01-05 15:00:00,293,138,,,548,641,0
2019-01-05 16:00:00,294,138,,,549,639,0
2019-01-05 17:00:00,293,138,,,549,644,0
2019-01-05 18:00:00,293,138,,,563,632,0
2019-01-05 19:00:00,282,138,,,623,647,0
2019-01-05 20:00:00,284,139,,,619,640,0
2019-01-05 21:00:00,212,138,,,622,643,0
2019-01-05 22:00:00,133,133,,,618,642,0
2019-01-05 23:00:00,128,123,,,505,632,0
2019-01-06 00:00:00,126,115,,,396,618,0
2019-01-06 01:00:00,126,95,,,533,641,0
2019-01-06 02:00:00,127,110,,,427,511,0
2019-01-06 03:00:00,127,120,,,350,442,0
2019-01-06 04:00:00,126,122,,,349,440,0
2019-01-06 05:00:00,126,121,,,350,441,0
2019-01-06 06:00:00,135,126,,,350,440,0
2019-01-06 07:00:00,218,138,,,350,436,0
2019-01-06 08:00:00,293,138,,,347,440,0
2019-01-06 09:00:00,293,138,,,348,440,0
2019-01-06 10:00:00,295,137,,,360,448,0
2019-01-06 11:00:00,293,138,,,488,624,0
2019-01-06 12:00:00,294,139,,,542,639,0
2019-01-06 13:00:00,294,139,,,546,637,0
2019-01-06 14:00:00,293,140,,,550,646,0
2019-01-06 15:00:00,292,140,,,549,640,0
2019-01-06 16:00:00,293,140,,,548,642,0
2019-01-06 17:00:00,293,139,,,547,638,0
