Timestamp,11WD7NEUR1B--G-I,11WD7NEUR1B--F-L,11WD7NEUR2B--A-T,11WD7NEUR1B--B-X,11WD7NEUR1B--C-U,11WD7NEUR1B--D-R,11WD7NEUR1B--E-O
2020-01-01 00:00:00,1055,1061,0,262,,0,0
2020-01-01 01:00:00,1055,1065,0,267,,0,0
2020-01-01 02:00:00,1056,1066,0,265,,0,0
2020-01-01 03:00:00,1054,1065,0,265,,0,0
2020-01-01 04:00:00,1058,1063,0,266,,0,0
2020-01-01 05:00:00,1051,1063,0,252,,0,0
2020-01-01 06:00:00,1051,1067,0,212,,0,0
2020-01-01 07:00:00,1056,1065,0,162,,0,0
2020-01-01 08:00:00,1056,1062,0,165,,0,0
2020-01-01 09:00:00,1060,1063,0,165,,0,0
2020-01-01 10:00:00,1056,1066,0,166,,0,0
2020-01-01 11:00:00,1051,1064,0,163,,0,0
2020-01-01 12:00:00,1054,1063,0,162,,0,0
2020-01-01 13:00:00,1049,1061,0,161,,0,0
2020-01-01 14:00:00,1050,1062,0,165,,0,0
2020-01-01 15:00:00,1047,1072,0,243,,0,0
2020-01-01 16:00:00,1048,1074,0,252,,0,0
2020-01-01 17:00:00,1046,1071,0,270,,0,0
2020-01-01 18:00:00,1048,1071,0,271,,0,0
2020-01-01 19:00:00,1051,1072,0,273,,0,0
2020-01-01 20:00:00,1049,1070,0,272,,0,0
2020-01-01 21:00:00,1049,1070,0,273,,0,0
2020-01-01 22:00:00,1049,1072,0,260,,0,0
2020-01-01 23:00:00,1052,1070,0,266,,0,0
2020-01-02 00:00:00,1053,1072,0,199,,0,0
2020-01-02 01:00:00,1054,1073,0,156,,0,0
2020-01-02 02:00:00,1053,1071,0,154,,0,0
2020-01-02 03:00:00,955,984,0,174,,0,0
2020-01-02 04:00:00,530,536,0,185,,0,0
2020-01-02 05:00:00,664,653,0,248,,0,0
2020-01-02 06:00:00,976,990,0,262,,0,0
2020-01-02 07:00:00,1053,1063,0,262,,0,0
2020-01-02 08:00:00,1053,1068,0,262,,0,0
2020-01-02 09:00:00,1055,1069,0,263,,0,0
2020-01-02 10:00:00,1051,1063,0,264,,0,0
2020-01-02 11:00:00,1051,1066,0,264,,0,0
2020-01-02 12:00:00,1054,1068,0,264,,0,0
2020-01-02 13:00:00,1050,1068,0,263,,0,0
2020-01-02 14:00:00,1049,1062,0,263,,0,0
2020-01-02 15:00:00,1047,1064,0,265,,0,0
2020-01-02 16:00:00,1052,1058,0,267,,0,0
2020-01-02 17:00:00,1058,1062,0,273,,0,0
2020-01-02 18:00:00,1058,1061,0,270,,0,0
2020-01-02 19:00:00,1053,1063,0,269,,0,0
2020-01-02 20:00:00,1058,1062,0,270,,0,0
2020-01-02 21:00:00,1058,1040,0,179,,0,0
2020-01-02 22:00:00,1053,1043,0,168,,0,0
2020-01-02 23:00:00,838,812,0,160,,0,0
2020-01-03 00:00:00,1036,852,0,158,,0,0
2020-01-03 01:00:00,830,751,0,158,,0,0
2020-01-03 02:00:00,496,485,0,157,,0,0
2020-01-03 03:00:00,486,492,0,157,,0,0
2020-01-03 04:00:00,493,487,0,157,,0,0
2020-01-03 05:00:00,491,487,0,158,,0,0
2020-01-03 06:00:00,497,493,0,157,,0,0
2020-01-03 07:00:00,870,870,0,157,,0,0
2020-01-03 08:00:00,978,978,0,157,,0,0
2020-01-03 09:00:00,1056,1055,0,158,,0,0
2020-01-03 10:00:00,1059,1057,0,159,,0,0
2020-01-03 11:00:00,1066,1059,0,159,,0,0
2020-01-03 12:00:00,1062,1061,0,159,,0,0
