date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
1012020,00:00,01:00,88,90,67
1012020,01:00,02:00,86,90,67
1012020,02:00,03:00,86,90,66
1012020,03:00,04:00,88,90,67
1012020,04:00,05:00,92,95,69
1012020,05:00,06:00,100,103,73
1012020,06:00,07:00,106,110,76
1012020,07:00,08:00,110,114,95
1012020,08:00,09:00,110,115,100
1012020,09:00,10:00,110,115,98
1012020,10:00,11:00,108,112,92
1012020,11:00,12:00,104,108,84
1012020,12:00,13:00,74,77,69
1012020,13:00,14:00,80,84,68
1012020,14:00,15:00,93,97,76
1012020,15:00,16:00,98,102,83
1012020,16:00,17:00,104,109,100
1012020,17:00,18:00,105,110,104
1012020,18:00,19:00,105,110,103
1012020,19:00,20:00,105,110,102
1012020,20:00,21:00,105,110,100
1012020,21:00,22:00,105,110,98
1012020,22:00,23:00,106,110,82
1012020,23:00,00:00,98,102,70
2012020,00:00,01:00,76,79,63
2012020,01:00,02:00,67,70,61
2012020,02:00,03:00,66,70,62
2012020,03:00,04:00,71,76,64
2012020,04:00,05:00,83,88,69
2012020,05:00,06:00,112,116,95
2012020,06:00,07:00,114,118,103
2012020,07:00,08:00,114,118,108
2012020,08:00,09:00,114,118,118
2012020,09:00,10:00,113,118,123
2012020,10:00,11:00,112,117,117
2012020,11:00,12:00,108,114,105
2012020,12:00,13:00,108,113,99
2012020,13:00,14:00,112,115,100
2012020,14:00,15:00,109,113,92
2012020,15:00,16:00,111,115,82
2012020,16:00,17:00,111,115,80
2012020,17:00,18:00,110,115,101
2012020,18:00,19:00,110,115,110
2012020,19:00,20:00,110,115,101
2012020,20:00,21:00,101,105,92
2012020,21:00,22:00,97,102,87
2012020,22:00,23:00,94,98,78
2012020,23:00,00:00,95,99,77
3012020,00:00,01:00,93,97,76
3012020,01:00,02:00,92,96,77
3012020,02:00,03:00,92,96,75
3012020,03:00,04:00,92,96,76
3012020,04:00,05:00,92,96,74
3012020,05:00,06:00,93,97,79
3012020,06:00,07:00,97,101,88
3012020,07:00,08:00,103,107,100
3012020,08:00,09:00,105,109,103
3012020,09:00,10:00,109,110,112
3012020,10:00,11:00,103,106,102
3012020,11:00,12:00,101,105,93
3012020,12:00,13:00,95,99,86
3012020,13:00,14:00,91,95,83
3012020,14:00,15:00,80,84,70
3012020,15:00,16:00,77,80,70
3012020,16:00,17:00,75,76,69
3012020,17:00,18:00,77,78,64
3012020,18:00,19:00,77,77,59
3012020,19:00,20:00,77,80,55
3012020,20:00,21:00,77,80,65
3012020,21:00,22:00,77,80,71
3012020,22:00,23:00,73,80,69
3012020,23:00,00:00,9,80,35
4012020,00:00,01:00,0,81,29
4012020,01:00,02:00,0,80,30
4012020,02:00,03:00,0,81,30
4012020,03:00,04:00,0,80,31
4012020,04:00,05:00,0,81,31
4012020,05:00,06:00,0,80,31
4012020,06:00,07:00,0,84,31
4012020,07:00,08:00,31,89,33
4012020,08:00,09:00,52,86,46
4012020,09:00,10:00,102,96,84
4012020,10:00,11:00,102,104,97
4012020,11:00,12:00,103,108,96
4012020,12:00,13:00,105,109,91
4012020,13:00,14:00,105,110,86
4012020,14:00,15:00,105,109,93
4012020,15:00,16:00,107,112,108
4012020,16:00,17:00,110,113,109
4012020,17:00,18:00,112,117,115
4012020,18:00,19:00,112,117,118
4012020,19:00,20:00,112,117,117
4012020,20:00,21:00,112,117,116
4012020,21:00,22:00,112,117,113
4012020,22:00,23:00,110,115,110
4012020,23:00,00:00,107,112,95
5012020,00:00,01:00,102,106,85
5012020,01:00,02:00,96,100,72
5012020,02:00,03:00,97,100,70
5012020,03:00,04:00,97,101,70
5012020,04:00,05:00,97,100,71
5012020,05:00,06:00,108,112,79
5012020,06:00,07:00,109,113,91
5012020,07:00,08:00,108,113,97
5012020,08:00,09:00,108,113,104
5012020,09:00,10:00,108,113,109
5012020,10:00,11:00,108,113,108
5012020,11:00,12:00,107,112,109
5012020,12:00,13:00,107,112,105
5012020,13:00,14:00,107,112,101
5012020,14:00,15:00,107,112,97
5012020,15:00,16:00,111,116,100
5012020,16:00,17:00,113,118,108
5012020,17:00,18:00,113,118,123
5012020,18:00,19:00,112,117,128
5012020,19:00,20:00,112,117,128
5012020,20:00,21:00,112,117,128
5012020,21:00,22:00,112,118,128
5012020,22:00,23:00,113,118,123
5012020,23:00,00:00,108,113,110
6012020,00:00,01:00,99,104,96
6012020,01:00,02:00,98,102,89
6012020,02:00,03:00,99,104,92
6012020,03:00,04:00,99,104,92
6012020,04:00,05:00,107,111,95
6012020,05:00,06:00,109,114,99
6012020,06:00,07:00,109,114,105
6012020,07:00,08:00,109,114,112
6012020,08:00,09:00,109,114,113
6012020,09:00,10:00,109,114,112
6012020,10:00,11:00,109,114,110
6012020,11:00,12:00,109,114,105
6012020,12:00,13:00,109,114,93
6012020,13:00,14:00,108,113,98
6012020,14:00,15:00,105,110,99
6012020,15:00,16:00,105,110,102
6012020,16:00,17:00,110,116,112
6012020,17:00,18:00,112,116,116
6012020,18:00,19:00,111,116,117
6012020,19:00,20:00,111,116,117
6012020,20:00,21:00,111,116,117
6012020,21:00,22:00,110,115,112
6012020,22:00,23:00,109,114,109
6012020,23:00,00:00,103,107,98
7012020,00:00,01:00,95,100,90
7012020,01:00,02:00,96,100,89
7012020,02:00,03:00,96,100,89
7012020,03:00,04:00,96,100,91
7012020,04:00,05:00,103,107,95
7012020,05:00,06:00,107,112,105
7012020,06:00,07:00,107,112,105
7012020,07:00,08:00,106,111,107
7012020,08:00,09:00,105,110,105
7012020,09:00,10:00,105,110,105
7012020,10:00,11:00,105,110,106
7012020,11:00,12:00,105,110,105
7012020,12:00,13:00,105,110,101
7012020,13:00,14:00,105,109,103
7012020,14:00,15:00,105,110,99
7012020,15:00,16:00,106,111,99
7012020,16:00,17:00,111,116,104
7012020,17:00,18:00,112,117,117
7012020,18:00,19:00,112,117,119
7012020,19:00,20:00,111,116,118
7012020,20:00,21:00,108,113,111
7012020,21:00,22:00,107,112,104
7012020,22:00,23:00,107,112,101
7012020,23:00,00:00,101,106,90
8012020,00:00,01:00,97,102,89
8012020,01:00,02:00,97,102,90
8012020,02:00,03:00,97,102,90
8012020,03:00,04:00,97,102,92
8012020,04:00,05:00,103,107,94
8012020,05:00,06:00,107,112,103
8012020,06:00,07:00,107,112,112
8012020,07:00,08:00,107,112,108
8012020,08:00,09:00,107,112,108
8012020,09:00,10:00,107,112,106
8012020,10:00,11:00,107,112,105
8012020,11:00,12:00,107,111,103
8012020,12:00,13:00,107,110,100
8012020,13:00,14:00,103,108,100
8012020,14:00,15:00,105,110,100
8012020,15:00,16:00,105,110,99
8012020,16:00,17:00,107,112,105
8012020,17:00,18:00,107,112,105
8012020,18:00,19:00,107,112,106
8012020,19:00,20:00,107,112,100
8012020,20:00,21:00,106,110,83
8012020,21:00,22:00,102,106,73
8012020,22:00,23:00,101,105,73
8012020,23:00,00:00,101,105,73
9012020,00:00,01:00,95,97,71
9012020,01:00,02:00,97,100,73
9012020,02:00,03:00,100,104,74
9012020,03:00,04:00,100,105,74
9012020,04:00,05:00,95,98,72
9012020,05:00,06:00,102,106,86
9012020,06:00,07:00,109,116,105
9012020,07:00,08:00,110,116,113
9012020,08:00,09:00,111,116,116
9012020,09:00,10:00,110,114,103
9012020,10:00,11:00,110,113,78
9012020,11:00,12:00,104,107,75
9012020,12:00,13:00,101,105,74
9012020,13:00,14:00,95,99,73
9012020,14:00,15:00,91,95,73
9012020,15:00,16:00,99,102,75
9012020,16:00,17:00,101,105,81
9012020,17:00,18:00,104,108,92
9012020,18:00,19:00,105,109,95
9012020,19:00,20:00,106,111,96
9012020,20:00,21:00,106,111,96
9012020,21:00,22:00,107,111,94
9012020,22:00,23:00,108,112,89
9012020,23:00,00:00,99,103,72
10012020,00:00,01:00,77,82,65
10012020,01:00,02:00,69,74,63
10012020,02:00,03:00,69,72,63
10012020,03:00,04:00,69,72,63
10012020,04:00,05:00,70,78,63
10012020,05:00,06:00,100,106,87
10012020,06:00,07:00,104,106,87
10012020,07:00,08:00,105,107,79
10012020,08:00,09:00,104,107,78
10012020,09:00,10:00,104,107,75
10012020,10:00,11:00,103,106,75
10012020,11:00,12:00,91,95,71
10012020,12:00,13:00,98,101,73
10012020,13:00,14:00,91,94,72
10012020,14:00,15:00,92,95,73
10012020,15:00,16:00,89,93,73
10012020,16:00,17:00,85,89,71
10012020,17:00,18:00,94,98,71
10012020,18:00,19:00,102,106,72
10012020,19:00,20:00,103,106,72
10012020,20:00,21:00,101,104,72
10012020,21:00,22:00,90,94,68
10012020,22:00,23:00,96,99,70
10012020,23:00,00:00,94,98,70
11012020,00:00,01:00,87,91,70
11012020,01:00,02:00,80,83,68
11012020,02:00,03:00,77,81,67
11012020,03:00,04:00,81,80,67
11012020,04:00,05:00,87,87,69
11012020,05:00,06:00,94,96,72
11012020,06:00,07:00,96,97,74
11012020,07:00,08:00,97,100,75
11012020,08:00,09:00,103,107,90
11012020,09:00,10:00,109,113,102
11012020,10:00,11:00,108,113,103
11012020,11:00,12:00,99,103,92
11012020,12:00,13:00,92,96,87
11012020,13:00,14:00,94,98,88
11012020,14:00,15:00,91,95,82
11012020,15:00,16:00,95,99,73
11012020,16:00,17:00,104,108,76
11012020,17:00,18:00,109,113,77
11012020,18:00,19:00,111,115,78
11012020,19:00,20:00,111,115,80
11012020,20:00,21:00,107,111,77
11012020,21:00,22:00,106,110,76
11012020,22:00,23:00,106,110,74
11012020,23:00,00:00,84,88,62
12012020,00:00,01:00,30,79,6
12012020,01:00,02:00,0,72,0
12012020,02:00,03:00,0,70,0
12012020,03:00,04:00,0,80,0
12012020,04:00,05:00,0,80,0
12012020,05:00,06:00,0,80,0
12012020,06:00,07:00,0,80,0
12012020,07:00,08:00,0,80,0
12012020,08:00,09:00,0,80,0
12012020,09:00,10:00,0,90,0
12012020,10:00,11:00,0,85,0
12012020,11:00,12:00,0,93,0
12012020,12:00,13:00,0,95,0
12012020,13:00,14:00,0,98,0
12012020,14:00,15:00,0,100,0
12012020,15:00,16:00,33,100,0
12012020,16:00,17:00,47,100,16
12012020,17:00,18:00,86,102,62
12012020,18:00,19:00,104,108,74
12012020,19:00,20:00,104,108,75
12012020,20:00,21:00,104,108,74
12012020,21:00,22:00,104,108,68
12012020,22:00,23:00,97,101,63
12012020,23:00,00:00,91,95,67
13012020,00:00,01:00,87,91,66
13012020,01:00,02:00,86,90,65
13012020,02:00,03:00,86,90,65
13012020,03:00,04:00,88,92,67
13012020,04:00,05:00,103,107,71
13012020,05:00,06:00,109,113,79
13012020,06:00,07:00,108,113,91
13012020,07:00,08:00,108,113,96
13012020,08:00,09:00,110,115,97
13012020,09:00,10:00,110,116,94
13012020,10:00,11:00,109,115,86
13012020,11:00,12:00,109,114,75
13012020,12:00,13:00,110,115,75
