date,start,end,11W0-0000-0044-W
16102017,00:00,01:00,
16102017,01:00,02:00,
16102017,02:00,03:00,
16102017,03:00,04:00,
16102017,04:00,05:00,
16102017,05:00,06:00,
16102017,06:00,07:00,
16102017,07:00,08:00,
16102017,08:00,09:00,
16102017,09:00,10:00,
16102017,10:00,11:00,
16102017,11:00,12:00,
16102017,12:00,13:00,
16102017,13:00,14:00,
16102017,14:00,15:00,
16102017,15:00,16:00,
16102017,16:00,17:00,
16102017,17:00,18:00,
16102017,18:00,19:00,
16102017,19:00,20:00,
16102017,20:00,21:00,
16102017,21:00,22:00,
16102017,22:00,23:00,
16102017,23:00,00:00,
17102017,00:00,01:00,
17102017,01:00,02:00,
17102017,02:00,03:00,
17102017,03:00,04:00,
17102017,04:00,05:00,
17102017,05:00,06:00,
17102017,06:00,07:00,
17102017,07:00,08:00,
17102017,08:00,09:00,
17102017,09:00,10:00,
17102017,10:00,11:00,
17102017,11:00,12:00,
17102017,12:00,13:00,
17102017,13:00,14:00,
17102017,14:00,15:00,
17102017,15:00,16:00,
17102017,16:00,17:00,
17102017,17:00,18:00,
17102017,18:00,19:00,
17102017,19:00,20:00,
17102017,20:00,21:00,
17102017,21:00,22:00,
17102017,22:00,23:00,
17102017,23:00,00:00,
18102017,00:00,01:00,0.0
18102017,01:00,02:00,0.0
18102017,02:00,03:00,0.0
18102017,03:00,04:00,0.0
18102017,04:00,05:00,0.0
18102017,05:00,06:00,0.0
18102017,06:00,07:00,0.0
18102017,07:00,08:00,0.0
18102017,08:00,09:00,0.0
18102017,09:00,10:00,0.0
18102017,10:00,11:00,0.0
18102017,11:00,12:00,0.0
18102017,12:00,13:00,0.0
18102017,13:00,14:00,0.0
18102017,14:00,15:00,0.0
18102017,15:00,16:00,0.0
18102017,16:00,17:00,0.0
18102017,17:00,18:00,0.0
18102017,18:00,19:00,0.0
18102017,19:00,20:00,0.0
18102017,20:00,21:00,0.0
18102017,21:00,22:00,0.0
18102017,22:00,23:00,0.0
18102017,23:00,00:00,0.0
19102017,00:00,01:00,0.0
19102017,01:00,02:00,0.0
19102017,02:00,03:00,0.0
19102017,03:00,04:00,0.0
19102017,04:00,05:00,0.0
19102017,05:00,06:00,0.0
19102017,06:00,07:00,0.0
19102017,07:00,08:00,0.0
19102017,08:00,09:00,0.0
19102017,09:00,10:00,0.0
19102017,10:00,11:00,0.0
19102017,11:00,12:00,0.0
19102017,12:00,13:00,0.0
19102017,13:00,14:00,0.0
19102017,14:00,15:00,0.0
19102017,15:00,16:00,0.0
19102017,16:00,17:00,0.0
