date,start,end,11WD7WALS5S--9-Y,11WD7WALS1S--10A
1012019,00:00,01:00,81.0,0.0
1012019,01:00,02:00,82.0,0.0
1012019,02:00,03:00,81.0,0.0
1012019,03:00,04:00,82.0,0.0
1012019,04:00,05:00,81.0,0.0
1012019,05:00,06:00,81.0,0.0
1012019,06:00,07:00,84.0,0.0
1012019,07:00,08:00,82.0,0.0
1012019,08:00,09:00,84.0,0.0
1012019,09:00,10:00,84.0,0.0
1012019,10:00,11:00,84.0,0.0
1012019,11:00,12:00,83.0,0.0
1012019,12:00,13:00,82.0,0.0
1012019,13:00,14:00,82.0,0.0
1012019,14:00,15:00,83.0,0.0
1012019,15:00,16:00,82.0,0.0
1012019,16:00,17:00,82.0,0.0
1012019,17:00,18:00,83.0,0.0
1012019,18:00,19:00,83.0,0.0
1012019,19:00,20:00,82.0,0.0
1012019,20:00,21:00,82.0,0.0
1012019,21:00,22:00,82.0,0.0
1012019,22:00,23:00,83.0,0.0
1012019,23:00,00:00,62.0,0.0
2012019,00:00,01:00,89.0,0.0
2012019,01:00,02:00,123.0,0.0
2012019,02:00,03:00,151.0,0.0
2012019,03:00,04:00,153.0,0.0
2012019,04:00,05:00,152.0,0.0
2012019,05:00,06:00,151.0,0.0
2012019,06:00,07:00,152.0,0.0
2012019,07:00,08:00,151.0,0.0
2012019,08:00,09:00,151.0,0.0
2012019,09:00,10:00,151.0,0.0
2012019,10:00,11:00,152.0,1.0
2012019,11:00,12:00,142.0,145.0
2012019,12:00,13:00,93.0,302.0
2012019,13:00,14:00,81.0,349.0
2012019,14:00,15:00,82.0,504.0
2012019,15:00,16:00,83.0,539.0
2012019,16:00,17:00,83.0,585.0
2012019,17:00,18:00,81.0,522.0
2012019,18:00,19:00,84.0,527.0
2012019,19:00,20:00,81.0,509.0
2012019,20:00,21:00,84.0,635.0
2012019,21:00,22:00,82.0,621.0
2012019,22:00,23:00,83.0,683.0
2012019,23:00,00:00,62.0,476.0
3012019,00:00,01:00,82.0,514.0
3012019,01:00,02:00,83.0,613.0
3012019,02:00,03:00,83.0,678.0
3012019,03:00,04:00,82.0,695.0
3012019,04:00,05:00,83.0,697.0
3012019,05:00,06:00,86.0,697.0
3012019,06:00,07:00,134.0,701.0
3012019,07:00,08:00,174.0,705.0
3012019,08:00,09:00,153.0,702.0
3012019,09:00,10:00,189.0,698.0
3012019,10:00,11:00,241.0,704.0
3012019,11:00,12:00,240.0,702.0
3012019,12:00,13:00,239.0,703.0
3012019,13:00,14:00,240.0,705.0
3012019,14:00,15:00,240.0,703.0
3012019,15:00,16:00,240.0,702.0
3012019,16:00,17:00,240.0,704.0
3012019,17:00,18:00,215.0,699.0
3012019,18:00,19:00,239.0,699.0
3012019,19:00,20:00,239.0,704.0
3012019,20:00,21:00,239.0,702.0
3012019,21:00,22:00,215.0,699.0
3012019,22:00,23:00,187.0,701.0
3012019,23:00,00:00,127.0,700.0
4012019,00:00,01:00,87.0,697.0
4012019,01:00,02:00,80.0,701.0
4012019,02:00,03:00,80.0,700.0
4012019,03:00,04:00,80.0,701.0
4012019,04:00,05:00,80.0,701.0
4012019,05:00,06:00,98.0,694.0
4012019,06:00,07:00,176.0,699.0
4012019,07:00,08:00,180.0,701.0
4012019,08:00,09:00,161.0,695.0
4012019,09:00,10:00,124.0,700.0
4012019,10:00,11:00,128.0,698.0
4012019,11:00,12:00,126.0,700.0
4012019,12:00,13:00,91.0,700.0
4012019,13:00,14:00,81.0,680.0
4012019,14:00,15:00,80.0,699.0
4012019,15:00,16:00,84.0,702.0
4012019,16:00,17:00,91.0,691.0
4012019,17:00,18:00,116.0,699.0
4012019,18:00,19:00,93.0,695.0
4012019,19:00,20:00,83.0,530.0
4012019,20:00,21:00,100.0,394.0
4012019,21:00,22:00,89.0,399.0
4012019,22:00,23:00,85.0,344.0
4012019,23:00,00:00,84.0,13.0
5012019,00:00,01:00,84.0,0.0
5012019,01:00,02:00,84.0,0.0
5012019,02:00,03:00,84.0,0.0
5012019,03:00,04:00,84.0,0.0
5012019,04:00,05:00,83.0,0.0
5012019,05:00,06:00,83.0,0.0
5012019,06:00,07:00,84.0,0.0
5012019,07:00,08:00,83.0,0.0
5012019,08:00,09:00,83.0,0.0
5012019,09:00,10:00,83.0,0.0
5012019,10:00,11:00,84.0,0.0
5012019,11:00,12:00,84.0,0.0
5012019,12:00,13:00,84.0,0.0
5012019,13:00,14:00,84.0,0.0
5012019,14:00,15:00,83.0,0.0
5012019,15:00,16:00,85.0,0.0
5012019,16:00,17:00,83.0,0.0
5012019,17:00,18:00,83.0,0.0
5012019,18:00,19:00,84.0,0.0
5012019,19:00,20:00,84.0,0.0
5012019,20:00,21:00,83.0,0.0
5012019,21:00,22:00,85.0,0.0
5012019,22:00,23:00,84.0,0.0
5012019,23:00,00:00,83.0,0.0
6012019,00:00,01:00,84.0,0.0
6012019,01:00,02:00,84.0,0.0
6012019,02:00,03:00,84.0,0.0
6012019,03:00,04:00,82.0,0.0
6012019,04:00,05:00,84.0,0.0
6012019,05:00,06:00,85.0,0.0
6012019,06:00,07:00,90.0,0.0
6012019,07:00,08:00,133.0,0.0
6012019,08:00,09:00,121.0,0.0
6012019,09:00,10:00,102.0,0.0
6012019,10:00,11:00,118.0,0.0
6012019,11:00,12:00,120.0,0.0
6012019,12:00,13:00,133.0,0.0
6012019,13:00,14:00,119.0,0.0
6012019,14:00,15:00,102.0,0.0
6012019,15:00,16:00,154.0,0.0
6012019,16:00,17:00,240.0,0.0
6012019,17:00,18:00,239.0,0.0
6012019,18:00,19:00,239.0,0.0
6012019,19:00,20:00,215.0,0.0
6012019,20:00,21:00,163.0,0.0
6012019,21:00,22:00,153.0,0.0
6012019,22:00,23:00,152.0,0.0
6012019,23:00,00:00,154.0,0.0
7012019,00:00,01:00,153.0,0.0
7012019,01:00,02:00,154.0,0.0
7012019,02:00,03:00,145.0,12.0
7012019,03:00,04:00,89.0,230.0
7012019,04:00,05:00,82.0,325.0
7012019,05:00,06:00,82.0,453.0
7012019,06:00,07:00,147.0,689.0
7012019,07:00,08:00,239.0,697.0
7012019,08:00,09:00,241.0,689.0
