date,start,end,11WD2BRE6000118Z
1012017,00:00,01:00,268
1012017,01:00,02:00,232
1012017,02:00,03:00,141
1012017,03:00,04:00,135
1012017,04:00,05:00,104
1012017,05:00,06:00,99
1012017,06:00,07:00,96
1012017,07:00,08:00,96
1012017,08:00,09:00,96
1012017,09:00,10:00,96
1012017,10:00,11:00,96
1012017,11:00,12:00,96
1012017,12:00,13:00,96
1012017,13:00,14:00,96
1012017,14:00,15:00,96
1012017,15:00,16:00,106
1012017,16:00,17:00,139
1012017,17:00,18:00,200
1012017,18:00,19:00,247
1012017,19:00,20:00,221
1012017,20:00,21:00,162
1012017,21:00,22:00,124
1012017,22:00,23:00,125
1012017,23:00,00:00,0
2012017,00:00,01:00,144
2012017,01:00,02:00,156
2012017,02:00,03:00,128
2012017,03:00,04:00,136
2012017,04:00,05:00,129
2012017,05:00,06:00,143
2012017,06:00,07:00,170
2012017,07:00,08:00,206
2012017,08:00,09:00,251
2012017,09:00,10:00,294
2012017,10:00,11:00,298
2012017,11:00,12:00,297
2012017,12:00,13:00,298
2012017,13:00,14:00,293
2012017,14:00,15:00,285
2012017,15:00,16:00,278
2012017,16:00,17:00,291
2012017,17:00,18:00,295
2012017,18:00,19:00,293
2012017,19:00,20:00,292
2012017,20:00,21:00,293
2012017,21:00,22:00,292
2012017,22:00,23:00,285
2012017,23:00,00:00,0
3012017,00:00,01:00,235
3012017,01:00,02:00,213
3012017,02:00,03:00,191
3012017,03:00,04:00,203
3012017,04:00,05:00,215
3012017,05:00,06:00,232
3012017,06:00,07:00,273
3012017,07:00,08:00,289
3012017,08:00,09:00,281
3012017,09:00,10:00,290
3012017,10:00,11:00,289
3012017,11:00,12:00,296
3012017,12:00,13:00,297
3012017,13:00,14:00,295
3012017,14:00,15:00,293
3012017,15:00,16:00,292
3012017,16:00,17:00,290
3012017,17:00,18:00,292
3012017,18:00,19:00,291
3012017,19:00,20:00,277
3012017,20:00,21:00,252
3012017,21:00,22:00,169
3012017,22:00,23:00,95
3012017,23:00,00:00,0
4012017,00:00,01:00,96
4012017,01:00,02:00,96
4012017,02:00,03:00,96
4012017,03:00,04:00,96
4012017,04:00,05:00,96
4012017,05:00,06:00,96
4012017,06:00,07:00,96
4012017,07:00,08:00,129
4012017,08:00,09:00,222
4012017,09:00,10:00,282
4012017,10:00,11:00,296
4012017,11:00,12:00,295
4012017,12:00,13:00,296
4012017,13:00,14:00,297
4012017,14:00,15:00,297
4012017,15:00,16:00,297
4012017,16:00,17:00,296
4012017,17:00,18:00,294
4012017,18:00,19:00,292
4012017,19:00,20:00,294
4012017,20:00,21:00,295
4012017,21:00,22:00,296
4012017,22:00,23:00,287
4012017,23:00,00:00,0
5012017,00:00,01:00,225
5012017,01:00,02:00,224
5012017,02:00,03:00,213
5012017,03:00,04:00,226
5012017,04:00,05:00,258
5012017,05:00,06:00,283
5012017,06:00,07:00,290
5012017,07:00,08:00,292
5012017,08:00,09:00,293
5012017,09:00,10:00,293
5012017,10:00,11:00,294
5012017,11:00,12:00,293
5012017,12:00,13:00,295
5012017,13:00,14:00,295
5012017,14:00,15:00,297
5012017,15:00,16:00,295
5012017,16:00,17:00,294
5012017,17:00,18:00,296
5012017,18:00,19:00,296
5012017,19:00,20:00,296
5012017,20:00,21:00,292
5012017,21:00,22:00,294
5012017,22:00,23:00,292
5012017,23:00,00:00,0
6012017,00:00,01:00,277
6012017,01:00,02:00,274
6012017,02:00,03:00,280
6012017,03:00,04:00,281
6012017,04:00,05:00,278
6012017,05:00,06:00,277
6012017,06:00,07:00,277
6012017,07:00,08:00,279
6012017,08:00,09:00,279
6012017,09:00,10:00,280
6012017,10:00,11:00,275
6012017,11:00,12:00,216
6012017,12:00,13:00,0
6012017,13:00,14:00,0
6012017,14:00,15:00,0
6012017,15:00,16:00,0
6012017,16:00,17:00,7
6012017,17:00,18:00,123
6012017,18:00,19:00,240
6012017,19:00,20:00,272
6012017,20:00,21:00,271
6012017,21:00,22:00,272
6012017,22:00,23:00,273
6012017,23:00,00:00,0
7012017,00:00,01:00,275
7012017,01:00,02:00,274
7012017,02:00,03:00,276
7012017,03:00,04:00,275
7012017,04:00,05:00,276
7012017,05:00,06:00,278
7012017,06:00,07:00,277
7012017,07:00,08:00,277
7012017,08:00,09:00,276
7012017,09:00,10:00,279
7012017,10:00,11:00,278
7012017,11:00,12:00,278
7012017,12:00,13:00,279
7012017,13:00,14:00,281
7012017,14:00,15:00,278
7012017,15:00,16:00,277
7012017,16:00,17:00,274
7012017,17:00,18:00,274
7012017,18:00,19:00,275
7012017,19:00,20:00,276
7012017,20:00,21:00,277
7012017,21:00,22:00,277
7012017,22:00,23:00,278
7012017,23:00,00:00,0
8012017,00:00,01:00,277
8012017,01:00,02:00,276
8012017,02:00,03:00,275
8012017,03:00,04:00,275
8012017,04:00,05:00,276
8012017,05:00,06:00,277
8012017,06:00,07:00,278
8012017,07:00,08:00,277
8012017,08:00,09:00,280
