date,start,end,11WD8REUT5X---CX
10012016,11:00,12:00,85
10012016,12:00,13:00,79
10012016,13:00,14:00,79
10012016,14:00,15:00,79
10012016,15:00,16:00,79
10012016,16:00,17:00,79
10012016,17:00,18:00,80
10012016,18:00,19:00,89
10012016,19:00,20:00,89
10012016,20:00,21:00,89
10012016,21:00,22:00,89
10012016,22:00,23:00,89
10012016,23:00,00:00,89
11012016,00:00,01:00,88
11012016,01:00,02:00,89
11012016,02:00,03:00,89
11012016,03:00,04:00,89
11012016,04:00,05:00,89
11012016,05:00,06:00,89
11012016,06:00,07:00,89
11012016,07:00,08:00,89
11012016,08:00,09:00,89
11012016,09:00,10:00,89
11012016,10:00,11:00,89
11012016,11:00,12:00,88
11012016,12:00,13:00,89
11012016,13:00,14:00,89
11012016,14:00,15:00,89
11012016,15:00,16:00,88
11012016,16:00,17:00,88
11012016,17:00,18:00,89
11012016,18:00,19:00,89
11012016,19:00,20:00,89
11012016,20:00,21:00,88
11012016,21:00,22:00,85
11012016,22:00,23:00,84
11012016,23:00,00:00,84
12012016,00:00,01:00,86
12012016,01:00,02:00,85
12012016,02:00,03:00,85
12012016,03:00,04:00,85
12012016,04:00,05:00,85
12012016,05:00,06:00,85
12012016,06:00,07:00,85
12012016,07:00,08:00,94
12012016,08:00,09:00,95
12012016,09:00,10:00,95
12012016,10:00,11:00,95
12012016,11:00,12:00,95
12012016,12:00,13:00,91
12012016,13:00,14:00,85
12012016,14:00,15:00,85
12012016,15:00,16:00,101
12012016,16:00,17:00,101
12012016,17:00,18:00,95
12012016,18:00,19:00,95
12012016,19:00,20:00,86
12012016,20:00,21:00,75
12012016,21:00,22:00,72
12012016,22:00,23:00,70
12012016,23:00,00:00,70
13012016,00:00,01:00,70
13012016,01:00,02:00,70
13012016,02:00,03:00,70
13012016,03:00,04:00,70
13012016,04:00,05:00,69
13012016,05:00,06:00,70
13012016,06:00,07:00,70
13012016,07:00,08:00,70
13012016,08:00,09:00,70
13012016,09:00,10:00,70
13012016,10:00,11:00,69
13012016,11:00,12:00,72
13012016,12:00,13:00,80
13012016,13:00,14:00,79
13012016,14:00,15:00,79
13012016,15:00,16:00,79
13012016,16:00,17:00,79
13012016,17:00,18:00,79
13012016,18:00,19:00,79
13012016,19:00,20:00,71
13012016,20:00,21:00,69
13012016,21:00,22:00,69
13012016,22:00,23:00,69
13012016,23:00,00:00,70
14012016,00:00,01:00,69
14012016,01:00,02:00,69
14012016,02:00,03:00,70
14012016,03:00,04:00,69
14012016,04:00,05:00,69
14012016,05:00,06:00,70
14012016,06:00,07:00,70
14012016,07:00,08:00,70
14012016,08:00,09:00,69
14012016,09:00,10:00,70
14012016,10:00,11:00,79
14012016,11:00,12:00,78
14012016,12:00,13:00,78
14012016,13:00,14:00,75
14012016,14:00,15:00,76
14012016,15:00,16:00,85
14012016,16:00,17:00,85
14012016,17:00,18:00,84
14012016,18:00,19:00,93
14012016,19:00,20:00,93
14012016,20:00,21:00,93
14012016,21:00,22:00,88
14012016,22:00,23:00,79
14012016,23:00,00:00,71
15012016,00:00,01:00,70
15012016,01:00,02:00,70
15012016,02:00,03:00,70
15012016,03:00,04:00,70
15012016,04:00,05:00,70
15012016,05:00,06:00,70
15012016,06:00,07:00,69
15012016,07:00,08:00,78
15012016,08:00,09:00,86
15012016,09:00,10:00,92
15012016,10:00,11:00,92
15012016,11:00,12:00,91
15012016,12:00,13:00,92
15012016,13:00,14:00,93
15012016,14:00,15:00,93
15012016,15:00,16:00,92
15012016,16:00,17:00,92
15012016,17:00,18:00,93
15012016,18:00,19:00,92
15012016,19:00,20:00,92
15012016,20:00,21:00,88
15012016,21:00,22:00,73
15012016,22:00,23:00,69
15012016,23:00,00:00,69
16012016,00:00,01:00,78
16012016,01:00,02:00,80
16012016,02:00,03:00,79
16012016,03:00,04:00,79
16012016,04:00,05:00,79
16012016,05:00,06:00,79
16012016,06:00,07:00,79
16012016,07:00,08:00,79
16012016,08:00,09:00,79
16012016,09:00,10:00,80
16012016,10:00,11:00,87
16012016,11:00,12:00,88
16012016,12:00,13:00,88
16012016,13:00,14:00,88
16012016,14:00,15:00,88
16012016,15:00,16:00,87
16012016,16:00,17:00,88
16012016,17:00,18:00,88
16012016,18:00,19:00,88
16012016,19:00,20:00,88
16012016,20:00,21:00,88
16012016,21:00,22:00,88
16012016,22:00,23:00,86
16012016,23:00,00:00,86
17012016,00:00,01:00,82
17012016,01:00,02:00,81
17012016,02:00,03:00,81
17012016,03:00,04:00,81
17012016,04:00,05:00,82
17012016,05:00,06:00,81
17012016,06:00,07:00,81
17012016,07:00,08:00,81
17012016,08:00,09:00,81
17012016,09:00,10:00,82
17012016,10:00,11:00,81
17012016,11:00,12:00,81
17012016,12:00,13:00,81
17012016,13:00,14:00,81
17012016,14:00,15:00,82
17012016,15:00,16:00,82
17012016,16:00,17:00,81
17012016,17:00,18:00,81
17012016,18:00,19:00,81
17012016,19:00,20:00,82
17012016,20:00,21:00,81
17012016,21:00,22:00,81
17012016,22:00,23:00,82
17012016,23:00,00:00,82
18012016,00:00,01:00,86
18012016,01:00,02:00,86
18012016,02:00,03:00,86
18012016,03:00,04:00,85
18012016,04:00,05:00,86
18012016,05:00,06:00,86
18012016,06:00,07:00,83
18012016,07:00,08:00,84
18012016,08:00,09:00,83
18012016,09:00,10:00,85
18012016,10:00,11:00,89
18012016,11:00,12:00,86
18012016,12:00,13:00,84
18012016,13:00,14:00,84
18012016,14:00,15:00,84
18012016,15:00,16:00,82
18012016,16:00,17:00,81
18012016,17:00,18:00,82
18012016,18:00,19:00,81
18012016,19:00,20:00,81
18012016,20:00,21:00,81
18012016,21:00,22:00,81
18012016,22:00,23:00,81
18012016,23:00,00:00,80
19012016,00:00,01:00,81
19012016,01:00,02:00,81
19012016,02:00,03:00,81
19012016,03:00,04:00,81
19012016,04:00,05:00,81
19012016,05:00,06:00,81
19012016,06:00,07:00,80
19012016,07:00,08:00,81
19012016,08:00,09:00,81
19012016,09:00,10:00,81
19012016,10:00,11:00,80
19012016,11:00,12:00,81
19012016,12:00,13:00,80
19012016,13:00,14:00,74
19012016,14:00,15:00,74
19012016,15:00,16:00,74
