date,start,end,11WD8WED15C---2K,11WD8WED15C---1M
1012019,00:00,01:00,37.0,0.0
1012019,01:00,02:00,37.0,0.0
1012019,02:00,03:00,37.0,0.0
1012019,03:00,04:00,36.0,0.0
1012019,04:00,05:00,36.0,0.0
1012019,05:00,06:00,36.0,0.0
1012019,06:00,07:00,37.0,0.0
1012019,07:00,08:00,37.0,0.0
1012019,08:00,09:00,37.0,0.0
1012019,09:00,10:00,37.0,0.0
1012019,10:00,11:00,37.0,0.0
1012019,11:00,12:00,37.0,0.0
1012019,12:00,13:00,37.0,0.0
1012019,13:00,14:00,37.0,0.0
1012019,14:00,15:00,36.0,0.0
1012019,15:00,16:00,37.0,0.0
1012019,16:00,17:00,41.0,0.0
1012019,17:00,18:00,44.0,0.0
1012019,18:00,19:00,45.0,0.0
1012019,19:00,20:00,52.0,0.0
1012019,20:00,21:00,54.0,0.0
1012019,21:00,22:00,53.0,0.0
1012019,22:00,23:00,54.0,0.0
1012019,23:00,00:00,53.0,0.0
2012019,00:00,01:00,54.0,0.0
2012019,01:00,02:00,53.0,0.0
2012019,02:00,03:00,54.0,0.0
2012019,03:00,04:00,57.0,0.0
2012019,04:00,05:00,55.0,0.0
2012019,05:00,06:00,71.0,0.0
2012019,06:00,07:00,82.0,0.0
2012019,07:00,08:00,82.0,1.0
2012019,08:00,09:00,84.0,12.0
2012019,09:00,10:00,87.0,35.0
2012019,10:00,11:00,72.0,47.0
2012019,11:00,12:00,71.0,55.0
2012019,12:00,13:00,65.0,56.0
2012019,13:00,14:00,48.0,59.0
2012019,14:00,15:00,52.0,63.0
2012019,15:00,16:00,97.0,78.0
2012019,16:00,17:00,100.0,87.0
2012019,17:00,18:00,93.0,96.0
2012019,18:00,19:00,91.0,96.0
2012019,19:00,20:00,91.0,96.0
2012019,20:00,21:00,90.0,95.0
2012019,21:00,22:00,91.0,65.0
2012019,22:00,23:00,88.0,59.0
2012019,23:00,00:00,75.0,57.0
3012019,00:00,01:00,71.0,57.0
3012019,01:00,02:00,71.0,57.0
3012019,02:00,03:00,71.0,57.0
3012019,03:00,04:00,71.0,58.0
3012019,04:00,05:00,71.0,58.0
3012019,05:00,06:00,71.0,58.0
3012019,06:00,07:00,72.0,62.0
3012019,07:00,08:00,77.0,84.0
3012019,08:00,09:00,83.0,92.0
3012019,09:00,10:00,81.0,94.0
3012019,10:00,11:00,81.0,95.0
3012019,11:00,12:00,82.0,98.0
3012019,12:00,13:00,84.0,96.0
3012019,13:00,14:00,86.0,96.0
3012019,14:00,15:00,90.0,95.0
3012019,15:00,16:00,90.0,96.0
3012019,16:00,17:00,90.0,96.0
3012019,17:00,18:00,89.0,96.0
3012019,18:00,19:00,88.0,96.0
3012019,19:00,20:00,84.0,96.0
3012019,20:00,21:00,85.0,96.0
3012019,21:00,22:00,85.0,92.0
3012019,22:00,23:00,85.0,91.0
3012019,23:00,00:00,82.0,88.0
4012019,00:00,01:00,74.0,63.0
4012019,01:00,02:00,71.0,61.0
4012019,02:00,03:00,68.0,57.0
4012019,03:00,04:00,67.0,57.0
4012019,04:00,05:00,67.0,57.0
4012019,05:00,06:00,67.0,57.0
4012019,06:00,07:00,76.0,73.0
