date,start,end,11WD2WBW1000039N,11WD2WBW2000040U
1012016,00:00,01:00,40,40
1012016,01:00,02:00,39,39
1012016,02:00,03:00,40,40
1012016,03:00,04:00,38,38
1012016,04:00,05:00,37,36
1012016,05:00,06:00,40,40
1012016,06:00,07:00,39,44
1012016,07:00,08:00,38,41
1012016,08:00,09:00,39,42
1012016,09:00,10:00,38,41
1012016,10:00,11:00,38,41
1012016,11:00,12:00,39,40
1012016,12:00,13:00,39,38
1012016,13:00,14:00,39,38
1012016,14:00,15:00,60,37
1012016,15:00,16:00,63,38
1012016,16:00,17:00,63,42
1012016,17:00,18:00,57,47
1012016,18:00,19:00,65,42
1012016,19:00,20:00,62,43
1012016,20:00,21:00,63,42
1012016,21:00,22:00,60,42
1012016,22:00,23:00,60,41
1012016,23:00,00:00,59,42
2012016,00:00,01:00,56,41
2012016,01:00,02:00,57,42
2012016,02:00,03:00,57,42
2012016,03:00,04:00,56,42
2012016,04:00,05:00,57,42
2012016,05:00,06:00,57,42
2012016,06:00,07:00,66,42
2012016,07:00,08:00,73,42
2012016,08:00,09:00,69,58
2012016,09:00,10:00,64,62
2012016,10:00,11:00,59,58
2012016,11:00,12:00,49,58
2012016,12:00,13:00,50,58
2012016,13:00,14:00,50,58
2012016,14:00,15:00,54,56
2012016,15:00,16:00,55,53
2012016,16:00,17:00,60,59
2012016,17:00,18:00,83,83
2012016,18:00,19:00,88,89
2012016,19:00,20:00,86,89
2012016,20:00,21:00,84,65
2012016,21:00,22:00,61,60
2012016,22:00,23:00,67,71
2012016,23:00,00:00,61,61
3012016,00:00,01:00,62,61
3012016,01:00,02:00,61,62
3012016,02:00,03:00,62,61
3012016,03:00,04:00,61,60
3012016,04:00,05:00,62,63
3012016,05:00,06:00,66,66
3012016,06:00,07:00,67,68
3012016,07:00,08:00,66,77
3012016,08:00,09:00,66,75
3012016,09:00,10:00,65,76
3012016,10:00,11:00,66,77
3012016,11:00,12:00,66,76
3012016,12:00,13:00,66,80
3012016,13:00,14:00,65,74
3012016,14:00,15:00,75,90
3012016,15:00,16:00,58,79
3012016,16:00,17:00,66,92
3012016,17:00,18:00,71,103
3012016,18:00,19:00,70,80
3012016,19:00,20:00,71,88
3012016,20:00,21:00,65,79
3012016,21:00,22:00,61,75
3012016,22:00,23:00,61,64
3012016,23:00,00:00,61,69
4012016,00:00,01:00,63,71
4012016,01:00,02:00,66,75
4012016,02:00,03:00,60,71
4012016,03:00,04:00,75,86
4012016,04:00,05:00,80,83
4012016,05:00,06:00,74,74
4012016,06:00,07:00,77,80
4012016,07:00,08:00,91,89
4012016,08:00,09:00,84,83
4012016,09:00,10:00,84,83
4012016,10:00,11:00,79,75
4012016,11:00,12:00,79,74
4012016,12:00,13:00,76,74
4012016,13:00,14:00,81,80
4012016,14:00,15:00,79,77
4012016,15:00,16:00,73,72
4012016,16:00,17:00,70,69
4012016,17:00,18:00,70,69
4012016,18:00,19:00,72,68
4012016,19:00,20:00,65,71
4012016,20:00,21:00,61,73
4012016,21:00,22:00,61,72
4012016,22:00,23:00,61,64
4012016,23:00,00:00,61,62
5012016,00:00,01:00,61,61
5012016,01:00,02:00,63,62
5012016,02:00,03:00,54,72
5012016,03:00,04:00,61,69
5012016,04:00,05:00,55,68
5012016,05:00,06:00,58,67
5012016,06:00,07:00,72,70
5012016,07:00,08:00,86,83
5012016,08:00,09:00,90,83
5012016,09:00,10:00,93,83
5012016,10:00,11:00,92,83
5012016,11:00,12:00,98,85
5012016,12:00,13:00,93,89
5012016,13:00,14:00,93,92
5012016,14:00,15:00,92,89
5012016,15:00,16:00,86,85
5012016,16:00,17:00,82,80
5012016,17:00,18:00,97,97
5012016,18:00,19:00,85,81
5012016,19:00,20:00,84,89
5012016,20:00,21:00,84,84
5012016,21:00,22:00,80,79
5012016,22:00,23:00,69,69
5012016,23:00,00:00,68,68
6012016,00:00,01:00,70,72
6012016,01:00,02:00,70,77
6012016,02:00,03:00,70,76
6012016,03:00,04:00,70,77
6012016,04:00,05:00,70,77
