Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2021-01-01 00:00:00,146,0,0,322,656,667
2021-01-01 01:00:00,145,0,0,322,652,667
2021-01-01 02:00:00,145,0,0,321,652,668
2021-01-01 03:00:00,150,0,0,318,653,666
2021-01-01 04:00:00,151,0,0,218,652,670
2021-01-01 05:00:00,151,0,0,191,651,669
2021-01-01 06:00:00,151,0,0,267,648,666
2021-01-01 07:00:00,151,0,0,321,654,667
2021-01-01 08:00:00,151,0,0,321,653,668
2021-01-01 09:00:00,151,0,0,321,653,669
2021-01-01 10:00:00,151,0,0,320,652,668
2021-01-01 11:00:00,151,0,0,320,642,669
2021-01-01 12:00:00,151,0,0,320,642,665
2021-01-01 13:00:00,150,0,0,321,641,668
2021-01-01 14:00:00,151,0,0,319,644,665
2021-01-01 15:00:00,151,0,0,321,642,663
2021-01-01 16:00:00,151,0,0,321,641,666
2021-01-01 17:00:00,151,0,0,318,640,663
2021-01-01 18:00:00,150,0,0,319,641,668
2021-01-01 19:00:00,150,0,0,320,641,669
2021-01-01 20:00:00,152,0,0,321,641,669
2021-01-01 21:00:00,153,0,0,321,644,667
2021-01-01 22:00:00,153,0,0,320,640,667
2021-01-01 23:00:00,152,0,0,320,643,669
2021-01-02 00:00:00,152,0,0,320,641,668
2021-01-02 01:00:00,153,0,0,319,641,668
2021-01-02 02:00:00,154,0,0,322,643,615
2021-01-02 03:00:00,152,0,0,319,641,572
2021-01-02 04:00:00,154,0,0,319,640,571
2021-01-02 05:00:00,154,0,0,322,640,572
2021-01-02 06:00:00,154,0,0,320,643,573
2021-01-02 07:00:00,153,0,0,320,640,572
2021-01-02 08:00:00,153,0,0,319,639,572
2021-01-02 09:00:00,154,0,0,321,641,572
2021-01-02 10:00:00,156,0,0,321,639,643
2021-01-02 11:00:00,155,0,0,321,641,665
2021-01-02 12:00:00,153,0,0,321,642,667
2021-01-02 13:00:00,153,0,0,320,648,666
2021-01-02 14:00:00,152,0,0,319,652,666
2021-01-02 15:00:00,153,0,0,320,652,666
2021-01-02 16:00:00,153,0,0,320,651,665
2021-01-02 17:00:00,153,0,0,320,651,665
