date,start,end,11WD7STUM1SBL10G
1012019,00:00,01:00,0
1012019,01:00,02:00,0
1012019,02:00,03:00,0
1012019,03:00,04:00,0
1012019,04:00,05:00,0
1012019,05:00,06:00,0
1012019,06:00,07:00,0
1012019,07:00,08:00,0
1012019,08:00,09:00,0
1012019,09:00,10:00,0
1012019,10:00,11:00,0
1012019,11:00,12:00,0
1012019,12:00,13:00,0
1012019,13:00,14:00,0
1012019,14:00,15:00,0
1012019,15:00,16:00,0
1012019,16:00,17:00,0
1012019,17:00,18:00,0
1012019,18:00,19:00,0
1012019,19:00,20:00,0
1012019,20:00,21:00,0
1012019,21:00,22:00,0
1012019,22:00,23:00,0
1012019,23:00,00:00,0
2012019,00:00,01:00,0
2012019,01:00,02:00,0
2012019,02:00,03:00,0
2012019,03:00,04:00,0
2012019,04:00,05:00,0
2012019,05:00,06:00,0
2012019,06:00,07:00,0
2012019,07:00,08:00,0
2012019,08:00,09:00,0
2012019,09:00,10:00,52
2012019,10:00,11:00,212
2012019,11:00,12:00,307
2012019,12:00,13:00,309
2012019,13:00,14:00,310
2012019,14:00,15:00,387
2012019,15:00,16:00,431
2012019,16:00,17:00,651
2012019,17:00,18:00,506
2012019,18:00,19:00,671
2012019,19:00,20:00,569
2012019,20:00,21:00,713
2012019,21:00,22:00,536
2012019,22:00,23:00,695
2012019,23:00,00:00,378
3012019,00:00,01:00,495
3012019,01:00,02:00,490
3012019,02:00,03:00,517
3012019,03:00,04:00,498
3012019,04:00,05:00,431
3012019,05:00,06:00,373
3012019,06:00,07:00,700
3012019,07:00,08:00,704
3012019,08:00,09:00,723
3012019,09:00,10:00,725
3012019,10:00,11:00,724
3012019,11:00,12:00,724
3012019,12:00,13:00,724
3012019,13:00,14:00,723
3012019,14:00,15:00,724
3012019,15:00,16:00,724
3012019,16:00,17:00,724
3012019,17:00,18:00,723
3012019,18:00,19:00,725
3012019,19:00,20:00,723
3012019,20:00,21:00,724
3012019,21:00,22:00,724
3012019,22:00,23:00,724
3012019,23:00,00:00,724
4012019,00:00,01:00,712
4012019,01:00,02:00,685
4012019,02:00,03:00,699
4012019,03:00,04:00,670
4012019,04:00,05:00,725
4012019,05:00,06:00,724
4012019,06:00,07:00,720
4012019,07:00,08:00,724
4012019,08:00,09:00,725
4012019,09:00,10:00,725
4012019,10:00,11:00,726
4012019,11:00,12:00,724
4012019,12:00,13:00,645
4012019,13:00,14:00,573
4012019,14:00,15:00,724
4012019,15:00,16:00,726
4012019,16:00,17:00,725
4012019,17:00,18:00,723
4012019,18:00,19:00,707
4012019,19:00,20:00,593
4012019,20:00,21:00,356
4012019,21:00,22:00,305
4012019,22:00,23:00,304
4012019,23:00,00:00,218
5012019,00:00,01:00,154
5012019,01:00,02:00,157
5012019,02:00,03:00,154
5012019,03:00,04:00,156
5012019,04:00,05:00,155
5012019,05:00,06:00,155
5012019,06:00,07:00,154
5012019,07:00,08:00,154
5012019,08:00,09:00,159
5012019,09:00,10:00,319
5012019,10:00,11:00,684
5012019,11:00,12:00,724
5012019,12:00,13:00,710
5012019,13:00,14:00,700
5012019,14:00,15:00,672
5012019,15:00,16:00,724
5012019,16:00,17:00,724
5012019,17:00,18:00,721
5012019,18:00,19:00,591
5012019,19:00,20:00,608
5012019,20:00,21:00,672
5012019,21:00,22:00,461
5012019,22:00,23:00,336
5012019,23:00,00:00,309
6012019,00:00,01:00,311
6012019,01:00,02:00,314
6012019,02:00,03:00,543
6012019,03:00,04:00,464
6012019,04:00,05:00,319
6012019,05:00,06:00,516
6012019,06:00,07:00,495
6012019,07:00,08:00,522
6012019,08:00,09:00,521
6012019,09:00,10:00,525
6012019,10:00,11:00,531
6012019,11:00,12:00,720
6012019,12:00,13:00,726
6012019,13:00,14:00,700
6012019,14:00,15:00,625
6012019,15:00,16:00,724
6012019,16:00,17:00,726
6012019,17:00,18:00,726
6012019,18:00,19:00,726
6012019,19:00,20:00,725
6012019,20:00,21:00,724
6012019,21:00,22:00,724
6012019,22:00,23:00,724
6012019,23:00,00:00,722
7012019,00:00,01:00,720
7012019,01:00,02:00,629
7012019,02:00,03:00,445
7012019,03:00,04:00,348
7012019,04:00,05:00,468
7012019,05:00,06:00,643
7012019,06:00,07:00,693
7012019,07:00,08:00,724
7012019,08:00,09:00,726
7012019,09:00,10:00,726
7012019,10:00,11:00,726
7012019,11:00,12:00,726
7012019,12:00,13:00,726
7012019,13:00,14:00,726
7012019,14:00,15:00,726
7012019,15:00,16:00,726
7012019,16:00,17:00,718
7012019,17:00,18:00,725
7012019,18:00,19:00,692
7012019,19:00,20:00,444
7012019,20:00,21:00,307
7012019,21:00,22:00,306
7012019,22:00,23:00,304
7012019,23:00,00:00,191
8012019,00:00,01:00,160
8012019,01:00,02:00,156
8012019,02:00,03:00,153
