date,start,end,11WD2BRE6000118Z
1012016,00:00,01:00,0
1012016,01:00,02:00,229
1012016,02:00,03:00,215
1012016,03:00,04:00,198
1012016,04:00,05:00,196
1012016,05:00,06:00,166
1012016,06:00,07:00,183
1012016,07:00,08:00,207
1012016,08:00,09:00,218
1012016,09:00,10:00,216
1012016,10:00,11:00,216
1012016,11:00,12:00,227
1012016,12:00,13:00,231
1012016,13:00,14:00,222
1012016,14:00,15:00,224
1012016,15:00,16:00,240
1012016,16:00,17:00,249
1012016,17:00,18:00,250
1012016,18:00,19:00,246
1012016,19:00,20:00,210
1012016,20:00,21:00,232
1012016,21:00,22:00,249
1012016,22:00,23:00,245
1012016,23:00,00:00,193
2012016,00:00,01:00,0
2012016,01:00,02:00,165
2012016,02:00,03:00,162
2012016,03:00,04:00,130
2012016,04:00,05:00,163
2012016,05:00,06:00,168
2012016,06:00,07:00,148
2012016,07:00,08:00,160
2012016,08:00,09:00,171
2012016,09:00,10:00,176
2012016,10:00,11:00,192
2012016,11:00,12:00,225
2012016,12:00,13:00,248
2012016,13:00,14:00,245
2012016,14:00,15:00,245
2012016,15:00,16:00,250
2012016,16:00,17:00,247
2012016,17:00,18:00,249
2012016,18:00,19:00,247
2012016,19:00,20:00,250
2012016,20:00,21:00,226
2012016,21:00,22:00,177
2012016,22:00,23:00,165
2012016,23:00,00:00,150
3012016,00:00,01:00,0
3012016,01:00,02:00,96
3012016,02:00,03:00,98
3012016,03:00,04:00,95
3012016,04:00,05:00,95
3012016,05:00,06:00,95
3012016,06:00,07:00,98
3012016,07:00,08:00,97
3012016,08:00,09:00,140
3012016,09:00,10:00,179
3012016,10:00,11:00,196
3012016,11:00,12:00,207
3012016,12:00,13:00,185
3012016,13:00,14:00,196
3012016,14:00,15:00,203
3012016,15:00,16:00,208
3012016,16:00,17:00,247
3012016,17:00,18:00,253
3012016,18:00,19:00,254
3012016,19:00,20:00,254
3012016,20:00,21:00,249
3012016,21:00,22:00,251
3012016,22:00,23:00,251
3012016,23:00,00:00,253
4012016,00:00,01:00,0
4012016,01:00,02:00,239
4012016,02:00,03:00,199
4012016,03:00,04:00,180
4012016,04:00,05:00,191
4012016,05:00,06:00,234
4012016,06:00,07:00,251
4012016,07:00,08:00,255
4012016,08:00,09:00,255
4012016,09:00,10:00,256
4012016,10:00,11:00,256
4012016,11:00,12:00,256
4012016,12:00,13:00,257
4012016,13:00,14:00,256
4012016,14:00,15:00,255
4012016,15:00,16:00,252
4012016,16:00,17:00,251
4012016,17:00,18:00,251
4012016,18:00,19:00,250
4012016,19:00,20:00,249
4012016,20:00,21:00,251
4012016,21:00,22:00,250
4012016,22:00,23:00,248
4012016,23:00,00:00,241
5012016,00:00,01:00,0
5012016,01:00,02:00,173
5012016,02:00,03:00,169
5012016,03:00,04:00,166
5012016,04:00,05:00,157
5012016,05:00,06:00,181
5012016,06:00,07:00,232
5012016,07:00,08:00,250
5012016,08:00,09:00,251
5012016,09:00,10:00,254
5012016,10:00,11:00,254
5012016,11:00,12:00,253
5012016,12:00,13:00,252
5012016,13:00,14:00,253
5012016,14:00,15:00,251
5012016,15:00,16:00,249
5012016,16:00,17:00,253
5012016,17:00,18:00,252
5012016,18:00,19:00,249
5012016,19:00,20:00,249
5012016,20:00,21:00,249
5012016,21:00,22:00,252
5012016,22:00,23:00,247
5012016,23:00,00:00,237
6012016,00:00,01:00,0
6012016,01:00,02:00,199
6012016,02:00,03:00,197
6012016,03:00,04:00,198
6012016,04:00,05:00,196
6012016,05:00,06:00,226
6012016,06:00,07:00,252
6012016,07:00,08:00,243
6012016,08:00,09:00,213
6012016,09:00,10:00,209
6012016,10:00,11:00,205
6012016,11:00,12:00,213
6012016,12:00,13:00,251
6012016,13:00,14:00,252
6012016,14:00,15:00,252
6012016,15:00,16:00,252
6012016,16:00,17:00,252
6012016,17:00,18:00,252
6012016,18:00,19:00,252
6012016,19:00,20:00,252
6012016,20:00,21:00,248
6012016,21:00,22:00,182
6012016,22:00,23:00,128
6012016,23:00,00:00,137
7012016,00:00,01:00,0
7012016,01:00,02:00,213
7012016,02:00,03:00,168
7012016,03:00,04:00,159
7012016,04:00,05:00,170
7012016,05:00,06:00,215
7012016,06:00,07:00,240
